"C_CID","C_Distances_1","C_Distances_2","C_Distances_3","C_Distances_4","C_Duration","C_How_Often","C_MainWhere","C_MaxDistance","C_NEW_Estimated_Contact_Time_1","C_NEW_Estimated_Contact_Time_2","C_NEW_Estimated_Contact_Time_3","C_NEW_Estimated_Contact_Time_4","C_NEW_Estimated_Contact_Time_5","C_NEW_Estimated_Contact_Time_6","C_NEW_Estimated_Contact_Time_7","C_NEW_Estimated_Contact_Time_8","C_NEW_Estimated_Contact_Time_9","C_NEW_Estimated_Contact_Time_10","C_NEW_Estimated_Contact_Time_11","C_NEW_Estimated_Contact_Time_12","C_NEW_Estimated_Contact_Time_13","C_NEW_Estimated_Contact_Time_14","C_NEW_Estimated_Contact_Time_15","C_NEW_Estimated_Contact_Time_16","C_NEW_Estimated_Contact_Time_17","C_NEW_Estimated_Contact_Time_18","C_NEW_Estimated_Contact_Time_19","C_NEW_Estimated_Contact_Time_20","C_Number","C_PID","C_Touch","C_Wheres_1","C_Wheres_2","C_Wheres_3","C_Wheres_4","C_Wheres_5","C_Wheres_6"
0,1,0,0,0,3,0,1,1,13.696,9.0426,6.9764,11.151,17.134,20.451,6.0559,9.5998,3.2565,1.1034,15.01,2.2385,7.0763,11.781,1.3382,3.9956,3.4817,15.386,2.5952,1.9738,1,1,1,1,0,0,0,0,0
1,1,0,0,0,3,0,1,1,6.5369,4.44,10.899,2.0114,2.6587,18.066,3.9075,3.796,6.8266,2.0777,15.579,2.0924,3.1784,5.2992,22.674,3.7591,2.8517,4.0055,7.4751,7.6442,1,1,1,1,0,0,0,0,0
2,1,0,0,0,2,1,6,1,0.60091,0.75493,0.70379,0.66806,0.80928,0.74012,0.50833,0.62679,0.69809,0.72073,0.63863,0.67538,0.53201,0.73489,0.59933,0.55743,0.64378,0.71617,0.63593,0.83524,1,1,1,0,0,0,0,0,1
3,1,0,0,0,2,1,6,1,0.8019,0.57298,0.68963,0.97705,0.80773,0.85431,0.59055,0.6517,0.81133,0.80327,0.76073,0.68389,0.8726,0.60312,0.90232,0.72255,0.99437,0.59733,0.50196,0.54597,1,1,1,0,0,0,0,0,1
4,1,0,0,0,3,2,2,1,1.7523,2.4898,3.1024,1.6907,3.244,1.9647,8.3127,17.722,11.581,1.8438,4.2459,1.0957,2.6588,2.3998,3.8012,2.1796,2.1205,1.0644,15.736,1.918,1,1,1,0,1,0,0,0,0
5,0,1,0,0,2,1,6,2,0.68704,0.65749,0.96943,0.63524,0.66419,0.90311,0.98203,0.95698,0.74943,0.80654,0.6234,0.61013,0.72852,0.69149,0.72449,0.94687,0.62346,0.83748,0.90988,0.94594,1,1,1,0,0,0,0,0,1
6,0,1,0,0,0,4,2,2,2.9047e-05,0.00025254,0.00033271,0.037752,0.0019147,0.0010621,0.00029612,0.0012226,9.2917e-05,0.00028468,0.00019148,0.00015129,0.0023214,0.00024299,4.4052e-05,0.0019557,0.0004479,0.0015178,0.013354,0.001149,50,1,0,0,1,0,0,0,0
7,0,1,0,0,0,4,2,2,0.0010566,4.1394e-05,0.0004487,0.00018479,0.0016602,0.00075138,0.0032006,3.2739e-05,0.00126,0.001888,0.0020583,0.0021592,0.0030733,0.0007765,0.00022102,0.0022663,0.00033361,0.0024399,0.0019578,0.00235,50,1,0,0,1,0,0,0,0
0,1,0,0,0,2,1,6,1,0.65375,0.71308,0.72979,0.69615,0.62059,0.85548,0.52858,0.97164,0.63319,0.86253,0.54405,0.87128,0.53382,0.54124,0.73197,0.57949,0.55589,0.73234,0.50858,0.66304,1,2,0,0,0,0,0,0,1
1,1,0,0,0,2,1,6,1,0.72713,0.88283,0.62535,0.91656,0.86821,0.70959,0.9979,0.91901,0.84491,0.62671,0.80558,0.73824,0.55898,0.87777,0.80865,0.58568,0.56384,0.57255,0.81964,0.62399,1,2,0,0,0,0,0,0,1
2,1,0,0,0,2,1,6,1,0.99426,0.5313,0.50039,0.63795,0.68041,0.77492,0.80897,0.69721,0.58796,0.52132,0.59511,0.93556,0.52461,0.76354,0.66476,0.73009,0.95773,0.85239,0.73533,0.96687,1,2,0,0,0,0,0,0,1
3,1,0,0,0,2,1,6,1,0.84426,0.57712,0.80145,0.84786,0.71568,0.78188,0.60086,0.53023,0.68567,0.83552,0.73437,0.59747,0.81341,0.85371,0.9137,0.55625,0.72172,0.73643,0.61878,0.5794,1,2,0,0,0,0,0,0,1
4,1,0,0,0,2,2,2,1,0.98667,0.84743,0.92096,0.67605,0.91322,0.50214,0.91815,0.64173,0.73215,0.55636,0.69933,0.93836,0.82215,0.62284,0.77155,0.85074,0.55245,0.66848,0.632,0.88237,1,2,1,0,1,0,0,0,0
5,1,0,0,0,2,1,2,1,0.58925,0.91807,0.7962,0.87151,0.65614,0.69867,0.89381,0.63714,0.5079,0.52197,0.52955,0.98352,0.54862,0.70194,0.96877,0.53227,0.55507,0.62575,0.83876,0.83288,1,2,0,0,1,0,0,0,0
6,1,0,0,0,3,0,1,1,6.0073,17.143,2.782,12.44,3.2651,2.9132,1.1714,9.7252,1.1613,3.5644,3.2343,9.2375,4.6905,16.914,12.134,1.9335,8.7184,1.5709,3.2874,14.67,1,2,1,1,0,0,0,0,0
7,1,0,0,0,3,0,1,1,1.2295,20.365,2.0266,5.3147,12.814,23.828,16.414,8.188,21.772,1.8555,8.6687,3.1304,1.0755,7.941,2.1347,3.0075,1.6455,13.203,1.3237,2.4158,1,2,0,1,0,0,0,0,0
8,1,0,0,0,3,0,1,1,11.725,13.375,1.8099,1.3656,7.2164,2.4672,8.3908,5.8723,18.702,9.8096,5.4614,5.4471,2.4343,1.4927,8.302,1.3057,2.3291,18.9,1.7819,6.9988,1,2,1,1,0,0,0,0,0
9,1,0,0,0,3,0,1,1,7.4643,16.789,13.399,11.531,2.7779,6.142,21.663,7.0657,7.7437,8.7674,9.6148,5.6395,5.8564,2.9242,5.8753,7.6724,6.8531,9.5926,4.7089,7.1946,1,2,1,1,0,0,0,0,0
10,0,1,0,0,2,1,2,2,0.90582,0.55376,0.59021,0.72387,0.70854,0.57832,0.78767,0.92023,0.79593,0.57171,0.93798,0.89845,0.80768,0.60293,0.91382,0.87175,0.87646,0.70692,0.72773,0.71598,1,2,0,0,1,0,0,0,0
11,0,1,0,0,2,3,2,2,0.99206,0.97985,0.55118,0.59858,0.73271,0.74132,0.78035,0.73759,0.71839,0.99316,0.81918,0.94881,0.93662,0.96949,0.93852,0.94012,0.99252,0.60013,0.54666,0.97675,1,2,1,0,1,0,0,0,0
12,0,1,0,0,2,3,2,2,0.95317,0.67354,0.80625,0.84373,0.54484,0.56609,0.6242,0.98887,0.58592,0.66078,0.53571,0.95978,0.5209,0.70035,0.71485,0.8989,0.93467,0.52271,0.93674,0.67001,1,2,1,0,1,0,0,0,0
13,0,1,0,0,2,3,2,2,0.66682,0.56006,0.56906,0.53854,0.95171,0.76879,0.98032,0.70979,0.74868,0.84331,0.53512,0.62269,0.97067,0.75286,0.70247,0.88638,0.73699,0.75462,0.6087,0.81056,1,2,1,0,1,0,0,0,0
14,1,0,0,0,1,1,6,1,0.16674,0.20032,0.17386,0.37737,0.38008,0.30832,0.37686,0.32288,0.19484,0.32279,0.3174,0.34221,0.1683,0.23753,0.42743,0.39075,0.39643,0.24968,0.26033,0.22847,1,2,0,0,0,0,0,0,1
15,1,0,0,0,1,1,6,1,0.31079,0.31462,0.17971,0.18237,0.31521,0.28958,0.44484,0.44922,0.23498,0.48735,0.17174,0.31654,0.26303,0.46303,0.2543,0.26918,0.43806,0.28273,0.311,0.25876,1,2,0,0,0,0,0,0,1
