"cont_id","studyDay"
"1_1_1",1
"1_1_2",1
"1_1_3",1
"1_1_4",1
"1_1_5",1
"1_1_6",1
"1_2_1",2
"1_2_2",2
"1_2_3",2
"1_2_4",2
"1_2_5",2
"1_2_6",2
"1_2_7",2
"1_2_8",2
"1_2_9",2
"1_2_10",2
"1_2_11",2
"1_2_12",2
"2_1_1",1
"2_1_2",1
"2_1_3",1
"2_1_4",1
"2_1_5",1
"2_1_6",1
"2_1_7",1
"2_1_8",1
"2_1_9",1
"2_1_10",1
"2_1_11",1
"2_1_12",1
"2_1_13",1
"2_1_14",1
"2_1_15",1
"2_1_16",1
"2_1_17",1
"2_1_18",1
"2_1_19",1
"2_1_20",1
"2_1_21",1
"2_1_22",1
"2_1_23",1
"2_1_24",1
"2_2_1",2
"2_2_2",2
"2_2_3",2
"2_2_4",2
"2_2_5",2
"2_2_6",2
"2_2_7",2
"3_1_1",1
"3_1_2",1
"3_1_3",1
"3_1_4",1
"3_1_5",1
"3_1_6",1
"3_1_7",1
"3_1_8",1
"3_1_9",1
"3_1_10",1
"3_1_11",1
"3_1_12",1
"3_1_13",1
"3_1_14",1
"3_1_15",1
"3_1_16",1
"3_1_17",1
"3_1_18",1
"3_1_19",1
"3_2_1",2
"3_2_2",2
"3_2_3",2
"3_2_4",2
"3_2_5",2
"3_2_6",2
"3_2_7",2
"3_2_8",2
"4_1_1",1
"4_1_2",1
"4_1_3",1
"4_1_4",1
"4_2_1",2
"4_2_2",2
"4_2_3",2
"4_2_4",2
"5_1_1",1
"5_1_2",1
"5_1_3",1
"5_1_4",1
"5_1_5",1
"5_1_6",1
"5_1_7",1
"5_1_8",1
"5_1_9",1
"5_1_10",1
"5_1_11",1
"5_1_12",1
"5_1_13",1
"5_1_14",1
"5_1_15",1
"5_1_16",1
"5_2_1",2
"5_2_2",2
"5_2_3",2
"5_2_4",2
"5_2_5",2
"5_2_6",2
"5_2_7",2
"5_2_8",2
"5_2_9",2
"5_2_10",2
"5_2_11",2
"5_2_12",2
"5_2_13",2
"5_2_14",2
"5_2_15",2
"5_2_16",2
"5_2_17",2
"5_2_18",2
"6_1_1",1
"6_1_2",1
"6_1_3",1
"6_1_4",1
"6_1_5",1
"6_1_6",1
"6_1_7",1
"6_1_8",1
"6_2_1",2
"6_2_2",2
"6_2_3",2
"6_2_4",2
"6_2_5",2
"6_2_6",2
"6_2_7",2
"6_2_8",2
