"hh_id","country","hh_size"
"BE06_1","BE",2
"BE06_2","BE",4
"BE06_3","BE",5
"BE06_4","BE",2
"BE06_5","BE",5
"BE06_6","BE",1
"BE06_7","BE",2
"BE06_8","BE",2
"BE06_9","BE",2
"BE06_10","BE",3
"BE06_11","BE",4
"BE06_12","BE",2
"BE06_13","BE",4
"BE06_14","BE",4
"BE06_15","BE",3
"BE06_16","BE",1
"BE06_17","BE",2
"BE06_18","BE",3
"BE06_19","BE",4
"BE06_20","BE",3
"BE06_21","BE",3
"BE06_22","BE",4
"BE06_23","BE",2
"BE06_24","BE",2
"BE06_25","BE",2
"BE06_26","BE",3
"BE06_27","BE",1
"BE06_28","BE",3
"BE06_29","BE",6
"BE06_30","BE",2
"BE06_31","BE",2
"BE06_32","BE",3
"BE06_33","BE",5
"BE06_34","BE",2
"BE06_35","BE",4
"BE06_36","BE",4
"BE06_37","BE",3
"BE06_38","BE",2
"BE06_39","BE",4
"BE06_40","BE",2
"BE06_41","BE",3
"BE06_42","BE",2
"BE06_43","BE",4
"BE06_44","BE",2
"BE06_45","BE",2
"BE06_46","BE",2
"BE06_47","BE",5
"BE06_48","BE",6
"BE06_49","BE",5
"BE06_50","BE",2
"BE06_51","BE",3
"BE06_52","BE",5
"BE06_53","BE",2
"BE06_54","BE",4
"BE06_55","BE",1
"BE06_56","BE",3
"BE06_57","BE",3
"BE06_58","BE",2
"BE06_59","BE",4
"BE06_60","BE",3
"BE06_61","BE",4
"BE06_62","BE",3
"BE06_63","BE",4
"BE06_64","BE",3
"BE06_65","BE",3
"BE06_66","BE",3
"BE06_67","BE",2
"BE06_68","BE",1
"BE06_69","BE",1
"BE06_70","BE",6
"BE06_71","BE",3
"BE06_72","BE",5
"BE06_73","BE",1
"BE06_74","BE",1
"BE06_75","BE",4
"BE06_76","BE",4
"BE06_77","BE",1
"BE06_78","BE",4
"BE06_79","BE",3
"BE06_80","BE",2
"BE06_81","BE",3
"BE06_82","BE",4
"BE06_83","BE",3
"BE06_84","BE",1
"BE06_85","BE",4
"BE06_86","BE",5
"BE06_87","BE",4
"BE06_88","BE",2
"BE06_89","BE",2
"BE06_90","BE",1
"BE06_91","BE",4
"BE06_92","BE",4
"BE06_93","BE",2
"BE06_94","BE",2
"BE06_95","BE",1
"BE06_96","BE",1
"BE06_97","BE",4
"BE06_98","BE",2
"BE06_99","BE",1
"BE06_100","BE",3
"BE06_101","BE",2
"BE06_102","BE",3
"BE06_103","BE",1
"BE06_104","BE",4
"BE06_105","BE",3
"BE06_106","BE",3
"BE06_107","BE",4
"BE06_108","BE",4
"BE06_109","BE",3
"BE06_110","BE",3
"BE06_111","BE",3
"BE06_112","BE",5
"BE06_113","BE",3
"BE06_114","BE",2
"BE06_115","BE",3
"BE06_116","BE",4
"BE06_117","BE",5
"BE06_118","BE",4
"BE06_119","BE",4
"BE06_120","BE",2
"BE06_121","BE",2
"BE06_122","BE",4
"BE06_123","BE",1
"BE06_124","BE",3
"BE06_125","BE",2
"BE06_126","BE",1
"BE06_127","BE",4
"BE06_128","BE",4
"BE06_129","BE",5
"BE06_130","BE",1
"BE06_132","BE",1
"BE06_133","BE",2
"BE06_134","BE",2
"BE06_135","BE",4
"BE06_136","BE",4
"BE06_137","BE",3
"BE06_138","BE",3
"BE06_139","BE",3
"BE06_140","BE",3
"BE06_141","BE",4
"BE06_142","BE",2
"BE06_143","BE",4
"BE06_144","BE",2
"BE06_145","BE",4
"BE06_146","BE",4
"BE06_147","BE",5
"BE06_148","BE",3
"BE06_149","BE",4
"BE06_150","BE",3
"BE06_151","BE",2
"BE06_152","BE",5
"BE06_153","BE",3
"BE06_154","BE",4
"BE06_155","BE",4
"BE06_156","BE",5
"BE06_157","BE",2
"BE06_158","BE",4
"BE06_159","BE",3
"BE06_160","BE",4
"BE06_161","BE",1
