"part_id","hh_id","part_age","part_gender"
1,"BE06_1",22,"F"
2,"BE06_2",21,"F"
3,"BE06_3",14,"F"
4,"BE06_4",79,"M"
5,"BE06_5",11,"M"
6,"BE06_6",25,"F"
7,"BE06_7",50,"M"
8,"BE06_8",70,"M"
9,"BE06_9",59,"F"
10,"BE06_10",50,"M"
11,"BE06_11",11,"M"
12,"BE06_12",54,"F"
13,"BE06_13",32,"F"
14,"BE06_14",49,"F"
15,"BE06_15",41,"F"
16,"BE06_16",60,"F"
17,"BE06_17",28,"M"
18,"BE06_18",54,"F"
19,"BE06_19",39,"F"
20,"BE06_20",54,"F"
21,"BE06_21",47,"F"
22,"BE06_22",43,"F"
23,"BE06_23",69,"F"
24,"BE06_24",66,"F"
25,"BE06_25",53,"F"
26,"BE06_26",34,"M"
27,"BE06_27",58,"F"
28,"BE06_28",55,"F"
29,"BE06_29",49,"F"
30,"BE06_30",24,"M"
31,"BE06_31",50,"F"
32,"BE06_32",61,"M"
33,"BE06_33",41,"F"
34,"BE06_34",53,"F"
35,"BE06_35",56,"M"
36,"BE06_36",55,"F"
37,"BE06_37",29,"F"
38,"BE06_38",61,"M"
39,"BE06_39",45,"F"
40,"BE06_40",69,"M"
41,"BE06_41",1,"F"
42,"BE06_42",56,"F"
43,"BE06_43",14,"M"
44,"BE06_44",68,"F"
45,"BE06_45",63,"M"
46,"BE06_46",48,"F"
47,"BE06_47",29,"M"
48,"BE06_48",13,"F"
49,"BE06_49",39,"F"
50,"BE06_50",60,"M"
51,"BE06_51",43,"M"
52,"BE06_52",35,"F"
53,"BE06_53",60,"F"
54,"BE06_54",37,"M"
55,"BE06_55",68,"M"
56,"BE06_56",43,"F"
57,"BE06_57",29,"M"
58,"BE06_58",27,"M"
59,"BE06_59",48,"F"
60,"BE06_60",33,"M"
61,"BE06_61",36,"F"
62,"BE06_62",42,"F"
63,"BE06_63",38,"F"
64,"BE06_64",62,"F"
65,"BE06_65",47,"F"
66,"BE06_66",57,"F"
67,"BE06_67",70,"M"
68,"BE06_68",55,"F"
69,"BE06_69",32,"M"
70,"BE06_70",18,"F"
71,"BE06_71",32,"F"
72,"BE06_72",8,"M"
73,"BE06_73",75,"M"
74,"BE06_74",81,"F"
75,"BE06_75",8,"M"
76,"BE06_76",23,"M"
77,"BE06_77",45,"F"
78,"BE06_78",24,"M"
79,"BE06_79",57,"F"
80,"BE06_80",71,"F"
81,"BE06_81",56,"F"
82,"BE06_82",23,"M"
83,"BE06_83",52,"F"
84,"BE06_84",61,"F"
85,"BE06_85",54,"M"
86,"BE06_86",47,"F"
87,"BE06_87",39,"F"
88,"BE06_88",55,"M"
89,"BE06_89",52,"F"
90,"BE06_90",56,"M"
91,"BE06_91",54,"F"
92,"BE06_92",57,"M"
93,"BE06_93",62,"F"
94,"BE06_94",75,"M"
95,"BE06_95",56,"F"
96,"BE06_96",44,"M"
97,"BE06_97",20,"M"
98,"BE06_98",26,"F"
99,"BE06_99",34,"F"
100,"BE06_100",46,"F"
101,"BE06_101",75,"F"
102,"BE06_102",12,"F"
103,"BE06_103",45,"F"
104,"BE06_104",62,"F"
105,"BE06_105",54,"F"
106,"BE06_106",48,"F"
107,"BE06_107",5,"M"
108,"BE06_108",39,"M"
109,"BE06_109",63,"F"
110,"BE06_110",32,"M"
111,"BE06_111",30,"F"
112,"BE06_112",22,"F"
113,"BE06_113",43,"F"
114,"BE06_114",54,"F"
115,"BE06_115",55,"F"
116,"BE06_116",23,"F"
117,"BE06_117",33,"F"
118,"BE06_118",2,"F"
119,"BE06_119",5,"F"
120,"BE06_120",46,"F"
121,"BE06_121",66,"M"
122,"BE06_122",48,"M"
123,"BE06_123",50,"F"
124,"BE06_124",50,"F"
125,"BE06_125",55,"M"
126,"BE06_126",25,"F"
127,"BE06_127",18,"F"
128,"BE06_128",45,"F"
129,"BE06_129",32,"F"
130,"BE06_130",34,"M"
132,"BE06_132",58,"F"
