part_id,type,participant_occupation,participant_occ_detail,participant_education,participant_edu_length,participant_school_year,participant_nationality,class_size,work_contacts,work_contacts_nr,child_care,child_relationship,child_nationality,problems
1,1,5,NA,3,12,NA,BE,NA,N,NA,NA,NA,NA,N
2,1,5,NA,7,15,NA,BE,NA,N,NA,NA,NA,NA,N
3,2,5,NA,NA,NA,8,BE,21,N,NA,NA,NA,NA,N
4,1,2,NA,3,12,NA,BE,NA,N,NA,NA,NA,NA,N
5,2,5,NA,NA,NA,5,BE,20,N,NA,NA,NA,NA,N
6,1,1,7,7,15,NA,BE,NA,Y,35,NA,NA,NA,N
7,1,1,7,2,9,NA,BE,NA,Y,50,NA,NA,NA,N
8,1,2,NA,1,6,NA,BE,NA,N,NA,NA,NA,NA,N
9,1,3,NA,3,12,NA,BE,NA,N,NA,NA,NA,NA,N
10,1,1,6,7,15,NA,BE,NA,N,NA,NA,NA,NA,N
11,2,5,NA,NA,NA,5,BE,26,N,NA,NA,NA,NA,N
12,1,1,7,3,12,NA,BE,NA,Y,30,NA,NA,NA,N
13,1,1,7,7,15,NA,BE,NA,Y,NA,NA,NA,NA,N
14,1,1,7,3,12,NA,BE,NA,N,NA,NA,NA,NA,N
15,1,1,7,3,12,NA,BE,NA,Y,50,NA,NA,NA,N
16,1,2,NA,7,15,NA,BE,NA,N,NA,NA,NA,NA,N
17,1,1,5,7,15,NA,BE,NA,Y,25,NA,NA,NA,N
18,1,3,NA,1,6,NA,BE,NA,N,NA,NA,NA,NA,N
19,1,1,7,7,15,NA,BE,NA,N,NA,NA,NA,NA,N
20,1,3,NA,4,12,NA,BE,NA,N,NA,NA,NA,NA,N
21,1,1,7,3,12,NA,BE,NA,N,NA,NA,NA,NA,N
22,1,4,NA,2,9,NA,BE,NA,N,NA,NA,NA,NA,N
23,1,2,NA,4,12,NA,BE,NA,N,NA,NA,NA,NA,N
24,1,2,NA,7,15,NA,BE,NA,N,NA,NA,NA,NA,Y
25,1,1,7,3,12,NA,BE,NA,Y,40,NA,NA,NA,N
26,1,1,7,7,15,NA,BE,NA,Y,3,NA,NA,NA,N
27,1,3,NA,4,12,NA,BE,NA,N,NA,NA,NA,NA,N
28,1,1,7,3,12,NA,BE,NA,Y,40,NA,NA,NA,N
29,1,1,8,4,12,NA,BE,NA,Y,35,NA,NA,NA,N
30,1,6,NA,7,15,NA,BE,NA,N,NA,NA,NA,NA,N
31,1,6,NA,4,12,NA,BE,NA,N,NA,NA,NA,NA,N
32,1,1,7,7,15,NA,BE,NA,Y,30,NA,NA,NA,N
33,1,3,NA,3,12,NA,BE,NA,N,NA,NA,NA,NA,N
34,1,3,NA,1,6,NA,BE,NA,N,NA,NA,NA,NA,N
35,1,1,7,7,15,NA,EU,NA,Y,40,NA,NA,NA,N
36,1,1,7,7,15,NA,BE,NA,Y,25,NA,NA,NA,N
37,1,1,7,7,15,NA,BE,NA,Y,NA,NA,NA,NA,N
38,1,2,NA,3,12,NA,BE,NA,N,NA,NA,NA,NA,N
39,1,1,5,7,15,NA,BE,NA,Y,10,NA,NA,NA,N
40,1,2,NA,7,15,NA,BE,NA,N,NA,NA,NA,NA,N
41,3,1,7,3,12,NA,BE,NA,NA,NA,Y,1,BE,N
42,1,2,NA,7,15,NA,BE,NA,N,NA,NA,NA,NA,N
43,2,5,NA,NA,NA,8,BE,23,N,NA,NA,NA,NA,N
44,1,2,NA,2,9,NA,BE,NA,N,NA,NA,NA,NA,N
45,1,2,NA,7,15,NA,BE,NA,N,NA,NA,NA,NA,N
46,1,3,NA,3,12,NA,BE,NA,N,NA,NA,NA,NA,N
47,1,4,NA,3,12,NA,BE,NA,N,NA,NA,NA,NA,N
48,2,5,NA,NA,NA,7,BE,NA,N,NA,NA,NA,NA,N
49,1,1,7,7,15,NA,BE,NA,Y,130,NA,NA,NA,N
50,1,2,NA,3,12,NA,BE,NA,N,NA,NA,NA,NA,N
51,1,1,6,7,15,NA,BE,NA,Y,10,NA,NA,NA,N
52,1,1,5,7,15,NA,BE,NA,Y,5,NA,NA,NA,N
53,1,2,NA,7,15,NA,BE,NA,N,NA,NA,NA,NA,N
54,1,1,8,3,12,NA,OT,NA,Y,60,NA,NA,NA,N
55,1,2,NA,2,9,NA,BE,NA,N,NA,NA,NA,NA,N
56,1,3,NA,4,12,NA,BE,NA,N,NA,NA,NA,NA,N
57,1,1,7,7,15,NA,BE,NA,N,NA,NA,NA,NA,N
58,1,1,7,7,15,NA,BE,NA,Y,30,NA,NA,NA,N
59,1,1,7,7,15,NA,BE,NA,N,NA,NA,NA,NA,N
60,1,1,7,7,15,NA,BE,NA,N,NA,NA,NA,NA,N
61,1,4,NA,7,15,NA,BE,NA,N,NA,NA,NA,NA,N
62,1,4,NA,3,12,NA,BE,NA,N,NA,NA,NA,NA,N
63,1,6,NA,7,15,NA,BE,NA,Y,90,NA,NA,NA,N
64,1,2,NA,2,9,NA,BE,NA,N,NA,NA,NA,NA,N
65,1,1,7,2,9,NA,BE,NA,Y,20,NA,NA,NA,N
66,1,2,NA,2,9,NA,BE,NA,N,NA,NA,NA,NA,N
67,1,2,NA,7,15,NA,BE,NA,N,NA,NA,NA,NA,N
68,1,6,NA,7,15,NA,BE,NA,N,NA,NA,NA,NA,N
69,1,1,8,4,12,NA,BE,NA,Y,80,NA,NA,NA,N
70,1,5,NA,3,12,NA,BE,NA,N,NA,NA,NA,NA,N
71,1,1,6,7,15,NA,BE,NA,Y,15,NA,NA,NA,N
72,3,1,8,3,12,NA,BE,NA,NA,NA,Y,2,BE,N
73,1,2,NA,2,9,NA,BE,NA,N,NA,NA,NA,NA,N
74,1,2,NA,4,12,NA,BE,NA,N,NA,NA,NA,NA,N
75,3,1,7,7,15,NA,BE,NA,NA,NA,Y,1,BE,N
76,1,5,NA,7,15,NA,BE,NA,N,NA,NA,NA,NA,N
77,1,1,7,7,15,NA,BE,NA,Y,10,NA,NA,NA,N
78,1,1,7,7,15,NA,BE,NA,Y,15,NA,NA,NA,N
79,1,4,NA,2,9,NA,BE,NA,N,NA,NA,NA,NA,N
80,1,2,NA,0,0,NA,BE,NA,N,NA,NA,NA,NA,N
