"part_id","sday_id","studyDay","day","month","year","dayofweek","holiday"
1,20060319,1,19,3,2006,0,0
2,20060316,1,16,3,2006,4,0
3,20060317,1,17,3,2006,5,0
4,20060319,1,19,3,2006,0,0
5,20060319,1,19,3,2006,0,0
6,20060318,1,18,3,2006,6,0
7,20060317,1,17,3,2006,5,0
8,20060317,1,17,3,2006,5,0
9,20060318,1,18,3,2006,6,0
10,20060318,1,18,3,2006,6,0
11,20060318,1,18,3,2006,6,0
12,20060317,1,17,3,2006,5,0
13,20060319,1,19,3,2006,0,0
14,20060317,1,17,3,2006,5,0
15,20060319,1,19,3,2006,0,0
16,20060317,1,17,3,2006,5,0
17,20060317,1,17,3,2006,5,0
18,20060317,1,17,3,2006,5,0
19,20060317,1,17,3,2006,5,0
20,20060317,1,17,3,2006,5,0
21,20060317,1,17,3,2006,5,0
22,20060315,1,15,3,2006,3,0
23,20060319,1,19,3,2006,0,0
24,20060318,1,18,3,2006,6,0
25,20060319,1,19,3,2006,0,0
26,20060318,1,18,3,2006,6,0
27,20060318,1,18,3,2006,6,0
28,20060318,1,18,3,2006,6,0
29,20060318,1,18,3,2006,6,0
30,20060318,1,18,3,2006,6,0
31,20060327,1,27,3,2006,1,0
32,20060318,1,18,3,2006,6,0
33,20060318,1,18,3,2006,6,0
34,20060318,1,18,3,2006,6,0
35,20060318,1,18,3,2006,6,0
36,20060318,1,18,3,2006,6,0
37,20060318,1,18,3,2006,6,0
38,20060318,1,18,3,2006,6,0
39,20060318,1,18,3,2006,6,0
40,20060319,1,19,3,2006,0,0
41,20060317,1,17,3,2006,5,0
42,20060315,1,15,3,2006,3,0
43,20060318,1,18,3,2006,6,0
44,20060318,1,18,3,2006,6,0
45,20060319,1,19,3,2006,0,0
46,20060319,1,19,3,2006,0,0
47,20060318,1,18,3,2006,6,0
48,20060319,1,19,3,2006,0,0
49,20060322,1,22,3,2006,3,0
50,20060323,1,23,3,2006,4,0
51,20060322,1,22,3,2006,3,0
52,20060319,1,19,3,2006,0,0
53,20060323,1,23,3,2006,4,0
54,20060324,1,24,3,2006,5,0
55,20060322,1,22,3,2006,3,0
56,20060324,1,24,3,2006,5,0
57,20060324,1,24,3,2006,5,0
58,20060324,1,24,3,2006,5,0
59,20060324,1,24,3,2006,5,0
60,20060323,1,23,3,2006,4,0
61,20060322,1,22,3,2006,3,0
62,20060324,1,24,3,2006,5,0
63,20060323,1,23,3,2006,4,0
64,20060322,1,22,3,2006,3,0
65,20060323,1,23,3,2006,4,0
66,20060322,1,22,3,2006,3,0
67,20060324,1,24,3,2006,5,0
68,20060324,1,24,3,2006,5,0
69,20060323,1,23,3,2006,4,0
70,20060318,1,18,3,2006,6,0
71,20060322,1,22,3,2006,3,0
72,20060324,1,24,3,2006,5,0
73,20060324,1,24,3,2006,5,0
74,20060324,1,24,3,2006,5,0
75,20060324,1,24,3,2006,5,0
76,20060324,1,24,3,2006,5,0
77,20060322,1,22,3,2006,3,0
78,20060323,1,23,3,2006,4,0
79,20060323,1,23,3,2006,4,0
80,20060324,1,24,3,2006,5,0
81,20060324,1,24,3,2006,5,0
82,20060317,1,17,3,2006,5,0
83,20060322,1,22,3,2006,3,0
84,20060324,1,24,3,2006,5,0
85,20060324,1,24,3,2006,5,0
86,20060323,1,23,3,2006,4,0
87,20060324,1,24,3,2006,5,0
88,20060322,1,22,3,2006,3,0
89,20060323,1,23,3,2006,4,0
90,20060323,1,23,3,2006,4,0
91,20060326,1,26,3,2006,0,0
92,20060324,1,24,3,2006,5,0
93,20060326,1,26,3,2006,0,0
94,20060323,1,23,3,2006,4,0
95,20060324,1,24,3,2006,5,0
96,20060324,1,24,3,2006,5,0
97,20060326,1,26,3,2006,0,0
98,20060322,1,22,3,2006,3,0
99,20060326,1,26,3,2006,0,0
100,20060326,1,26,3,2006,0,0
101,20060324,1,24,3,2006,5,0
102,20060324,1,24,3,2006,5,0
103,20060322,1,22,3,2006,3,0
104,20060324,1,24,3,2006,5,0
105,20060320,1,20,3,2006,1,0
106,20060324,1,24,3,2006,5,0
107,20060324,1,24,3,2006,5,0
108,20060324,1,24,3,2006,5,0
109,20060324,1,24,3,2006,5,0
110,20060317,1,17,3,2006,5,0
111,20060323,1,23,3,2006,4,0
112,20060318,1,18,3,2006,6,0
113,20060326,1,26,3,2006,0,0
114,20060326,1,26,3,2006,0,0
115,20060323,1,23,3,2006,4,0
116,20060318,1,18,3,2006,6,0
117,20060319,1,19,3,2006,0,0
118,20060319,1,19,3,2006,0,0
119,20060323,1,23,3,2006,4,0
120,20060322,1,22,3,2006,3,0
121,20060323,1,23,3,2006,4,0
122,20060326,1,26,3,2006,0,0
123,20060326,1,26,3,2006,0,0
124,20060326,1,26,3,2006,0,0
125,20060323,1,23,3,2006,4,0
126,20060324,1,24,3,2006,5,0
127,20060324,1,24,3,2006,5,0
128,20060323,1,23,3,2006,4,0
129,20060322,1,22,3,2006,3,0
130,20060326,1,26,3,2006,0,0
132,20060325,1,25,3,2006,6,0
133,20060328,1,28,3,2006,2,0
134,20060401,1,1,4,2006,6,1
135,20060329,1,29,3,2006,3,0
136,20060323,1,23,3,2006,4,0
137,20060401,1,1,4,2006,6,1
138,20060331,1,31,3,2006,5,0
139,20060323,1,23,3,2006,4,0
140,20060327,1,27,3,2006,1,0
141,20060405,1,5,4,2006,5,1
142,20060402,1,2,4,2006,0,1
143,20060326,1,26,3,2006,0,0
144,20060328,1,28,3,2006,2,0
145,20060324,1,24,3,2006,5,0
146,20060324,1,24,3,2006,5,0
147,20060318,1,18,3,2006,6,0
148,20060322,1,22,3,2006,3,0
149,20060323,1,23,3,2006,4,0
150,20060323,1,23,3,2006,4,0
151,20060409,1,9,4,2006,0,1
152,20060328,1,28,3,2006,2,0
153,20060402,1,2,4,2006,0,1
154,20060409,1,9,4,2006,0,1
155,20060324,1,24,3,2006,5,0
156,20060416,1,16,4,2006,0,1
157,20060416,1,16,4,2006,0,1
158,20060324,1,24,3,2006,5,0
159,20060318,1,18,3,2006,6,0
160,20060319,1,19,3,2006,0,0
161,20060405,1,5,4,2006,3,1
162,20060330,1,30,3,2006,4,0
163,20060331,1,31,3,2006,5,0
164,20060326,1,26,3,2006,0,0
165,20060331,1,31,3,2006,5,0
170,20060324,1,24,3,2006,5,0
190,20060320,1,20,3,2006,1,0
195,20060413,1,13,4,2006,4,1
199,20060331,1,31,3,2006,5,0
205,20060326,1,26,3,2006,0,0
206,20060326,1,26,3,2006,0,0
207,20060325,1,25,3,2006,6,0
208,20060326,1,26,3,2006,0,0
209,20060326,1,26,3,2006,0,0
210,20060326,1,26,3,2006,0,0
211,20060326,1,26,3,2006,0,0
212,20060322,1,22,3,2006,3,0
