hh_id,country,hh_size
TW1100105,TW,7
TW1100108,TW,4
TW1100118,TW,3
TW1100121,TW,7
TW1100126,TW,5
TW1100129,TW,2
TW1100130,TW,1
TW1100132,TW,3
TW1100145,TW,3
TW1100150,TW,4
TW1100152,TW,4
TW1100156,TW,2
TW1100159,TW,5
TW1100161,TW,5
TW1100162,TW,4
TW1100164,TW,4
TW1100167,TW,4
TW1100171,TW,5
TW1100173,TW,5
TW1100189,TW,3
TW1100301,TW,5
TW1100307,TW,3
TW1100308,TW,5
TW1100310,TW,4
TW1100311,TW,3
TW1100315,TW,1
TW1100318,TW,3
TW1100322,TW,4
TW1100324,TW,4
TW1100325,TW,5
TW1100330,TW,2
TW1100335,TW,5
TW1100338,TW,4
TW1100339,TW,4
TW1100341,TW,5
TW1100342,TW,2
TW1100343,TW,6
TW1100344,TW,6
TW1100350,TW,5
TW1100351,TW,4
TW1100352,TW,3
TW1100355,TW,7
TW1100356,TW,3
TW1100360,TW,3
TW1100367,TW,5
TW1100378,TW,4
TW1100379,TW,5
TW1100383,TW,6
TW1100384,TW,4
TW1100388,TW,6
TW1100390,TW,3
TW1106102,TW,1
TW1106105,TW,4
TW1106106,TW,5
TW1106111,TW,4
TW1106112,TW,2
TW1106117,TW,3
TW1106122,TW,2
TW1106123,TW,2
TW1106124,TW,4
TW1106125,TW,2
TW1106128,TW,1
TW1106132,TW,4
TW1106135,TW,7
TW1106138,TW,3
TW1106139,TW,5
TW1106141,TW,4
TW1106145,TW,6
TW1106147,TW,2
TW1106154,TW,4
TW1106159,TW,4
TW1106305,TW,4
TW1106306,TW,2
TW1106312,TW,2
TW1106313,TW,4
TW1106315,TW,5
TW1106318,TW,3
TW1106320,TW,5
TW1106324,TW,1
TW1106325,TW,3
TW1106327,TW,3
TW1106328,TW,3
TW1106332,TW,2
TW1106334,TW,2
TW1106336,TW,8
TW1106337,TW,4
TW1106344,TW,4
TW1106345,TW,3
TW1106348,TW,1
TW1106349,TW,6
TW1106355,TW,4
TW1106356,TW,4
TW1106358,TW,2
TW1106359,TW,3
TW1106360,TW,2
TW1106361,TW,3
TW1106362,TW,4
TW1110101,TW,2
TW1110103,TW,3
TW1110104,TW,5
TW1110105,TW,4
TW1110108,TW,3
TW1110110,TW,3
TW1110113,TW,4
TW1110115,TW,2
TW1110116,TW,3
TW1110117,TW,3
TW1110120,TW,5
TW1110122,TW,5
TW1110123,TW,4
TW1110128,TW,6
TW1110129,TW,4
TW1110132,TW,4
TW1110135,TW,3
TW1110137,TW,2
TW1110145,TW,4
TW1110146,TW,5
TW1110148,TW,3
TW1110153,TW,3
TW1110157,TW,2
TW1110160,TW,4
TW1110164,TW,4
TW1110165,TW,2
TW1110170,TW,3
TW1110304,TW,3
TW1110305,TW,4
TW1110307,TW,3
TW1110315,TW,5
TW1110316,TW,4
TW1110317,TW,4
TW1110318,TW,4
TW1110323,TW,3
TW1110325,TW,2
TW1110326,TW,4
TW1110331,TW,4
TW1110334,TW,2
TW1110335,TW,7
TW1110336,TW,3
TW1110337,TW,4
TW1110340,TW,5
TW1110343,TW,4
TW1110344,TW,5
TW1110345,TW,5
TW1110348,TW,3
TW1110356,TW,3
TW1110358,TW,3
TW1110359,TW,3
TW1110360,TW,4
TW1110361,TW,1
TW1110363,TW,3
TW1110366,TW,3
TW1114102,TW,3
TW1114105,TW,4
TW1114108,TW,5
TW1114110,TW,10
TW1114112,TW,4
TW1114114,TW,5
TW1114116,TW,5
TW1114127,TW,3
TW1114130,TW,5
TW1114137,TW,3
TW1114141,TW,3
TW1114147,TW,5
TW1114167,TW,4
TW1114171,TW,4
TW1114175,TW,3
TW1114177,TW,5
TW1114188,TW,6
TW1114192,TW,4
TW1114194,TW,5
TW1114195,TW,3
TW1114201,TW,9
TW1114203,TW,5
TW1114204,TW,7
TW1114205,TW,4
TW1114207,TW,4
TW1114211,TW,2
