hh_id,part_id,part_age,part_gender
TW1100105,1100105,47,M
TW1100108,1100108,45,F
TW1100118,1100118,77,F
TW1100121,1100121,43,F
TW1100126,1100126,11,M
TW1100129,1100129,71,F
TW1100130,1100130,80,F
TW1100132,1100132,37,F
TW1100145,1100145,30,M
TW1100150,1100150,22,M
TW1100152,1100152,13,F
TW1100156,1100156,27,F
TW1100159,1100159,49,M
TW1100161,1100161,42,M
TW1100162,1100162,41,M
TW1100164,1100164,9,M
TW1100167,1100167,8,M
TW1100171,1100171,14,F
TW1100173,1100173,59,M
TW1100189,1100189,50,F
TW1100301,1100301,19,M
TW1100307,1100307,40,F
TW1100308,1100308,51,F
TW1100310,1100310,48,F
TW1100311,1100311,32,F
TW1100315,1100315,35,M
TW1100318,1100318,40,M
TW1100322,1100322,57,M
TW1100324,1100324,7,M
TW1100325,1100325,36,M
TW1100330,1100330,31,M
TW1100335,1100335,20,F
TW1100338,1100338,51,F
TW1100339,1100339,25,M
TW1100341,1100341,41,M
TW1100342,1100342,89,M
TW1100343,1100343,51,F
TW1100344,1100344,11,M
TW1100350,1100350,39,F
TW1100351,1100351,25,M
TW1100352,1100352,57,F
TW1100355,1100355,29,M
TW1100356,1100356,3,M
TW1100360,1100360,16,M
TW1100367,1100367,4,F
TW1100378,1100378,89,M
TW1100379,1100379,17,F
TW1100383,1100383,49,F
TW1100384,1100384,20,F
TW1100388,1100388,74,F
TW1100390,1100390,50,F
TW1106102,1106102,47,F
TW1106105,1106105,62,F
TW1106106,1106106,56,M
TW1106111,1106111,10,F
TW1106112,1106112,61,M
TW1106117,1106117,59,M
TW1106122,1106122,75,M
TW1106123,1106123,35,F
TW1106124,1106124,69,F
TW1106125,1106125,46,F
TW1106128,1106128,33,M
TW1106132,1106132,55,M
TW1106135,1106135,12,M
TW1106138,1106138,63,M
TW1106139,1106139,34,F
TW1106141,1106141,8,F
TW1106145,1106145,3,M
TW1106147,1106147,58,M
TW1106154,1106154,51,M
TW1106159,1106159,9,F
TW1106305,1106305,5,F
TW1106306,1106306,77,F
TW1106312,1106312,79,M
TW1106313,1106313,36,M
TW1106315,1106315,47,F
TW1106318,1106318,2,F
TW1106320,1106320,12,F
TW1106324,1106324,62,M
TW1106325,1106325,44,M
TW1106327,1106327,54,F
TW1106328,1106328,52,M
TW1106332,1106332,55,F
TW1106334,1106334,82,F
TW1106336,1106336,36,F
TW1106337,1106337,65,M
TW1106344,1106344,59,F
TW1106345,1106345,89,M
TW1106348,1106348,57,F
TW1106349,1106349,36,M
TW1106355,1106355,24,F
TW1106356,1106356,33,M
TW1106358,1106358,59,F
TW1106359,1106359,7,F
TW1106360,1106360,27,M
TW1106361,1106361,24,F
TW1106362,1106362,26,M
TW1110101,1110101,62,M
TW1110103,1110103,61,M
TW1110104,1110104,51,F
TW1110105,1110105,54,F
TW1110108,1110108,45,F
TW1110110,1110110,10,F
TW1110113,1110113,2,M
TW1110115,1110115,68,F
TW1110116,1110116,11,F
TW1110117,1110117,13,M
TW1110120,1110120,19,F
TW1110122,1110122,6,F
TW1110123,1110123,37,M
TW1110128,1110128,16,F
TW1110129,1110129,57,M
TW1110132,1110132,10,F
TW1110135,1110135,70,M
TW1110137,1110137,89,F
TW1110145,1110145,44,F
TW1110146,1110146,32,F
TW1110148,1110148,68,F
TW1110153,1110153,82,M
TW1110157,1110157,68,M
TW1110160,1110160,30,F
TW1110164,1110164,32,M
TW1110165,1110165,52,F
TW1110170,1110170,61,F
TW1110304,1110304,74,M
TW1110305,1110305,32,F
TW1110307,1110307,25,F
TW1110315,1110315,19,F
TW1110316,1110316,36,M
TW1110317,1110317,70,M
TW1110318,1110318,53,F
TW1110323,1110323,33,M
TW1110325,1110325,38,F
TW1110326,1110326,68,M
TW1110331,1110331,18,M
TW1110334,1110334,70,F
TW1110335,1110335,12,F
TW1110336,1110336,22,M
TW1110337,1110337,48,F
TW1110340,1110340,12,M
TW1110343,1110343,63,F
TW1110344,1110344,17,M
TW1110345,1110345,19,F
TW1110348,1110348,62,F
TW1110356,1110356,26,M
TW1110358,1110358,53,F
TW1110359,1110359,83,M
TW1110360,1110360,17,F
TW1110361,1110361,48,F
TW1110363,1110363,19,M
TW1110366,1110366,20,M
TW1114102,1114102,32,F
TW1114105,1114105,48,F
TW1114108,1114108,70,M
TW1114110,1114110,63,M
TW1114112,1114112,12,M
TW1114114,1114114,76,M
TW1114116,1114116,29,M
TW1114127,1114127,27,M
TW1114130,1114130,19,F
TW1114137,1114137,27,M
TW1114141,1114141,52,M
TW1114147,1114147,59,F
TW1114167,1114167,32,M
TW1114171,1114171,6,M
TW1114175,1114175,50,F
TW1114177,1114177,50,F
TW1114188,1114188,84,M
TW1114192,1114192,42,M
TW1114194,1114194,55,F
TW1114195,1114195,61,F
TW1114201,1114201,53,F
TW1114203,1114203,12,M
TW1114204,1114204,82,F
TW1114205,1114205,57,F
TW1114207,1114207,57,M
TW1114211,1114211,25,M
TW1114214,1114214,56,F
TW1114216,1114216,78,M
TW1114219,1114219,59,F
TW1114220,1114220,58,M
TW1114302,1114302,31,M
TW1114304,1114304,34,F
TW1114307,1114307,48,F
TW1114311,1114311,13,M
TW1114315,1114315,7,F
TW1114321,1114321,53,M
TW1114329,1114329,31,M
TW1114330,1114330,59,F
TW1114331,1114331,4,M
TW1114332,1114332,63,M
TW1114333,1114333,52,F
TW1114335,1114335,74,M
TW1114337,1114337,50,F
TW1114338,1114338,15,F
TW1114351,1114351,33,F
TW1114362,1114362,56,F
TW1114367,1114367,45,F
TW1114369,1114369,60,M
TW1114370,1114370,45,F
TW1114371,1114371,6,M
TW1114372,1114372,8,M
TW1114385,1114385,17,F
TW1114390,1114390,35,F
TW1114391,1114391,47,M
TW1114394,1114394,18,F
TW1114396,1114396,10,M
TW1114409,1114409,78,M
TW1114410,1114410,63,F
TW1114419,1114419,54,M
TW1114420,1114420,63,M
TW1205106,1205106,44,M
TW1205107,1205107,55,M
TW1205109,1205109,13,M
TW1205115,1205115,33,F
TW1205116,1205116,3,M
TW1205119,1205119,8,M
TW1205120,1205120,18,F
TW1205122,1205122,23,F
TW1205123,1205123,23,F
TW1205126,1205126,48,M
TW1205129,1205129,48,M
TW1205135,1205135,32,F
TW1205143,1205143,18,F
TW1205152,1205152,56,M
TW1205154,1205154,43,F
TW1205156,1205156,57,M
TW1205157,1205157,53,M
TW1205158,1205158,19,F
TW1205165,1205165,26,F
TW1205172,1205172,35,F
TW1205176,1205176,13,F
TW1205301,1205301,47,M
TW1205302,1205302,57,M
TW1205304,1205304,45,M
TW1205305,1205305,12,F
TW1205306,1205306,20,F
TW1205309,1205309,40,M
TW1205310,1205310,2,F
TW1205313,1205313,40,M
TW1205316,1205316,70,F
TW1205321,1205321,17,F
TW1205325,1205325,35,M
TW1205328,1205328,32,F
TW1205329,1205329,34,M
TW1205332,1205332,55,M
TW1205334,1205334,41,M
TW1205335,1205335,42,F
TW1205336,1205336,4,F
TW1205341,1205341,17,F
TW1205342,1205342,25,M
TW1205347,1205347,35,F
TW1205348,1205348,19,M
TW1205353,1205353,48,M
TW1205355,1205355,66,F
TW1205358,1205358,37,M
TW1205362,1205362,36,M
TW1205363,1205363,13,M
TW1205374,1205374,42,M
TW1205376,1205376,75,F
TW1205377,1205377,1,F
TW1205378,1205378,27,M
TW1220102,1220102,73,F
TW1220106,1220106,20,M
TW1220108,1220108,66,F
TW1220111,1220111,13,F
TW1220117,1220117,14,M
TW1220119,1220119,16,F
TW1220121,1220121,24,F
TW1220124,1220124,53,M
TW1220129,1220129,18,F
TW1220131,1220131,34,M
TW1220134,1220134,12,M
TW1220135,1220135,11,F
TW1220136,1220136,1,M
TW1220138,1220138,29,M
TW1220144,1220144,62,F
TW1220145,1220145,53,M
TW1220148,1220148,38,F
TW1220151,1220151,15,M
TW1220152,1220152,62,F
TW1220154,1220154,3,M
TW1220160,1220160,55,M
TW1220302,1220302,65,M
TW1220303,1220303,30,M
TW1220306,1220306,27,M
TW1220307,1220307,8,F
TW1220309,1220309,3,F
