part_id,part_city,part_job,part_edu,part_ethnic,part_religion,part_urban
1100105,Taipei City,3,4,3,6,TRUE
1100108,Taipei City,3,4,3,5,TRUE
1100118,Taipei City,9,2,1,4,TRUE
1100121,Taipei City,-2,4,1,3,TRUE
1100126,Taipei City,2,2,3,5,TRUE
1100129,Taipei City,7,3,1,6,TRUE
1100130,Taipei City,7,3,1,5,TRUE
1100132,Taipei City,3,4,3,5,TRUE
1100145,Taipei City,5,4,1,5,TRUE
1100150,Taipei City,2,4,1,5,TRUE
1100152,Taipei City,2,2,1,5,TRUE
1100156,Taipei County,3,4,1,5,TRUE
1100159,Taipei City,3,4,1,5,TRUE
1100161,Taipei City,4,3,3,5,TRUE
1100162,Taipei City,4,3,1,6,TRUE
1100164,Taipei City,2,2,1,5,TRUE
1100167,Taipei County,2,2,1,5,TRUE
1100171,Taipei City,2,2,1,6,TRUE
1100173,Taipei City,4,4,3,4,TRUE
1100189,Taipei City,7,3,1,4,TRUE
1100301,Taipei City,2,4,3,5,TRUE
1100307,Taipei City,3,3,1,6,TRUE
1100308,Taipei City,3,3,1,6,TRUE
1100310,Taipei City,3,3,3,4,TRUE
1100311,Taipei City,3,4,1,3,TRUE
1100315,Taipei City,3,4,1,6,TRUE
1100318,Taipei City,3,4,3,5,TRUE
1100322,Taipei City,8,3,1,6,TRUE
1100324,Taipei City,8,2,1,6,TRUE
1100325,Taipei City,3,4,1,4,TRUE
1100330,Taipei City,3,4,1,6,TRUE
1100335,Taipei City,2,4,1,5,TRUE
1100338,Taipei City,3,2,1,6,TRUE
1100339,Taipei City,3,4,3,4,TRUE
1100341,Taipei City,5,3,1,6,TRUE
1100342,Taipei City,6,1,3,5,TRUE
1100343,Taipei City,3,3,1,6,TRUE
1100344,Taipei City,2,2,1,6,TRUE
1100350,Taipei City,3,3,2,6,TRUE
1100351,Taipei City,2,4,1,5,TRUE
1100352,Taipei City,7,2,2,6,TRUE
1100355,Taipei City,3,4,3,6,TRUE
1100356,Taipei County,1,1,3,5,TRUE
1100360,Taipei City,2,3,1,6,TRUE
1100367,Taipei City,1,1,1,6,TRUE
1100378,Taipei City,8,3,3,4,TRUE
1100379,Taipei City,2,3,2,6,TRUE
1100383,Taipei City,4,2,1,6,TRUE
1100384,Taipei City,2,4,1,5,TRUE
1100388,Taipei City,7,2,2,6,TRUE
1100390,Taipei City,4,3,3,3,TRUE
1106102,Taipei County,3,3,1,5,TRUE
1106105,Taipei City,3,4,1,4,TRUE
1106106,Taipei City,8,4,3,4,TRUE
1106111,Taipei City,2,2,2,5,TRUE
1106112,Taipei City,4,4,1,5,TRUE
1106117,Taipei City,3,4,1,5,TRUE
1106122,Taipei City,4,4,1,5,TRUE
1106123,Taipei County,4,4,1,5,FALSE
1106124,Taipei City,8,4,3,4,TRUE
1106125,Taipei City,4,3,1,4,TRUE
1106128,Taipei City,3,4,1,3,TRUE
1106132,Taipei City,3,4,3,3,TRUE
1106135,Taipei City,2,2,1,3,TRUE
1106138,Taipei City,8,4,1,5,TRUE
1106139,Taipei City,3,4,1,6,TRUE
1106141,Taipei City,2,2,1,-1,TRUE
1106145,Taipei City,1,1,1,5,TRUE
1106147,Taipei City,3,4,1,5,TRUE
1106154,Taipei County,3,4,1,5,TRUE
1106159,Taipei City,2,2,1,5,TRUE
1106305,Taipei City,1,1,1,5,TRUE
1106306,Taipei City,7,3,1,4,TRUE
1106312,Taipei City,8,3,1,5,TRUE
1106313,Taipei City,4,4,2,5,TRUE
1106315,Taipei City,3,4,1,4,TRUE
1106318,Taipei City,1,1,2,5,TRUE
1106320,Taipei City,2,2,3,3,TRUE
1106324,Taipei City,8,2,1,4,TRUE
1106325,Taipei City,3,3,3,4,TRUE
1106327,Taipei City,3,4,3,4,TRUE
1106328,Taipei City,9,3,3,4,TRUE
1106332,Taipei City,8,3,3,4,TRUE
1106334,Taipei City,7,1,1,4,TRUE
1106336,Taipei City,3,4,3,5,TRUE
1106337,Taipei City,8,4,3,4,TRUE
1106344,Taipei City,7,4,3,3,TRUE
1106345,Taipei City,8,4,3,5,TRUE
1106348,Taipei City,4,3,3,4,TRUE
1106349,Taipei City,4,3,1,5,TRUE
1106355,Taipei City,2,4,1,5,TRUE
1106356,Taipei City,3,4,1,5,TRUE
1106358,Taipei City,3,4,2,4,TRUE
1106359,Taipei City,1,1,1,5,TRUE
1106360,Taipei City,3,4,3,4,TRUE
1106361,Taipei City,4,4,1,6,TRUE
1106362,Taipei County,3,4,1,5,TRUE
1110101,Taipei City,3,3,1,4,TRUE
1110103,Taipei City,3,3,1,6,TRUE
1110104,Taipei City,5,2,1,6,TRUE
1110105,Taipei City,7,4,5,3,TRUE
1110108,Taipei City,3,4,3,3,TRUE
1110110,Taipei City,2,2,1,-1,TRUE
1110113,Taipei City,1,1,1,5,TRUE
1110115,Taipei City,7,2,1,6,TRUE
1110116,Taipei City,2,2,3,4,TRUE
1110117,Taipei City,2,2,1,5,TRUE
1110120,Taipei City,4,3,1,5,TRUE
1110122,Taipei City,1,1,1,3,TRUE
1110123,Taipei City,5,3,3,6,TRUE
1110128,Taipei City,2,2,3,5,TRUE
1110129,Taipei City,3,3,3,4,TRUE
1110132,Taipei City,2,2,1,4,TRUE
1110135,Taipei City,8,3,1,3,TRUE
1110137,Taipei City,8,3,3,3,TRUE
1110145,Taipei City,3,3,1,5,TRUE
1110146,Taipei City,2,4,3,4,TRUE
1110148,Taipei City,7,3,1,4,TRUE
1110153,Taipei City,8,3,1,6,TRUE
1110157,Taipei City,8,4,3,3,TRUE
1110160,Taipei City,3,4,3,5,TRUE
1110164,Taipei City,4,3,1,5,TRUE
1110165,Taipei City,3,4,1,5,TRUE
1110170,Taipei City,7,3,3,6,TRUE
1110304,Taipei City,8,2,2,6,TRUE
1110305,Taipei City,3,4,1,5,TRUE
1110307,Taipei City,3,4,1,5,TRUE
1110315,Taipei City,2,3,1,5,TRUE
1110316,Taipei City,3,4,3,4,TRUE
1110317,Taipei City,8,4,3,3,TRUE
1110318,Taipei City,4,3,3,5,TRUE
1110323,Taipei City,3,4,1,5,TRUE
1110325,Taipei City,3,4,1,5,TRUE
1110326,Taipei City,8,2,1,6,TRUE
1110331,Taipei City,2,4,1,5,TRUE
1110334,Taipei City,7,2,2,4,TRUE
1110335,Taipei City,2,2,1,6,TRUE
1110336,Taipei City,10,3,1,5,TRUE
1110337,Taipei City,3,4,2,6,TRUE
