part_id,sday_id,day,month,year,dayofweek
1100105,20100617,17,6,2010,4
1100108,20100611,11,6,2010,5
1100118,20100611,11,6,2010,5
1100121,20100615,15,6,2010,2
1100126,20100611,11,6,2010,5
1100129,20100616,16,6,2010,3
1100130,20100611,11,6,2010,5
1100132,20100622,22,6,2010,2
1100145,20100615,15,6,2010,2
1100150,20100610,10,6,2010,4
1100152,20100608,8,6,2010,2
1100156,20100620,20,6,2010,0
1100159,20100608,8,6,2010,2
1100161,20100625,25,6,2010,5
1100162,20100613,13,6,2010,0
1100164,20100610,10,6,2010,4
1100167,20100617,17,6,2010,4
1100171,20100610,10,6,2010,4
1100173,20100629,29,6,2010,2
1100189,20100608,8,6,2010,2
1100301,20100606,6,6,2010,0
1100307,20100601,1,6,2010,2
1100308,20100604,4,6,2010,5
1100310,20100605,5,6,2010,6
1100311,20100601,1,6,2010,2
1100315,20100604,4,6,2010,5
1100318,20100604,4,6,2010,5
1100322,20100604,4,6,2010,5
1100324,20100607,7,6,2010,1
1100325,20100611,11,6,2010,5
1100330,20100605,5,6,2010,6
1100335,20100604,4,6,2010,5
1100338,20100630,30,6,2010,3
1100339,20100531,31,5,2010,1
1100341,20100605,5,6,2010,6
1100342,20100531,31,5,2010,1
1100343,20100604,4,6,2010,5
1100344,20100604,4,6,2010,5
1100350,20100703,3,7,2010,6
1100351,20100703,3,7,2010,6
1100352,20100602,2,6,2010,3
1100355,20100605,5,6,2010,6
1100356,20100609,9,6,2010,3
1100360,20100530,30,5,2010,0
1100367,20100530,30,5,2010,0
1100378,20100605,5,6,2010,6
1100379,20100607,7,6,2010,1
1100383,20100630,30,6,2010,3
1100384,20100701,1,7,2010,4
1100388,20100602,2,6,2010,3
1100390,20100605,5,6,2010,6
1106102,20100701,1,7,2010,4
1106105,20100627,27,6,2010,0
1106106,20100605,5,6,2010,6
1106111,20100626,26,6,2010,6
1106112,20100604,4,6,2010,5
1106117,20100625,25,6,2010,5
1106122,20100603,3,6,2010,4
1106123,20100621,21,6,2010,1
1106124,20100606,6,6,2010,0
1106125,20100621,21,6,2010,1
1106128,20100625,25,6,2010,5
1106132,20100702,2,7,2010,5
1106135,20100622,22,6,2010,2
1106138,20100609,9,6,2010,3
1106139,20100704,4,7,2010,0
1106141,20100629,29,6,2010,2
1106145,20100701,1,7,2010,4
1106147,20100702,2,7,2010,5
1106154,20100616,16,6,2010,3
1106159,20100611,11,6,2010,5
1106305,20100627,27,6,2010,0
1106306,20100608,8,6,2010,2
1106312,20100601,1,6,2010,2
1106313,20100606,6,6,2010,0
1106315,20100608,8,6,2010,2
1106318,20100629,29,6,2010,2
1106320,20100615,15,6,2010,2
1106324,20100612,12,6,2010,6
1106325,20100605,5,6,2010,6
1106327,20100614,14,6,2010,1
1106328,20100530,30,5,2010,0
1106332,20100616,16,6,2010,3
1106334,20100531,31,5,2010,1
1106336,20100615,15,6,2010,2
1106337,20100602,2,6,2010,3
1106344,20100530,30,5,2010,0
1106345,20100531,31,5,2010,1
1106348,20100602,2,6,2010,3
1106349,20100615,15,6,2010,2
1106355,20100615,15,6,2010,2
1106356,20100627,27,6,2010,0
1106358,20100623,23,6,2010,3
1106359,20100616,16,6,2010,3
1106360,20100617,17,6,2010,4
1106361,20100622,22,6,2010,2
1106362,20100623,23,6,2010,3
1110101,20100603,3,6,2010,4
1110103,20100603,3,6,2010,4
1110104,20100603,3,6,2010,4
1110105,20100603,3,6,2010,4
1110108,20100610,10,6,2010,4
1110110,20100603,3,6,2010,4
1110113,20100610,10,6,2010,4
1110115,20100531,31,5,2010,1
1110116,20100605,5,6,2010,6
1110117,20100612,12,6,2010,6
1110120,20100615,15,6,2010,2
1110122,20100605,5,6,2010,6
1110123,20100702,2,7,2010,5
1110128,20100702,2,7,2010,5
1110129,20100605,5,6,2010,6
1110132,20100612,12,6,2010,6
1110135,20100605,5,6,2010,6
1110137,20100605,5,6,2010,6
1110145,20100612,12,6,2010,6
1110146,20100615,15,6,2010,2
1110148,20100612,12,6,2010,6
1110153,20100608,8,6,2010,2
1110157,20100612,12,6,2010,6
1110160,20100702,2,7,2010,5
1110164,20100613,13,6,2010,0
1110165,20100613,13,6,2010,0
1110170,20100608,8,6,2010,2
1110304,20100618,18,6,2010,5
1110305,20100619,19,6,2010,6
1110307,20100618,18,6,2010,5
1110315,20100622,22,6,2010,2
1110316,20100626,26,6,2010,6
1110317,20100628,28,6,2010,1
1110318,20100626,26,6,2010,6
1110323,20100628,28,6,2010,1
1110325,20100623,23,6,2010,3
1110326,20100619,19,6,2010,6
1110331,20100625,25,6,2010,5
1110334,20100530,30,5,2010,0
1110335,20100619,19,6,2010,6
1110336,20100530,30,5,2010,0
1110337,20100602,2,6,2010,3
1110340,20100619,19,6,2010,6
1110343,20100607,7,6,2010,1
1110344,20100626,26,6,2010,6
1110345,20100627,27,6,2010,0
1110348,20100602,2,6,2010,3
1110356,20100618,18,6,2010,5
1110358,20100606,6,6,2010,0
1110359,20100627,27,6,2010,0
1110360,20100606,6,6,2010,0
1110361,20100623,23,6,2010,3
1110363,20100625,25,6,2010,5
1110366,20100625,25,6,2010,5
1114102,20100604,4,6,2010,5
1114105,20100613,13,6,2010,0
1114108,20100602,2,6,2010,3
1114110,20100530,30,5,2010,0
1114112,20100531,31,5,2010,1
1114114,20100602,2,6,2010,3
1114116,20100608,8,6,2010,2
1114127,20100612,12,6,2010,6
1114130,20100605,5,6,2010,6
1114137,20100603,3,6,2010,4
1114141,20100605,5,6,2010,6
1114147,20100608,8,6,2010,2
1114167,20100602,2,6,2010,3
1114171,20100607,7,6,2010,1
1114175,20100604,4,6,2010,5
1114177,20100531,31,5,2010,1
1114188,20100531,31,5,2010,1
1114192,20100604,4,6,2010,5
1114194,20100603,3,6,2010,4
1114195,20100603,3,6,2010,4
1114201,20100608,8,6,2010,2
1114203,20100603,3,6,2010,4
1114204,20100531,31,5,2010,1
1114205,20100607,7,6,2010,1
1114207,20100607,7,6,2010,1
1114211,20100613,13,6,2010,0
1114214,20100531,31,5,2010,1
1114216,20100531,31,5,2010,1
1114219,20100601,1,6,2010,2
1114220,20100601,1,6,2010,2
1114302,20100613,13,6,2010,0
1114304,20100623,23,6,2010,3
1114307,20100618,18,6,2010,5
1114311,20100623,23,6,2010,3
1114315,20100614,14,6,2010,1
1114321,20100614,14,6,2010,1
1114329,20100618,18,6,2010,5
1114330,20100609,9,6,2010,3
1114331,20100616,16,6,2010,3
1114332,20100616,16,6,2010,3
1114333,20100621,21,6,2010,1
1114335,20100609,9,6,2010,3
1114337,20100616,16,6,2010,3
1114338,20100622,22,6,2010,2
1114351,20100617,17,6,2010,4
1114362,20100617,17,6,2010,4
1114367,20100618,18,6,2010,5
1114369,20100619,19,6,2010,6
1114370,20100622,22,6,2010,2
1114371,20100618,18,6,2010,5
1114372,20100621,21,6,2010,1
1114385,20100618,18,6,2010,5
1114390,20100618,18,6,2010,5
1114391,20100618,18,6,2010,5
1114394,20100614,14,6,2010,1
1114396,20100614,14,6,2010,1
1114409,20100621,21,6,2010,1
1114410,20100612,12,6,2010,6
1114419,20100611,11,6,2010,5
1114420,20100621,21,6,2010,1
1205106,20100618,18,6,2010,5
1205107,20100710,10,7,2010,6
1205109,20100629,29,6,2010,2
1205115,20100625,25,6,2010,5
1205116,20100606,6,6,2010,0
1205119,20100614,14,6,2010,1
1205120,20100618,18,6,2010,5
1205122,20100618,18,6,2010,5
1205123,20100627,27,6,2010,0
1205126,20100618,18,6,2010,5
1205129,20100615,15,6,2010,2
1205135,20100706,6,7,2010,2
1205143,20100627,27,6,2010,0
1205152,20100614,14,6,2010,1
1205154,20100614,14,6,2010,1
1205156,20100627,27,6,2010,0
1205157,20100601,1,6,2010,2
1205158,20100705,5,7,2010,1
1205165,20100609,9,6,2010,3
1205172,20100617,17,6,2010,4
1205176,20100706,6,7,2010,2
1205301,20100611,11,6,2010,5
1205302,20100611,11,6,2010,5
1205304,20100618,18,6,2010,5
1205305,20100601,1,6,2010,2
1205306,20100609,9,6,2010,3
1205309,20100623,23,6,2010,3
1205310,20100623,23,6,2010,3
1205313,20100616,16,6,2010,3
1205316,20100703,3,7,2010,6
1205321,20100707,7,7,2010,3
1205325,20100610,10,6,2010,4
1205328,20100617,17,6,2010,4
1205329,20100606,6,6,2010,0
1205332,20100606,6,6,2010,0
1205334,20100609,9,6,2010,3
1205335,20100609,9,6,2010,3
1205336,20100610,10,6,2010,4
1205341,20100611,11,6,2010,5
1205342,20100609,9,6,2010,3
1205347,20100611,11,6,2010,5
1205348,20100703,3,7,2010,6
1205353,20100703,3,7,2010,6
1205355,20100627,27,6,2010,0
1205358,20100627,27,6,2010,0
1205362,20100618,18,6,2010,5
1205363,20100707,7,7,2010,3
1205374,20100615,15,6,2010,2
1205376,20100601,1,6,2010,2
1205377,20100531,31,5,2010,1
1205378,20100613,13,6,2010,0
1220102,20100610,10,6,2010,4
1220106,20100619,19,6,2010,6
1220108,20100620,20,6,2010,0
1220111,20100623,23,6,2010,3
1220117,20100701,1,7,2010,4
1220119,20100626,26,6,2010,6
1220121,20100530,30,5,2010,0
1220124,20100620,20,6,2010,0
1220129,20100617,17,6,2010,4
1220131,20100604,4,6,2010,5
1220134,20100619,19,6,2010,6
1220135,20100624,24,6,2010,4
1220136,20100619,19,6,2010,6
1220138,20100624,24,6,2010,4
1220144,20100614,14,6,2010,1
1220145,20100616,16,6,2010,3
1220148,20100614,14,6,2010,1
1220151,20100619,19,6,2010,6
1220152,20100621,21,6,2010,1
1220154,20100619,19,6,2010,6
1220160,20100619,19,6,2010,6
1220302,20100602,2,6,2010,3
1220303,20100602,2,6,2010,3
1220306,20100603,3,6,2010,4
1220307,20100622,22,6,2010,2
1220309,20100622,22,6,2010,2
1220310,20100630,30,6,2010,3
1220313,20100702,2,7,2010,5
1220316,20100630,30,6,2010,3
1220317,20100605,5,6,2010,6
1220318,20100606,6,6,2010,0
1220319,20100702,2,7,2010,5
1220322,20100615,15,6,2010,2
1220323,20100605,5,6,2010,6
1220324,20100620,20,6,2010,0
1220325,20100615,15,6,2010,2
1220327,20100611,11,6,2010,5
1220328,20100611,11,6,2010,5
1220337,20100605,5,6,2010,6
1220338,20100605,5,6,2010,6
1220342,20100607,7,6,2010,1
1220345,20100608,8,6,2010,2
1220350,20100605,5,6,2010,6
1220351,20100605,5,6,2010,6
1220353,20100531,31,5,2010,1
1220355,20100615,15,6,2010,2
1220356,20100626,26,6,2010,6
1220358,20100607,7,6,2010,1
1221101,20100618,18,6,2010,5
1221102,20100625,25,6,2010,5
1221105,20100625,25,6,2010,5
1221108,20100618,18,6,2010,5
1221109,20100618,18,6,2010,5
1221110,20100622,22,6,2010,2
1221115,20100530,30,5,2010,0
1221119,20100622,22,6,2010,2
1221122,20100530,30,5,2010,0
1221125,20100628,28,6,2010,1
1221128,20100703,3,7,2010,6
1221130,20100615,15,6,2010,2
1221132,20100618,18,6,2010,5
1221135,20100716,16,7,2010,5
1221136,20100629,29,6,2010,2
1221137,20100611,11,6,2010,5
1221140,20100611,11,6,2010,5
1221141,20100611,11,6,2010,5
1221145,20100702,2,7,2010,5
1221148,20100604,4,6,2010,5
1221149,20100629,29,6,2010,2
1221155,20100617,17,6,2010,4
1221156,20100625,25,6,2010,5
1221161,20100625,25,6,2010,5
1221162,20100607,7,6,2010,1
1221163,20100703,3,7,2010,6
1221164,20100607,7,6,2010,1
1221167,20100617,17,6,2010,4
1221172,20100602,2,6,2010,3
1221175,20100611,11,6,2010,5
1221178,20100611,11,6,2010,5
1221184,20100710,10,7,2010,6
1221190,20100615,15,6,2010,2
1221306,20100712,12,7,2010,1
1221312,20100716,16,7,2010,5
1221316,20100711,11,7,2010,0
1221317,20100717,17,7,2010,6
1221322,20100716,16,7,2010,5
1221325,20100629,29,6,2010,2
1221326,20100629,29,6,2010,2
1221331,20100716,16,7,2010,5
1221333,20100716,16,7,2010,5
1221335,20100629,29,6,2010,2
1221337,20100623,23,6,2010,3
1221340,20100623,23,6,2010,3
1221341,20100711,11,7,2010,0
1221342,20100623,23,6,2010,3
1221343,20100711,11,7,2010,0
1221345,20100712,12,7,2010,1
1221349,20100530,30,5,2010,0
1221351,20100602,2,6,2010,3
1221358,20100711,11,7,2010,0
1221359,20100711,11,7,2010,0
1221364,20100703,3,7,2010,6
1221368,20100710,10,7,2010,6
1221369,20100703,3,7,2010,6
1221370,20100530,30,5,2010,0
1221372,20100710,10,7,2010,6
1221374,20100703,3,7,2010,6
1221375,20100710,10,7,2010,6
1221377,20100711,11,7,2010,0
1221378,20100719,19,7,2010,1
1221380,20100701,1,7,2010,4
1221381,20100711,11,7,2010,0
1221382,20100701,1,7,2010,4
1221383,20100717,17,7,2010,6
1221384,20100701,1,7,2010,4
1221385,20100701,1,7,2010,4
1221389,20100629,29,6,2010,2
1241101,20100611,11,6,2010,5
1241106,20100626,26,6,2010,6
1241107,20100625,25,6,2010,5
1241111,20100623,23,6,2010,3
1241112,20100611,11,6,2010,5
1241117,20100623,23,6,2010,3
1241121,20100618,18,6,2010,5
1241122,20100618,18,6,2010,5
1241123,20100611,11,6,2010,5
1241127,20100620,20,6,2010,0
1241129,20100623,23,6,2010,3
1241132,20100604,4,6,2010,5
1241135,20100602,2,6,2010,3
1241136,20100602,2,6,2010,3
1241138,20100604,4,6,2010,5
1241141,20100618,18,6,2010,5
1241142,20100623,23,6,2010,3
1241145,20100604,4,6,2010,5
1241146,20100602,2,6,2010,3
1241147,20100529,29,5,2010,6
1241148,20100604,4,6,2010,5
1241153,20100612,12,6,2010,6
1241155,20100531,31,5,2010,1
1241308,20100610,10,6,2010,4
1241309,20100611,11,6,2010,5
1241311,20100618,18,6,2010,5
1241314,20100610,10,6,2010,4
1241317,20100607,7,6,2010,1
1241319,20100605,5,6,2010,6
1241321,20100616,16,6,2010,3
1241322,20100605,5,6,2010,6
1241323,20100618,18,6,2010,5
1241324,20100618,18,6,2010,5
1241325,20100625,25,6,2010,5
1241327,20100618,18,6,2010,5
1241328,20100616,16,6,2010,3
1241329,20100616,16,6,2010,3
1241336,20100602,2,6,2010,3
1241337,20100601,1,6,2010,2
1241339,20100601,1,6,2010,2
1241340,20100616,16,6,2010,3
1241341,20100611,11,6,2010,5
1241343,20100605,5,6,2010,6
1241345,20100605,5,6,2010,6
1241351,20100616,16,6,2010,3
1241355,20100616,16,6,2010,3
1241356,20100610,10,6,2010,4
1242104,20100619,19,6,2010,6
1242106,20100619,19,6,2010,6
1242107,20100618,18,6,2010,5
1242108,20100619,19,6,2010,6
1242113,20100613,13,6,2010,0
1242120,20100617,17,6,2010,4
1242121,20100617,17,6,2010,4
1242122,20100617,17,6,2010,4
1242129,20100605,5,6,2010,6
1242130,20100530,30,5,2010,0
1242133,20100530,30,5,2010,0
1242136,20100605,5,6,2010,6
1242139,20100605,5,6,2010,6
1242141,20100605,5,6,2010,6
1242144,20100612,12,6,2010,6
1242145,20100612,12,6,2010,6
1242148,20100603,3,6,2010,4
1242149,20100618,18,6,2010,5
1242150,20100618,18,6,2010,5
1242151,20100618,18,6,2010,5
1242152,20100530,30,5,2010,0
1242155,20100612,12,6,2010,6
1242157,20100613,13,6,2010,0
1242158,,,,,
1242302,20100605,5,6,2010,6
1242305,20100604,4,6,2010,5
1242306,20100604,4,6,2010,5
1242307,20100605,5,6,2010,6
1242308,20100605,5,6,2010,6
1242314,20100602,2,6,2010,3
1242316,20100601,1,6,2010,2
1242317,20100602,2,6,2010,3
1242321,20100623,23,6,2010,3
1242322,20100604,4,6,2010,5
1242323,20100604,4,6,2010,5
1242324,20100605,5,6,2010,6
1242325,20100603,3,6,2010,4
1242329,20100603,3,6,2010,4
1242331,20100603,3,6,2010,4
1242333,20100603,3,6,2010,4
1242334,20100530,30,5,2010,0
1242335,20100604,4,6,2010,5
1242338,20100603,3,6,2010,4
1242342,20100603,3,6,2010,4
1242349,20100604,4,6,2010,5
1242350,20100604,4,6,2010,5
1242353,20100623,23,6,2010,3
1242356,20100606,6,6,2010,0
1247102,20100604,4,6,2010,5
1247103,20100604,4,6,2010,5
1247104,20100604,4,6,2010,5
1247108,20100530,30,5,2010,0
1247111,20100604,4,6,2010,5
1247116,20100530,30,5,2010,0
1247126,20100604,4,6,2010,5
1247131,20100604,4,6,2010,5
1247133,20100531,31,5,2010,1
1247135,20100629,29,6,2010,2
1247138,20100530,30,5,2010,0
1247143,20100530,30,5,2010,0
1247147,20100607,7,6,2010,1
1247153,20100708,8,7,2010,4
1247154,20100605,5,6,2010,6
1247155,20100604,4,6,2010,5
1247157,20100605,5,6,2010,6
1247158,20100530,30,5,2010,0
1247160,20100608,8,6,2010,2
1247301,20100610,10,6,2010,4
1247302,20100619,19,6,2010,6
1247303,20100616,16,6,2010,3
1247305,20100618,18,6,2010,5
1247307,20100619,19,6,2010,6
1247309,20100605,5,6,2010,6
1247310,20100620,20,6,2010,0
1247315,20100605,5,6,2010,6
1247328,20100605,5,6,2010,6
1247329,20100608,8,6,2010,2
1247330,20100618,18,6,2010,5
1247334,20100605,5,6,2010,6
1247335,20100616,16,6,2010,3
1247336,20100605,5,6,2010,6
1247339,20100610,10,6,2010,4
1247346,20100610,10,6,2010,4
1247347,20100616,16,6,2010,3
1247349,20100610,10,6,2010,4
1247351,20100610,10,6,2010,4
1247352,20100610,10,6,2010,4
1247357,20100618,18,6,2010,5
1247358,20100616,16,6,2010,3
1260101,20100601,1,6,2010,2
1260104,20100614,14,6,2010,1
1260105,20100601,1,6,2010,2
1260107,20100614,14,6,2010,1
1260110,20100608,8,6,2010,2
1260113,20100626,26,6,2010,6
1260114,20100625,25,6,2010,5
1260115,20100625,25,6,2010,5
1260119,20100610,10,6,2010,4
1260120,20100701,1,7,2010,4
1260123,20100603,3,6,2010,4
1260125,20100530,30,5,2010,0
1260127,20100602,2,6,2010,3
1260128,20100604,4,6,2010,5
1260129,20100606,6,6,2010,0
1260130,20100602,2,6,2010,3
1260132,20100608,8,6,2010,2
1260133,20100610,10,6,2010,4
1260134,20100702,2,7,2010,5
1260135,20100606,6,6,2010,0
1260136,20100625,25,6,2010,5
1260137,20100628,28,6,2010,1
1260138,20100626,26,6,2010,6
1260142,20100601,1,6,2010,2
1260143,20100701,1,7,2010,4
1260144,20100610,10,6,2010,4
1260147,20100606,6,6,2010,0
1260151,20100703,3,7,2010,6
1260153,20100626,26,6,2010,6
1260156,20100614,14,6,2010,1
1260158,20100614,14,6,2010,1
1260159,20100613,13,6,2010,0
1260160,20100704,4,7,2010,0
1260302,20100605,5,6,2010,6
1260303,20100614,14,6,2010,1
1260306,20100605,5,6,2010,6
1260307,20100605,5,6,2010,6
1260308,20100530,30,5,2010,0
1260309,20100605,5,6,2010,6
1260310,20100630,30,6,2010,3
1260311,20100614,14,6,2010,1
1260313,20100629,29,6,2010,2
1260316,20100612,12,6,2010,6
1260317,20100625,25,6,2010,5
1260318,20100613,13,6,2010,0
1260319,20100704,4,7,2010,0
1260323,20100613,13,6,2010,0
1260326,20100625,25,6,2010,5
1260328,20100625,25,6,2010,5
1260329,20100627,27,6,2010,0
1260331,20100625,25,6,2010,5
1260332,20100630,30,6,2010,3
1260337,20100627,27,6,2010,0
1260339,20100702,2,7,2010,5
1260340,20100605,5,6,2010,6
1260342,20100702,2,7,2010,5
1260343,20100630,30,6,2010,3
1260347,20100627,27,6,2010,0
1260348,20100629,29,6,2010,2
1260355,20100628,28,6,2010,1
1260356,20100629,29,6,2010,2
1304101,20100614,14,6,2010,1
1304102,20100616,16,6,2010,3
1304103,20100531,31,5,2010,1
1304107,20100601,1,6,2010,2
1304108,20100531,31,5,2010,1
1304111,20100618,18,6,2010,5
1304112,20100615,15,6,2010,2
1304114,20100617,17,6,2010,4
1304115,20100615,15,6,2010,2
1304116,20100619,19,6,2010,6
1304118,20100618,18,6,2010,5
1304121,20100609,9,6,2010,3
1304123,20100608,8,6,2010,2
1304124,20100607,7,6,2010,1
1304125,20100531,31,5,2010,1
1304127,20100617,17,6,2010,4
1304128,20100610,10,6,2010,4
1304131,20100612,12,6,2010,6
1304132,20100602,2,6,2010,3
1304135,20100611,11,6,2010,5
1304301,20100603,3,6,2010,4
1304305,20100620,20,6,2010,0
1304306,20100607,7,6,2010,1
1304308,20100613,13,6,2010,0
1304310,20100602,2,6,2010,3
1304312,20100602,2,6,2010,3
1304314,20100716,16,7,2010,5
1304315,20100716,16,7,2010,5
1304316,20100716,16,7,2010,5
1304317,20100716,16,7,2010,5
1304318,20100716,16,7,2010,5
1304319,20100716,16,7,2010,5
1304320,20100617,17,6,2010,4
1304322,20100621,21,6,2010,1
1304324,20100530,30,5,2010,0
1304325,20100530,30,5,2010,0
1304326,20100604,4,6,2010,5
1304327,20100531,31,5,2010,1
1304328,20100605,5,6,2010,6
1304329,20100601,1,6,2010,2
1304330,20100601,1,6,2010,2
1304331,20100604,4,6,2010,5
1304332,20100611,11,6,2010,5
1304333,20100606,6,6,2010,0
1304335,20100604,4,6,2010,5
1304336,20100612,12,6,2010,6
1320101,20100616,16,6,2010,3
1320104,20100606,6,6,2010,0
1320105,20100602,2,6,2010,3
1320106,20100622,22,6,2010,2
1320107,20100603,3,6,2010,4
1320110,20100629,29,6,2010,2
1320111,20100615,15,6,2010,2
1320112,20100621,21,6,2010,1
1320114,20100613,13,6,2010,0
1320115,20100621,21,6,2010,1
1320117,20100619,19,6,2010,6
1320118,20100629,29,6,2010,2
1320123,20100607,7,6,2010,1
1320124,20100609,9,6,2010,3
1320125,20100605,5,6,2010,6
1320126,20100626,26,6,2010,6
1320128,20100616,16,6,2010,3
1320129,20100617,17,6,2010,4
1320132,20100613,13,6,2010,0
1320136,20100609,9,6,2010,3
1320137,20100610,10,6,2010,4
