"cont_id","part_id","cnt_age_exact","cnt_age_est_min","cnt_age_est_max","cnt_gender","cnt_home","cnt_work","cnt_school","cnt_transport","cnt_leisure","cnt_otherplace","frequency_multi","phys_contact","duration_multi"
185601,1856,44,NA,NA,"F",TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,3,"1",3
185602,1856,9,NA,NA,"F",TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,3,"1",3
185603,1856,NA,60,65,"M",FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,3,"1",4
185604,1856,NA,40,45,"F",FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,4,"1",4
185605,1856,NA,40,45,"F",FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,4,"1",4
185606,1856,NA,35,40,"M",FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,4,"1",4
185607,1856,NA,50,55,"M",FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,4,"1",4
225101,2251,41,NA,NA,"F",TRUE,FALSE,FALSE,TRUE,FALSE,TRUE,1,"1",5
225102,2251,11,NA,NA,"M",TRUE,FALSE,TRUE,TRUE,FALSE,FALSE,1,"1",5
225103,2251,7,NA,NA,"F",FALSE,FALSE,TRUE,TRUE,FALSE,FALSE,2,"1",2
225104,2251,10,NA,NA,"M",FALSE,FALSE,TRUE,TRUE,FALSE,FALSE,2,"1",2
225105,2251,8,NA,NA,"F",FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,2,"1",4
225106,2251,8,NA,NA,"F",FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,2,"1",4
225107,2251,8,NA,NA,"M",FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,2,"1",4
225108,2251,8,NA,NA,"M",FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,2,"1",4
225109,2251,56,NA,NA,"M",FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,2,"1",4
225110,2251,8,NA,NA,"F",FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,2,"1",3
225111,2251,7,NA,NA,"F",FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,2,"1",3
225112,2251,42,NA,NA,"F",FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,2,"1",3
225113,2251,27,NA,NA,"F",FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,3,"1",3
225114,2251,8,NA,NA,"M",FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,3,"1",3
225115,2251,9,NA,NA,"F",FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,3,"1",3
225116,2251,8,NA,NA,"M",FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,3,"1",3
225117,2251,8,NA,NA,"M",FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,3,"1",3
225118,2251,63,NA,NA,"F",FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,3,"2",1
225119,2251,67,NA,NA,"F",TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,1,"1",4
225120,2251,42,NA,NA,"M",TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,1,"1",1
529401,5294,NA,30,40,"F",FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,2,"2",5
529402,5294,NA,50,60,"M",FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,2,"2",5
529403,5294,45,NA,NA,"F",TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,1,"1",5
