"hh_id","country","hh_size"
"BE101856","BE",2
"BE102251","BE",4
"BE105294","BE",2
"BE105966","BE",2
"BE106286","BE",1
"BE106927","BE",5
"BE109930","BE",4
"BE1010419","BE",5
"BE1010504","BE",4
"BE1012958","BE",2
"BE1019607","BE",4
"BE1021748","BE",2
"BE1022259","BE",3
"BE1025946","BE",2
"BE1027902","BE",5
"BE1027905","BE",5
"BE1029501","BE",5
"BE1031741","BE",3
"BE1032126","BE",2
"BE1033118","BE",2
"BE1036037","BE",3
"BE1036421","BE",2
"BE1038226","BE",1
"BE1039743","BE",1
"BE1040026","BE",3
"BE1040027","BE",4
"BE1040028","BE",4
"BE1040029","BE",4
"BE1040030","BE",4
"BE1040032","BE",4
"BE1040033","BE",4
"BE1040034","BE",2
"BE1040036","BE",2
"BE1041931","BE",4
"BE1042430","BE",2
"BE1043226","BE",1
"BE1043404","BE",5
"BE1045114","BE",1
"BE1046508","BE",7
"BE1046568","BE",2
"BE1046753","BE",3
"BE1046755","BE",3
"BE1048977","BE",1
"BE1050042","BE",2
"BE1050046","BE",4
"BE1050047","BE",5
"BE1050049","BE",5
"BE1050050","BE",4
"BE1054681","BE",2
"BE1055197","BE",2
"BE1055976","BE",2
"BE1056016","BE",3
"BE1059635","BE",5
"BE1059730","BE",1
"BE1060001","BE",1
"BE1060002","BE",1
"BE1060003","BE",1
"BE1060004","BE",1
"BE1060005","BE",2
"BE1060006","BE",1
"BE1060007","BE",1
"BE1060008","BE",1
"BE1060009","BE",1
"BE1060011","BE",1
"BE1060012","BE",1
"BE1065989","BE",4
"BE1072620","BE",4
"BE1077167","BE",4
"BE1078144","BE",1
"BE1081043","BE",2
"BE1081678","BE",5
"BE1081991","BE",3
"BE1084346","BE",3
"BE1092192","BE",1
"BE1093834","BE",3
"BE1097902","BE",1
"BE10101292","BE",2
"BE10101499","BE",4
"BE10101565","BE",1
"BE10102388","BE",4
"BE10104728","BE",4
"BE10108387","BE",4
"BE10108837","BE",2
"BE10111403","BE",1
"BE10113146","BE",4
"BE10115983","BE",4
"BE10118408","BE",5
"BE10118535","BE",3
"BE10120038","BE",1
"BE10120152","BE",4
"BE10120226","BE",2
"BE10123951","BE",3
"BE10124592","BE",3
"BE10127249","BE",2
"BE10127270","BE",3
"BE10127299","BE",4
"BE10129718","BE",1
"BE10130779","BE",5
"BE10132169","BE",4
"BE10132701","BE",3
"BE10133609","BE",1
"BE10140370","BE",3
"BE10143921","BE",2
"BE10147268","BE",2
"BE10147532","BE",5
"BE10151212","BE",2
"BE10154799","BE",4
"BE10160773","BE",2
"BE10163265","BE",2
"BE10163924","BE",2
"BE10170596","BE",3
"BE10170729","BE",5
"BE10170929","BE",2
"BE10172249","BE",2
"BE10174345","BE",2
"BE10178287","BE",4
"BE10181118","BE",4
"BE10181882","BE",5
"BE10184160","BE",2
"BE10188189","BE",4
"BE10188749","BE",2
"BE10191529","BE",1
"BE10192682","BE",2
"BE10201795","BE",4
"BE10205052","BE",NA
"BE10210174","BE",5
"BE10213544","BE",2
"BE10215665","BE",2
"BE10216250","BE",4
"BE10216622","BE",1
"BE10217612","BE",3
"BE10218307","BE",4
"BE10218575","BE",3
"BE10221582","BE",2
"BE10222889","BE",1
"BE10223825","BE",2
"BE10225664","BE",2
"BE10227760","BE",4
"BE10231634","BE",2
"BE10236095","BE",5
"BE10237254","BE",5
"BE10238070","BE",2
"BE10239183","BE",2
"BE10239374","BE",4
"BE10241778","BE",4
"BE10243369","BE",2
"BE10244303","BE",4
"BE10244706","BE",4
"BE10249821","BE",2
"BE10255010","BE",2
"BE10256146","BE",3
"BE10258605","BE",3
"BE10262080","BE",2
"BE10270985","BE",4
"BE10274203","BE",3
"BE10278685","BE",5
"BE10279254","BE",5
"BE10280492","BE",3
"BE10282627","BE",1
"BE10285321","BE",3
"BE10287388","BE",3
"BE10291891","BE",1
"BE10293498","BE",1
"BE10295573","BE",5
"BE10296341","BE",4
"BE10299253","BE",4
"BE10301380","BE",4
"BE10301390","BE",4
"BE10301545","BE",4
"BE10302280","BE",3
"BE10302511","BE",2
"BE10310248","BE",2
"BE10320422","BE",4
"BE10321110","BE",4
"BE10321267","BE",2
"BE10327374","BE",5
"BE10328869","BE",4
"BE10332397","BE",2
"BE10333698","BE",2
"BE10333803","BE",1
"BE10334010","BE",3
"BE10343842","BE",5
"BE10348080","BE",3
"BE10350282","BE",2
"BE10351232","BE",4
"BE10352221","BE",2
"BE10354251","BE",1
"BE10356060","BE",4
"BE10357065","BE",3
"BE10358257","BE",4
"BE10358496","BE",2
"BE10358599","BE",4
"BE10359305","BE",2
"BE10359677","BE",2
"BE10364557","BE",4
"BE10370614","BE",4
"BE10374335","BE",6
"BE10375326","BE",3
"BE10379514","BE",1
"BE10384555","BE",4
"BE10384769","BE",3
"BE10386213","BE",3
"BE10386919","BE",4
"BE10387316","BE",3
"BE10390853","BE",1
"BE10390885","BE",1
"BE10395326","BE",5
"BE10398508","BE",5
"BE10400839","BE",1
"BE10401108","BE",3
"BE10403196","BE",4
"BE10413191","BE",4
"BE10423858","BE",4
"BE10426803","BE",2
"BE10427469","BE",4
"BE10429622","BE",1
"BE10433959","BE",1
"BE10434554","BE",4
"BE10437552","BE",3
"BE10440307","BE",6
"BE10440673","BE",3
"BE10444168","BE",2
"BE10445518","BE",4
"BE10447699","BE",3
"BE10450487","BE",5
"BE10452932","BE",2
"BE10459120","BE",2
"BE10461022","BE",5
"BE10462393","BE",2
"BE10475876","BE",2
"BE10479362","BE",2
"BE10483004","BE",2
"BE10483452","BE",4
"BE10484521","BE",3
"BE10485163","BE",6
"BE10487913","BE",2
"BE10493829","BE",4
"BE10494521","BE",2
"BE10496477","BE",2
"BE10498382","BE",1
"BE10498428","BE",2
"BE10499299","BE",1
"BE10502804","BE",2
"BE10505287","BE",3
"BE10510954","BE",4
"BE10512085","BE",4
"BE10519786","BE",1
"BE10519853","BE",1
"BE10526803","BE",4
"BE10527040","BE",2
"BE10527208","BE",3
"BE10527263","BE",2
"BE10531555","BE",2
"BE10533030","BE",4
"BE10534460","BE",1
"BE10534636","BE",3
"BE10537177","BE",4
"BE10545163","BE",4
"BE10545368","BE",2
"BE10545556","BE",8
"BE10546107","BE",2
"BE10546929","BE",4
"BE10547516","BE",4
"BE10548628","BE",5
"BE10551273","BE",4
"BE10553002","BE",4
"BE10553393","BE",4
"BE10556142","BE",4
"BE10556706","BE",5
"BE10561144","BE",3
"BE10566160","BE",3
"BE10566343","BE",3
"BE10566367","BE",6
"BE10571109","BE",4
"BE10571324","BE",1
"BE10572734","BE",2
"BE10576031","BE",5
"BE10576680","BE",2
"BE10581550","BE",2
"BE10583315","BE",4
"BE10584049","BE",3
"BE10584918","BE",3
"BE10592766","BE",4
"BE10593600","BE",2
"BE10594259","BE",2
"BE10597056","BE",4
"BE10598711","BE",3
"BE10603778","BE",2
"BE10604026","BE",3
"BE10604197","BE",1
"BE10606424","BE",2
"BE10611896","BE",4
"BE10616530","BE",1
"BE10617467","BE",4
"BE10617545","BE",3
"BE10621307","BE",4
"BE10621662","BE",3
"BE10624215","BE",2
"BE10625175","BE",2
"BE10625820","BE",4
"BE10628628","BE",5
"BE10628763","BE",3
"BE10629762","BE",2
"BE10633492","BE",1
"BE10636625","BE",3
"BE10637994","BE",2
"BE10642349","BE",2
"BE10645379","BE",1
"BE10645787","BE",4
"BE10649428","BE",2
"BE10649802","BE",5
"BE10651226","BE",6
"BE10652965","BE",4
"BE10659083","BE",5
"BE10662605","BE",6
"BE10662679","BE",3
"BE10663437","BE",4
"BE10664572","BE",2
"BE10665108","BE",2
"BE10665471","BE",3
"BE10675532","BE",2
"BE10677245","BE",3
"BE10683568","BE",2
"BE10683661","BE",1
"BE10683960","BE",2
"BE10684191","BE",2
"BE10687187","BE",2
"BE10688896","BE",4
"BE10690022","BE",2
"BE10690218","BE",1
"BE10691231","BE",4
"BE10694847","BE",4
"BE10697572","BE",2
"BE10699139","BE",4
"BE10699832","BE",6
"BE10705053","BE",3
"BE10706453","BE",2
"BE10712628","BE",2
"BE10713613","BE",4
"BE10716531","BE",3
"BE10717301","BE",2
"BE10717368","BE",2
"BE10718005","BE",3
"BE10720636","BE",5
"BE10721660","BE",3
"BE10728399","BE",1
"BE10729271","BE",4
"BE10730678","BE",4
"BE10731030","BE",3
"BE10731543","BE",5
"BE10731775","BE",6
"BE10735293","BE",3
"BE10737602","BE",6
"BE10739384","BE",2
"BE10739663","BE",4
"BE10740381","BE",2
"BE10746979","BE",2
"BE10747173","BE",4
"BE10748866","BE",4
"BE10749014","BE",3
"BE10751429","BE",2
"BE10754840","BE",4
"BE10755264","BE",3
"BE10756792","BE",4
"BE10759592","BE",4
"BE10760289","BE",4
"BE10764060","BE",5
