"part_id","hh_id","part_age","part_gender"
1856,"BE101856",70,"M"
2251,"BE102251",8,"F"
5294,"BE105294",44,"M"
5966,"BE105966",57,"M"
6286,"BE106286",46,"M"
6927,"BE106927",12,"M"
9930,"BE109930",45,"M"
10419,"BE1010419",55,"F"
10504,"BE1010504",26,"M"
12958,"BE1012958",42,"F"
19607,"BE1019607",47,"M"
21748,"BE1021748",53,"M"
22259,"BE1022259",51,"F"
25946,"BE1025946",25,"F"
27902,"BE1027902",52,"F"
27905,"BE1027905",14,"F"
29501,"BE1029501",1,"F"
31741,"BE1031741",34,"F"
32126,"BE1032126",69,"M"
33118,"BE1033118",71,"M"
36037,"BE1036037",44,"F"
36421,"BE1036421",52,"F"
38226,"BE1038226",78,"F"
39743,"BE1039743",87,"M"
40026,"BE1040026",3,"M"
40027,"BE1040027",3,"F"
40028,"BE1040028",3,"M"
40029,"BE1040029",3,"F"
40030,"BE1040030",4,"M"
40032,"BE1040032",5,"M"
40033,"BE1040033",8,"M"
40034,"BE1040034",80,"M"
40036,"BE1040036",83,"F"
41931,"BE1041931",7,"M"
42430,"BE1042430",69,"F"
43226,"BE1043226",65,"M"
43404,"BE1043404",20,"M"
45114,"BE1045114",84,"F"
46508,"BE1046508",86,"F"
46568,"BE1046568",60,"M"
46753,"BE1046753",36,"M"
46755,"BE1046755",45,"M"
48977,"BE1048977",63,"M"
50042,"BE1050042",5,"M"
50046,"BE1050046",5,"F"
50047,"BE1050047",4,"M"
50049,"BE1050049",8,"F"
50050,"BE1050050",0,"F"
54681,"BE1054681",55,"F"
55197,"BE1055197",50,"F"
55976,"BE1055976",61,"F"
56016,"BE1056016",52,"M"
59635,"BE1059635",34,"F"
59730,"BE1059730",29,"F"
60001,"BE1060001",99,"F"
60002,"BE1060002",95,"M"
60003,"BE1060003",97,"F"
60004,"BE1060004",91,"F"
60005,"BE1060005",91,"F"
60006,"BE1060006",88,"F"
60007,"BE1060007",90,"F"
60008,"BE1060008",90,"F"
60009,"BE1060009",89,"F"
60011,"BE1060011",93,"F"
60012,"BE1060012",95,"F"
65989,"BE1065989",47,"F"
72620,"BE1072620",32,"F"
77167,"BE1077167",46,"F"
78144,"BE1078144",75,"M"
81043,"BE1081043",54,"M"
81678,"BE1081678",52,"M"
81991,"BE1081991",22,"M"
84346,"BE1084346",52,"F"
92192,"BE1092192",51,"F"
