"part_id","type","part_occupation","part_occupation_detail","part_education","part_education_length","part_school_year","part_nationality","class_size","work_contacts","work_contacts_nr","child_nationality","problems","diary_how","diary_missed_unsp","diary_missed_skin","diary_missed_noskin","survey_relationship","residential_status","residential_status_other","residential_population"
1856,1,2,NA,5,NA,NA,"BE",NA,NA,NA,"BE","N",NA,1,NA,NA,4,"at_home"," ",NA
2251,3,5,NA,6,NA,NA,"BE",27,NA,NA,"BE",NA,NA,2,NA,NA,NA,NA," ",NA
5294,1,1,NA,2,NA,NA,"EU",NA,"N",NA,"EU",NA,NA,1,NA,NA,NA,NA," ",NA
5966,1,1,NA,3,NA,NA,"BE",NA,"N",NA,"BE",NA,NA,3,NA,NA,NA,NA," ",NA
6286,1,1,NA,5,NA,NA,"BE",NA,"N",NA,"BE",NA,NA,NA,NA,NA,NA,NA," ",NA
6927,3,5,NA,6,NA,NA,"BE",20,NA,NA,"BE",NA,NA,2,NA,NA,NA,NA," ",NA
9930,1,1,NA,4,NA,NA,"BE",NA,"N",NA,"BE",NA,NA,1,NA,NA,NA,NA," ",NA
10419,1,1,NA,6,NA,NA,"BE",NA,"N",NA,"BE",NA,NA,1,NA,NA,NA,NA," ",NA
10504,1,1,NA,5,NA,NA,"BE",NA,"Y",10,"BE",NA,NA,2,NA,NA,NA,NA," ",NA
12958,1,6,NA,4,NA,NA,"EU",NA,"N",NA,"EU",NA,NA,1,NA,NA,NA,NA," ",NA
19607,1,1,NA,4,NA,NA,"BE",NA,"Y",25,"BE","N",NA,1,NA,NA,NA,NA," ",NA
21748,1,1,NA,4,NA,NA,"BE",NA,"N",NA,"BE",NA,NA,NA,NA,NA,NA,NA," ",NA
22259,1,3,NA,3,NA,NA,"BE",NA,"N",NA,"BE",NA,NA,1,NA,NA,NA,NA," ",NA
25946,1,1,NA,6,NA,NA,"BE",NA,"Y",20,"BE",NA,NA,2,NA,NA,NA,NA," ",NA
27902,1,1,NA,6,NA,NA,"BE",NA,"Y",25,"BE",NA,NA,1,NA,NA,NA,NA," ",NA
27905,2,5,NA,1,NA,NA,"BE",NA,"N",NA,"BE",NA,NA,3,NA,NA,NA,NA," ",NA
29501,3,6,NA,6,NA,NA,"BE",NA,NA,NA,"BE",NA,NA,1,NA,NA,NA,NA," ",NA
31741,1,1,NA,6,NA,NA,"BE",NA,"Y",10,"BE",NA,NA,3,NA,NA,NA,NA," ",NA
32126,1,2,NA,6,NA,NA,"BE",NA,NA,NA,"BE",NA,NA,2,NA,NA,4,"at_home"," ",NA
33118,1,2,NA,6,NA,NA,"BE",NA,NA,NA,"BE",NA,NA,1,NA,NA,4,"at_home"," ",NA
36037,1,1,NA,5,NA,NA,"BE",NA,"Y",20,"BE",NA,NA,3,NA,NA,NA,NA," ",NA
36421,1,1,NA,1,NA,NA,"BE",NA,"N",NA,"BE","N",NA,1,NA,NA,NA,NA," ",NA
38226,1,3,NA,4,NA,NA,"BE",NA,NA,NA,"BE",NA,NA,1,NA,NA,4,"at_home"," ",NA
39743,1,2,NA,3,NA,NA,"BE",NA,NA,NA,"BE",NA,NA,1,NA,NA,4,"at_home"," ",NA
40026,3,6,NA,5,NA,NA,"BE",NA,NA,NA,"BE",NA,NA,1,NA,NA,NA,NA," ",NA
40027,3,5,NA,6,NA,NA,"BE",13,NA,NA,"BE","N",NA,2,NA,NA,NA,NA," ",NA
40028,3,5,NA,6,NA,NA,"BE",15,NA,NA,"BE",NA,NA,1,NA,NA,NA,NA," ",NA
40029,3,5,NA,5,NA,NA,"BE",19,NA,NA,"BE",NA,NA,1,NA,NA,NA,NA," ",NA
40030,3,5,NA,6,NA,NA,"BE",18,NA,NA,"BE",NA,NA,1,NA,NA,NA,NA," ",NA
40032,3,5,NA,6,NA,NA,"BE",25,NA,NA,"BE","N",NA,4,NA,NA,NA,NA," ",NA
40033,3,5,NA,5,NA,NA,"BE",26,NA,NA,"BE",NA,NA,3,NA,NA,NA,NA," ",NA
40034,1,2,NA,1,NA,NA,"BE",NA,NA,NA,"BE",NA,NA,1,NA,NA,1,"at_home"," ",NA
40036,1,2,NA,5,NA,NA,"BE",NA,NA,NA,"BE","N",NA,1,NA,NA,4,"at_home"," ",NA
41931,3,5,NA,5,NA,NA,"BE",17,NA,NA,"BE",NA,NA,2,NA,NA,NA,NA," ",NA
42430,1,3,NA,1,NA,NA,"BE",NA,NA,NA,"BE",NA,NA,1,NA,NA,4,"at_home"," ",NA
43226,1,2,NA,3,NA,NA,"BE",NA,NA,NA,"BE","N",NA,1,NA,NA,4,"at_home"," ",NA
43404,1,5,NA,3,NA,NA,"BE",NA,"N",NA,"BE",NA,NA,4,NA,NA,NA,NA," ",NA
45114,1,2,NA,1,NA,NA,"BE",NA,NA,NA,"BE","N",NA,1,NA,NA,4,"at_home"," ",NA
46508,1,2,NA,3,NA,NA,"BE",NA,NA,NA,"BE","N",NA,NA,NA,NA,4,"at_home"," ",NA
46568,1,1,NA,1,NA,NA,"BE",NA,"N",NA,"BE","N",NA,1,NA,NA,NA,NA," ",NA
46753,1,6,NA,6,NA,NA,"BE",NA,"N",NA,"BE","N",NA,1,NA,NA,NA,NA," ",NA
46755,1,6,NA,3,NA,NA,"BE",NA,"N",NA,"BE",NA,NA,1,NA,NA,NA,NA," ",NA
48977,1,1,NA,3,NA,NA,"BE",NA,NA,NA,"BE",NA,NA,1,NA,NA,4,"at_home"," ",NA
50042,3,5,NA,5,NA,NA,"BE",23,NA,NA,"BE","N",NA,1,NA,NA,NA,NA," ",NA
50046,3,5,NA,6,NA,NA,"BE",20,NA,NA,"BE",NA,NA,2,NA,NA,NA,NA," ",NA
50047,3,5,NA,5,NA,NA,"BE",23,NA,NA,"BE","N",NA,3,NA,NA,NA,NA," ",NA
50049,3,5,NA,5,NA,NA,"BE",29,NA,NA,"BE","N",NA,2,NA,NA,NA,NA," ",NA
50050,3,6,NA,5,NA,NA,"BE",NA,NA,NA,"BE",NA,NA,1,NA,NA,NA,NA," ",NA
54681,1,3,NA,2,NA,NA,"BE",NA,"N",NA,"BE",NA,NA,1,NA,NA,NA,NA," ",NA
55197,1,1,NA,3,NA,NA,"EU",NA,"N",NA,"EU",NA,NA,1,NA,NA,NA,NA," ",NA
55976,1,3,NA,3,NA,NA,"BE",NA,NA,NA,"BE","N",NA,1,NA,NA,4,"at_home"," ",NA
56016,1,1,NA,3,NA,NA,"BE",NA,"Y",30,"BE",NA,NA,1,NA,NA,NA,NA," ",NA
59635,1,1,NA,5,NA,NA,"BE",NA,"Y",100,"BE",NA,NA,2,NA,NA,NA,NA," ",NA
59730,1,1,NA,5,NA,NA,"BE",NA,"Y",25,"BE","N",NA,1,NA,NA,NA,NA," ",NA
60001,1,3,NA,1,NA,NA,"BE",NA,NA,NA,"BE","N",NA,1,NA,NA,2,"nursing_home"," ",">100"
60002,1,2,NA,1,NA,NA,"BE",NA,NA,NA,"BE","N",NA,2,NA,NA,2,"nursing_home"," ",">100"
60003,1,2,NA,3,NA,NA,"BE",NA,NA,NA,"BE","N",NA,1,NA,NA,2,"nursing_home"," ",">100"
60004,1,2,NA,3,NA,NA,"BE",NA,NA,NA,"BE","N",NA,2,NA,NA,2,"nursing_home"," ",">100"
60005,1,NA,NA,NA,NA,NA,"BE",NA,NA,NA,"BE","N",NA,2,NA,NA,2,"nursing_home"," ",">100"
60006,1,3,NA,1,NA,NA,"BE",NA,NA,NA,"BE","N",NA,1,NA,NA,2,"nursing_home"," ",">100"
60007,1,3,NA,1,NA,NA,"BE",NA,NA,NA,"BE","N",NA,2,NA,NA,2,"nursing_home"," ",">100"
60008,1,2,NA,1,NA,NA,"BE",NA,NA,NA,"BE","N",NA,1,NA,NA,2,"nursing_home"," ",">100"
60009,1,3,NA,1,NA,NA,"BE",NA,NA,NA,"BE","N",NA,2,NA,NA,2,"nursing_home"," ",">100"
60011,1,2,NA,1,NA,NA,"BE",NA,NA,NA,"BE","N",NA,2,NA,NA,2,"nursing_home"," ",">100"
60012,1,3,NA,1,NA,NA,"BE",NA,NA,NA,"BE","N",NA,2,NA,NA,2,"nursing_home"," ",">100"
65989,1,3,NA,5,NA,NA,"BE",NA,"N",NA,"BE","N",NA,1,NA,NA,NA,NA," ",NA
72620,1,1,NA,4,NA,NA,"BE",NA,"N",NA,"BE",NA,NA,1,NA,NA,NA,NA," ",NA
77167,1,3,NA,3,NA,NA,"BE",NA,"N",NA,"BE","N",NA,2,NA,NA,NA,NA," ",NA
78144,1,2,NA,6,NA,NA,"BE",NA,NA,NA,"BE","N",NA,2,NA,NA,4,"at_home"," ",NA
81043,1,1,NA,5,NA,NA,"BE",NA,"N",NA,"BE",NA,NA,1,NA,NA,NA,NA," ",NA
81678,1,1,NA,5,NA,NA,"BE",NA,"N",NA,"BE",NA,NA,1,NA,NA,NA,NA," ",NA
81991,1,5,NA,3,NA,NA,"EU",NA,NA,NA,"EU",NA,NA,2,NA,NA,NA,NA," ",NA
84346,1,1,NA,5,NA,NA,"BE",NA,"Y",50,"BE","N",NA,4,NA,NA,NA,NA," ",NA
