"part_id","sday_id","day","month","year","dayofweek","holiday"
1856,20101029,29,10,2010,5,"0"
2251,20101120,20,11,2010,3,"0"
5294,20101027,27,10,2010,3,"0"
5966,20101025,25,10,2010,1,"0"
6286,20101120,20,11,2010,6,"0"
6927,20101027,27,10,2010,3,"0"
9930,20101028,28,10,2010,4,"0"
10419,20101116,16,11,2010,2,"0"
10504,20101026,26,10,2010,2,"0"
12958,20101027,27,10,2010,3,"0"
19607,20101117,17,11,2010,3,"0"
21748,20101118,18,11,2010,4,"0"
22259,20101029,29,10,2010,5,"0"
25946,20101117,17,11,2010,3,"0"
27902,20101117,17,11,2010,3,"0"
27905,20101027,27,10,2010,3,"0"
29501,20101115,15,11,2010,1,"0"
31741,20101027,27,10,2010,3,"0"
32126,20101026,26,10,2010,2,"0"
33118,20101025,25,10,2010,1,"0"
36037,20101115,15,11,2010,1,"0"
36421,20101028,28,10,2010,4,"0"
38226,20101022,22,10,2010,5,"0"
39743,20101206,6,12,2010,1,"0"
40026,20110131,31,1,2011,1,"0"
40027,20110127,27,1,2011,4,"0"
40028,20110206,6,2,2011,0,"0"
40029,20110126,26,1,2011,3,"0"
40030,20110205,5,2,2011,6,"0"
40032,20110202,2,2,2011,3,"0"
40033,20110131,31,1,2011,1,"0"
40034,20110201,1,2,2011,2,"0"
40036,20110127,27,1,2011,4,"0"
41931,20101027,27,10,2010,3,"0"
42430,20101029,29,10,2010,5,"0"
43226,20101029,29,10,2010,5,"0"
43404,20101028,28,10,2010,4,"0"
45114,20101027,27,10,2010,3,"0"
46508,20101028,28,10,2010,4,"0"
46568,20101117,17,11,2010,3,"0"
46753,20101026,26,10,2010,2,"0"
46755,20101115,15,11,2010,1,"0"
48977,20101028,28,10,2010,4,"0"
50042,20110126,26,1,2011,3,"0"
50046,20110201,1,2,2011,2,"0"
50047,20110203,3,2,2011,4,"0"
50049,20110203,3,2,2011,4,"0"
50050,20110205,5,2,2011,6,"0"
54681,20101028,28,10,2010,4,"0"
55197,20101025,25,10,2010,4,"0"
