"part_id","cont_id","cnt_age_exact","cnt_age_est_min","cnt_age_est_max","cnt_gender","cnt_home","cnt_work","cnt_school","cnt_transport","cnt_leisure","cnt_otherplace","frequency_multi","phys_contact","duration_multi"
"H002/S01","H002/S01_2",NA,16,25,"M",TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,1,1,5
"H002/S01","H002/S01_3",NA,16,25,"F",TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,1,1,5
"H002/S01","H002/S01_4",NA,16,25,"F",TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,1,1,5
"H002/S01","H002/S01_1",NA,35,49,"F",TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,1,1,5
"H002/S01","H002/S01_6",NA,35,49,"M",FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,2,2,3
"H002/S01","H002/S01_8",NA,35,49,"M",TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,1,2,3
"H002/S01","H002/S01_9",NA,35,49,"F",FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,1,NA,3
"H002/S01","H002/S01_10",NA,35,49,"F",FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,2,2,3
"H002/S01","H002/S01_11",NA,35,49,"M",FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,2,2,3
"H002/S01","H002/S01_12",NA,35,49,"M",TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,1,2,3
"H002/S01","H002/S01_5",NA,50,64,"M",FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,2,2,3
"H002/S01","H002/S01_7",NA,50,64,"M",TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,1,2,3
"H002/S01","H002/S01_13",NA,65,100,"M",FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,2,2,3
"H002/S01","H002/S01_14",NA,65,100,"F",FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,2,2,3
