"hh_id","country","hh_size"
"H002","VN",5
"H003","VN",4
"H004","VN",5
"H005","VN",4
"H006","VN",5
"H007","VN",2
"H009","VN",5
"H010","VN",5
"H011","VN",4
"H012","VN",4
"H013","VN",4
"H014","VN",4
"H015","VN",2
"H016","VN",3
"H017","VN",3
"H018","VN",4
"H019","VN",7
"H020","VN",2
"H022","VN",2
"H023","VN",3
"H024","VN",3
"H025","VN",3
"H026","VN",2
"H028","VN",4
"H030","VN",4
"H032","VN",2
"H034","VN",6
"H035","VN",2
"H036","VN",3
"H038","VN",3
"H040","VN",3
"H041","VN",3
"H042","VN",1
"H043","VN",3
"H044","VN",1
"H045","VN",4
"H046","VN",3
"H047","VN",4
"H048","VN",5
"H049","VN",4
"H050","VN",7
"H051","VN",3
"H052","VN",4
"H053","VN",5
"H054","VN",4
"H055","VN",5
"H056","VN",1
"H057","VN",3
"H058","VN",5
"H059","VN",3
"H060","VN",9
"H061","VN",3
"H062","VN",3
"H063","VN",3
"H064","VN",4
"H065","VN",4
"H066","VN",2
"H067","VN",5
"H068","VN",2
"H069","VN",4
"H070","VN",5
"H071","VN",3
"H072","VN",2
"H073","VN",2
"H074","VN",4
"H075","VN",6
"H076","VN",3
"H077","VN",4
"H078","VN",5
"H079","VN",2
"H080","VN",3
"H081","VN",4
"H082","VN",3
"H083","VN",3
"H084","VN",2
"H086","VN",1
"H087","VN",5
"H088","VN",2
"H089","VN",4
"H090","VN",4
"H091","VN",6
"H092","VN",5
"H093","VN",6
"H094","VN",4
"H095","VN",4
"H097","VN",4
"H098","VN",6
"H099","VN",3
"H100","VN",5
"H101","VN",3
"H102","VN",4
"H103","VN",3
"H104","VN",3
"H105","VN",2
"H106","VN",1
"H107","VN",8
"H108","VN",3
"H109","VN",3
"H110","VN",5
"H111","VN",5
"H112","VN",2
"H113","VN",1
"H114","VN",4
"H116","VN",3
"H117","VN",3
"H119","VN",4
"H123","VN",3
"H125","VN",2
"H127","VN",4
"H130","VN",1
"H131","VN",4
"H132","VN",5
"H133","VN",4
"H134","VN",4
"H136","VN",4
"H137","VN",4
"H138","VN",3
"H139","VN",3
"H140","VN",3
"H141","VN",3
"H142","VN",4
"H143","VN",1
"H144","VN",3
"H145","VN",4
"H146","VN",3
"H147","VN",3
"H148","VN",4
"H149","VN",5
"H150","VN",4
"H151","VN",4
"H152","VN",3
"H153","VN",3
"H154","VN",2
"H155","VN",2
"H156","VN",2
"H157","VN",1
"H158","VN",4
"H159","VN",2
"H160","VN",3
"H161","VN",3
"H162","VN",1
"H163","VN",2
"H164","VN",1
"H165","VN",5
"H166","VN",2
"H167","VN",3
"H168","VN",2
"H169","VN",6
"H170","VN",1
"H171","VN",3
"H172","VN",1
"H173","VN",4
"H174","VN",2
"H175","VN",1
"H177","VN",2
"H178","VN",1
"H179","VN",3
"H180","VN",2
"H181","VN",1
"H182","VN",4
"H183","VN",2
"H184","VN",3
"H185","VN",1
"H186","VN",5
"H187","VN",2
"H188","VN",3
"H191","VN",2
"H192","VN",5
"H193","VN",3
"H194","VN",5
"H196","VN",4
"H197","VN",3
"H198","VN",4
"H199","VN",1
"H201","VN",2
"H202","VN",5
"H204","VN",4
"H205","VN",4
"H206","VN",3
"H207","VN",5
"H208","VN",4
"H209","VN",2
"H210","VN",5
"H211","VN",5
"H212","VN",4
"H213","VN",2
"H215","VN",3
"H216","VN",6
"H217","VN",6
"H219","VN",2
"H220","VN",3
"H221","VN",2
"H223","VN",1
"H224","VN",3
"H225","VN",5
"H228","VN",4
"H229","VN",3
"H231","VN",5
"H233","VN",3
"H234","VN",2
"H235","VN",4
"H236","VN",4
"H238","VN",6
"H239","VN",2
"H240","VN",5
"H241","VN",4
"H242","VN",2
"H243","VN",2
"H244","VN",1
"H245","VN",1
"H246","VN",3
"H247","VN",2
"H248","VN",3
"H250","VN",5
"H251","VN",2
"H252","VN",5
"H253","VN",2
"H255","VN",2
"H256","VN",4
"H257","VN",5
"H259","VN",5
"H262","VN",1
"H263","VN",1
"H264","VN",5
"H265","VN",2
"H266","VN",2
"H267","VN",1
"H269","VN",3
"H273","VN",5
"H275","VN",3
"H276","VN",3
"H278","VN",3
"H280","VN",3
"H282","VN",3
"H283","VN",4
"H284","VN",3
"H285","VN",1
"H286","VN",3
"H287","VN",1
"H288","VN",1
"H289","VN",6
"H292","VN",6
"H293","VN",3
"H294","VN",3
"H295","VN",3
"H296","VN",4
"H298","VN",1
"H299","VN",4
"H300","VN",1
"H301","VN",1
"H302","VN",1
"H305","VN",2
"H306","VN",3
"H309","VN",2
"H310","VN",1
"H311","VN",5
"H312","VN",4
"H314","VN",3
"H316","VN",3
"H318","VN",3
"H319","VN",4
"H320","VN",4
"H321","VN",3
"H325","VN",2
