"part_id","hh_id","part_age","part_gender"
"H002/S01","H002",44,"M"
"H002/S02","H002",41,"F"
"H002/S03","H002",21,"M"
"H002/S04","H002",17,"F"
"H002/S05","H002",16,"F"
"H003/S01","H003",49,"M"
"H003/S02","H003",44,"F"
"H003/S03","H003",23,"M"
"H003/S04","H003",17,"M"
"H004/S01","H004",50,"M"
"H004/S02","H004",45,"F"
"H004/S03","H004",22,"F"
"H004/S04","H004",20,"F"
"H004/S05","H004",7,"F"
"H005/S01","H005",42,"F"
"H005/S02","H005",19,"F"
"H005/S03","H005",16,"F"
"H005/S04","H005",14,"M"
"H006/S01","H006",28,"M"
"H006/S02","H006",27,"F"
"H006/S03","H006",7,"F"
"H006/S04","H006",4,"M"
"H006/S05","H006",3,"M"
"H007/S01","H007",55,"M"
"H007/S02","H007",57,"F"
"H009/S01","H009",44,"M"
"H009/S02","H009",41,"F"
"H009/S03","H009",16,"F"
"H009/S04","H009",14,"M"
"H009/S05","H009",12,"M"
"H010/S01","H010",38,"M"
"H010/S02","H010",33,"F"
"H010/S03","H010",15,"M"
"H010/S04","H010",8,"M"
"H010/S05","H010",8,"F"
"H011/S01","H011",35,"M"
"H011/S02","H011",27,"F"
"H011/S03","H011",8,"M"
"H011/S04","H011",2,"F"
"H012/S01","H012",57,"M"
"H012/S02","H012",52,"F"
"H012/S03","H012",30,"F"
"H012/S04","H012",22,"F"
"H013/S01","H013",41,"M"
"H013/S02","H013",39,"F"
"H013/S03","H013",15,"F"
"H013/S04","H013",11,"M"
"H014/S01","H014",44,"M"
"H014/S02","H014",43,"F"
"H014/S03","H014",18,"M"
"H014/S04","H014",2,"F"
"H015/S01","H015",72,"F"
"H015/S02","H015",48,"F"
"H016/S02","H016",25,"F"
"H016/S03","H016",2,"F"
"H016/S04","H016",1,"F"
"H017/S01","H017",49,"M"
"H017/S02","H017",49,"F"
"H017/S03","H017",18,"F"
"H018/S01","H018",26,"M"
"H018/S02","H018",24,"F"
"H018/S03","H018",4,"F"
"H018/S04","H018",2,"M"
"H019/S01","H019",53,"M"
"H019/S02","H019",52,"F"
"H019/S03","H019",27,"M"
"H019/S04","H019",25,"F"
"H019/S05","H019",22,"F"
"H019/S06","H019",2,"M"
"H019/S07","H019",1,"M"
"H020/S01","H020",54,"F"
"H020/S02","H020",64,"M"
"H022/S01","H022",76,"M"
"H022/S02","H022",41,"F"
"H023/S01","H023",37,"M"
"H023/S02","H023",35,"F"
"H023/S03","H023",4,"F"
"H024/S01","H024",40,"M"
"H024/S02","H024",40,"F"
"H024/S03","H024",12,"M"
"H025/S01","H025",43,"M"
"H025/S02","H025",41,"F"
"H025/S03","H025",18,"M"
"H026/S01","H026",55,"M"
"H026/S02","H026",48,"F"
"H028/S01","H028",49,"M"
"H028/S02","H028",44,"F"
"H028/S03","H028",23,"M"
"H028/S04","H028",10,"M"
"H030/S01","H030",28,"M"
"H030/S02","H030",24,"F"
"H030/S03","H030",4,"F"
"H030/S04","H030",3,"M"
"H032/S01","H032",48,"F"
"H032/S02","H032",16,"F"
"H034/S01","H034",39,"M"
"H034/S02","H034",40,"F"
"H034/S03","H034",15,"F"
"H034/S04","H034",20,"M"
"H034/S05","H034",18,"M"
"H034/S06","H034",11,"M"
"H035/S01","H035",45,"F"
"H035/S02","H035",17,"F"
"H036/S01","H036",50,"M"
"H036/S02","H036",51,"F"
"H036/S03","H036",24,"F"
"H038/S01","H038",37,"F"
"H038/S03","H038",6,"F"
"H038/S04","H038",44,"M"
"H040/S01","H040",58,"F"
"H040/S02","H040",21,"F"
"H040/S03","H040",1,"F"
"H041/S01","H041",30,"M"
"H041/S02","H041",23,"F"
"H041/S03","H041",1,"F"
"H042/S01","H042",66,"F"
"H043/S01","H043",27,"M"
"H043/S02","H043",22,"F"
"H043/S03","H043",4,"M"
"H044/S01","H044",55,"F"
"H045/S01","H045",44,"M"
"H045/S02","H045",42,"F"
"H045/S03","H045",21,"F"
"H045/S04","H045",14,"F"
"H046/S01","H046",55,"M"
"H046/S02","H046",56,"F"
"H046/S03","H046",23,"M"
"H047/S01","H047",31,"M"
"H047/S02","H047",24,"F"
"H047/S03","H047",5,"F"
"H047/S04","H047",3,"M"
"H048/S01","H048",41,"M"
"H048/S02","H048",35,"F"
"H048/S03","H048",16,"M"
"H048/S04","H048",13,"M"
"H048/S05","H048",10,"F"
"H049/S01","H049",78,"M"
"H049/S02","H049",76,"F"
"H049/S03","H049",40,"F"
"H049/S04","H049",37,"F"
"H050/S01","H050",68,"M"
"H050/S02","H050",68,"F"
"H050/S03","H050",42,"M"
"H050/S04","H050",41,"F"
"H050/S05","H050",23,"M"
"H050/S06","H050",21,"F"
"H050/S07","H050",13,"F"
"H051/S01","H051",35,"M"
"H051/S02","H051",12,"F"
"H051/S03","H051",8,"F"
"H052/S01","H052",36,"M"
"H052/S02","H052",36,"F"
"H052/S03","H052",14,"F"
"H052/S04","H052",10,"M"
"H053/S01","H053",40,"M"
"H053/S02","H053",34,"F"
"H053/S03","H053",15,"F"
"H053/S04","H053",14,"F"
"H053/S05","H053",6,"M"
"H054/S01","H054",36,"M"
"H054/S02","H054",38,"M"
"H054/S03","H054",16,"M"
"H054/S04","H054",13,"F"
"H055/S01","H055",45,"M"
"H055/S02","H055",24,"F"
"H055/S03","H055",17,"F"
"H055/S04","H055",15,"F"
"H055/S05","H055",10,"F"
"H056/S01","H056",17,"F"
"H057/S01","H057",57,"M"
"H057/S02","H057",54,"F"
"H057/S03","H057",22,"M"
"H058/S01","H058",49,"M"
"H058/S02","H058",47,"F"
"H058/S03","H058",21,"M"
"H058/S04","H058",18,"F"
"H058/S05","H058",4,"M"
"H059/S01","H059",47,"M"
"H059/S02","H059",47,"F"
"H059/S03","H059",17,"F"
"H060/S01","H060",60,"M"
"H060/S02","H060",58,"F"
"H060/S03","H060",36,"M"
"H060/S04","H060",32,"M"
"H060/S05","H060",30,"M"
"H060/S06","H060",16,"F"
"H060/S07","H060",7,"F"
"H060/S08","H060",23,"F"
"H060/S09","H060",2,"M"
"H061/S01","H061",24,"M"
"H061/S02","H061",22,"F"
"H061/S03","H061",2,"M"
"H062/S01","H062",23,"M"
"H062/S02","H062",23,"F"
"H062/S03","H062",1,"M"
"H063/S01","H063",25,"M"
"H063/S02","H063",25,"F"
"H063/S03","H063",7,"M"
"H064/S01","H064",29,"M"
"H064/S02","H064",29,"F"
"H064/S03","H064",7,"F"
"H064/S04","H064",3,"M"
"H065/S01","H065",38,"M"
"H065/S02","H065",36,"F"
"H065/S03","H065",14,"M"
"H065/S04","H065",8,"M"
"H066/S01","H066",48,"F"
"H066/S02","H066",24,"F"
"H067/S01","H067",36,"M"
"H067/S02","H067",34,"F"
"H067/S03","H067",15,"F"
"H067/S04","H067",12,"M"
"H067/S05","H067",10,"M"
"H068/S01","H068",55,"M"
"H068/S02","H068",48,"F"
"H069/S01","H069",22,"M"
"H069/S02","H069",22,"F"
"H069/S03","H069",3,"F"
"H069/S04","H069",6,"F"
"H070/S01","H070",78,"M"
"H070/S02","H070",34,"M"
"H070/S03","H070",30,"F"
"H070/S04","H070",9,"M"
"H070/S05","H070",4,"M"
"H071/S01","H071",39,"F"
"H071/S02","H071",11,"F"
"H071/S03","H071",7,"F"
"H072/S01","H072",53,"M"
"H072/S02","H072",53,"F"
"H073/S01","H073",50,"M"
"H073/S02","H073",50,"F"
"H074/S01","H074",41,"M"
"H074/S02","H074",39,"F"
"H074/S03","H074",19,"M"
"H074/S04","H074",17,"M"
"H075/S01","H075",41,"F"
"H075/S02","H075",17,"F"
"H075/S03","H075",16,"F"
"H075/S04","H075",12,"F"
"H075/S05","H075",70,"F"
"H075/S06","H075",6,"F"
"H076/S01","H076",47,"M"
"H076/S02","H076",49,"F"
"H076/S03","H076",7,"M"
"H077/S01","H077",42,"M"
"H077/S02","H077",42,"F"
"H077/S03","H077",16,"M"
"H077/S04","H077",14,"M"
"H078/S01","H078",20,"M"
"H078/S02","H078",17,"F"
"H078/S03","H078",46,"F"
"H078/S04","H078",45,"F"
"H078/S05","H078",10,"M"
"H079/S01","H079",23,"F"
"H079/S02","H079",3,"F"
"H080/S01","H080",44,"F"
"H080/S02","H080",13,"F"
"H080/S03","H080",11,"M"
"H081/S01","H081",25,"M"
"H081/S02","H081",23,"F"
"H081/S03","H081",3,"F"
"H081/S04","H081",1,"M"
"H082/S01","H082",45,"M"
"H082/S02","H082",42,"F"
"H082/S03","H082",15,"F"
"H083/S01","H083",35,"M"
"H083/S02","H083",16,"M"
"H083/S03","H083",11,"F"
"H084/S01","H084",70,"M"
"H084/S02","H084",68,"F"
"H086/S02","H086",14,"M"
"H087/S01","H087",34,"M"
"H087/S02","H087",32,"F"
"H087/S03","H087",11,"F"
"H087/S04","H087",8,"F"
"H087/S05","H087",1,"F"
"H088/S01","H088",60,"M"
"H088/S02","H088",59,"F"
"H089/S01","H089",30,"M"
"H089/S02","H089",31,"F"
"H089/S03","H089",7,"M"
"H089/S04","H089",5,"M"
"H090/S01","H090",35,"M"
"H090/S02","H090",30,"F"
"H090/S03","H090",10,"F"
"H090/S04","H090",8,"M"
"H091/S01","H091",52,"M"
"H091/S02","H091",48,"F"
"H091/S03","H091",73,"F"
"H091/S04","H091",48,"F"
"H091/S05","H091",22,"M"
"H091/S06","H091",16,"F"
"H092/S01","H092",40,"M"
"H092/S02","H092",40,"F"
"H092/S03","H092",18,"M"
"H092/S04","H092",17,"F"
"H092/S05","H092",9,"F"
"H093/S01","H093",37,"M"
"H093/S02","H093",36,"F"
"H093/S03","H093",41,"F"
"H093/S04","H093",14,"F"
"H093/S05","H093",12,"F"
"H093/S06","H093",4,"M"
"H094/S01","H094",32,"M"
"H094/S02","H094",30,"F"
"H094/S03","H094",8,"M"
"H094/S04","H094",3,"F"
"H095/S01","H095",30,"M"
"H095/S02","H095",26,"F"
"H095/S03","H095",3,"F"
"H095/S04","H095",1,"M"
"H097/S01","H097",47,"M"
"H097/S02","H097",46,"F"
"H097/S03","H097",23,"F"
"H097/S04","H097",17,"F"
"H098/S01","H098",54,"F"
"H098/S02","H098",29,"F"
"H098/S03","H098",31,"M"
"H098/S04","H098",8,"M"
"H098/S05","H098",5,"F"
"H098/S06","H098",2,"F"
"H099/S01","H099",42,"F"
"H099/S02","H099",18,"F"
"H099/S03","H099",16,"M"
"H100/S01","H100",60,"M"
"H100/S02","H100",51,"F"
"H100/S03","H100",29,"F"
"H100/S04","H100",29,"F"
"H100/S05","H100",4,"F"
"H101/S01","H101",45,"M"
"H101/S02","H101",43,"F"
"H101/S03","H101",14,"F"
"H102/S01","H102",53,"M"
"H102/S02","H102",52,"F"
"H102/S03","H102",27,"M"
"H102/S04","H102",24,"M"
"H103/S01","H103",42,"M"
"H103/S02","H103",42,"F"
"H103/S03","H103",19,"M"
"H104/S01","H104",25,"F"
"H104/S02","H104",11,"F"
"H104/S03","H104",4,"M"
"H105/S01","H105",56,"M"
"H105/S02","H105",56,"F"
"H106/S01","H106",50,"F"
"H107/S01","H107",47,"M"
"H107/S02","H107",45,"F"
"H107/S03","H107",21,"F"
"H107/S04","H107",19,"F"
"H107/S05","H107",17,"F"
"H107/S06","H107",11,"F"
"H107/S07","H107",9,"F"
"H107/S08","H107",5,"M"
"H108/S01","H108",35,"F"
"H108/S02","H108",14,"M"
"H108/S03","H108",13,"M"
"H109/S01","H109",30,"F"
"H109/S02","H109",7,"M"
"H109/S03","H109",3,"M"
"H110/S01","H110",43,"M"
"H110/S02","H110",39,"F"
"H110/S03","H110",16,"F"
"H110/S04","H110",14,"M"
"H110/S05","H110",11,"F"
"H111/S01","H111",33,"M"
"H111/S02","H111",31,"F"
"H111/S03","H111",9,"M"
"H111/S04","H111",3,"F"
"H111/S05","H111",1,"F"
"H112/S01","H112",38,"M"
"H112/S02","H112",39,"F"
"H113/S01","H113",33,"M"
"H114/S01","H114",33,"M"
"H114/S02","H114",34,"F"
"H114/S03","H114",11,"F"
"H114/S04","H114",8,"F"
"H116/S01","H116",25,"M"
"H116/S02","H116",25,"F"
"H116/S03","H116",5,"F"
"H117/S01","H117",51,"M"
"H117/S02","H117",47,"F"
"H117/S03","H117",11,"F"
"H119/S01","H119",60,"M"
"H119/S02","H119",58,"F"
"H119/S04","H119",28,"F"
"H119/S05","H119",4,"F"
"H123/S01","H123",11,"M"
"H123/S02","H123",44,"F"
"H123/S03","H123",14,"F"
"H125/S01","H125",77,"M"
"H125/S02","H125",75,"F"
"H127/S01","H127",45,"M"
"H127/S02","H127",39,"F"
"H127/S03","H127",15,"F"
"H127/S04","H127",14,"M"
"H130/S02","H130",49,"F"
"H131/S01","H131",38,"M"
"H131/S02","H131",35,"F"
"H131/S03","H131",11,"F"
"H131/S04","H131",6,"F"
"H132/S01","H132",41,"F"
"H132/S02","H132",18,"M"
"H132/S03","H132",15,"F"
"H132/S04","H132",11,"F"
"H132/S05","H132",4,"F"
"H133/S01","H133",24,"F"
"H133/S02","H133",47,"F"
"H133/S03","H133",15,"F"
"H133/S04","H133",12,"F"
"H134/S01","H134",65,"F"
"H134/S02","H134",34,"F"
"H134/S03","H134",13,"F"
"H134/S04","H134",11,"F"
"H136/S01","H136",47,"M"
"H136/S02","H136",47,"F"
"H136/S03","H136",22,"F"
"H136/S04","H136",0,"M"
"H137/S01","H137",43,"M"
"H137/S02","H137",40,"F"
"H137/S03","H137",16,"M"
"H137/S04","H137",3,"M"
"H138/S02","H138",45,"F"
"H138/S03","H138",18,"F"
"H138/S04","H138",16,"M"
"H139/S01","H139",45,"F"
"H139/S02","H139",17,"M"
"H139/S03","H139",22,"M"
"H140/S01","H140",37,"F"
"H140/S02","H140",10,"F"
"H140/S03","H140",4,"F"
"H141/S01","H141",41,"F"
"H141/S02","H141",12,"M"
"H141/S03","H141",10,"F"
"H142/S01","H142",28,"M"
"H142/S02","H142",27,"F"
"H142/S03","H142",7,"M"
"H142/S04","H142",0,"M"
"H143/S02","H143",49,"F"
"H144/S01","H144",35,"F"
"H144/S02","H144",9,"F"
"H144/S03","H144",6,"M"
"H145/S01","H145",47,"M"
"H145/S02","H145",37,"F"
"H145/S03","H145",16,"F"
"H145/S04","H145",13,"M"
"H146/S01","H146",38,"M"
"H146/S02","H146",36,"F"
"H146/S03","H146",11,"M"
"H147/S01","H147",45,"M"
"H147/S02","H147",44,"F"
"H147/S03","H147",22,"M"
"H148/S01","H148",33,"M"
"H148/S02","H148",30,"F"
"H148/S03","H148",10,"M"
"H148/S04","H148",2,"F"
"H149/S01","H149",44,"M"
"H149/S02","H149",36,"F"
"H149/S03","H149",16,"M"
"H149/S04","H149",13,"F"
"H149/S05","H149",3,"F"
"H150/S01","H150",68,"M"
"H150/S02","H150",47,"F"
"H150/S03","H150",14,"F"
"H150/S04","H150",10,"M"
"H151/S01","H151",42,"M"
"H151/S02","H151",34,"F"
"H151/S03","H151",8,"F"
"H151/S04","H151",3,"M"
"H152/S01","H152",43,"F"
"H152/S02","H152",19,"F"
"H152/S03","H152",21,"M"
"H153/S01","H153",38,"M"
"H153/S02","H153",33,"F"
"H153/S03","H153",13,"M"
"H154/S01","H154",43,"M"
"H154/S02","H154",31,"F"
"H155/S01","H155",69,"M"
"H155/S02","H155",65,"F"
"H156/S01","H156",25,"M"
"H156/S02","H156",26,"F"
"H157/S01","H157",58,"M"
"H158/S01","H158",29,"M"
"H158/S02","H158",23,"F"
"H158/S03","H158",5,"M"
"H158/S04","H158",3,"F"
"H159/S01","H159",47,"M"
"H159/S02","H159",37,"F"
"H160/S01","H160",51,"F"
"H160/S02","H160",25,"F"
"H160/S03","H160",21,"F"
"H161/S01","H161",45,"M"
"H161/S02","H161",41,"F"
"H161/S03","H161",14,"F"
"H162/S01","H162",36,"F"
"H163/S01","H163",33,"F"
"H163/S02","H163",5,"M"
"H164/S01","H164",57,"F"
"H165/S01","H165",39,"M"
"H165/S02","H165",37,"F"
"H165/S03","H165",14,"F"
"H165/S04","H165",9,"M"
"H165/S05","H165",2,"F"
"H166/S01","H166",50,"M"
"H166/S02","H166",22,"M"
"H167/S02","H167",24,"F"
"H167/S03","H167",14,"M"
"H167/S04","H167",12,"M"
"H168/S01","H168",33,"F"
"H168/S02","H168",45,"M"
"H169/S01","H169",33,"M"
"H169/S02","H169",30,"F"
"H169/S03","H169",10,"M"
"H169/S04","H169",63,"M"
"H169/S05","H169",61,"F"
"H169/S06","H169",3,"M"
"H170/S01","H170",73,"F"
"H171/S01","H171",38,"M"
"H171/S02","H171",34,"F"
"H171/S03","H171",13,"M"
"H172/S01","H172",53,"M"
"H173/S02","H173",43,"F"
"H173/S03","H173",18,"M"
"H173/S04","H173",14,"F"
"H173/S05","H173",10,"M"
"H174/S01","H174",45,"M"
"H174/S02","H174",41,"F"
"H175/S01","H175",57,"M"
"H177/S01","H177",64,"M"
"H177/S02","H177",65,"F"
"H178/S01","H178",74,"F"
"H179/S01","H179",48,"M"
"H179/S02","H179",45,"F"
"H179/S03","H179",18,"F"
"H180/S01","H180",52,"F"
"H180/S02","H180",19,"F"
"H181/S01","H181",63,"M"
"H182/S01","H182",47,"M"
"H182/S02","H182",47,"F"
"H182/S03","H182",22,"M"
"H182/S04","H182",18,"M"
"H183/S01","H183",65,"M"
"H183/S02","H183",57,"F"
"H184/S01","H184",46,"M"
"H184/S02","H184",44,"F"
"H184/S03","H184",22,"M"
"H185/S01","H185",46,"F"
"H186/S01","H186",36,"M"
"H186/S02","H186",33,"F"
"H186/S03","H186",15,"F"
"H186/S04","H186",11,"F"
"H186/S05","H186",8,"M"
"H187/S01","H187",79,"F"
"H187/S02","H187",34,"F"
"H188/S01","H188",48,"F"
"H188/S02","H188",23,"F"
"H188/S03","H188",1,"F"
"H191/S01","H191",41,"M"
"H191/S02","H191",4,"F"
"H192/S01","H192",55,"M"
"H192/S02","H192",56,"F"
"H192/S03","H192",24,"F"
"H192/S04","H192",30,"M"
"H192/S05","H192",23,"F"
"H193/S01","H193",31,"F"
"H193/S02","H193",4,"M"
"H193/S03","H193",5,"M"
"H194/S01","H194",43,"M"
"H194/S02","H194",42,"F"
"H194/S03","H194",22,"F"
"H194/S04","H194",13,NA
"H194/S05","H194",5,NA
"H196/S01","H196",41,"M"
"H196/S02","H196",36,"F"
"H196/S03","H196",15,"M"
"H196/S04","H196",12,NA
"H197/S01","H197",75,"F"
"H197/S02","H197",41,"F"
"H197/S03","H197",33,"F"
"H198/S01","H198",47,"M"
"H198/S02","H198",44,"F"
"H198/S03","H198",19,"F"
"H198/S04","H198",17,"M"
"H199/S01","H199",57,"M"
"H201/S01","H201",34,"M"
"H201/S02","H201",19,"M"
"H202/S01","H202",45,"M"
"H202/S02","H202",46,"F"
"H202/S03","H202",16,"M"
"H202/S04","H202",3,"M"
"H202/S05","H202",2,"F"
"H204/S01","H204",34,"M"
"H204/S02","H204",34,"F"
"H204/S03","H204",14,"M"
"H204/S04","H204",3,"F"
"H205/S01","H205",43,"M"
"H205/S02","H205",38,"F"
"H205/S03","H205",13,"F"
"H205/S04","H205",10,"M"
"H206/S01","H206",50,"F"
"H206/S02","H206",20,"M"
"H206/S03","H206",10,"M"
"H207/S01","H207",47,"M"
"H207/S02","H207",38,"F"
"H207/S03","H207",17,"F"
"H207/S04","H207",14,"M"
"H207/S05","H207",4,"F"
"H208/S01","H208",47,"F"
"H208/S02","H208",25,"M"
"H208/S03","H208",7,"M"
"H208/S04","H208",1,"M"
"H209/S01","H209",30,"M"
"H209/S02","H209",29,"F"
"H210/S01","H210",36,"M"
"H210/S02","H210",27,"M"
"H210/S03","H210",63,"M"
"H210/S04","H210",5,"M"
"H210/S05","H210",0,"M"
"H211/S01","H211",46,"M"
"H211/S02","H211",45,"F"
"H211/S03","H211",15,"F"
"H211/S04","H211",3,"M"
"H211/S05","H211",6,"F"
"H212/S01","H212",41,"M"
"H212/S02","H212",38,"F"
"H212/S03","H212",14,"F"
"H212/S04","H212",7,"M"
"H213/S01","H213",63,"F"
"H213/S02","H213",7,"F"
"H215/S01","H215",41,"M"
"H215/S02","H215",17,"F"
"H215/S03","H215",15,"M"
"H216/S01","H216",64,"M"
"H216/S02","H216",68,"F"
"H216/S03","H216",38,"M"
"H216/S04","H216",36,"F"
"H216/S05","H216",16,"M"
"H216/S06","H216",12,"M"
"H217/S01","H217",53,"M"
"H217/S02","H217",49,"F"
"H217/S03","H217",30,"F"
"H217/S04","H217",24,"F"
"H217/S05","H217",16,"F"
"H217/S06","H217",5,"F"
"H219/S01","H219",55,"M"
"H219/S02","H219",55,NA
"H220/S01","H220",53,"M"
"H220/S02","H220",51,"F"
"H220/S03","H220",3,"M"
"H221/S01","H221",62,"F"
"H221/S02","H221",17,"M"
"H223/S01","H223",46,"F"
"H224/S01","H224",55,"M"
"H224/S02","H224",31,"F"
"H224/S03","H224",28,"M"
"H225/S01","H225",42,"M"
"H225/S02","H225",40,"F"
"H225/S03","H225",17,"M"
"H225/S04","H225",14,"M"
"H225/S05","H225",9,"M"
"H228/S01","H228",44,"M"
"H228/S02","H228",42,"F"
"H228/S03","H228",17,"F"
"H228/S04","H228",11,"M"
"H229/S01","H229",47,"M"
"H229/S02","H229",47,"F"
"H229/S03","H229",14,"M"
"H231/S01","H231",45,"M"
"H231/S02","H231",90,"M"
"H231/S03","H231",86,"F"
"H231/S04","H231",46,"F"
"H231/S05","H231",9,"F"
"H233/S01","H233",52,"M"
"H233/S02","H233",49,"F"
"H233/S03","H233",17,"M"
"H234/S01","H234",57,"M"
"H234/S02","H234",60,"F"
"H235/S01","H235",43,"F"
"H235/S02","H235",17,"F"
"H235/S03","H235",15,"F"
"H235/S04","H235",12,"F"
"H236/S01","H236",34,"M"
"H236/S02","H236",30,"F"
"H236/S03","H236",11,"F"
"H236/S04","H236",8,"F"
"H238/S01","H238",53,"M"
"H238/S02","H238",52,"F"
"H238/S03","H238",22,"M"
"H238/S04","H238",28,"F"
"H238/S05","H238",9,"F"
"H238/S06","H238",3,"M"
"H239/S01","H239",75,"F"
"H239/S02","H239",72,"M"
"H240/S01","H240",45,"M"
"H240/S02","H240",39,"F"
"H240/S03","H240",18,"F"
"H240/S04","H240",6,"F"
"H240/S05","H240",4,"M"
"H241/S01","H241",38,"M"
"H241/S02","H241",32,"F"
"H241/S03","H241",11,"M"
"H241/S04","H241",4,"M"
"H242/S01","H242",47,"F"
"H242/S02","H242",27,"M"
"H243/S01","H243",71,"M"
"H243/S02","H243",62,"F"
"H244/S01","H244",85,"F"
"H245/S01","H245",83,"F"
"H246/S01","H246",65,"M"
"H246/S02","H246",66,"F"
"H246/S03","H246",16,"M"
"H247/S01","H247",52,"F"
"H247/S02","H247",20,"F"
"H248/S01","H248",67,"F"
"H248/S02","H248",71,"M"
"H248/S03","H248",5,"F"
"H250/S01","H250",67,"M"
"H250/S02","H250",67,"F"
"H250/S03","H250",27,"M"
"H250/S04","H250",22,"M"
"H250/S05","H250",27,"F"
"H251/S01","H251",45,"M"
"H251/S02","H251",46,"F"
"H252/S01","H252",40,"M"
"H252/S02","H252",40,"F"
"H252/S03","H252",17,"F"
"H252/S04","H252",10,"F"
"H252/S05","H252",3,"M"
"H253/S01","H253",69,"M"
"H253/S02","H253",65,"F"
"H255/S01","H255",77,"M"
"H255/S02","H255",72,"F"
"H256/S01","H256",57,"M"
"H256/S02","H256",53,"F"
"H256/S03","H256",32,"F"
"H256/S04","H256",8,"F"
"H257/S01","H257",36,"M"
"H257/S02","H257",37,"F"
"H257/S03","H257",15,"F"
"H257/S04","H257",13,"M"
"H257/S05","H257",7,"F"
"H259/S01","H259",35,"M"
"H259/S02","H259",34,"F"
"H259/S03","H259",11,"M"
"H259/S04","H259",8,"F"
"H259/S05","H259",4,"M"
"H262/S01","H262",63,"F"
"H263/S01","H263",70,"F"
"H264/S01","H264",36,"M"
"H264/S02","H264",35,"F"
"H264/S03","H264",11,"F"
"H264/S04","H264",8,"M"
"H264/S05","H264",2,"F"
"H265/S01","H265",51,"M"
"H265/S02","H265",51,"F"
"H266/S01","H266",53,"M"
"H266/S02","H266",53,"F"
"H267/S01","H267",78,"F"
"H269/S01","H269",50,"M"
"H269/S02","H269",47,"F"
"H269/S03","H269",17,"F"
"H273/S01","H273",47,"M"
"H273/S02","H273",47,"F"
"H273/S03","H273",18,"F"
"H273/S04","H273",12,"M"
"H273/S05","H273",6,"M"
"H275/S01","H275",52,"M"
"H275/S02","H275",49,"F"
"H275/S03","H275",18,"F"
"H276/S01","H276",55,"M"
"H276/S02","H276",49,"F"
"H276/S03","H276",20,"F"
"H278/S01","H278",42,"M"
"H278/S02","H278",43,"F"
"H278/S03","H278",17,"F"
"H280/S01","H280",62,"M"
"H280/S02","H280",58,"F"
"H280/S03","H280",23,"M"
"H282/S01","H282",31,"F"
"H282/S02","H282",8,"F"
"H282/S03","H282",4,"M"
"H283/S01","H283",29,"M"
"H283/S02","H283",27,"F"
"H283/S03","H283",7,"M"
"H283/S04","H283",6,"M"
"H284/S01","H284",39,"F"
"H284/S02","H284",14,"M"
"H284/S03","H284",10,"F"
"H285/S01","H285",57,"F"
"H286/S01","H286",37,"M"
"H286/S02","H286",38,"F"
"H286/S03","H286",10,"F"
"H287/S01","H287",70,"F"
"H288/S01","H288",86,"F"
"H289/S01","H289",58,"F"
"H289/S02","H289",36,"M"
"H289/S03","H289",36,"F"
"H289/S04","H289",12,"M"
"H289/S05","H289",16,"F"
"H289/S06","H289",18,NA
"H292/S01","H292",43,"F"
"H292/S02","H292",46,"M"
"H292/S03","H292",22,"M"
"H292/S04","H292",16,"F"
"H292/S05","H292",20,"F"
"H292/S06","H292",1,"M"
"H293/S01","H293",52,"F"
"H293/S02","H293",18,"F"
"H293/S03","H293",15,"M"
"H294/S01","H294",29,"M"
"H294/S02","H294",29,"F"
"H294/S03","H294",4,"M"
"H295/S01","H295",35,"F"
"H295/S02","H295",16,"M"
"H295/S03","H295",10,"F"
"H296/S01","H296",34,"M"
"H296/S02","H296",33,"F"
"H296/S03","H296",10,"F"
"H296/S04","H296",9,"M"
"H298/S01","H298",76,"M"
"H299/S01","H299",49,"M"
"H299/S02","H299",49,"F"
"H299/S03","H299",16,"F"
"H299/S04","H299",3,"M"
"H300/S01","H300",79,"F"
"H301/S01","H301",86,"F"
"H302/S01","H302",65,"F"
"H305/S01","H305",45,"M"
"H305/S02","H305",44,"M"
"H306/S01","H306",49,"M"
"H306/S02","H306",45,"F"
"H306/S03","H306",15,"M"
"H309/S01","H309",50,"F"
"H309/S02","H309",85,"F"
"H310/S01","H310",83,"M"
"H311/S01","H311",62,"M"
"H311/S02","H311",62,"F"
"H311/S03","H311",28,"F"
"H311/S04","H311",9,"M"
"H311/S05","H311",4,"M"
"H312/S01","H312",47,"M"
"H312/S02","H312",45,"F"
"H312/S03","H312",18,"F"
"H312/S04","H312",23,"F"
"H314/S01","H314",52,"M"
