"part_id","part_occupation_detail"
"H002/S01","trained craftsman"
"H002/S02","staff"
"H002/S03","trained craftsman"
"H002/S04","trained craftsman"
"H002/S05","student"
"H003/S01","unskilled labour"
"H003/S02","unskilled labour"
"H003/S03","military"
"H003/S04","student"
"H004/S01","trained craftsman"
"H004/S02","trained craftsman"
"H004/S03","unskilled labour"
"H004/S04","trained craftsman"
"H004/S05",NA
"H005/S01","unskilled labour"
"H005/S02","unskilled labour"
"H005/S03","unskilled labour"
"H005/S04",NA
"H006/S01","unskilled labour"
"H006/S02","unskilled labour"
"H006/S03","student"
"H006/S04","student"
"H006/S05","student"
"H007/S01","unskilled labour"
"H007/S02","unskilled labour"
"H009/S01","unskilled labour"
"H009/S02","unskilled labour"
"H009/S03","student"
"H009/S04","student"
"H009/S05","student"
"H010/S01","unskilled labour"
"H010/S02","unskilled labour"
"H010/S03","student"
"H010/S04","student"
"H010/S05","student"
"H011/S01","unskilled labour"
"H011/S02","unskilled labour"
"H011/S03","student"
"H011/S04",NA
"H012/S01","unskilled labour"
"H012/S02","unskilled labour"
"H012/S03","unskilled labour"
"H012/S04","unskilled labour"
"H013/S01","unskilled labour"
"H013/S02","unskilled labour"
"H013/S03","unskilled labour"
"H013/S04","student"
"H014/S01","unskilled labour"
"H014/S02","unskilled labour"
"H014/S03","unskilled labour"
"H014/S04","student"
"H015/S01","unskilled labour"
"H015/S02","unskilled labour"
"H016/S02","unskilled labour"
"H016/S03",NA
"H016/S04",NA
"H017/S01","trained craftsman"
"H017/S02","trained craftsman"
"H017/S03","trained craftsman"
"H018/S01","unskilled labour"
"H018/S02","unskilled labour"
"H018/S03","student"
"H018/S04",NA
"H019/S01","unskilled labour"
"H019/S02","unskilled agricultural"
"H019/S03","unskilled labour"
"H019/S04","unskilled agricultural"
"H019/S05","unskilled agricultural"
"H019/S06",NA
"H019/S07",NA
"H020/S01","trained craftsman"
"H020/S02","trained craftsman"
"H022/S01","unskilled labour"
"H022/S02","trained craftsman"
"H023/S01","unskilled labour"
"H023/S02","unskilled labour"
"H023/S03","student"
"H024/S01","unskilled labour"
"H024/S02","unskilled labour"
"H024/S03","student"
"H025/S01","trained craftsman"
"H025/S02","trained craftsman"
"H025/S03","trained craftsman"
"H026/S01","trained craftsman"
"H026/S02","trained craftsman"
"H028/S01","leader"
"H028/S02","trained craftsman"
"H028/S03","trained craftsman"
"H028/S04",NA
"H030/S01","unskilled labour"
"H030/S02","unskilled labour"
"H030/S03",NA
"H030/S04",NA
"H032/S01","unskilled labour"
"H032/S02","unskilled labour"
"H034/S01","unskilled labour"
"H034/S02","unskilled agricultural"
"H034/S03","student"
"H034/S04","unskilled labour"
"H034/S05","unskilled labour"
"H034/S06","student"
"H035/S01","unskilled labour"
