"part_id","sday_id","day","month","year","dayofweek"
"H002/S01",NA,NA,NA,2007,2
"H002/S02",NA,NA,NA,2007,3
"H002/S03",NA,NA,NA,2007,4
"H002/S04",NA,NA,NA,2007,5
"H002/S05",NA,NA,NA,2007,6
"H003/S01",NA,NA,NA,2007,3
"H003/S02",NA,NA,NA,2007,3
"H003/S03",NA,NA,NA,2007,4
"H003/S04",NA,NA,NA,2007,5
"H004/S01",NA,NA,NA,2007,2
"H004/S02",NA,NA,NA,2007,3
"H004/S03",NA,NA,NA,2007,4
"H004/S04",NA,NA,NA,2007,5
"H004/S05",NA,NA,NA,2007,6
"H005/S01",NA,NA,NA,2007,3
"H005/S02",NA,NA,NA,2007,3
"H005/S03",NA,NA,NA,2007,4
"H005/S04",NA,NA,NA,2007,5
"H006/S01",NA,NA,NA,2007,3
"H006/S02",NA,NA,NA,2007,3
"H006/S03",NA,NA,NA,2007,4
"H006/S04",NA,NA,NA,2007,5
"H006/S05",NA,NA,NA,2007,6
"H007/S01",NA,NA,NA,2007,3
"H007/S02",NA,NA,NA,2007,3
"H009/S01",NA,NA,NA,2007,3
"H009/S02",NA,NA,NA,2007,3
"H009/S03",NA,NA,NA,2007,4
"H009/S04",NA,NA,NA,2007,5
"H009/S05",NA,NA,NA,2007,6
"H010/S01",NA,NA,NA,2007,3
"H010/S02",NA,NA,NA,2007,3
"H010/S03",NA,NA,NA,2007,4
"H010/S04",NA,NA,NA,2007,5
"H010/S05",NA,NA,NA,2007,6
"H011/S01",NA,NA,NA,2007,3
"H011/S02",NA,NA,NA,2007,3
"H011/S03",NA,NA,NA,2007,4
"H011/S04",NA,NA,NA,2007,5
"H012/S01",NA,NA,NA,2007,3
"H012/S02",NA,NA,NA,2007,3
"H012/S03",NA,NA,NA,2007,4
"H012/S04",NA,NA,NA,2007,5
"H013/S01",NA,NA,NA,2007,2
"H013/S02",NA,NA,NA,2007,3
"H013/S03",NA,NA,NA,2007,4
"H013/S04",NA,NA,NA,2007,5
"H014/S01",NA,NA,NA,2007,2
"H014/S02",NA,NA,NA,2007,3
"H014/S03",NA,NA,NA,2007,4
"H014/S04",NA,NA,NA,2007,5
"H015/S01",NA,NA,NA,2007,3
"H015/S02",NA,NA,NA,2007,3
"H016/S02",NA,NA,NA,2007,3
"H016/S03",NA,NA,NA,2007,4
"H016/S04",NA,NA,NA,2007,5
"H017/S01",NA,NA,NA,2007,NA
"H017/S02",NA,NA,NA,2007,NA
"H017/S03",NA,NA,NA,2007,NA
"H018/S01",NA,NA,NA,2007,3
"H018/S02",NA,NA,NA,2007,3
"H018/S03",NA,NA,NA,2007,4
"H018/S04",NA,NA,NA,2007,5
"H019/S01",NA,NA,NA,2007,2
"H019/S02",NA,NA,NA,2007,3
"H019/S03",NA,NA,NA,2007,4
"H019/S04",NA,NA,NA,2007,5
"H019/S05",NA,NA,NA,2007,6
"H019/S06",NA,NA,NA,2007,0
"H019/S07",NA,NA,NA,2007,1
"H020/S01",NA,NA,NA,2007,2
"H020/S02",NA,NA,NA,2007,3
"H022/S01",NA,NA,NA,2007,2
"H022/S02",NA,NA,NA,2007,3
"H023/S01",NA,NA,NA,2007,3
"H023/S02",NA,NA,NA,2007,2
"H023/S03",NA,NA,NA,2007,4
