"part_id","cont_id","Household.member","Hold..5.min","Miles.travelled","Nursery.childcare"
1,1,"Yes","",NA,0
1,2,"Yes","Yes",NA,0
1,3,"No","Yes",NA,0
1,4,"Yes","Yes",0,0
1,5,"Yes","Yes",NA,0
1,6,"No","Yes",NA,0
1,7,"No","Yes",NA,0
2,8,"No","Yes",NA,0
2,9,"No","",NA,0
2,10,"No","Yes",NA,0
2,11,"Yes","Yes",NA,0
2,12,"No","",NA,0
2,13,"No","",NA,0
2,14,"No","",NA,0
2,15,"No","",NA,0
2,16,"Yes","Yes",10,0
2,17,"Yes","Yes",NA,0
2,18,"No","Yes",NA,0
2,19,"No","",NA,0
2,20,"No","",NA,0
2,21,"No","Yes",NA,0
2,22,"No","Yes",NA,0
3,23,"No","",NA,0
3,24,"No","",NA,0
3,25,"No","",NA,0
3,26,"Yes","Yes",2,0
3,27,"Yes","Yes",NA,0
3,28,"No","",NA,0
3,29,"No","Yes",NA,0
3,30,"No","",NA,0
3,31,"No","",NA,0
4,32,"Yes","Yes",NA,0
4,33,"No","Yes",NA,0
4,34,"Yes","Yes",NA,0
4,35,"Yes","Yes",NA,0
4,36,"Yes","Yes",NA,0
4,37,"Yes","Yes",NA,0
4,38,"No","Yes",NA,0
4,39,"No","Yes",NA,0
5,40,"Yes","Yes",NA,0
5,41,"Yes","Yes",NA,0
5,42,"Yes","Yes",NA,0
5,43,"No","",NA,0
6,44,"Yes","Yes",NA,0
6,45,"Yes","Yes",NA,0
6,46,"Yes","Yes",NA,0
6,47,"No","Yes",NA,0
6,48,"No","Yes",NA,0
6,49,"No","Yes",NA,0
7,50,"Yes","",10,0
7,51,"Yes","",NA,0
7,52,"No","",NA,0
7,53,"No","",NA,0
7,54,"No","",NA,0
7,55,"No","",NA,0
7,56,"No","",NA,0
8,57,"Yes","Yes",NA,0
8,58,"Yes","Yes",NA,0
8,59,"Yes","Yes",NA,0
8,60,"Yes","Yes",NA,0
9,61,"No","",NA,0
9,62,"No","",NA,0
9,63,"No","",NA,0
9,64,"Yes","Yes",15,0
9,65,"No","Yes",NA,0
9,66,"No","Yes",NA,0
9,67,"No","Yes",NA,0
9,68,"No","Yes",NA,0
9,69,"No","",NA,0
9,70,"No","",NA,0
9,71,"No","",NA,0
9,72,"No","Yes",NA,0
9,73,"No","Yes",NA,0
10,74,"Yes","Yes",NA,0
10,75,"No","Yes",15,0
10,76,"No","",NA,0
10,77,"","",NA,0
10,78,"Yes","Yes",NA,0
10,79,"No","",NA,0
10,80,"No","",NA,0
10,81,"No","",NA,0
10,82,"No","",NA,0
11,83,"Yes","Yes",2,0
11,84,"Yes","Yes",NA,0
11,85,"No","Yes",NA,0
12,86,"Yes","Yes",NA,0
12,87,"Yes","Yes",NA,0
12,88,"No","",NA,0
12,89,"No","Yes",NA,0
12,90,"Yes","",NA,0
12,91,"Yes","Yes",NA,0
12,92,"No","Yes",NA,0
12,93,"No","Yes",NA,0
12,94,"No","Yes",NA,0
12,95,"No","Yes",NA,0
13,96,"Yes","Yes",NA,0
13,97,"Yes","Yes",NA,0
13,98,"No","Yes",NA,0
13,99,"No","Yes",NA,0
13,100,"No","Yes",NA,0
13,101,"No","Yes",NA,0
14,102,"No","",NA,0
14,103,"Yes","Yes",NA,0
14,104,"No","",NA,0
14,105,"Yes","Yes",0,0
14,106,"Yes","Yes",NA,0
14,107,"No","",NA,0
15,108,"Yes","",NA,0
15,109,"Yes","Yes",NA,0
15,110,"Yes","Yes",1,0
15,111,"Yes","Yes",NA,0
15,112,"No","",NA,1
15,113,"No","",NA,1
16,114,"No","",NA,0
16,115,"No","",NA,0
16,116,"No","",NA,0
16,117,"Yes","",NA,0
16,118,"No","",NA,0
16,119,"No","",NA,0
16,120,"Yes","Yes",NA,0
16,121,"Yes","Yes",NA,0
16,122,"No","",NA,0
16,123,"No","",3,0
17,124,"Yes","",NA,0
17,125,"Yes","",NA,0
17,126,"Yes","Yes",85,0
