"hh_id","hh_relationship_1","hh_age_1","hh_sex_1","hh_relationship_2","hh_age_2","hh_sex_2","hh_relationship_3","hh_age_3","hh_sex_3","hh_relationship_4","hh_age_4","hh_sex_4","hh_relationship_5","hh_age_5","hh_sex_5","hh_relationship_6","hh_age_6","hh_sex_6","hh_relationship_7","hh_age_7","hh_sex_7","hh_relationship_8","hh_age_8","hh_sex_8"
"HH1","Father",30,"Male","Mother",32,"Female","Brother or Sister",6,"Female","Brother or Sister",4,"Male","",NA,"","",NA,"","",NA,"",NA,NA,NA
"HH2","Mother",36,"Female","Father",37,"Male","Brother or Sister",4,"Female","",NA,"","",NA,"","",NA,"","",NA,"",NA,NA,NA
"HH3","Mother",25,"Female","Father",28,"Male","Brother or Sister",3,"Female","",NA,"","",NA,"","",NA,"","",NA,"",NA,NA,NA
"HH4","Father",33,"Male","Mother",29,"Female","Brother or Sister",9,"Male","Brother or Sister",8,"Male","Brother or Sister",3,"Male","",NA,"","",NA,"",NA,NA,NA
"HH5","Father",37,"Male","Mother",35,"Female","Brother or Sister",2,"Male","",NA,"","",NA,"","",NA,"","",NA,"",NA,NA,NA
"HH6","Mother",32,"Female","Father",31,"Male","Brother or Sister",2,"Female","",NA,"","",NA,"","",NA,"","",NA,"",NA,NA,NA
"HH7","Mother",30,"Female","Father",33,"Male","",NA,"","",NA,"","",NA,"","",NA,"","",NA,"",NA,NA,NA
"HH8","",NA,"","",NA,"","",NA,"","",NA,"","",NA,"","",NA,"","",NA,"",NA,NA,NA
"HH9","Mother",25,"Female","",NA,"","",NA,"","",NA,"","",NA,"","",NA,"","",NA,"",NA,NA,NA
"HH10","Father",28,"Male","Mother",32,"Female","",NA,"","",NA,"","",NA,"","",NA,"","",NA,"",NA,NA,NA
"HH11","Father",31,"Male","Mother",32,"Female","Other family",65,"Female","",NA,"","",NA,"","",NA,"","",NA,"",NA,NA,NA
"HH12","",NA,"","",NA,"","",NA,"","",NA,"","",NA,"","",NA,"","",NA,"",NA,NA,NA
"HH13","Mother",30,"Female","Father",37,"Male","",NA,"","",NA,"","",NA,"","",NA,"","",NA,"",NA,NA,NA
"HH14","Mother",35,"Female","Father",36,"Male","Brother or Sister",5,"Male","",NA,"","",NA,"","",NA,"","",NA,"",NA,NA,NA
"HH15","Father",34,"Male","Mother",34,"Female","Brother or Sister",4,"Male","Brother or Sister",2,"Male","",NA,"","",NA,"","",NA,"",NA,NA,NA
"HH16","Mother",39,"Female","Father",39,"Male","Brother or Sister",4,"Female","",NA,"","",NA,"","",NA,"","",NA,"",NA,NA,NA
"HH17","Mother",41,"Female","Father",44,"Male","Brother or Sister",5,"Male","Brother or Sister",3,"Male","",NA,"","",NA,"","",NA,"",NA,NA,NA
"HH18","Father",41,"Male","Mother",33,"Female","Brother or Sister",3,"Female","",NA,"","",NA,"","",NA,"","",NA,"",NA,NA,NA
"HH19","Mother",21,"Female","Father",32,"Male","Brother or Sister",3,"Male","",NA,"","",NA,"","",NA,"","",NA,"",NA,NA,NA
"HH20","Mother",33,"Female","Father",34,"Male","Brother or Sister",2,"Male","",NA,"","",NA,"","",NA,"","",NA,"",NA,NA,NA
"HH21","Father",37,"Male","Mother",38,"Female","Brother or Sister",2,"Male","",NA,"","",NA,"","",NA,"","",NA,"",NA,NA,NA
"HH22","Mother",36,"Female","Father",40,"Male","Brother or Sister",1,"Male","",NA,"","",NA,"","",NA,"","",NA,"",NA,NA,NA
"HH23","Father",37,"Male","Mother",31,"Female","",NA,"","",NA,"","",NA,"","",NA,"","",NA,"",NA,NA,NA
"HH24","Mother",34,"Female","Father",37,"Male","",NA,"","",NA,"","",NA,"","",NA,"","",NA,"",NA,NA,NA
"HH25","Father",27,"Male","Mother",26,"Female","",NA,"","",NA,"","",NA,"","",NA,"","",NA,"",NA,NA,NA
"HH26","Father",32,"Male","Mother",32,"Female","",NA,"","",NA,"","",NA,"","",NA,"","",NA,"",NA,NA,NA
"HH27","Mother",44,"Female","Father",40,"Male","",NA,"","",NA,"","",NA,"","",NA,"","",NA,"",NA,NA,NA
"HH28","Father",30,"Male","Mother",36,"Female","",NA,"","",NA,"","",NA,"","",NA,"","",NA,"",NA,NA,NA
"HH29","Father",29,"Male","Mother",30,"Female","",NA,"","",NA,"","",NA,"","",NA,"","",NA,"",NA,NA,NA
"HH30","Father",39,"Male","Mother",35,"Female","Brother or Sister",8,"Male","Brother or Sister",6,"Male","",NA,"","",NA,"","",NA,"",NA,NA,NA
"HH31","Mother",30,"Female","Father",33,"Male","Brother or Sister",4,"Male","",NA,"","",NA,"","",NA,"","",NA,"",NA,NA,NA
"HH32","Father",23,"Male","Brother or Sister",24,"Female","Brother or Sister",2,"Female","",NA,"","",NA,"","",NA,"","",NA,"",NA,NA,NA
"HH33","Mother",37,"Female","Father",44,"Male","Brother or Sister",6,"Male","Brother or Sister",2,"Female","",NA,"","",NA,"","",NA,"",NA,NA,NA
"HH34","Father",24,"Male","Mother",23,"Female","",NA,"","",NA,"","",NA,"","",NA,"","",NA,"",NA,NA,NA
"HH35","Father",32,"Male","Mother",25,"Female","",NA,"","",NA,"","",NA,"","",NA,"","",NA,"",NA,NA,NA
"HH36","Father",38,"Male","Mother",41,"Female","",NA,"","",NA,"","",NA,"","",NA,"","",NA,"",NA,NA,NA
"HH37","",NA,"","",NA,"","",NA,"","",NA,"","",NA,"","",NA,"","",NA,"",NA,NA,NA
"HH38","Father",28,"Male","Mother",29,"Female","",NA,"","",NA,"","",NA,"","",NA,"","",NA,"",NA,NA,NA
"HH39","",NA,"","",NA,"","",NA,"","",NA,"","",NA,"","",NA,"","",NA,"",NA,NA,NA
"HH40","Father",35,"Male","Mother",25,"Female","Brother or Sister",3,"Male","",NA,"","",NA,"","",NA,"","",NA,"",NA,NA,NA
"HH41","Father",33,"Male","Mother",35,"Female","Brother or Sister",6,"Female","",NA,"","",NA,"","",NA,"","",NA,"",NA,NA,NA
"HH42","Father",32,"Male","Mother",31,"Female","Brother or Sister",4,"Male","Brother or Sister",2,"Male","",NA,"","",NA,"","",NA,"",NA,NA,NA
"HH43","Mother",28,"Female","Father",30,"Male","Brother or Sister",3,"Male","",NA,"","",NA,"","",NA,"","",NA,"",NA,NA,NA
"HH44","",NA,"","",NA,"","",NA,"","",NA,"","",NA,"","",NA,"","",NA,"",NA,NA,NA
"HH45","Mother",28,"Female","Father",34,"Male","Brother or Sister",2,"Female","",NA,"","",NA,"","",NA,"","",NA,"",NA,NA,NA
"HH46","",NA,"","",NA,"","",NA,"","",NA,"","",NA,"","",NA,"","",NA,"",NA,NA,NA
"HH47","Father",28,"Male","Mother",23,"Female","",NA,"","",NA,"","",NA,"","",NA,"","",NA,"",NA,NA,NA
"HH48","Father",55,"Male","Mother",37,"Female","",NA,"","",NA,"","",NA,"","",NA,"","",NA,"",NA,NA,NA
