"part_id","hh_id","part_age","part_gender"
1,"HH1",0,"F"
2,"HH2",0,"F"
3,"HH3",0,"M"
4,"HH4",0,"M"
5,"HH5",0,"M"
6,"HH6",0,"F"
7,"HH7",0,"M"
8,"HH8",0,"M"
9,"HH9",0,"F"
10,"HH10",0,"M"
11,"HH11",0,"F"
12,"HH12",0,"M"
13,"HH13",0,"F"
14,"HH14",0,"F"
15,"HH15",0,"M"
16,"HH16",0,"F"
17,"HH17",0,"M"
18,"HH18",0,"F"
19,"HH19",0,"M"
20,"HH20",0,"F"
21,"HH21",0,"M"
22,"HH22",0,"F"
23,"HH23",0,"F"
24,"HH24",0,"F"
25,"HH25",0,"M"
26,"HH26",0,"F"
27,"HH27",0,"M"
28,"HH28",0,"F"
29,"HH29",0,"M"
30,"HH30",0,"F"
31,"HH31",0,"F"
32,"HH32",0,"M"
33,"HH33",0,"M"
34,"HH34",0,"F"
35,"HH35",0,"M"
36,"HH36",NA,"F"
37,"HH37",0,"M"
38,"HH38",0,"M"
39,"HH39",0,"M"
40,"HH40",0,"M"
41,"HH41",0,"F"
42,"HH42",0,"M"
43,"HH43",0,"M"
44,"HH44",0,"M"
45,"HH45",0,"M"
46,"HH46",0,"M"
47,"HH47",0,"M"
48,"HH48",0,"M"
49,"HH49",0,"M"
50,"HH50",0,"M"
51,"HH51",0,"F"
52,"HH52",0,"M"
53,"HH53",0,"F"
54,"HH54",0,"M"
55,"HH55",0,"F"
56,"HH56",0,"M"
57,"HH57",0,"F"
58,"HH58",0,"M"
59,"HH59",0,"M"
60,"HH60",0,"F"
61,"HH61",0,"M"
62,"HH62",0,"M"
63,"HH63",0,"F"
64,"HH64",0,"M"
65,"HH65",0,"F"
66,"HH66",0,"M"
67,"HH67",0,"M"
68,"HH68",0,"M"
69,"HH69",0,"M"
70,"HH70",0,"M"
71,"HH71",0,"M"
72,"HH72",0,"M"
73,"HH73",0,"F"
74,"HH74",0,"M"
75,"HH75",0,"F"
76,"HH76",0,"M"
77,"HH77",0,"F"
78,"HH78",0,"F"
79,"HH79",0,"F"
80,"HH80",0,"M"
81,"HH81",0,"F"
82,"HH82",0,"F"
83,"HH83",0,"M"
84,"HH84",0,"F"
85,"HH85",0,"F"
86,"HH86",0,"M"
87,"HH87",0,"M"
88,"HH88",0,"F"
89,"HH89",0,"F"
90,"HH90",0,"F"
91,"HH91",0,"F"
92,"HH92",0,"F"
93,"HH93",0,"F"
94,"HH94",0,"F"
95,"HH95",0,"F"
96,"HH96",0,"F"
97,"HH97",0,"F"
98,"HH98",0,"F"
99,"HH99",0,"M"
100,"HH100",0,"M"
101,"HH101",0,"F"
102,"HH102",0,"M"
103,"HH103",0,"M"
104,"HH104",0,"F"
105,"HH105",0,"M"
106,"HH106",0,"M"
107,"HH107",0,"M"
108,"HH108",0,"M"
109,"HH109",0,"F"
110,"HH110",0,"F"
111,"HH111",0,"F"
112,"HH112",0,"M"
113,"HH113",0,"F"
114,"HH114",0,"M"
115,"HH115",0,"M"
116,"HH116",0,"M"
