"urban","age","sex","c.all","c.touch","c.age.under5","c.age.6to19","c.age.20to64","c.age.over65","c.home","c.work","c.all.other","c.dur.1","c.dur.2","c.dur.3","c.dur.4","c.freq.1","c.freq.2","c.freq.3","c.freq.4","c.freq.5","dist.1","dist.2","dist.3","dist.4"
"Rural","60-64","male",67,1,0,0,67,0,2,0,65,10,0,0,57,27,0,0,40,0,57,10,0,0
"Rural","60-64","female",34,1,0,0,33,1,4,0,30,7,0,2,25,7,8,0,19,0,17,17,0,0
"Rural","35-39","male",17,0,0,0,15,2,2,0,15,0,0,0,17,2,15,0,0,0,7,10,0,0
"Rural","60-64","male",13,1,0,0,13,0,1,0,12,0,0,10,3,13,0,0,0,0,13,0,0,0
"Rural","40-44","female",8,2,0,0,8,0,2,0,6,0,0,6,2,7,0,0,1,0,8,0,0,0
"Rural","25-29","male",10,3,1,0,9,0,3,0,7,1,1,0,8,3,0,0,5,2,8,2,0,0
"Rural","55-59","male",8,2,1,0,7,0,3,0,5,0,0,5,3,8,0,0,0,0,8,0,0,0
"Rural","55-59","female",4,2,1,0,3,0,3,0,1,1,0,0,3,4,0,0,0,0,4,0,0,0
"Rural","60-64","male",13,1,0,1,10,2,1,3,9,12,0,0,1,9,1,0,3,0,10,3,0,0
"Rural","10-14","female",6,1,0,3,1,2,1,0,5,2,0,3,1,2,2,2,0,0,6,0,0,0
"Rural","65-69","male",28,6,1,4,23,0,6,0,22,19,0,0,9,25,0,0,3,0,25,3,0,0
"Rural","60-64","female",10,6,2,4,3,1,7,0,3,1,0,2,7,10,0,0,0,0,10,0,0,0
"Rural","80+","male",57,4,0,4,52,1,10,0,47,0,44,0,13,1,0,3,53,0,57,0,0,0
"Rural","75-79","female",52,5,0,4,47,1,10,0,42,40,0,1,11,3,0,45,4,0,52,0,0,0
"Rural","75-79","female",8,1,0,0,3,5,8,0,0,7,0,0,1,8,0,0,0,0,8,0,0,0
"Rural","75-79","male",1,1,0,0,0,1,1,0,0,0,0,0,1,1,0,0,0,0,1,0,0,0
"Rural","60-64","male",1,0,0,0,1,0,0,0,1,1,0,0,0,0,0,0,1,0,0,1,0,0
"Rural","55-59","male",9,1,0,0,8,1,3,0,6,2,1,0,6,7,0,0,2,0,9,0,0,0
"Rural","30-34","male",19,2,1,0,18,0,3,0,16,0,0,16,3,19,0,0,0,0,19,0,0,0
"Rural","25-29","female",5,3,1,0,4,0,3,0,2,0,2,0,3,5,0,0,0,0,5,0,0,0
"Rural","50-54","male",72,2,0,0,72,0,2,35,35,25,0,0,47,57,0,15,0,0,57,15,0,0
"Rural","50-54","female",42,4,1,2,37,2,6,15,21,35,0,1,6,24,15,0,3,0,42,0,0,0
"Rural","45-49","male",9,1,0,2,7,0,3,0,6,1,5,0,3,7,0,2,0,0,9,0,0,0
"Rural","40-44","female",10,2,0,2,8,0,3,0,7,3,4,0,3,8,0,1,1,0,10,0,0,0
"Rural","60-64","male",18,0,0,0,18,0,2,0,16,1,15,0,2,10,0,0,0,8,10,8,0,0
"Rural","20-24","male",6,0,0,0,6,0,4,0,2,2,0,3,1,6,0,0,0,0,6,0,0,0
"Rural","35-39","female",7,2,0,1,5,1,4,0,3,4,0,0,3,3,0,1,0,3,4,0,3,0
"Rural","70-74","male",24,1,0,1,23,0,3,0,21,16,5,0,3,3,0,0,17,4,8,16,0,0
"Rural","35-39","male",128,18,0,1,122,5,3,119,6,10,0,0,118,128,0,0,0,0,9,119,0,0
"Rural","10-14","male",8,5,0,1,6,1,0,0,8,2,0,0,6,0,2,0,4,2,0,0,8,0
"Rural","55-59","male",5,0,0,2,3,0,2,0,3,3,0,0,2,2,1,0,2,0,4,1,0,0
"Rural","15-19","male",13,4,4,7,2,0,12,0,1,1,6,0,6,5,0,6,2,0,13,0,0,0
"Rural","50-54","female",123,2,1,0,121,1,3,0,120,120,0,0,3,23,0,0,100,0,123,0,0,0
"Rural","60-64","male",46,9,1,0,44,1,4,0,42,25,0,0,21,8,35,1,0,2,46,0,0,0
"Rural","25-29","female",10,3,1,2,6,1,5,0,5,0,0,0,10,10,0,0,0,0,10,0,0,0
"Rural","75-79","male",9,4,1,2,2,4,9,0,0,0,0,4,5,9,0,0,0,0,9,0,0,0
"Rural","25-29","male",9,0,0,0,9,0,4,0,5,5,0,0,4,4,0,0,5,0,4,0,2,3
"Rural","55-59","male",17,0,0,1,15,1,5,0,12,16,0,0,1,7,0,0,0,5,5,12,0,0
"Rural","80+","female",7,5,0,0,7,0,7,0,0,0,6,0,1,7,0,0,0,0,7,0,0,0
"Rural","50-54","male",23,1,1,0,22,0,2,0,21,20,0,0,3,17,0,3,1,2,17,2,4,0
"Rural","45-49","female",25,3,1,0,24,0,2,0,23,19,3,0,3,12,0,0,3,10,12,3,10,0
"Rural","80+","female",23,2,0,0,21,2,1,0,21,17,3,0,3,4,13,3,3,0,23,0,0,0
"Rural","40-44","female",19,5,0,1,17,1,4,0,15,14,0,0,5,15,4,0,0,0,15,4,0,0
"Rural","80+","female",26,2,0,1,25,0,6,3,20,3,0,0,23,23,0,0,3,0,26,0,0,0
"Rural","10-14","female",10,6,0,3,5,2,5,0,5,3,0,0,7,4,0,2,4,0,10,0,0,0
