part_id,cont_id,cnt_age_exact,cnt_age_est_min,cnt_age_est_max,cnt_gender,cnt_home,cnt_work,cnt_school,cnt_transport,cnt_leisure,cnt_otherplace,frequency_multi,phys_contact,duration_multi
15218,15218_2_1_1,68,NA,NA,F,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,1,2,5
15218,15218_2_1_2,NA,50,60,M,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,2,1,3
15218,15218_2_2_1,68,NA,NA,F,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,1,2,5
3996,3996_2_1_1,29,NA,NA,F,TRUE,FALSE,FALSE,FALSE,TRUE,TRUE,1,1,5
3996,3996_2_1_2,33,NA,NA,M,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,1,1,4
3996,3996_2_1_3,3,NA,NA,F,TRUE,FALSE,FALSE,FALSE,TRUE,TRUE,1,1,5
3996,3996_2_1_4,NA,40,42,F,TRUE,FALSE,FALSE,FALSE,FALSE,TRUE,5,1,3
3996,3996_2_1_5,NA,12,15,F,TRUE,FALSE,FALSE,FALSE,FALSE,TRUE,5,1,3
3996,3996_2_1_6,18,NA,NA,F,TRUE,FALSE,FALSE,FALSE,FALSE,TRUE,5,1,3
3996,3996_2_2_1,29,NA,NA,F,TRUE,FALSE,FALSE,FALSE,TRUE,TRUE,1,1,5
3996,3996_2_2_2,33,NA,NA,M,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,1,1,4
3996,3996_2_2_3,3,NA,NA,F,TRUE,FALSE,FALSE,FALSE,TRUE,TRUE,1,1,5
3996,3996_2_2_4,NA,7,10,M,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,2,1,1
14409,14409_2_1_1,49,NA,NA,F,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,1,1,4
14409,14409_2_1_2,48,NA,NA,M,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,1,1,4
14409,14409_2_1_3,16,NA,NA,M,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,1,2,4
14409,14409_2_1_4,NA,55,60,F,TRUE,FALSE,FALSE,FALSE,FALSE,TRUE,1,1,2
14409,14409_2_1_5,NA,20,25,F,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,5,2,1
14409,14409_2_1_6,NA,45,50,F,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,5,2,1
14409,14409_2_1_7,28,NA,NA,M,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,2,1,1
14409,14409_2_1_8,29,NA,NA,F,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,2,1,1
14409,14409_2_1_9,6,NA,NA,M,TRUE,FALSE,FALSE,FALSE,FALSE,TRUE,2,1,5
14409,14409_2_1_10,NA,30,35,M,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,2,2,1
14409,14409_2_1_11,50,NA,NA,F,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,2,1,4
14409,14409_2_2_1,49,NA,NA,F,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,1,1,4
14409,14409_2_2_2,48,NA,NA,M,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,1,1,3
14409,14409_2_2_3,16,NA,NA,M,TRUE,FALSE,FALSE,FALSE,FALSE,TRUE,1,1,5
14409,14409_2_2_4,6,NA,NA,M,TRUE,FALSE,FALSE,FALSE,TRUE,TRUE,2,1,5
14409,14409_2_2_5,NA,50,55,F,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,2,1,4
14409,14409_2_2_6,NA,50,55,M,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,2,1,4
14409,14409_2_2_7,NA,20,25,F,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,2,1,4
14409,14409_2_2_8,NA,20,25,F,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,2,1,2
14409,14409_2_2_9,NA,50,55,F,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,2,1,2
14409,14409_2_2_10,28,NA,NA,M,FALSE,FALSE,FALSE,FALSE,TRUE,TRUE,2,1,4
952,952_2_1_1,81,NA,NA,M,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,1,1,5
