cont_id,wave,studyDay
15218_2_1_1,2,1
15218_2_1_2,2,1
15218_2_2_1,2,2
3996_2_1_1,2,1
3996_2_1_2,2,1
3996_2_1_3,2,1
3996_2_1_4,2,1
3996_2_1_5,2,1
3996_2_1_6,2,1
3996_2_2_1,2,2
3996_2_2_2,2,2
3996_2_2_3,2,2
3996_2_2_4,2,2
14409_2_1_1,2,1
14409_2_1_2,2,1
14409_2_1_3,2,1
14409_2_1_4,2,1
14409_2_1_5,2,1
14409_2_1_6,2,1
14409_2_1_7,2,1
14409_2_1_8,2,1
14409_2_1_9,2,1
14409_2_1_10,2,1
14409_2_1_11,2,1
14409_2_2_1,2,2
14409_2_2_2,2,2
14409_2_2_3,2,2
14409_2_2_4,2,2
14409_2_2_5,2,2
14409_2_2_6,2,2
14409_2_2_7,2,2
14409_2_2_8,2,2
14409_2_2_9,2,2
14409_2_2_10,2,2
952_2_1_1,2,1
952_2_1_2,2,1
952_2_1_3,2,1
952_2_1_4,2,1
952_2_1_5,2,1
952_2_1_6,2,1
952_2_2_1,2,2
12382_2_1_1,2,1
12382_2_1_2,2,1
12382_2_1_3,2,1
12382_2_2_1,2,2
12382_2_2_2,2,2
9631_2_1_1,2,1
9631_2_1_2,2,1
9631_2_1_3,2,1
9631_2_1_4,2,1
9631_2_1_5,2,1
9631_2_1_6,2,1
9631_2_1_7,2,1
9631_2_2_1,2,2
9631_2_2_2,2,2
9631_2_2_3,2,2
9631_2_2_4,2,2
17843_2_1_1,2,1
17843_2_1_2,2,1
17843_2_1_3,2,1
17843_2_1_4,2,1
17843_2_1_5,2,1
17843_2_1_6,2,1
17843_2_1_7,2,1
17843_2_1_8,2,1
17843_2_1_9,2,1
17843_2_2_1,2,2
17843_2_2_2,2,2
17843_2_2_3,2,2
17843_2_2_4,2,2
17843_2_2_5,2,2
17843_2_2_6,2,2
17843_2_2_7,2,2
17843_2_2_8,2,2
17843_2_2_9,2,2
17702_2_1_1,2,1
17702_2_1_2,2,1
17702_2_1_3,2,1
17702_2_1_4,2,1
17702_2_1_5,2,1
17702_2_1_6,2,1
17702_2_1_7,2,1
17702_2_1_8,2,1
17702_2_2_1,2,2
17702_2_2_2,2,2
17702_2_2_3,2,2
17702_2_2_4,2,2
17702_2_2_5,2,2
17702_2_2_6,2,2
17702_2_2_7,2,2
17702_2_2_8,2,2
17702_2_2_9,2,2
17702_2_2_10,2,2
17702_2_2_11,2,2
9830_2_1_1,2,1
9830_2_1_2,2,1
9830_2_1_3,2,1
9830_2_1_4,2,1
9830_2_2_1,2,2
