"part_id","hh_id","part_age","part_gender"
1,"FR15",4,"F"
14,"FR15",26,"F"
19,"FR15",62,"M"
21,"FR15",78,"F"
24,"FR15",62,"F"
25,"FR15",54,"M"
28,"FR15",62,"F"
35,"FR15",35,"F"
38,"FR15",63,"F"
46,"FR15",42,"M"
53,"FR15",59,"F"
60,"FR15",9,"F"
76,"FR15",56,"M"
92,"FR15",55,"F"
94,"FR15",60,"F"
13,"FR15",25,"F"
31,"FR15",71,"M"
105,"FR15",46,"M"
107,"FR15",66,"M"
113,"FR15",60,"F"
115,"FR15",28,"F"
124,"FR15",29,"M"
128,"FR15",53,"M"
140,"FR15",84,"F"
145,"FR15",60,"F"
150,"FR15",59,"F"
152,"FR15",27,"M"
154,"FR15",53,"M"
170,"FR15",59,"M"
171,"FR15",48,"F"
174,"FR15",2,"F"
182,"FR15",36,"M"
224,"FR15",0,"F"
229,"FR15",53,"F"
233,"FR15",6,"M"
255,"FR15",8,"M"
267,"FR15",56,"F"
269,"FR15",0,"M"
272,"FR15",17,"M"
274,"FR15",48,"F"
280,"FR15",75,"F"
293,"FR15",11,"M"
297,"FR15",48,"F"
309,"FR15",45,"F"
311,"FR15",60,"F"
312,"FR15",58,"F"
313,"FR15",34,"F"
315,"FR15",64,"M"
318,"FR15",34,"F"
319,"FR15",68,"F"
342,"FR15",60,"F"
346,"FR15",63,"F"
353,"FR15",62,"F"
365,"FR15",4,"F"
372,"FR15",54,"F"
373,"FR15",55,"F"
375,"FR15",6,"M"
383,"FR15",1,"F"
384,"FR15",56,"F"
385,"FR15",21,"M"
392,"FR15",24,"F"
402,"FR15",82,"M"
403,"FR15",52,"M"
405,"FR15",55,"F"
412,"FR15",33,"M"
413,"FR15",56,"F"
415,"FR15",61,"M"
422,"FR15",66,"F"
431,"FR15",13,"M"
440,"FR15",25,"F"
441,"FR15",67,"F"
444,"FR15",32,"M"
451,"FR15",47,"M"
457,"FR15",13,"M"
468,"FR15",47,"M"
472,"FR15",0,"M"
490,"FR15",16,"M"
492,"FR15",78,"F"
493,"FR15",3,"M"
495,"FR15",71,"F"
496,"FR15",53,"F"
500,"FR15",19,"F"
501,"FR15",14,"F"
506,"FR15",12,"F"
509,"FR15",41,"F"
511,"FR15",56,"M"
518,"FR15",68,"F"
519,"FR15",75,"M"
533,"FR15",15,"F"
537,"FR15",50,"F"
539,"FR15",51,"F"
543,"FR15",49,"F"
548,"FR15",60,"M"
558,"FR15",14,"F"
564,"FR15",63,"M"
565,"FR15",19,"F"
568,"FR15",67,"F"
575,"FR15",9,"M"
576,"FR15",69,"M"
581,"FR15",7,"F"
595,"FR15",1,"F"
598,"FR15",23,"F"
603,"FR15",10,"M"
610,"FR15",50,"F"
616,"FR15",56,"M"
623,"FR15",31,"F"
635,"FR15",82,"F"
637,"FR15",61,"F"
642,"FR15",2,"F"
648,"FR15",51,"M"
653,"FR15",63,"M"
661,"FR15",60,"M"
663,"FR15",75,"F"
664,"FR15",18,"M"
667,"FR15",43,"M"
668,"FR15",13,"M"
673,"FR15",83,"M"
674,"FR15",64,"F"
676,"FR15",48,"M"
678,"FR15",14,"F"
679,"FR15",81,"M"
680,"FR15",40,"F"
689,"FR15",53,"M"
692,"FR15",59,"M"
695,"FR15",1,"F"
697,"FR15",55,"F"
706,"FR15",73,"M"
711,"FR15",78,"F"
721,"FR15",41,"M"
722,"FR15",67,"M"
735,"FR15",69,"F"
753,"FR15",21,"F"
762,"FR15",1,"F"
773,"FR15",58,"F"
779,"FR15",69,"F"
791,"FR15",3,"F"
795,"FR15",38,"F"
800,"FR15",65,"M"
807,"FR15",4,"F"
811,"FR15",55,"F"
815,"FR15",85,"F"
821,"FR15",66,"F"
822,"FR15",72,"M"
825,"FR15",69,"M"
827,"FR15",6,"M"
836,"FR15",7,"M"
837,"FR15",8,"M"
840,"FR15",49,"F"
845,"FR15",12,"M"
848,"FR15",49,"F"
853,"FR15",4,"F"
858,"FR15",16,"M"
860,"FR15",41,"F"
869,"FR15",2,"F"
870,"FR15",65,"M"
878,"FR15",5,"M"
885,"FR15",57,"M"
897,"FR15",3,"M"
907,"FR15",55,"F"
909,"FR15",28,"F"
911,"FR15",70,"F"
917,"FR15",82,"M"
920,"FR15",75,"F"
923,"FR15",70,"M"
931,"FR15",51,"F"
933,"FR15",1,"M"
936,"FR15",13,"F"
944,"FR15",58,"M"
949,"FR15",72,"F"
950,"FR15",2,"M"
952,"FR15",74,"F"
953,"FR15",16,"F"
958,"FR15",57,"M"
963,"FR15",82,"F"
964,"FR15",7,"M"
968,"FR15",70,"M"
970,"FR15",26,"F"
980,"FR15",64,"M"
981,"FR15",15,"M"
988,"FR15",82,"F"
990,"FR15",38,"F"
995,"FR15",12,"M"
996,"FR15",17,"M"
999,"FR15",72,"M"
122,"FR15",74,"M"
374,"FR15",53,"F"
505,"FR15",61,"F"
567,"FR15",50,"F"
873,"FR15",4,"M"
916,"FR15",22,"F"
1001,"FR15",6,"M"
1002,"FR15",58,"M"
1008,"FR15",54,"F"
1013,"FR15",20,"M"
1018,"FR15",6,"F"
1020,"FR15",64,"M"
1034,"FR15",44,"F"
1037,"FR15",15,"M"
1038,"FR15",12,"M"
1039,"FR15",52,"F"
1043,"FR15",11,"F"
1050,"FR15",75,"F"
1062,"FR15",4,"F"
1063,"FR15",61,"F"
1065,"FR15",53,"F"
1069,"FR15",68,"M"
1076,"FR15",71,"F"
1082,"FR15",5,"F"
1084,"FR15",44,"M"
1094,"FR15",12,"F"
1097,"FR15",24,"F"
1098,"FR15",6,"M"
1120,"FR15",69,"M"
1125,"FR15",10,"F"
1132,"FR15",3,"M"
1133,"FR15",43,"M"
1135,"FR15",10,"F"
1136,"FR15",4,"F"
1138,"FR15",31,"M"
1148,"FR15",14,"F"
1160,"FR15",18,"M"
1169,"FR15",24,"F"
1175,"FR15",29,"M"
1182,"FR15",0,"M"
1183,"FR15",28,"M"
1194,"FR15",2,"F"
1196,"FR15",12,"F"
1197,"FR15",79,"F"
1212,"FR15",9,"F"
1216,"FR15",49,"M"
1219,"FR15",0,"M"
1221,"FR15",70,"F"
1228,"FR15",5,"M"
1230,"FR15",59,"F"
1236,"FR15",1,"F"
1237,"FR15",60,"F"
1239,"FR15",2,"F"
1244,"FR15",62,"M"
1251,"FR15",71,"F"
1254,"FR15",61,"F"
1258,"FR15",64,"F"
1259,"FR15",49,"F"
1264,"FR15",83,"F"
1265,"FR15",66,"M"
1266,"FR15",20,"F"
1275,"FR15",6,"M"
1278,"FR15",65,"M"
1282,"FR15",24,"M"
1286,"FR15",53,"M"
1287,"FR15",62,"F"
1290,"FR15",89,"M"
1292,"FR15",67,"M"
1295,"FR15",0,"F"
1299,"FR15",63,"F"
1304,"FR15",11,"M"
1305,"FR15",1,"F"
1306,"FR15",7,"M"
1307,"FR15",68,"F"
1310,"FR15",62,"F"
1311,"FR15",59,"F"
1312,"FR15",61,"M"
1313,"FR15",84,"F"
1315,"FR15",67,"F"
1316,"FR15",68,"F"
1319,"FR15",64,"F"
1323,"FR15",69,"F"
1325,"FR15",11,"M"
1334,"FR15",63,"F"
1337,"FR15",8,"F"
1347,"FR15",63,"M"
1352,"FR15",48,"F"
1355,"FR15",15,"F"
1359,"FR15",63,"F"
1370,"FR15",61,"F"
1375,"FR15",3,"M"
1376,"FR15",62,"F"
1377,"FR15",11,"M"
1381,"FR15",7,"M"
1383,"FR15",61,"M"
1388,"FR15",78,"F"
1390,"FR15",10,"M"
1406,"FR15",15,"F"
1407,"FR15",56,"M"
1412,"FR15",74,"M"
1415,"FR15",54,"F"
1417,"FR15",4,"M"
1434,"FR15",0,"F"
1436,"FR15",64,"F"
1442,"FR15",69,"F"
1449,"FR15",67,"M"
1450,"FR15",71,"M"
1453,"FR15",66,"F"
1455,"FR15",68,"M"
1457,"FR15",67,"F"
1460,"FR15",62,"F"
1462,"FR15",69,"M"
1467,"FR15",20,"M"
1469,"FR15",72,"F"
1475,"FR15",6,"M"
1481,"FR15",66,"F"
1495,"FR15",2,"F"
1498,"FR15",50,"F"
1499,"FR15",69,"M"
1503,"FR15",78,"M"
1504,"FR15",68,"M"
1528,"FR15",13,"M"
1532,"FR15",51,"M"
1534,"FR15",4,"F"
1541,"FR15",11,"F"
