"part_id","wave_part_id","wave","questionnaire.type","childRespondentLink","childRespondentAge","childRespondentGender","transportModeWeek1","transportModeWeek2","transportModeWeek3","transportModeWeekEnd1","transportModeWeekEnd2","transportModeWeekEnd3","ZIP","participant_education","participant_occupation","participant_occ_detail","enfScolarise","enfGardeMaison","enfGardeNounou","enfNbEnfNounou","enfNounouScolarise","enfCreche","enfNbEnfCreche","enfFreqGarderie","class_size","enfCantine","enfCentreAere","enfCentreAereEcole","enfCentreAereVacance","work_contacts","more20ContactPro","work_contacts_nr","AgeContactPro1","AgeContactPro2","AgeContactPro3","AgeContactPro4","AgeContactPro5","NbStudentClassroom","studentCantina","commonParticip"
1,11,1,0,1,29,1,1,0,1,1,0,0,57700,4,10,NA,1,NA,NA,NA,NA,NA,NA,NA,2,1,1,1,4,NA,NA,NA,0,0,0,0,0,NA,NA,0
14,114,1,1,NA,NA,NA,1,0,0,1,0,0,62138,6,3,10,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,1,30,0,0,0,1,1,NA,NA,1
19,119,1,1,NA,NA,NA,1,0,1,0,1,1,59310,2,8,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0,0,0,NA,NA,1
21,121,1,1,NA,NA,NA,1,0,0,1,0,0,11250,1,8,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0,0,0,NA,NA,0
24,124,1,1,NA,NA,NA,1,0,0,1,0,0,1270,1,8,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0,0,0,NA,NA,0
25,125,1,1,NA,NA,NA,1,0,0,0,0,0,56740,4,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0,1,0,NA,NA,0
28,128,1,1,NA,NA,NA,1,0,0,1,0,0,51150,3,8,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0,0,0,NA,NA,1
35,135,1,1,NA,NA,NA,1,0,0,1,0,1,83910,5,4,10,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,1,30,0,1,1,1,0,NA,NA,0
38,138,1,1,NA,NA,NA,1,0,1,0,1,1,88270,2,8,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0,0,0,NA,NA,1
46,146,1,1,NA,NA,NA,1,0,1,1,0,1,83990,3,2,5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2,NA,NA,0,0,0,0,0,NA,NA,0
53,153,1,1,NA,NA,NA,1,0,1,1,0,1,37320,3,8,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0,0,0,NA,NA,1
60,160,1,0,1,42,1,1,0,1,1,0,1,81100,5,8,NA,1,NA,NA,NA,NA,NA,NA,NA,3,3,1,1,4,NA,NA,NA,0,0,0,0,0,NA,NA,1
76,176,1,1,NA,NA,NA,1,0,0,1,0,0,33290,5,8,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0,1,0,NA,NA,0
92,192,1,1,NA,NA,NA,1,0,0,0,0,0,50190,1,8,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0,0,0,NA,NA,0
94,194,1,1,NA,NA,NA,1,0,1,1,0,1,59650,1,8,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0,0,0,NA,NA,1
13,213,2,1,NA,NA,NA,1,0,1,1,0,1,59440,2,6,9,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,1,450,1,1,1,1,1,NA,NA,0
14,214,2,1,NA,NA,NA,1,0,0,1,0,0,62138,6,3,10,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,1,125,0,0,0,1,0,NA,NA,1
19,219,2,1,NA,NA,NA,0,0,1,1,1,1,59310,2,8,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0,0,0,NA,NA,1
28,228,2,1,NA,NA,NA,1,0,1,1,0,1,51150,3,8,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0,0,0,NA,NA,1
