"part_id","sday_id","wave","studyDay","day","month","year","dayofweek","holiday"
1,20120302,1,1,2,3,2012,5,0
1,20120303,1,2,3,3,2012,6,0
13,20120418,2,1,18,4,2012,3,0
13,20120419,2,2,19,4,2012,4,0
14,20120223,1,1,23,2,2012,4,0
14,20120224,1,2,24,2,2012,5,0
14,20120422,2,1,22,4,2012,0,1
14,20120423,2,2,23,4,2012,1,1
19,20120220,1,1,20,2,2012,1,0
19,20120221,1,2,21,2,2012,2,0
19,20120416,2,1,16,4,2012,1,0
19,20120417,2,2,17,4,2012,2,0
21,20120223,1,1,23,2,2012,4,1
21,20120224,1,2,24,2,2012,5,1
24,20120404,1,1,4,4,2012,3,0
24,20120405,1,2,5,4,2012,4,0
25,20120222,1,1,22,2,2012,3,1
25,20120223,1,2,23,2,2012,NA,0
28,20120224,1,1,24,2,2012,5,0
28,20120225,1,2,25,2,2012,6,1
28,20120501,2,1,1,5,2012,2,1
28,20120502,2,2,2,5,2012,3,1
31,20120417,2,1,17,4,2012,2,1
31,20120418,2,2,18,4,2012,3,1
35,20120222,1,1,22,2,2012,3,0
35,20120223,1,2,23,2,2012,4,0
38,20120226,1,1,26,2,2012,0,1
38,20120227,1,2,27,2,2012,1,0
38,20120501,2,1,1,5,2012,2,0
38,20120502,2,2,2,5,2012,3,0
46,20120222,1,1,22,2,2012,3,0
46,20120223,1,2,23,2,2012,4,0
53,20120222,1,1,22,2,2012,3,0
53,20120223,1,2,23,2,2012,4,0
53,20120416,2,1,16,4,2012,1,0
53,20120417,2,2,17,4,2012,2,0
60,20120224,1,1,24,2,2012,5,1
60,20120225,1,2,25,2,2012,6,1
60,20120416,2,1,16,4,2012,1,1
60,20120417,2,2,17,4,2012,2,1
76,20120405,1,1,5,4,2012,4,0
76,20120406,1,2,6,4,2012,5,0
92,20120220,1,1,20,2,2012,1,1
92,20120221,1,2,21,2,2012,2,1
94,20120226,1,1,26,2,2012,0,1
94,20120227,1,2,27,2,2012,1,1
94,20120420,2,1,20,4,2012,5,0
94,20120421,2,2,21,4,2012,6,1
105,20120221,1,1,21,2,2012,2,1
105,20120222,1,2,22,2,2012,3,0
107,20120221,1,1,21,2,2012,2,1
107,20120222,1,2,22,2,2012,3,1
107,20120419,2,1,19,4,2012,4,1
107,20120420,2,2,20,4,2012,5,1
113,20120223,1,1,23,2,2012,4,1
113,20120224,1,2,24,2,2012,5,1
113,20120418,2,1,18,4,2012,3,1
113,20120419,2,2,19,4,2012,4,1
115,20120221,1,1,21,2,2012,2,0
115,20120222,1,2,22,2,2012,3,0
122,20120417,2,1,17,4,2012,2,1
122,20120418,2,2,18,4,2012,3,1
124,20120223,1,1,23,2,2012,4,1
124,20120224,1,2,24,2,2012,5,1
124,20120418,2,1,18,4,2012,3,1
124,20120419,2,2,19,4,2012,4,1
128,20120223,1,1,23,2,2012,4,1
128,20120224,1,2,24,2,2012,5,1
128,20120419,2,1,19,4,2012,4,1
128,20120420,2,2,20,4,2012,5,1
140,20120220,1,1,20,2,2012,1,0
140,20120221,1,2,21,2,2012,2,0
145,20120220,1,1,20,2,2012,1,1
145,20120221,1,2,21,2,2012,2,1
145,20120419,2,1,19,4,2012,4,1
145,20120420,2,2,20,4,2012,5,1
150,20120220,1,1,20,2,2012,1,0
150,20120221,1,2,21,2,2012,2,0
152,20120226,1,1,26,2,2012,0,1
152,20120227,1,2,27,2,2012,1,1
154,20120221,1,1,21,2,2012,2,1
154,20120222,1,2,22,2,2012,3,0
154,20120422,2,1,22,4,2012,0,1
154,20120423,2,2,23,4,2012,1,1
170,20120220,1,1,20,2,2012,1,1
170,20120221,1,2,21,2,2012,2,1
170,20120425,2,1,25,4,2012,3,0
170,20120426,2,2,26,4,2012,4,0
