hh_id,country,hh_size
1013,Peru,7
1019,Peru,5
1021,Peru,5
1031,Peru,8
1036,Peru,8
1043,Peru,5
1046,Peru,4
1049,Peru,4
1060,Peru,7
1067,Peru,3
1068,Peru,7
1084,Peru,5
1093,Peru,6
1094,Peru,4
1098,Peru,8
1117,Peru,5
1119,Peru,4
1128,Peru,6
1136,Peru,4
1147,Peru,4
1149,Peru,6
1157,Peru,4
1162,Peru,5
1184,Peru,5
1186,Peru,2
1191,Peru,6
1193,Peru,3
1194,Peru,7
1197,Peru,5
1199,Peru,3
1206,Peru,7
1208,Peru,4
1217,Peru,5
1227,Peru,4
1230,Peru,4
1259,Peru,4
1261,Peru,7
1263,Peru,4
1267,Peru,6
1271,Peru,4
1288,Peru,4
1292,Peru,5
1293,Peru,5
1295,Peru,4
1296,Peru,8
1305,Peru,7
1310,Peru,8
1313,Peru,3
1322,Peru,6
1328,Peru,7
1330,Peru,5
1345,Peru,5
1353,Peru,6
1356,Peru,7
1358,Peru,4
1362,Peru,6
1364,Peru,5
1365,Peru,4
1367,Peru,8
1368,Peru,3
1376,Peru,6
1381,Peru,6
1384,Peru,4
1387,Peru,4
1394,Peru,5
1395,Peru,7
1396,Peru,4
1408,Peru,4
1409,Peru,5
1427,Peru,5
1434,Peru,6
1437,Peru,6
1441,Peru,9
1444,Peru,3
1447,Peru,8
1464,Peru,6
1466,Peru,4
1479,Peru,5
1482,Peru,5
1486,Peru,4
1489,Peru,6
1490,Peru,4
1498,Peru,3
1508,Peru,5
1512,Peru,6
1520,Peru,5
1534,Peru,7
1538,Peru,5
1542,Peru,5
1543,Peru,7
1553,Peru,3
1558,Peru,6
1559,Peru,4
1560,Peru,3
1562,Peru,3
1564,Peru,5
1565,Peru,4
1570,Peru,6
1572,Peru,4
1576,Peru,4
1577,Peru,5
1578,Peru,4
1582,Peru,5
1586,Peru,4
1602,Peru,6
1611,Peru,2
1613,Peru,6
1614,Peru,5
1617,Peru,5
1621,Peru,10
1625,Peru,6
1628,Peru,4
1632,Peru,5
1637,Peru,6
