"hh_id","COMMID","CONT2","CONT3","CONT4","CONT5","CONT6","CNT71A","CNT71B","CNT71C","CNT71D","CNT71E","CNT72A","CNT72B","CNT72C","CNT72D","CNT72E","CNT73A","CNT73B","CNT73C","CNT73D","CNT73E","CNT74A","CNT74B","CNT74C","CNT74D","CNT74E","CNT75A","CNT75B","CNT75C","CNT75D","CNT75E","CNT76A","CNT76B","CNT76C","CNT76D","CNT76E","CNT77A","CNT77B","CNT77C","CNT77D","CNT77E","CNT78A","CNT78B","CNT78C","CNT78D","CNT78E","CNT79A","CNT79B","CNT79C","CNT79D","CNT79E","CNTRESP","CONTDIA","CONT8"
1013,15,"Si","Si","SAN MARCOS         ","No","No","              ",NA,NA,NA,NA,"          ",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2,"Fue un dia normal","No"
1019,59,"Si","Si","MATARA             ","Si","No","              ",NA,NA,NA,NA,"          ",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2,"Fue un dia normal","Si"
1021,15,"Si","Si","SAN MARCOS         ","Si","No","              ",NA,NA,NA,NA,"          ",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2,"Fue un dia normal","Si"
1031,43,"Si","Si","AGUAS CALIENTES    ","Si","No","              ",NA,NA,NA,NA,"          ",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2,"Fue un dia normal","Si"
1036,29,"Si","Si","SAN MARCOS         ","Si","No","              ",NA,NA,NA,NA,"          ",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,3,"Fue un dia normal","Si"
1043,13,"Si","Si","SAN MARCOS         ","Si","Si","LA MASMA      ","Familiar",1,4,"No","          ",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2,"Fue un dia normal","Si"
1046,31,"Si","Si","SAN MARCOS         ","Si","No","              ",NA,NA,NA,NA,"          ",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2,"Fue un dia normal","Si"
1049,6,"No","Si","SAN MARCOS         ","No","No","              ",NA,NA,NA,NA,"          ",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Fue un dia normal","Si"
1060,59,"No","Si","SAN MARCOS         ","Si","No","              ",NA,NA,NA,NA,"          ",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2,"Fue un dia normal","Si"
1067,45,"Si","Si","AGUAS CALIENTES    ","Si","Si","CAJABAMBA     ","Otro",1,10,"No","          ",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2,"Fue un dia normal","Si"
1068,45,"Si","Si","AGUAS CALIENTES    ","Si","No","              ",NA,NA,NA,NA,"          ",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2,"Fue un dia normal","Si"
1084,43,"Si","Si","AGUAS CALIENTES    ","Si","No","              ",NA,NA,NA,NA,"          ",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2,NA,"Si"
1093,5,"Si","Si","SAN MARCOS         ","Si","No","              ",NA,NA,NA,NA,"          ",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Fue un dia normal","Si"
1094,47,"Si","Si","SAN MARCOS         ","Si","No","              ",NA,NA,NA,NA,"          ",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2,"Fue un dia normal","Si"
