"part_id","hh_id","part_age","part_gender"
101301,1013,54,"M"
101302,1013,37,"F"
101303,1013,14,"F"
101304,1013,12,"M"
101305,1013,8,"M"
101306,1013,5,"F"
101307,1013,3,"M"
101901,1019,39,"M"
101902,1019,33,"F"
101903,1019,13,"F"
101904,1019,4,"M"
101905,1019,2,"F"
102101,1021,32,"M"
102102,1021,26,"F"
102103,1021,9,"M"
102104,1021,5,"F"
102105,1021,2,"M"
103101,1031,39,"M"
103102,1031,35,"F"
103103,1031,19,"F"
103104,1031,14,"F"
103105,1031,10,"F"
103106,1031,7,"F"
103107,1031,2,"M"
103108,1031,0,"F"
103601,1036,67,"M"
103602,1036,63,"F"
103603,1036,24,"F"
103604,1036,20,"F"
103605,1036,17,"F"
103606,1036,7,"F"
103607,1036,5,"F"
103608,1036,2,"M"
104301,1043,26,"M"
104302,1043,32,"F"
104303,1043,9,"M"
104304,1043,4,"F"
104305,1043,2,"F"
104601,1046,36,"M"
104602,1046,36,"F"
104603,1046,7,"F"
104604,1046,2,"F"
104901,1049,29,"M"
104902,1049,34,"F"
104903,1049,3,"F"
104904,1049,2,"M"
106001,1060,29,"M"
106002,1060,21,"F"
106003,1060,2,"M"
106004,1060,60,"F"
106005,1060,23,"M"
106006,1060,18,"F"
106007,1060,2,"F"
106701,1067,30,"M"
106702,1067,24,"F"
106703,1067,3,"F"
106801,1068,39,"M"
106802,1068,45,"F"
106803,1068,17,"F"
106804,1068,16,"F"
106805,1068,14,"M"
106806,1068,2,"F"
106807,1068,75,"F"
108401,1084,30,"M"
108402,1084,24,"F"
108403,1084,2,"F"
108404,1084,60,"M"
108405,1084,56,"F"
109301,1093,40,"M"
109302,1093,37,"F"
109303,1093,18,"F"
109304,1093,13,"F"
109305,1093,2,"M"
109306,1093,0,"M"
109401,1094,53,"M"
109402,1094,52,"F"
109403,1094,22,"F"
109404,1094,2,"M"
109801,1098,38,"M"
109802,1098,40,"F"
109803,1098,17,"M"
109804,1098,7,"M"
109805,1098,2,"F"
109806,1098,76,"F"
109807,1098,29,"F"
109808,1098,4,"M"
111701,1117,31,"M"
111702,1117,34,"F"
111703,1117,9,"M"
111704,1117,6,"M"
111705,1117,2,"F"
111901,1119,34,"M"
111902,1119,29,"F"
111903,1119,9,"M"
111904,1119,2,"M"
112801,1128,46,"F"
112802,1128,10,"M"
112803,1128,9,"M"
112804,1128,6,"F"
112805,1128,4,"F"
112806,1128,2,"F"
113601,1136,26,"F"
113602,1136,12,"M"
113603,1136,9,"F"
113604,1136,2,"F"
114701,1147,30,"M"
114702,1147,27,"F"
114703,1147,10,"M"
114704,1147,2,"M"
114901,1149,50,"M"
114902,1149,40,"F"
114903,1149,23,"F"
114904,1149,19,"M"
114905,1149,10,"F"
114906,1149,2,"F"
115701,1157,39,"M"
115702,1157,34,"F"
115703,1157,15,"M"
115704,1157,2,"F"
116201,1162,29,"M"
116202,1162,28,"F"
116203,1162,9,"M"
116204,1162,2,"F"
116205,1162,62,"F"
118401,1184,54,"F"
118402,1184,22,"F"
118403,1184,16,"F"
118404,1184,38,"M"
118405,1184,2,"F"
118601,1186,28,"F"
118602,1186,2,"M"
119101,1191,30,"M"
119102,1191,29,"F"
119103,1191,12,"M"
119104,1191,6,"M"
119105,1191,2,"F"
119106,1191,0,"F"
119301,1193,25,"M"
119302,1193,19,"F"
119303,1193,2,"F"
119401,1194,67,"M"
119402,1194,37,"M"
119403,1194,38,"F"
119404,1194,14,"F"
119405,1194,13,"F"
119406,1194,4,"M"
119407,1194,2,"M"
119701,1197,29,"M"
119702,1197,27,"F"
119703,1197,12,"M"
119704,1197,11,"F"
119705,1197,2,"F"
119901,1199,22,"M"
119902,1199,19,"F"
119903,1199,3,"F"
120601,1206,32,"M"
120602,1206,31,"F"
120603,1206,11,"M"
120604,1206,2,"M"
120605,1206,26,"M"
120606,1206,12,"F"
120607,1206,0,"M"
120801,1208,32,"M"
120802,1208,28,"F"
120803,1208,4,"M"
120804,1208,2,"F"
121701,1217,33,"M"
121702,1217,23,"F"
121703,1217,60,"M"
121704,1217,2,"F"
121705,1217,0,"F"
122701,1227,37,"M"
122702,1227,38,"F"
122703,1227,8,"F"
122704,1227,2,"M"
123001,1230,22,"F"
123002,1230,22,"M"
123003,1230,2,"M"
123004,1230,51,"F"
125901,1259,46,"M"
125902,1259,41,"F"
125903,1259,17,"M"
125904,1259,1,"F"
126101,1261,36,"M"
126102,1261,39,"F"
126103,1261,14,"F"
126104,1261,13,"F"
126105,1261,11,"M"
126106,1261,3,"M"
126107,1261,1,"M"
126301,1263,30,"M"
126302,1263,26,"F"
126303,1263,6,"M"
126304,1263,1,"F"
126701,1267,27,"M"
126702,1267,25,"F"
126703,1267,10,"F"
126704,1267,8,"F"
126705,1267,4,"F"
126706,1267,1,"M"
127101,1271,61,"M"
127102,1271,24,"F"
127103,1271,3,"F"
127104,1271,1,"F"
128801,1288,34,"M"
128802,1288,29,"F"
128803,1288,12,"M"
128804,1288,1,"M"
129201,1292,46,"M"
129202,1292,28,"F"
129203,1292,5,"F"
129204,1292,3,"F"
129205,1292,1,"F"
129301,1293,46,"M"
129302,1293,41,"F"
129303,1293,1,"F"
129304,1293,63,"M"
129305,1293,60,"F"
129501,1295,65,"M"
129502,1295,29,"F"
129503,1295,52,"F"
129504,1295,1,"F"
129601,1296,46,"M"
129602,1296,41,"F"
129603,1296,16,"F"
129604,1296,13,"F"
129605,1296,4,"M"
129606,1296,1,"M"
129607,1296,54,"M"
129608,1296,67,"M"
130501,1305,31,"M"
130502,1305,29,"F"
130503,1305,8,"M"
130504,1305,6,"F"
130505,1305,2,"M"
130506,1305,54,"F"
130507,1305,44,"M"
131001,1310,43,"M"
131002,1310,36,"F"
131003,1310,17,"M"
131004,1310,13,"M"
131005,1310,11,"M"
131006,1310,8,"M"
131007,1310,5,"M"
131008,1310,1,"F"
131301,1313,41,"M"
131302,1313,37,"F"
131303,1313,1,"F"
132201,1322,54,"M"
132202,1322,42,"F"
132203,1322,77,"F"
132204,1322,14,"M"
132205,1322,2,"F"
132206,1322,1,"F"
132801,1328,49,"M"
132802,1328,40,"F"
132803,1328,13,"F"
132804,1328,11,"M"
132805,1328,7,"F"
132806,1328,4,"M"
132807,1328,1,"F"
133001,1330,52,"M"
133002,1330,29,"F"
133003,1330,7,"F"
133004,1330,4,"M"
133005,1330,1,"M"
134501,1345,34,"M"
134502,1345,28,"F"
134503,1345,10,"M"
134504,1345,1,"F"
134505,1345,0,"F"
135301,1353,45,"M"
135302,1353,42,"F"
135303,1353,22,"M"
135304,1353,12,"M"
135305,1353,9,"F"
135306,1353,1,"M"
135601,1356,37,"M"
135602,1356,38,"F"
135603,1356,26,"M"
135604,1356,20,"F"
135605,1356,1,"F"
135606,1356,1,"F"
135607,1356,12,"M"
135801,1358,32,"M"
135802,1358,27,"F"
135803,1358,10,"M"
135804,1358,1,"M"
136201,1362,46,"M"
136202,1362,33,"F"
136203,1362,13,"M"
136204,1362,6,"F"
136205,1362,1,"F"
136206,1362,74,"M"
136401,1364,43,"M"
136402,1364,46,"F"
136403,1364,8,"M"
136404,1364,5,"M"
136405,1364,1,"F"
136501,1365,25,"M"
136502,1365,28,"F"
136503,1365,8,"F"
136504,1365,1,"F"
136701,1367,49,"M"
136702,1367,39,"F"
136703,1367,24,"M"
136704,1367,20,"M"
136705,1367,17,"M"
136706,1367,15,"M"
136707,1367,15,"M"
136708,1367,1,"M"
136801,1368,18,"M"
136802,1368,18,"F"
136803,1368,1,"F"
137601,1376,90,"F"
137602,1376,50,"M"
137603,1376,29,"F"
137604,1376,15,"F"
137605,1376,10,"F"
137606,1376,1,"F"
138101,1381,43,"M"
138102,1381,43,"F"
138103,1381,15,"M"
138104,1381,11,"M"
138105,1381,8,"F"
138106,1381,1,"M"
138401,1384,60,"M"
138402,1384,56,"F"
138403,1384,22,"F"
138404,1384,1,"F"
138701,1387,41,"F"
138702,1387,48,"M"
138703,1387,22,"F"
138704,1387,1,"F"
139401,1394,26,"M"
139402,1394,23,"F"
139403,1394,60,"F"
139404,1394,85,"M"
139405,1394,1,"F"
139501,1395,42,"F"
139502,1395,42,"M"
139503,1395,24,"M"
139504,1395,20,"F"
139505,1395,17,"F"
139506,1395,9,"F"
139507,1395,1,"M"
139601,1396,46,"M"
139602,1396,26,"F"
139603,1396,7,"F"
139604,1396,1,"M"
140801,1408,46,"M"
140802,1408,11,"M"
140803,1408,1,"F"
140804,1408,83,"M"
140901,1409,59,"M"
140902,1409,48,"F"
140903,1409,22,"F"
140904,1409,35,"M"
140905,1409,1,"M"
142701,1427,34,"M"
142702,1427,33,"F"
142703,1427,12,"M"
142704,1427,7,"M"
142705,1427,1,"M"
143401,1434,50,"M"
143402,1434,40,"F"
143403,1434,20,"F"
143404,1434,18,"M"
143405,1434,12,"F"
143406,1434,1,"F"
143701,1437,35,"M"
143702,1437,32,"F"
143703,1437,15,"F"
143704,1437,10,"M"
143705,1437,6,"M"
143706,1437,1,"M"
144101,1441,35,"F"
144102,1441,13,"F"
144103,1441,10,"F"
144104,1441,8,"M"
144105,1441,6,"M"
144106,1441,3,"M"
144107,1441,1,"M"
144108,1441,1,"M"
144109,1441,57,"F"
144401,1444,24,"M"
144402,1444,23,"F"
144403,1444,1,"M"
144701,1447,58,"M"
144702,1447,36,"F"
144703,1447,15,"M"
144704,1447,13,"M"
144705,1447,6,"F"
144706,1447,4,"F"
144707,1447,1,"M"
144708,1447,63,"M"
146401,1464,21,"F"
146402,1464,43,"F"
146403,1464,50,"M"
146404,1464,14,"F"
146405,1464,27,"M"
146406,1464,1,"F"
146601,1466,28,"F"
146602,1466,6,"M"
146603,1466,4,"F"
146604,1466,1,"F"
147901,1479,50,"M"
147902,1479,44,"F"
147903,1479,16,"M"
147904,1479,12,"M"
147905,1479,1,"F"
148201,1482,33,"M"
148202,1482,21,"F"
148203,1482,8,"F"
148204,1482,52,"F"
148205,1482,1,"F"
148601,1486,28,"F"
148602,1486,11,"M"
148603,1486,32,"M"
148604,1486,0,"M"
148901,1489,37,"M"
148902,1489,36,"F"
148903,1489,14,"F"
148904,1489,8,"F"
148905,1489,4,"F"
148906,1489,1,"F"
149001,1490,30,"M"
149002,1490,25,"F"
149003,1490,4,"M"
149004,1490,1,"F"
149801,1498,25,"M"
149802,1498,21,"F"
149803,1498,1,"M"
150801,1508,27,"F"
150802,1508,27,"M"
150803,1508,0,"F"
150804,1508,64,"M"
150805,1508,30,"F"
151201,1512,44,"M"
151202,1512,43,"F"
151203,1512,18,"F"
151204,1512,8,"M"
151205,1512,0,"F"
151206,1512,0,"F"
152001,1520,40,"M"
152002,1520,37,"F"
152003,1520,16,"M"
152004,1520,9,"M"
152005,1520,0,"M"
153401,1534,20,"M"
153402,1534,22,"F"
153403,1534,48,"M"
153404,1534,48,"F"
153405,1534,26,"F"
153406,1534,24,"F"
153407,1534,0,"F"
153801,1538,40,"M"
153802,1538,35,"F"
153803,1538,9,"F"
153804,1538,3,"M"
153805,1538,0,"F"
154201,1542,29,"M"
154202,1542,24,"F"
154203,1542,8,"M"
154204,1542,4,"F"
154205,1542,8,"M"
154301,1543,54,"M"
154302,1543,26,"F"
154303,1543,54,"F"
154304,1543,30,"M"
154305,1543,16,"M"
154306,1543,2,"M"
154307,1543,0,"M"
155301,1553,22,"M"
155302,1553,17,"F"
155303,1553,0,"M"
155801,1558,43,"M"
155802,1558,29,"F"
155803,1558,11,"F"
155804,1558,9,"M"
155805,1558,3,"F"
155806,1558,0,"M"
155901,1559,28,"M"
155902,1559,26,"F"
155903,1559,7,"M"
155904,1559,0,"M"
156001,1560,23,"M"
156002,1560,17,"F"
156003,1560,0,"F"
156201,1562,27,"M"
156202,1562,28,"F"
156203,1562,0,"F"
156401,1564,36,"M"
156402,1564,24,"F"
156403,1564,7,"F"
156404,1564,3,"M"
156405,1564,0,"F"
156501,1565,40,"M"
156502,1565,33,"F"
156503,1565,2,"M"
156504,1565,0,"M"
157001,1570,35,"M"
157002,1570,34,"F"
157003,1570,14,"M"
157004,1570,8,"M"
157005,1570,5,"M"
157006,1570,0,"M"
157201,1572,36,"M"
157202,1572,32,"F"
157203,1572,11,"F"
157204,1572,0,"F"
157601,1576,15,"F"
157602,1576,0,"M"
157603,1576,36,"M"
157604,1576,35,"F"
157701,1577,54,"F"
157702,1577,33,"F"
157703,1577,14,"M"
157704,1577,13,"F"
157705,1577,0,"M"
157801,1578,24,"M"
157802,1578,26,"F"
157803,1578,6,"M"
157804,1578,0,"M"
158201,1582,40,"M"
158202,1582,32,"F"
158203,1582,13,"M"
158204,1582,6,"M"
158205,1582,0,"M"
158601,1586,32,"M"
158602,1586,29,"F"
158603,1586,6,"F"
158604,1586,0,"M"
160201,1602,25,"M"
160202,1602,25,"F"
160203,1602,9,"M"
160204,1602,6,"F"
160205,1602,4,"F"
160206,1602,0,"M"
161101,1611,39,"F"
161102,1611,0,"F"
161301,1613,50,"M"
161302,1613,37,"F"
161303,1613,19,"F"
161304,1613,14,"F"
161305,1613,12,"M"
161306,1613,0,"M"
161401,1614,24,"M"
161402,1614,26,"F"
161403,1614,50,"F"
161404,1614,2,"F"
161405,1614,0,"F"
161701,1617,37,"M"
161702,1617,42,"F"
161703,1617,4,"M"
161704,1617,78,"M"
161705,1617,0,"M"
162101,1621,39,"F"
162102,1621,39,"M"
162103,1621,15,"M"
162104,1621,13,"M"
162105,1621,11,"F"
162106,1621,5,"M"
162107,1621,3,"F"
162108,1621,0,"F"
162109,1621,77,"F"
162110,1621,77,"M"
162501,1625,42,"M"
162502,1625,37,"F"
162503,1625,12,"M"
162504,1625,9,"M"
162505,1625,3,"M"
162506,1625,0,"F"
162801,1628,21,"M"
162802,1628,18,"F"
162803,1628,17,"M"
162804,1628,0,"F"
163201,1632,32,"M"
163202,1632,31,"F"
163203,1632,11,"F"
163204,1632,8,"F"
163205,1632,0,"F"
163701,1637,50,"M"
163702,1637,50,"F"
163703,1637,24,"M"
163704,1637,20,"F"
163705,1637,0,"M"
163706,1637,17,"F"
