"part_id","CONTD004","CONTD004S","CONTD005","CONTD005S","CONTD006","CONTD007"
101301,"Padre","       ","En la chacra","                    ","Si","                        "
101302,"Madre","       ","Su casa","                    ","Si","                        "
101303,"Hermano/a","       ","En la escuela","                    ","No","                        "
101304,"Hermano/a","       ","En la escuela","                    ","Si","                        "
101305,"Hermano/a","       ","En la escuela","                    ","Si","                        "
101306,"Hermano/a","       ","Otro","JARDIN              ","No","                        "
101307,"Niño Indice","       ","Otro","JARDIN LIBRE        ","No","                        "
101901,"Padre","       ","En la chacra","                    ","Si","LO ENCONTRE             "
101902,"Madre","       ","Su casa","                    ","Si","                        "
101903,"Hermano/a","       ","En la escuela","                    ","Si","                        "
101904,"Hermano/a","       ","Su casa","                    ","Si","                        "
101905,"Niño Indice","       ","Su casa","                    ","Si","                        "
102101,"Padre","       ","En la chacra","                    ","Si","                        "
102102,"Madre","       ","Su casa","                    ","Si","                        "
102103,"Hermano/a","       ","En la escuela","                    ","Si","                        "
102104,"Hermano/a","       ","Su casa","                    ","Si","                        "
102105,"Niño Indice","       ","Su casa","                    ","Si","                        "
103101,"Padre","       ","En la chacra","                    ","Si","                        "
103102,"Madre","       ","En la chacra","                    ","Si","                        "
103103,"Hermano/a","       ","Su casa","                    ","Si","                        "
103104,"Hermano/a","       ","Su casa","                    ","Si","                        "
103105,"Hermano/a","       ","En la escuela","                    ","Si","                        "
103106,"Hermano/a","       ","Otro","JARDIN              ","Si","                        "
103107,"Niño Indice","       ","Su casa","                    ","Si","                        "
103108,"Otro","SOBRINA","Su casa","                    ","Si","                        "
103601,"Abuelo/a materna","       ","En la chacra","ABUELA PATERNA      ","Si","                        "
103602,"Abuelo/a materna","       ","Su casa","                    ","Si","                        "
103603,"Madre","       ","Su casa","                    ","Si","                        "
103604,"Tio/a","       ","En la escuela","                    ","Si","                        "
103605,"Tio/a","       ","En la escuela","                    ","Si","                        "
103606,"Hermano/a","       ","En la escuela","                    ","Si","                        "
103607,"Hermano/a","       ","En la escuela","                    ","Si","                        "
103608,"Niño Indice","       ","Su casa","                    ","Si","                        "
104301,"Padre","       ","En la chacra","                    ","No","                        "
104302,"Madre","       ","Su casa","                    ","Si","                        "
104303,"Hermano/a","       ","En la escuela","                    ","Si","                        "
104304,"Hermano/a","       ","Otro","JARDIN              ","Si","                        "
