"part_id","cont_id","cnt_age_exact","cnt_age_est_min","cnt_age_est_max","cnt_gender","cnt_home","cnt_work","cnt_school","cnt_transport","cnt_leisure","cnt_otherplace","frequency_multi","phys_contact","duration_multi"
"2_1_93_2_118_1","2_1_93_2_118_1_1_1",32,NA,NA,"F",TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,1,2,4
"2_1_93_2_118_1","2_1_93_2_118_1_2_NA",5,NA,NA,"M",TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,1,1,5
"2_1_93_2_118_1","2_1_93_2_118_1_3_NA",2,NA,NA,"M",TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,1,1,5
"2_1_93_2_118_1","2_1_93_2_118_1_4_2",28,NA,NA,"F",TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,2,2,4
"2_1_93_2_118_1","2_1_93_2_118_1_5_NA",29,NA,NA,"M",TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,2,2,4
"2_1_93_2_118_1","2_1_93_2_118_1_6_NA",34,NA,NA,"M",TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,5,2,3
"2_1_93_2_118_2","2_1_93_2_118_2_1_NA",30,NA,NA,"F",FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,2,2,4
"2_1_93_2_118_2","2_1_93_2_118_2_2_1",30,NA,NA,"F",FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,2,2,4
"2_1_93_2_118_2","2_1_93_2_118_2_3_NA",36,NA,NA,"F",FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,2,2,4
"2_1_93_2_118_2","2_1_93_2_118_2_4_NA",35,NA,NA,"F",FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,2,2,4
"2_1_93_2_118_2","2_1_93_2_118_2_5_NA",30,NA,NA,"F",FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,2,2,4
"2_1_93_2_118_2","2_1_93_2_118_2_6_NA",30,NA,NA,"F",FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,2,2,4
