"part_id","cont_id","Selected","far","p1 know","p2 know"
"2_1_93_2_118_1","2_1_93_2_118_1_1",1,1,NA,1
"2_1_93_2_118_1","2_1_93_2_118_1_2",NA,1,1,1
"2_1_93_2_118_1","2_1_93_2_118_1_3",NA,1,1,1
"2_1_93_2_118_1","2_1_93_2_118_1_4",2,1,1,NA
"2_1_93_2_118_1","2_1_93_2_118_1_5",NA,1,1,1
"2_1_93_2_118_1","2_1_93_2_118_1_6",NA,1,3,3
"2_1_93_2_118_2","2_1_93_2_118_2_1",NA,2,1,2
"2_1_93_2_118_2","2_1_93_2_118_2_2",1,2,NA,2
"2_1_93_2_118_2","2_1_93_2_118_2_3",NA,2,1,1
"2_1_93_2_118_2","2_1_93_2_118_2_4",NA,2,1,1
"2_1_93_2_118_2","2_1_93_2_118_2_5",NA,2,1,2
"2_1_93_2_118_2","2_1_93_2_118_2_6",NA,2,1,1
"2_1_93_2_118_2","2_1_93_2_118_2_7",NA,2,2,2
"2_1_93_2_118_2","2_1_93_2_118_2_8",NA,2,2,1
"2_1_93_2_118_2","2_1_93_2_118_2_9",NA,2,1,1
"2_1_93_2_118_2","2_1_93_2_118_2_10",2,2,2,NA
"2_1_93_2_118_2","2_1_93_2_118_2_11",NA,2,2,1
"2_1_93_2_118_2","2_1_93_2_118_2_12",NA,2,1,1
"2_1_93_2_118_2","2_1_93_2_118_2_13",NA,2,1,1
"2_1_93_2_118_2","2_1_93_2_118_2_14",NA,2,2,1
"2_1_93_2_118_2","2_1_93_2_118_2_15",NA,2,1,1
"2_1_93_2_118_3","2_1_93_2_118_3_1",2,1,1,NA
"2_1_93_2_118_3","2_1_93_2_118_3_2",NA,1,1,1
"2_1_93_2_118_3","2_1_93_2_118_3_3",1,1,NA,1
"2_1_93_2_118_3","2_1_93_2_118_3_4",NA,1,1,1
"2_1_93_2_118_3","2_1_93_2_118_3_5",NA,1,1,1
"2_1_93_2_118_4","2_1_93_2_118_4_1",NA,1,2,2
"2_1_93_2_118_4","2_1_93_2_118_4_2",NA,1,3,3
"2_1_93_2_118_4","2_1_93_2_118_4_3",NA,1,3,3
"2_1_93_2_118_4","2_1_93_2_118_4_4",1,1,NA,4
"2_1_93_2_118_4","2_1_93_2_118_4_5",NA,1,4,4
"2_1_93_2_118_4","2_1_93_2_118_4_6",NA,1,4,4
"2_1_93_2_118_4","2_1_93_2_118_4_7",NA,1,4,4
"2_1_93_2_118_4","2_1_93_2_118_4_8",NA,1,4,4
"2_1_93_2_118_4","2_1_93_2_118_4_9",NA,1,4,4
"2_1_93_2_118_4","2_1_93_2_118_4_10",NA,1,4,4
"2_1_93_2_118_4","2_1_93_2_118_4_11",NA,1,4,4
"2_1_93_2_118_4","2_1_93_2_118_4_12",2,1,4,NA
"2_1_93_2_118_4","2_1_93_2_118_4_13",NA,1,4,4
"2_1_93_2_118_4","2_1_93_2_118_4_14",NA,1,4,4
"2_1_93_2_118_4","2_1_93_2_118_4_15",NA,1,4,4
"2_1_93_2_118_5","2_1_93_2_118_5_1",NA,1,1,3
"2_1_93_2_118_5","2_1_93_2_118_5_2",NA,1,1,3
"2_1_93_2_118_5","2_1_93_2_118_5_3",NA,1,1,3
"2_1_93_2_118_5","2_1_93_2_118_5_4",NA,1,1,3
"2_1_93_2_118_5","2_1_93_2_118_5_5",1,1,NA,3
"2_1_93_2_118_5","2_1_93_2_118_5_6",NA,1,1,3
"2_1_93_2_118_5","2_1_93_2_118_5_7",NA,1,3,4
"2_1_93_2_118_5","2_1_93_2_118_5_8",NA,1,3,4
"2_1_93_2_118_5","2_1_93_2_118_5_9",NA,1,3,4
"2_1_93_2_118_5","2_1_93_2_118_5_10",NA,1,3,4
"2_1_93_2_118_5","2_1_93_2_118_5_11",NA,1,3,4
"2_1_93_2_118_5","2_1_93_2_118_5_12",NA,1,3,4
"2_1_93_2_118_5","2_1_93_2_118_5_13",2,1,3,NA
"2_1_93_2_118_5","2_1_93_2_118_5_14",NA,1,3,4
"2_1_93_2_118_5","2_1_93_2_118_5_15",NA,1,3,4
"2_1_93_2_118_6","2_1_93_2_118_6_1",2,1,1,NA
"2_1_93_2_118_6","2_1_93_2_118_6_2",NA,1,1,1
"2_1_93_2_118_6","2_1_93_2_118_6_3",NA,2,1,1
"2_1_93_2_118_6","2_1_93_2_118_6_4",NA,2,1,1
"2_1_93_2_118_6","2_1_93_2_118_6_5",NA,2,1,1
"2_1_93_2_118_6","2_1_93_2_118_6_6",1,2,NA,1
"2_1_93_2_118_6","2_1_93_2_118_6_7",NA,2,1,1
"2_1_93_2_118_6","2_1_93_2_118_6_8",NA,1,1,1
"2_1_93_2_118_6","2_1_93_2_118_6_9",NA,2,1,1
"2_1_93_2_118_6","2_1_93_2_118_6_10",NA,2,1,1
"2_1_93_2_118_6","2_1_93_2_118_6_11",NA,2,1,1
"2_1_93_2_118_7","2_1_93_2_118_7_1",NA,1,4,1
"2_1_93_2_118_7","2_1_93_2_118_7_2",NA,1,4,2
"2_1_93_2_118_7","2_1_93_2_118_7_3",2,1,4,NA
"2_1_93_2_118_7","2_1_93_2_118_7_4",NA,1,4,2
"2_1_93_2_118_7","2_1_93_2_118_7_5",NA,1,4,2
"2_1_93_2_118_7","2_1_93_2_118_7_6",NA,1,4,2
"2_1_93_2_118_7","2_1_93_2_118_7_7",1,1,NA,2
"2_1_93_2_118_7","2_1_93_2_118_7_8",NA,1,4,2
"2_1_93_2_118_7","2_1_93_2_118_7_9",NA,1,4,2
"2_1_93_2_118_8","2_1_93_2_118_8_1",1,1,NA,1
"2_1_93_2_118_8","2_1_93_2_118_8_2",NA,1,1,1
"2_1_93_2_118_8","2_1_93_2_118_8_3",NA,1,1,1
"2_1_93_2_118_8","2_1_93_2_118_8_4",NA,1,1,1
"2_1_93_2_118_8","2_1_93_2_118_8_5",2,1,1,NA
"2_1_93_2_118_8","2_1_93_2_118_8_6",NA,1,1,1
"2_1_93_2_118_8","2_1_93_2_118_8_7",NA,1,1,1
"2_1_93_2_118_9","2_1_93_2_118_9_1",NA,1,1,1
"2_1_93_2_118_9","2_1_93_2_118_9_2",NA,1,1,1
"2_1_93_2_118_9","2_1_93_2_118_9_3",2,1,1,NA
"2_1_93_2_118_9","2_1_93_2_118_9_4",NA,1,1,1
"2_1_93_2_118_9","2_1_93_2_118_9_5",NA,1,1,1
"2_1_93_2_118_9","2_1_93_2_118_9_6",NA,1,1,1
"2_1_93_2_118_9","2_1_93_2_118_9_7",NA,1,1,1
"2_1_93_2_118_9","2_1_93_2_118_9_8",NA,1,1,1
"2_1_93_2_118_9","2_1_93_2_118_9_9",1,1,NA,1
"2_1_93_2_118_9","2_1_93_2_118_9_10",NA,1,3,1
"2_1_93_2_118_9","2_1_93_2_118_9_11",NA,1,2,1
"2_1_93_2_118_9","2_1_93_2_118_9_12",NA,4,2,1
"2_1_93_2_118_10","2_1_93_2_118_10_1",NA,1,1,1
"2_1_93_2_118_10","2_1_93_2_118_10_2",NA,1,1,1
"2_1_93_2_118_10","2_1_93_2_118_10_3",2,1,1,NA
"2_1_93_2_118_10","2_1_93_2_118_10_4",NA,1,1,1
"2_1_93_2_118_10","2_1_93_2_118_10_5",1,1,NA,1
"2_1_93_2_118_11","2_1_93_2_118_11_1",NA,1,1,1
"2_1_93_2_118_11","2_1_93_2_118_11_2",NA,1,1,1
"2_1_93_2_118_11","2_1_93_2_118_11_3",2,1,1,NA
"2_1_93_2_118_11","2_1_93_2_118_11_4",NA,1,1,1
"2_1_93_2_118_11","2_1_93_2_118_11_5",NA,1,1,1
"2_1_93_2_118_11","2_1_93_2_118_11_6",NA,1,1,1
"2_1_93_2_118_11","2_1_93_2_118_11_7",NA,1,1,1
"2_1_93_2_118_11","2_1_93_2_118_11_8",NA,1,1,1
"2_1_93_2_118_11","2_1_93_2_118_11_9",NA,1,1,1
"2_1_93_2_118_11","2_1_93_2_118_11_10",NA,1,1,1
"2_1_93_2_118_11","2_1_93_2_118_11_11",1,1,NA,1
"2_1_93_2_118_11","2_1_93_2_118_11_12",NA,1,1,1
"2_1_93_2_118_11","2_1_93_2_118_11_13",NA,1,1,1
"2_1_93_2_118_11","2_1_93_2_118_11_14",NA,1,1,1
"2_1_93_2_118_11","2_1_93_2_118_11_15",NA,1,1,1
"2_1_93_2_118_11","2_1_93_2_118_11_16",NA,1,1,1
"2_1_93_2_118_12","2_1_93_2_118_12_1",1,1,NA,1
"2_1_93_2_118_12","2_1_93_2_118_12_2",NA,1,1,1
"2_1_93_2_118_12","2_1_93_2_118_12_3",NA,1,1,1
"2_1_93_2_118_12","2_1_93_2_118_12_4",NA,1,1,1
"2_1_93_2_118_12","2_1_93_2_118_12_5",NA,1,1,1
"2_1_93_2_118_12","2_1_93_2_118_12_6",NA,1,1,1
"2_1_93_2_118_12","2_1_93_2_118_12_7",2,1,1,NA
"2_1_93_2_118_12","2_1_93_2_118_12_8",NA,1,1,1
"2_1_93_2_118_12","2_1_93_2_118_12_9",NA,1,1,1
"2_1_93_2_118_12","2_1_93_2_118_12_10",NA,1,1,1
"2_1_93_2_118_12","2_1_93_2_118_12_11",NA,1,1,1
"2_1_93_2_118_13","2_1_93_2_118_13_1",NA,1,1,1
"2_1_93_2_118_13","2_1_93_2_118_13_2",1,1,NA,1
"2_1_93_2_118_13","2_1_93_2_118_13_3",NA,1,1,1
"2_1_93_2_118_13","2_1_93_2_118_13_4",2,1,1,NA
"2_1_93_2_118_14","2_1_93_2_118_14_1",NA,1,1,2
"2_1_93_2_118_14","2_1_93_2_118_14_2",1,1,NA,2
"2_1_93_2_118_14","2_1_93_2_118_14_3",NA,1,1,3
"2_1_93_2_118_14","2_1_93_2_118_14_4",NA,1,1,3
"2_1_93_2_118_14","2_1_93_2_118_14_5",2,3,2,NA
"3_3_8_1_119_1","3_3_8_1_119_1_1",1,1,NA,1
"3_3_8_1_119_1","3_3_8_1_119_1_2",NA,1,1,1
"3_3_8_1_119_1","3_3_8_1_119_1_3",NA,1,1,1
"3_3_8_1_119_1","3_3_8_1_119_1_4",2,1,1,NA
"3_3_8_1_119_1","3_3_8_1_119_1_5",NA,1,1,1
"3_3_8_1_119_1","3_3_8_1_119_1_6",NA,1,1,1
"3_3_8_1_119_2","3_3_8_1_119_2_1",NA,2,1,2
"3_3_8_1_119_2","3_3_8_1_119_2_2",1,2,NA,2
"3_3_8_1_119_2","3_3_8_1_119_2_3",NA,2,1,2
"3_3_8_1_119_2","3_3_8_1_119_2_4",NA,1,2,1
"3_3_8_1_119_2","3_3_8_1_119_2_5",2,1,2,NA
"3_3_8_1_119_2","3_3_8_1_119_2_6",NA,1,3,1
"3_3_8_1_119_3","3_3_8_1_119_3_1",2,1,1,NA
"3_3_8_1_119_3","3_3_8_1_119_3_2",NA,1,1,1
"3_3_8_1_119_3","3_3_8_1_119_3_3",1,1,NA,1
"3_3_8_1_119_3","3_3_8_1_119_3_4",NA,1,1,1
"3_3_8_1_119_3","3_3_8_1_119_3_5",NA,1,1,1
"3_3_8_1_119_4","3_3_8_1_119_4_1",2,1,3,NA
"3_3_8_1_119_4","3_3_8_1_119_4_2",NA,1,3,3
"3_3_8_1_119_4","3_3_8_1_119_4_3",NA,4,3,3
"3_3_8_1_119_4","3_3_8_1_119_4_4",1,4,NA,3
"3_3_8_1_119_4","3_3_8_1_119_4_5",NA,1,3,3
"3_3_8_1_119_4","3_3_8_1_119_4_6",NA,1,3,1
"3_3_8_1_119_5","3_3_8_1_119_5_1",2,1,1,NA
"3_3_8_1_119_5","3_3_8_1_119_5_2",1,1,NA,1
"3_3_8_1_119_5","3_3_8_1_119_5_3",NA,1,1,1
"3_3_8_1_119_6","3_3_8_1_119_6_1",2,1,3,NA
"3_3_8_1_119_6","3_3_8_1_119_6_2",NA,1,3,1
"3_3_8_1_119_6","3_3_8_1_119_6_3",NA,1,3,1
"3_3_8_1_119_6","3_3_8_1_119_6_4",NA,2,1,3
"3_3_8_1_119_6","3_3_8_1_119_6_5",NA,2,1,3
"3_3_8_1_119_6","3_3_8_1_119_6_6",1,2,NA,3
"3_3_8_1_119_6","3_3_8_1_119_6_7",NA,2,1,3
"3_3_8_1_119_6","3_3_8_1_119_6_8",NA,2,1,3
"3_3_8_1_119_6","3_3_8_1_119_6_9",NA,2,1,3
"3_3_8_1_119_6","3_3_8_1_119_6_10",NA,2,1,3
"3_3_8_1_119_7","3_3_8_1_119_7_1",NA,1,2,1
"3_3_8_1_119_7","3_3_8_1_119_7_2",2,1,2,NA
"3_3_8_1_119_7","3_3_8_1_119_7_3",NA,1,2,1
"3_3_8_1_119_7","3_3_8_1_119_7_4",NA,1,2,1
"3_3_8_1_119_7","3_3_8_1_119_7_5",NA,1,3,1
"3_3_8_1_119_7","3_3_8_1_119_7_6",NA,1,3,1
"3_3_8_1_119_7","3_3_8_1_119_7_7",1,3,NA,2
"3_3_8_1_119_7","3_3_8_1_119_7_8",NA,3,1,3
"3_3_8_1_119_7","3_3_8_1_119_7_9",NA,3,1,3
"3_3_8_1_119_7","3_3_8_1_119_7_10",NA,3,1,1
"3_3_8_1_119_8","3_3_8_1_119_8_1",2,1,1,NA
"3_3_8_1_119_8","3_3_8_1_119_8_2",NA,1,1,1
"3_3_8_1_119_8","3_3_8_1_119_8_3",1,1,NA,1
"3_3_8_1_119_8","3_3_8_1_119_8_4",NA,1,1,1
"3_3_8_1_119_8","3_3_8_1_119_8_5",NA,1,1,1
