"hh_id","country","hh_size"
"2_1_46_1_136_1_1","THA",4
"2_1_46_1_136_2_2","THA",4
"2_1_46_1_136_3_3","THA",4
"2_1_46_1_136_4_4","THA",6
"2_1_46_1_136_5_5","THA",4
"2_1_46_1_136_6_6","THA",1
"2_1_46_1_136_7_7","THA",1
"2_1_46_1_136_8_8","THA",3
"2_1_46_1_136_9_9","THA",3
"2_1_46_1_136_10_10","THA",6
"2_1_46_1_136_11_11","THA",3
"2_1_46_1_136_12_12","THA",4
"2_1_46_1_136_13_13","THA",5
"2_1_46_1_136_14_14","THA",3
"6_1_62_3_138_1_15","THA",5
"6_1_62_3_138_2_16","THA",4
"6_1_62_3_138_3_17","THA",5
"6_1_62_3_138_4_18","THA",2
"6_1_62_3_138_5_19","THA",4
"6_1_62_3_138_6_20","THA",6
"6_1_62_3_138_7_21","THA",5
"6_1_62_3_138_8_22","THA",4
"6_1_62_3_138_9_23","THA",3
"6_1_62_3_138_10_24","THA",3
"6_1_62_3_138_11_25","THA",5
"6_1_62_3_138_12_26","THA",6
"6_1_62_3_138_13_27","THA",9
"6_1_62_3_138_14_28","THA",2
"3_1_47_1_128_1_29","THA",4
"3_1_47_1_128_2_30","THA",4
"3_1_47_1_128_3_31","THA",6
"3_1_47_1_128_4_32","THA",9
"3_1_47_1_128_5_33","THA",3
"3_1_47_1_128_6_34","THA",6
"3_1_47_1_128_7_35","THA",5
"3_1_47_1_128_8_36","THA",7
"3_1_47_1_128_9_37","THA",6
"3_1_47_1_128_10_38","THA",5
"3_1_47_1_128_11_39","THA",4
"3_1_47_1_128_12_40","THA",4
"3_1_47_1_128_13_41","THA",4
"3_1_47_1_128_14_42","THA",2
"1_6_9_3_136_1_43","THA",4
"1_6_9_3_136_2_44","THA",2
"1_6_9_3_136_3_45","THA",7
"1_6_9_3_136_4_46","THA",5
"1_6_9_3_136_5_47","THA",5
"1_6_9_3_136_6_48","THA",3
"1_6_9_3_136_7_49","THA",2
"1_6_9_3_136_8_50","THA",6
"1_6_9_3_136_9_51","THA",3
"1_6_9_3_136_10_52","THA",4
"1_6_9_3_136_11_53","THA",3
"1_6_9_3_136_12_54","THA",5
"1_6_9_3_136_13_55","THA",6
"1_6_9_3_136_14_56","THA",8
"1_9_2_2_127_1_57","THA",4
"1_9_2_2_127_2_58","THA",5
"1_9_2_2_127_3_59","THA",15
"1_9_2_2_127_4_60","THA",5
"1_9_2_2_127_5_61","THA",7
"1_9_2_2_127_6_62","THA",5
"1_9_2_2_127_7_63","THA",4
"1_9_2_2_127_8_64","THA",2
"1_9_2_2_127_9_65","THA",6
"1_9_2_2_127_10_66","THA",5
"1_9_2_2_127_11_67","THA",7
"1_9_2_2_127_12_68","THA",4
"1_9_2_2_127_13_69","THA",4
"1_9_2_2_127_14_70","THA",2
"2_6_2_11_137_1_71","THA",6
"2_6_2_11_137_2_72","THA",5
"2_6_2_11_137_3_73","THA",6
"2_6_2_11_137_4_74","THA",5
"2_6_2_11_137_5_75","THA",3
"2_6_2_11_137_6_76","THA",4
"2_6_2_11_137_7_77","THA",6
"2_6_2_11_137_8_78","THA",5
"2_6_2_11_137_9_79","THA",3
"2_6_2_11_137_10_80","THA",6
"2_6_2_11_137_11_81","THA",4
"2_6_2_11_137_12_82","THA",7
"2_6_2_11_137_13_83","THA",2
"2_6_2_11_137_14_84","THA",6
"7_2_1_8_120_1_85","THA",5
