"hh_id","Q11_P1A","Q11_P1B","Q11_P1C","Q11_P2A","Q11_P2B","Q11_P2C","Q11_P3A","Q11_P3B","Q11_P3C","Q11_P4A","Q11_P4B","Q11_P4C","Q11_P5A","Q11_P5B","Q11_P5C","Q11_P6A","Q11_P6B","Q11_P6C","Q11_P7A","Q11_P7B","Q11_P7C","Q11_P8A","Q11_P8B","Q11_P8C","Q11_P9A","Q11_P9B","Q11_P9C","Q11_P10A","Q11_P10B","Q11_P10C","Q11_P11A","Q11_P11B","Q11_P11C","Q11_P12A","Q11_P12B","Q11_P12C","Q11_P13A","Q11_P13B","Q11_P13C","Q11_P14A","Q11_P14B","Q11_P14C","Q11_P15A","Q11_P15B","Q11_P15C","Q12","Q13"
"2_1_46_1_136_1_1",40,2,1,0,2,3,63,2,4,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,2
"2_1_46_1_136_2_2",47,1,1,42,2,1,27,1,3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,2
"2_1_46_1_136_3_3",41,1,2,38,2,2,1,1,6,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2,3
"2_1_46_1_136_4_4",41,1,2,36,1,7,25,2,1,22,1,6,35,2,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,3,3
"2_1_46_1_136_5_5",37,1,1,39,2,1,11,1,3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,4
"2_1_46_1_136_6_6",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,3
"2_1_46_1_136_7_7",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2,2
"2_1_46_1_136_8_8",68,2,1,30,2,3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2,3
"2_1_46_1_136_9_9",41,1,1,20,2,3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,3,2
"2_1_46_1_136_10_10",42,1,2,37,2,2,28,1,8,27,2,8,12,1,6,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,3,2
