"part_id","hh_id","part_age","part_gender"
"2_1_46_1_136_1","2_1_46_1_136_1_1",41,"M"
"2_1_46_1_136_2","2_1_46_1_136_2_2",4,"M"
"2_1_46_1_136_3","2_1_46_1_136_3_3",19,"F"
"2_1_46_1_136_4","2_1_46_1_136_4_4",33,"M"
"2_1_46_1_136_5","2_1_46_1_136_5_5",12,"F"
"2_1_46_1_136_6","2_1_46_1_136_6_6",30,"F"
"2_1_46_1_136_7","2_1_46_1_136_7_7",23,"M"
"2_1_46_1_136_8","2_1_46_1_136_8_8",65,"M"
"2_1_46_1_136_9","2_1_46_1_136_9_9",40,"F"
"2_1_46_1_136_10","2_1_46_1_136_10_10",17,"M"
"2_1_46_1_136_11","2_1_46_1_136_11_11",0,"F"
"2_1_46_1_136_12","2_1_46_1_136_12_12",63,"F"
"2_1_46_1_136_13","2_1_46_1_136_13_13",6,"M"
"2_1_46_1_136_14","2_1_46_1_136_14_14",27,"F"
"6_1_62_3_138_1","6_1_62_3_138_1_15",20,"M"
"6_1_62_3_138_2","6_1_62_3_138_2_16",19,"M"
"6_1_62_3_138_3","6_1_62_3_138_3_17",61,"M"
"6_1_62_3_138_4","6_1_62_3_138_4_18",39,"M"
"6_1_62_3_138_5","6_1_62_3_138_5_19",24,"F"
"6_1_62_3_138_6","6_1_62_3_138_6_20",1,"F"
"6_1_62_3_138_7","6_1_62_3_138_7_21",2,"M"
"6_1_62_3_138_8","6_1_62_3_138_8_22",9,"F"
"6_1_62_3_138_9","6_1_62_3_138_9_23",33,"F"
"6_1_62_3_138_10","6_1_62_3_138_10_24",53,"M"
"6_1_62_3_138_11","6_1_62_3_138_11_25",57,"F"
"6_1_62_3_138_12","6_1_62_3_138_12_26",63,"F"
"6_1_62_3_138_13","6_1_62_3_138_13_27",11,"M"
"6_1_62_3_138_14","6_1_62_3_138_14_28",14,"F"
"3_1_47_1_128_1","3_1_47_1_128_1_29",33,"F"
"3_1_47_1_128_2","3_1_47_1_128_2_30",17,"F"
"3_1_47_1_128_3","3_1_47_1_128_3_31",11,"F"
"3_1_47_1_128_4","3_1_47_1_128_4_32",33,"M"
"3_1_47_1_128_5","3_1_47_1_128_5_33",14,"M"
"3_1_47_1_128_6","3_1_47_1_128_6_34",0,"M"
"3_1_47_1_128_7","3_1_47_1_128_7_35",3,"F"
"3_1_47_1_128_8","3_1_47_1_128_8_36",8,"M"
"3_1_47_1_128_9","3_1_47_1_128_9_37",21,"M"
"3_1_47_1_128_10","3_1_47_1_128_10_38",20,"F"
"3_1_47_1_128_11","3_1_47_1_128_11_39",41,"M"
"3_1_47_1_128_12","3_1_47_1_128_12_40",53,"F"
"3_1_47_1_128_13","3_1_47_1_128_13_41",60,"M"
"3_1_47_1_128_14","3_1_47_1_128_14_42",65,"F"
"1_6_9_3_136_1","1_6_9_3_136_1_43",57,"F"
"1_6_9_3_136_2","1_6_9_3_136_2_44",33,"M"
"1_6_9_3_136_3","1_6_9_3_136_3_45",22,"F"
"1_6_9_3_136_4","1_6_9_3_136_4_46",60,"M"
"1_6_9_3_136_5","1_6_9_3_136_5_47",38,"F"
"1_6_9_3_136_6","1_6_9_3_136_6_48",20,"M"
"1_6_9_3_136_7","1_6_9_3_136_7_49",79,"F"
"1_6_9_3_136_8","1_6_9_3_136_8_50",2,"F"
"1_6_9_3_136_9","1_6_9_3_136_9_51",8,"M"
"1_6_9_3_136_10","1_6_9_3_136_10_52",8,"F"
"1_6_9_3_136_11","1_6_9_3_136_11_53",16,"M"
"1_6_9_3_136_12","1_6_9_3_136_12_54",19,"F"
"1_6_9_3_136_13","1_6_9_3_136_13_55",40,"M"
"1_6_9_3_136_14","1_6_9_3_136_14_56",0,"M"
"1_9_2_2_127_1","1_9_2_2_127_1_57",48,"M"
"1_9_2_2_127_2","1_9_2_2_127_2_58",28,"M"
"1_9_2_2_127_3","1_9_2_2_127_3_59",34,"F"
"1_9_2_2_127_4","1_9_2_2_127_4_60",24,"F"
"1_9_2_2_127_5","1_9_2_2_127_5_61",33,"M"
"1_9_2_2_127_6","1_9_2_2_127_6_62",56,"F"
"1_9_2_2_127_7","1_9_2_2_127_7_63",73,"F"
"1_9_2_2_127_8","1_9_2_2_127_8_64",75,"M"
"1_9_2_2_127_9","1_9_2_2_127_9_65",8,"M"
"1_9_2_2_127_10","1_9_2_2_127_10_66",2,"M"
"1_9_2_2_127_11","1_9_2_2_127_11_67",0,"F"
