"part_id","sday_id","day","month","year","dayofweek","holiday"
"2_1_46_1_136_1",20100216,"16","02","2010",5,0
"2_1_46_1_136_2",20100216,"16","02","2010",5,0
"2_1_46_1_136_3",20100216,"16","02","2010",5,0
"2_1_46_1_136_4",20100216,"16","02","2010",5,0
"2_1_46_1_136_5",20100216,"16","02","2010",5,0
"2_1_46_1_136_6",20100216,"16","02","2010",5,0
"2_1_46_1_136_7",20100216,"16","02","2010",5,0
"2_1_46_1_136_8",20100216,"16","02","2010",5,0
"2_1_46_1_136_9",20100216,"16","02","2010",5,0
"2_1_46_1_136_10",20100216,"16","02","2010",5,0
"2_1_46_1_136_11",20100216,"16","02","2010",5,0
"2_1_46_1_136_12",20100216,"16","02","2010",5,0
"2_1_46_1_136_13",20100216,"16","02","2010",5,0
"2_1_46_1_136_14",20100216,"16","02","2010",5,0
"6_1_62_3_138_1",20100212,"12","02","2010",1,1
"6_1_62_3_138_2",20100212,"12","02","2010",1,1
"6_1_62_3_138_3",20100212,"12","02","2010",1,1
"6_1_62_3_138_4",20100212,"12","02","2010",1,1
"6_1_62_3_138_5",20100212,"12","02","2010",1,1
"6_1_62_3_138_6",20100212,"12","02","2010",1,1
"6_1_62_3_138_7",20100212,"12","02","2010",1,1
"6_1_62_3_138_8",20100212,"12","02","2010",1,1
"6_1_62_3_138_9",20100212,"12","02","2010",1,1
"6_1_62_3_138_10",20100212,"12","02","2010",1,1
"6_1_62_3_138_11",20100212,"12","02","2010",1,1
"6_1_62_3_138_12",20100212,"12","02","2010",1,1
"6_1_62_3_138_13",20100212,"12","02","2010",1,1
"6_1_62_3_138_14",20100212,"12","02","2010",1,1
"3_1_47_1_128_1",20100218,"18","02","2010",6,0
"3_1_47_1_128_2",20100218,"18","02","2010",6,0
"3_1_47_1_128_3",20100218,"18","02","2010",6,0
"3_1_47_1_128_4",20100218,"18","02","2010",6,0
"3_1_47_1_128_5",20100218,"18","02","2010",6,0
"3_1_47_1_128_6",20100218,"18","02","2010",6,0
"3_1_47_1_128_7",20100218,"18","02","2010",6,0
"3_1_47_1_128_8",20100218,"18","02","2010",1,1
"3_1_47_1_128_9",20100218,"18","02","2010",6,1
"3_1_47_1_128_10",20100218,"18","02","2010",6,0
"3_1_47_1_128_11",20100218,"18","02","2010",6,1
"3_1_47_1_128_12",20100218,"18","02","2010",6,0
"3_1_47_1_128_13",20100218,"18","02","2010",6,0
"3_1_47_1_128_14",20100218,"18","02","2010",6,0
"1_6_9_3_136_1",20100217,"17","02","2010",5,0
"1_6_9_3_136_2",20100217,"17","02","2010",5,0
"1_6_9_3_136_3",20100217,"17","02","2010",5,0
"1_6_9_3_136_4",20100217,"17","02","2010",5,0
"1_6_9_3_136_5",20100217,"17","02","2010",5,0
"1_6_9_3_136_6",20100217,"17","02","2010",5,0
"1_6_9_3_136_7",20100217,"17","02","2010",5,0
