"cont_id","HouseholdMember","OtherRelative","ClassmateColleague","Schoolmate","WorkplaceClass","OtherSchool"
1001801,0,0,0,0,1,0
1001802,0,0,0,0,1,0
1001803,0,0,1,0,1,0
1001804,0,0,1,0,1,0
1001805,0,0,1,0,1,0
1001806,0,0,0,0,0,0
1001807,0,0,0,0,0,0
1001808,1,0,0,0,0,0
1001809,1,0,0,0,0,0
1001810,0,0,0,0,1,0
1001811,0,0,0,0,1,0
1001812,0,0,0,0,1,0
1001813,0,0,0,0,0,0
1001814,0,0,0,0,0,0
1001815,0,0,0,0,0,0
1001816,0,0,1,0,0,0
1001817,1,0,0,0,0,0
1005501,1,0,0,0,0,0
1005502,1,0,0,0,0,0
1005503,0,0,1,0,0,0
1005504,0,0,1,0,0,0
1010501,1,0,0,0,0,0
1010502,0,0,1,0,1,0
1010503,0,0,1,0,1,0
1010504,0,0,1,0,1,0
1010505,0,0,1,0,1,0
1010506,0,0,1,0,1,0
1010507,0,0,1,0,1,0
1010508,0,0,1,0,1,0
1010509,1,0,0,0,0,0
1010510,1,0,0,0,0,0
1010511,0,0,1,0,1,0
1010512,0,0,0,0,0,0
1018701,1,0,0,0,0,0
1018702,1,0,0,0,0,0
1018703,1,0,0,0,0,0
1018704,0,0,0,0,1,0
1024601,1,0,0,0,0,0
1024602,1,0,0,0,0,0
1024603,0,0,1,1,1,1
1030601,1,0,0,0,0,0
1030602,1,0,0,0,0,0
1030603,0,0,0,0,1,0
1030604,0,0,1,0,1,1
1030605,0,0,0,1,0,1
1030606,0,0,0,0,0,0
1030607,0,0,0,0,0,0
1030608,0,0,0,1,0,1
1030609,0,0,0,0,0,0
1030610,0,0,0,0,0,0
1030611,1,0,0,0,0,0
1030612,1,0,0,0,0,0
1030613,0,1,0,0,0,0
1030614,0,1,0,0,0,0
1030615,0,0,0,0,0,0
1030616,0,0,0,0,0,0
1030617,0,0,0,0,0,0
1030618,0,0,0,0,0,0
1030619,0,1,0,0,0,0
1030620,0,1,0,0,0,0
1070001,1,0,0,0,0,0
1070002,1,0,0,0,0,0
1070003,0,0,1,0,1,0
1070004,0,0,1,0,1,0
1070005,0,0,1,0,1,0
1070006,0,0,1,0,1,0
1070007,0,0,1,0,1,0
1070008,0,0,1,0,1,0
1070009,0,0,1,0,1,0
1070010,0,0,1,0,1,0
1070011,0,0,1,0,1,0
1070012,0,0,1,0,1,0
1070013,0,0,1,0,1,0
1070014,0,0,1,0,1,0
1070015,0,0,1,0,1,0
1070016,0,0,1,0,1,0
1070017,0,0,1,0,1,0
1070018,0,0,1,0,1,0
1070019,0,0,1,0,1,0
1070020,0,0,1,0,1,0
1070021,0,0,1,0,1,0
1070022,0,0,1,0,1,0
1070023,0,0,0,0,0,0
1070024,0,0,1,0,1,0
1103901,1,0,0,0,0,0
1103902,1,0,0,0,0,0
1103903,0,0,0,0,0,0
1103904,0,0,0,0,0,0
1103905,0,0,0,0,1,0
1103906,0,0,0,0,1,0
1103907,0,0,0,0,1,0
1103908,0,0,0,0,1,0
1103909,0,0,0,0,1,0
1103910,0,0,0,0,1,0
1103911,0,0,0,0,0,0
1103912,0,0,0,0,0,0
1123801,1,0,0,0,0,0
1123802,0,1,0,0,0,0
1123803,0,0,1,0,0,1
1123804,1,0,0,0,0,0
1123805,1,0,0,0,0,0
1130901,1,0,0,1,0,0
1130902,1,0,0,1,0,0
1130903,1,0,0,0,0,0
1130904,1,0,0,0,0,0
1130905,1,0,0,0,0,0
1130906,1,0,0,0,0,0
1130907,1,0,0,0,0,0
1153901,1,0,0,0,0,0
1153902,0,0,1,0,1,0
1153903,0,0,1,0,1,0
1200201,1,0,0,0,0,0
1200202,1,0,0,0,0,0
1200203,0,0,0,0,0,0
1200204,0,0,1,0,1,0
1200205,0,0,1,0,1,0
1200206,0,0,1,0,1,0
1200207,0,0,1,0,1,0
1200208,0,0,0,0,0,0
1200209,0,0,1,0,1,0
1200210,0,0,0,0,0,0
1208201,0,0,0,1,0,0
1208202,0,0,0,1,0,0
1208203,0,0,0,1,0,0
1208204,0,0,1,0,1,1
1208205,1,0,1,1,1,1
1218101,1,0,0,0,0,0
1218102,1,0,0,0,0,0
1218103,1,0,0,0,0,0
1231001,1,0,0,0,0,0
1231002,1,0,0,0,0,0
1231003,1,0,0,0,1,0
1231004,0,0,0,0,1,0
1231005,1,0,0,0,0,0
1231006,1,0,0,0,0,0
1231007,0,0,0,0,1,0
1254101,1,0,0,0,0,0
1254102,1,0,0,0,0,0
1254103,1,0,0,0,0,0
1254104,0,0,0,0,0,0
1254105,0,0,0,0,0,0
1254106,0,0,0,0,0,0
1254107,0,0,0,0,0,0
1254108,0,0,0,0,0,0
1254109,0,0,0,0,0,0
1255601,1,0,0,0,0,0
1255602,1,0,0,0,0,0
1255603,1,0,0,0,0,0
1255604,1,0,0,0,0,0
1279201,1,0,0,0,0,0
1279202,1,0,0,0,0,0
1279203,0,1,0,0,0,0
1279204,0,0,1,0,1,0
1279205,0,0,1,0,1,0
1296501,1,0,0,1,0,0
1296502,1,0,0,0,0,0
1296503,1,0,0,0,0,0
1296504,0,0,1,0,1,1
1296505,0,0,0,1,0,1
1301901,0,0,1,0,0,1
1301902,1,0,0,0,0,0
1301903,1,0,0,0,0,0
1301904,1,0,0,0,0,0
1301905,0,0,1,0,0,1
1301906,0,0,1,0,0,1
1301907,0,1,0,0,0,0
1301908,0,1,0,0,0,0
1301909,0,0,1,0,0,1
1301910,0,1,0,0,0,0
1301911,0,1,0,0,0,0
1301912,0,0,1,0,0,1
1301913,0,0,1,0,0,1
1301914,0,0,1,0,0,1
1301915,0,0,1,0,0,1
1304501,1,0,0,0,0,0
1304502,1,0,0,0,0,0
1304503,0,0,0,0,0,0
1304504,0,0,0,0,0,0
1304505,0,0,0,0,0,0
1304506,0,0,1,0,1,0
1304507,0,0,1,0,1,0
1304508,0,0,1,0,1,0
1304509,0,0,1,0,1,0
1304510,0,0,1,0,1,0
