"hh_id","country","hh_size"
"HH17753","RU",3
"HH66974","RU",3
"HH75729","RU",3
"HH26107","RU",2
"HH80480","RU",2
"HH59516","RU",4
"HH80253","RU",4
"HH90024","RU",4
"HH77162","RU",4
"HH53965","RU",3
"HH27452","RU",3
"HH47313","RU",4
"HH62921","RU",4
"HH25342","RU",4
"HH13730","RU",4
"HH22900","RU",4
"HH81821","RU",3
"HH14950","RU",3
"HH59448","RU",5
"HH76869","RU",4
"HH20063","RU",4
"HH16019","RU",3
"HH15615","RU",3
"HH24414","RU",4
"HH39930","RU",4
"HH86664","RU",2
"HH67830","RU",2
"HH58844","RU",4
"HH33542","RU",3
"HH76704","RU",4
"HH94103","RU",5
"HH54397","RU",5
"HH78781","RU",4
"HH74370","RU",3
"HH31686","RU",3
"HH48926","RU",3
"HH55949","RU",3
"HH83082","RU",4
"HH34446","RU",4
"HH29891","RU",4
"HH90834","RU",4
"HH65111","RU",4
"HH29428","RU",4
"HH14259","RU",4
"HH93740","RU",4
"HH84233","RU",5
"HH54694","RU",5
"HH63128","RU",5
"HH83878","RU",3
"HH90733","RU",4
"HH76918","RU",4
"HH32346","RU",3
"HH36633","RU",4
"HH65702","RU",3
"HH68595","RU",3
"HH51900","RU",3
"HH52615","RU",3
"HH47727","RU",3
"HH94813","RU",3
"HH92867","RU",4
"HH94866","RU",4
"HH74327","RU",3
"HH32565","RU",4
"HH74948","RU",2
"HH54124","RU",2
"HH28568","RU",2
"HH94355","RU",4
"HH94465","RU",3
"HH55643","RU",4
"HH43116","RU",4
"HH72491","RU",3
"HH63723","RU",3
"HH48728","RU",3
"HH89555","RU",3
"HH37197","RU",4
"HH82090","RU",4
"HH34033","RU",4
"HH23751","RU",4
"HH99615","RU",4
"HH54804","RU",4
"HH82778","RU",4
"HH96160","RU",4
"HH52156","RU",4
"HH95426","RU",5
"HH82966","RU",3
"HH36433","RU",3
"HH80470","RU",4
"HH30090","RU",4
"HH97259","RU",4
"HH15817","RU",4
"HH30550","RU",4
"HH56973","RU",3
"HH60099","RU",3
"HH90007","RU",4
"HH95682","RU",4
"HH80991","RU",5
"HH78355","RU",5
"HH82950","RU",4
"HH92705","RU",4
"HH92211","RU",4
"HH73440","RU",3
"HH80497","RU",4
"HH33185","RU",3
"HH48884","RU",4
"HH11238","RU",4
"HH16621","RU",5
"HH65504","RU",4
"HH29029","RU",4
"HH43113","RU",4
"HH82206","RU",4
"HH11039","RU",3
"HH33946","RU",3
"HH68050","RU",3
"HH83207","RU",3
"HH87645","RU",3
"HH91736","RU",3
