"hh_id","age_hh_member_1","age_hh_member_2","age_hh_member_3","age_hh_member_4","age_hh_member_5","age_hh_member_6","age_hh_member_7"
"HH17753",16,43,NA,NA,NA,NA,NA
"HH66974",35,40,NA,NA,NA,NA,NA
"HH75729",40,16,NA,NA,NA,NA,NA
"HH26107",16,NA,NA,NA,NA,NA,NA
"HH80480",39,NA,NA,NA,NA,NA,NA
"HH59516",7,17,39,NA,NA,NA,NA
"HH80253",7,38,39,NA,NA,NA,NA
"HH90024",6,39,17,NA,NA,NA,NA
"HH77162",6,39,45,NA,NA,NA,NA
"HH53965",37,43,NA,NA,NA,NA,NA
"HH27452",49,43,NA,NA,NA,NA,NA
"HH47313",64,42,48,NA,NA,NA,NA
"HH62921",16,10,38,NA,NA,NA,NA
"HH25342",10,38,38,NA,NA,NA,NA
"HH13730",7,37,46,NA,NA,NA,NA
"HH22900",7,16,46,NA,NA,NA,NA
"HH81821",38,17,NA,NA,NA,NA,NA
"HH14950",17,48,NA,NA,NA,NA,NA
"HH59448",1,37,57,60,NA,NA,NA
"HH76869",53,21,62,NA,NA,NA,NA
"HH20063",18,21,62,NA,NA,NA,NA
"HH16019",56,57,NA,NA,NA,NA,NA
"HH15615",57,18,NA,NA,NA,NA,NA
"HH24414",17,18,48,NA,NA,NA,NA
"HH39930",18,38,48,NA,NA,NA,NA
"HH86664",17,NA,NA,NA,NA,NA,NA
"HH67830",48,NA,NA,NA,NA,NA,NA
"HH58844",12,40,43,NA,NA,NA,NA
"HH33542",40,48,NA,NA,NA,NA,NA
"HH76704",18,12,43,NA,NA,NA,NA
"HH94103",3,17,37,38,NA,NA,NA
"HH54397",3,17,18,38,NA,NA,NA
"HH78781",42,44,10,NA,NA,NA,NA
"HH74370",17,53,NA,NA,NA,NA,NA
"HH31686",45,53,NA,NA,NA,NA,NA
"HH48926",39,42,NA,NA,NA,NA,NA
"HH55949",17,42,NA,NA,NA,NA,NA
"HH83082",31,31,2,NA,NA,NA,NA
"HH34446",31,17,2,NA,NA,NA,NA
"HH29891",47,55,22,NA,NA,NA,NA
"HH90834",15,47,45,NA,NA,NA,NA
"HH65111",47,52,68,NA,NA,NA,NA
"HH29428",17,52,68,NA,NA,NA,NA
"HH14259",17,17,26,NA,NA,NA,NA
"HH93740",17,26,48,NA,NA,NA,NA
"HH84233",1,17,57,60,NA,NA,NA
"HH54694",39,11,17,8,NA,NA,NA
"HH63128",39,39,11,8,NA,NA,NA
"HH83878",40,40,NA,NA,NA,NA,NA
"HH90733",14,17,39,NA,NA,NA,NA
"HH76918",14,39,39,NA,NA,NA,NA
"HH32346",45,51,NA,NA,NA,NA,NA
"HH36633",6,17,38,NA,NA,NA,NA
"HH65702",18,45,NA,NA,NA,NA,NA
"HH68595",42,45,NA,NA,NA,NA,NA
"HH51900",17,57,NA,NA,NA,NA,NA
"HH52615",47,57,NA,NA,NA,NA,NA
"HH47727",17,57,NA,NA,NA,NA,NA
"HH94813",40,41,NA,NA,NA,NA,NA
"HH92867",17,58,24,NA,NA,NA,NA
"HH94866",24,51,53,NA,NA,NA,NA
"HH74327",40,40,NA,NA,NA,NA,NA
"HH32565",52,52,22,NA,NA,NA,NA
"HH74948",17,NA,NA,NA,NA,NA,NA
"HH54124",42,NA,NA,NA,NA,NA,NA
"HH28568",40,NA,NA,NA,NA,NA,NA
"HH94355",12,38,44,NA,NA,NA,NA
"HH94465",45,45,NA,NA,NA,NA,NA
"HH55643",17,14,38,NA,NA,NA,NA
"HH43116",14,49,38,NA,NA,NA,NA
"HH72491",17,50,NA,NA,NA,NA,NA
"HH63723",50,55,NA,NA,NA,NA,NA
"HH48728",17,40,NA,NA,NA,NA,NA
"HH89555",40,39,NA,NA,NA,NA,NA
"HH37197",17,42,63,NA,NA,NA,NA
"HH82090",37,42,63,NA,NA,NA,NA
"HH34033",12,39,39,NA,NA,NA,NA
"HH23751",17,12,39,NA,NA,NA,NA
"HH99615",6,38,41,NA,NA,NA,NA
"HH54804",30,30,3,NA,NA,NA,NA
"HH82778",1,33,35,NA,NA,NA,NA
"HH96160",40,19,7,NA,NA,NA,NA
"HH52156",40,40,19,NA,NA,NA,NA
"HH95426",3,0,34,37,NA,NA,NA
"HH82966",33,35,NA,NA,NA,NA,NA
"HH36433",35,8,NA,NA,NA,NA,NA
"HH80470",36,18,40,NA,NA,NA,NA
"HH30090",8,18,40,NA,NA,NA,NA
"HH97259",35,8,1,NA,NA,NA,NA
"HH15817",35,36,1,NA,NA,NA,NA
"HH30550",30,3,7,NA,NA,NA,NA
"HH56973",31,37,NA,NA,NA,NA,NA
"HH60099",8,31,NA,NA,NA,NA,NA
"HH90007",8,15,39,NA,NA,NA,NA
"HH95682",15,39,41,NA,NA,NA,NA
"HH80991",8,3,0,39,NA,NA,NA
"HH78355",35,3,0,39,NA,NA,NA
"HH82950",3,8,33,NA,NA,NA,NA
"HH92705",3,33,32,NA,NA,NA,NA
"HH92211",5,31,31,NA,NA,NA,NA
"HH73440",34,33,NA,NA,NA,NA,NA
"HH80497",5,8,31,NA,NA,NA,NA
"HH33185",33,7,NA,NA,NA,NA,NA
"HH48884",17,38,39,NA,NA,NA,NA
"HH11238",2,29,30,NA,NA,NA,NA
"HH16621",0,12,33,37,NA,NA,NA
"HH65504",1,8,33,NA,NA,NA,NA
"HH29029",3,34,33,NA,NA,NA,NA
"HH43113",12,34,35,NA,NA,NA,NA
"HH82206",7,12,35,NA,NA,NA,NA
"HH11039",32,7,NA,NA,NA,NA,NA
"HH33946",33,32,NA,NA,NA,NA,NA
"HH68050",39,37,NA,NA,NA,NA,NA
"HH83207",7,37,NA,NA,NA,NA,NA
"HH87645",39,37,NA,NA,NA,NA,NA
"HH91736",7,37,NA,NA,NA,NA,NA
"HH43916",9,7,6,2,1,53,NA
"HH83028",9,32,6,2,1,53,NA
"HH16448",16,41,41,NA,NA,NA,NA
"HH24136",37,15,40,NA,NA,NA,NA
"HH44743",45,23,19,7,NA,NA,NA
"HH73154",46,45,23,19,NA,NA,NA
"HH43562",7,13,43,NA,NA,NA,NA
"HH72174",13,39,43,NA,NA,NA,NA
"HH76987",7,12,40,NA,NA,NA,NA
"HH56769",12,35,40,NA,NA,NA,NA
"HH35373",8,19,42,NA,NA,NA,NA
"HH65149",19,37,42,NA,NA,NA,NA
"HH63588",40,39,NA,NA,NA,NA,NA
"HH83807",16,41,41,NA,NA,NA,NA
"HH15927",7,40,NA,NA,NA,NA,NA
"HH43758",6,31,34,NA,NA,NA,NA
"HH51461",6,7,34,NA,NA,NA,NA
"HH75716",40,5,7,NA,NA,NA,NA
"HH46189",5,36,40,NA,NA,NA,NA
"HH70389",12,38,42,NA,NA,NA,NA
"HH65275",7,12,38,NA,NA,NA,NA
"HH25103",29,33,2,NA,NA,NA,NA
"HH58882",1,29,57,58,NA,NA,NA
"HH71327",1,7,57,58,NA,NA,NA
"HH19876",3,33,65,NA,NA,NA,NA
"HH78095",7,2,33,NA,NA,NA,NA
"HH61416",6,40,17,45,NA,NA,NA
"HH80908",34,33,2,NA,NA,NA,NA
"HH32661",34,33,2,NA,NA,NA,NA
"HH17403",32,2,NA,NA,NA,NA,NA
"HH97737",2,7,NA,NA,NA,NA,NA
"HH62123",27,29,NA,NA,NA,NA,NA
"HH75978",7,29,NA,NA,NA,NA,NA
"HH37752",11,7,36,NA,NA,NA,NA
"HH35551",11,35,36,NA,NA,NA,NA
"HH56293",34,34,12,NA,NA,NA,NA
"HH83195",3,37,38,57,NA,NA,NA
"HH22754",1,33,34,NA,NA,NA,NA
"HH42800",7,66,NA,NA,NA,NA,NA
"HH15420",35,66,NA,NA,NA,NA,NA
"HH71104",5,8,34,NA,NA,NA,NA
"HH91247",5,36,34,NA,NA,NA,NA
"HH92571",1,30,30,NA,NA,NA,NA
"HH51335",15,38,44,NA,NA,NA,NA
"HH47070",8,15,44,NA,NA,NA,NA
"HH38109",1,32,38,NA,NA,NA,NA
"HH54132",1,7,38,NA,NA,NA,NA
"HH23973",4,33,44,NA,NA,NA,NA
"HH52056",8,1,34,NA,NA,NA,NA
"HH90034",3,9,33,NA,NA,NA,NA
