"part_id","hh_id","part_age","part_gender"
17753,"HH17753",37,NA
66974,"HH66974",16,NA
75729,"HH75729",35,NA
26107,"HH26107",39,NA
80480,"HH80480",16,NA
59516,"HH59516",38,NA
80253,"HH80253",17,NA
90024,"HH90024",45,NA
77162,"HH77162",17,NA
53965,"HH53965",16,NA
27452,"HH27452",16,NA
47313,"HH47313",16,NA
62921,"HH62921",38,NA
25342,"HH25342",16,NA
13730,"HH13730",16,NA
22900,"HH22900",37,NA
81821,"HH81821",39,NA
14950,"HH14950",40,NA
59448,"HH59448",17,NA
76869,"HH76869",18,NA
20063,"HH20063",53,NA
16019,"HH16019",18,NA
15615,"HH15615",56,NA
24414,"HH24414",38,NA
39930,"HH39930",17,NA
86664,"HH86664",48,NA
67830,"HH67830",17,NA
58844,"HH58844",18,NA
33542,"HH33542",17,NA
76704,"HH76704",40,NA
94103,"HH94103",18,NA
54397,"HH54397",37,NA
78781,"HH78781",18,NA
74370,"HH74370",45,NA
31686,"HH31686",17,NA
48926,"HH48926",17,NA
55949,"HH55949",39,NA
83082,"HH83082",17,NA
34446,"HH34446",31,NA
29891,"HH29891",17,NA
90834,"HH90834",17,NA
65111,"HH65111",17,NA
29428,"HH29428",47,NA
14259,"HH14259",48,NA
93740,"HH93740",17,NA
84233,"HH84233",37,NA
54694,"HH54694",39,NA
63128,"HH63128",17,NA
83878,"HH83878",17,NA
90733,"HH90733",39,NA
76918,"HH76918",17,NA
32346,"HH32346",17,NA
36633,"HH36633",41,NA
65702,"HH65702",42,NA
68595,"HH68595",18,NA
51900,"HH51900",47,NA
52615,"HH52615",17,NA
47727,"HH47727",47,NA
94813,"HH94813",17,NA
92867,"HH92867",51,NA
94866,"HH94866",17,NA
74327,"HH74327",17,NA
32565,"HH32565",17,NA
74948,"HH74948",42,NA
54124,"HH54124",17,NA
28568,"HH28568",17,NA
94355,"HH94355",17,NA
94465,"HH94465",17,NA
55643,"HH55643",49,NA
43116,"HH43116",17,NA
72491,"HH72491",55,NA
63723,"HH63723",17,NA
48728,"HH48728",39,NA
89555,"HH89555",17,NA
37197,"HH37197",37,NA
82090,"HH82090",17,NA
34033,"HH34033",17,NA
23751,"HH23751",39,NA
99615,"HH99615",17,NA
54804,"HH54804",7,NA
82778,"HH82778",8,NA
96160,"HH96160",40,NA
52156,"HH52156",7,NA
95426,"HH95426",8,NA
82966,"HH82966",8,NA
36433,"HH36433",33,NA
80470,"HH80470",8,NA
30090,"HH30090",36,NA
97259,"HH97259",36,NA
15817,"HH15817",8,NA
30550,"HH30550",30,NA
56973,"HH56973",8,NA
60099,"HH60099",37,NA
90007,"HH90007",41,NA
95682,"HH95682",8,NA
80991,"HH80991",35,NA
78355,"HH78355",8,NA
82950,"HH82950",32,NA
92705,"HH92705",8,NA
92211,"HH92211",8,NA
73440,"HH73440",7,NA
