"hh_id","country","hh_size"
"NL19","NL",5
"NL20","NL",5
"NL21","NL",4
"NL22","NL",4
"NL23","NL",5
"NL24","NL",3
"NL25","NL",3
"NL26","NL",4
"NL27","NL",4
"NL28","NL",5
"NL29","NL",2
"NL30","NL",4
"NL31","NL",4
"NL32","NL",5
"NL33","NL",5
"NL34","NL",4
"NL35","NL",4
"NL36","NL",3
"NL37","NL",4
"NL38","NL",3
"NL39","NL",3
"NL40","NL",3
"NL41","NL",3
"NL42","NL",5
"NL43","NL",3
"NL44","NL",4
"NL45","NL",4
"NL46","NL",5
"NL47","NL",3
"NL48","NL",5
"NL49","NL",4
"NL50","NL",4
"NL51","NL",4
"NL52","NL",4
"NL53","NL",5
"NL54","NL",4
"NL55","NL",4
"NL56","NL",4
"NL57","NL",5
"NL58","NL",5
"NL59","NL",3
"NL60","NL",4
"NL61","NL",3
"NL62","NL",4
"NL63","NL",6
"NL64","NL",4
"NL65","NL",5
"NL66","NL",5
"NL67","NL",5
"NL68","NL",4
"NL69","NL",2
"NL70","NL",3
"NL71","NL",5
"NL72","NL",3
"NL73","NL",3
"NL74","NL",5
"NL75","NL",6
"NL76","NL",4
"NL77","NL",2
"NL78","NL",4
"NL79","NL",6
"NL80","NL",5
"NL81","NL",4
"NL82","NL",4
"NL83","NL",5
"NL84","NL",5
"NL85","NL",4
"NL86","NL",4
"NL87","NL",6
"NL88","NL",4
"NL89","NL",4
"NL90","NL",5
"NL91","NL",7
"NL92","NL",4
"NL93","NL",4
"NL94","NL",4
"NL95","NL",5
"NL96","NL",4
"NL97","NL",3
"NL98","NL",4
"NL99","NL",4
"NL100","NL",4
"NL101","NL",4
"NL102","NL",4
"NL103","NL",4
"NL104","NL",4
"NL105","NL",4
"NL106","NL",4
"NL107","NL",4
"NL108","NL",4
"NL109","NL",5
"NL110","NL",5
"NL111","NL",3
"NL112","NL",4
"NL113","NL",4
"NL114","NL",2
"NL115","NL",4
"NL116","NL",3
"NL117","NL",1
"NL118","NL",2
"NL119","NL",2
"NL120","NL",2
"NL121","NL",4
"NL122","NL",1
"NL123","NL",2
"NL124","NL",2
"NL125","NL",4
"NL126","NL",4
"NL127","NL",2
"NL128","NL",4
"NL129","NL",4
"NL130","NL",1
"NL131","NL",2
"NL132","NL",2
"NL133","NL",2
"NL134","NL",1
"NL135","NL",2
"NL136","NL",4
"NL137","NL",3
"NL138","NL",2
"NL139","NL",2
"NL140","NL",NA
"NL141","NL",2
"NL142","NL",2
"NL143","NL",2
"NL144","NL",2
"NL145","NL",3
"NL146","NL",4
"NL147","NL",2
"NL148","NL",2
"NL149","NL",4
"NL150","NL",4
"NL151","NL",1
"NL152","NL",2
"NL153","NL",2
"NL154","NL",1
"NL155","NL",5
"NL156","NL",NA
"NL158","NL",2
"NL159","NL",2
"NL160","NL",2
"NL161","NL",3
"NL162","NL",4
"NL163","NL",2
"NL164","NL",5
"NL165","NL",3
"NL166","NL",1
"NL167","NL",4
"NL168","NL",3
"NL169","NL",2
"NL170","NL",2
"NL171","NL",2
"NL172","NL",2
"NL173","NL",4
"NL174","NL",5
"NL175","NL",2
"NL176","NL",4
"NL177","NL",2
"NL178","NL",3
"NL179","NL",4
"NL180","NL",2
"NL181","NL",2
"NL182","NL",1
"NL183","NL",3
"NL184","NL",2
"NL185","NL",2
"NL186","NL",1
"NL187","NL",2
"NL188","NL",2
"NL189","NL",1
"NL190","NL",2
"NL191","NL",4
"NL192","NL",2
"NL193","NL",2
"NL194","NL",1
"NL195","NL",1
"NL196","NL",2
"NL197","NL",2
"NL198","NL",3
"NL199","NL",3
"NL200","NL",2
"NL201","NL",3
"NL202","NL",2
"NL203","NL",2
"NL204","NL",4
"NL205","NL",1
"NL206","NL",3
"NL207","NL",2
"NL208","NL",3
"NL209","NL",1
"NL210","NL",3
"NL211","NL",2
"NL212","NL",2
"NL213","NL",3
"NL214","NL",7
"NL215","NL",4
"NL216","NL",5
"NL217","NL",4
"NL218","NL",4
"NL219","NL",2
"NL220","NL",4
"NL221","NL",4
"NL222","NL",2
"NL223","NL",4
"NL224","NL",1
"NL225","NL",4
"NL226","NL",4
"NL227","NL",NA
"NL228","NL",2
"NL229","NL",2
"NL230","NL",2
"NL231","NL",4
"NL232","NL",5
"NL233","NL",4
"NL234","NL",1
"NL235","NL",2
"NL236","NL",2
"NL237","NL",2
"NL238","NL",3
"NL239","NL",1
"NL240","NL",2
"NL241","NL",2
"NL242","NL",2
"NL243","NL",4
"NL244","NL",2
"NL245","NL",2
"NL246","NL",2
"NL247","NL",4
"NL248","NL",1
"NL249","NL",2
"NL250","NL",4
"NL251","NL",2
"NL252","NL",2
"NL253","NL",4
"NL254","NL",2
"NL255","NL",2
"NL256","NL",3
"NL257","NL",2
"NL258","NL",2
"NL259","NL",2
"NL260","NL",2
"NL261","NL",5
"NL262","NL",2
"NL263","NL",2
"NL264","NL",4
"NL265","NL",3
"NL266","NL",4
"NL267","NL",2
"NL268","NL",4
"NL269","NL",2
"NL270","NL",2
"NL271","NL",2
"NL272","NL",4
"NL273","NL",1
"NL274","NL",4
"NL275","NL",2
"NL276","NL",3
"NL277","NL",2
"NL278","NL",2
"NL279","NL",1
"NL280","NL",1
"NL281","NL",2
"NL282","NL",1
"NL283","NL",2
"NL284","NL",2
"NL285","NL",4
"NL286","NL",2
"NL287","NL",2
