"part_id","hh_id","part_age","part_gender"
19,"NL19",4,"F"
20,"NL20",6,"M"
21,"NL21",4,"M"
22,"NL22",5,"M"
23,"NL23",4,"M"
24,"NL24",0,"F"
25,"NL25",3,"M"
26,"NL26",4,"M"
27,"NL27",0,"F"
28,"NL28",3,"F"
29,"NL29",1,"F"
30,"NL30",6,"M"
31,"NL31",3,"M"
32,"NL32",8,"F"
33,"NL33",1,"F"
34,"NL34",5,"F"
35,"NL35",2,"F"
36,"NL36",6,"F"
37,"NL37",NA,"F"
38,"NL38",0,"M"
39,"NL39",8,"M"
40,"NL40",7,"M"
41,"NL41",0,"F"
42,"NL42",8,"F"
43,"NL43",NA,"F"
44,"NL44",1,"F"
45,"NL45",6,"F"
46,"NL46",0,"M"
47,"NL47",7,"F"
48,"NL48",4,"F"
49,"NL49",0,"F"
50,"NL50",6,"M"
51,"NL51",1,"F"
52,"NL52",7,"F"
53,"NL53",5,"F"
54,"NL54",1,"M"
55,"NL55",2,"M"
56,"NL56",2,"M"
57,"NL57",3,"F"
58,"NL58",NA,"M"
59,"NL59",1,"F"
60,"NL60",2,"F"
61,"NL61",0,"M"
62,"NL62",0,"F"
63,"NL63",3,"M"
64,"NL64",5,"M"
65,"NL65",NA,"F"
66,"NL66",0,"F"
67,"NL67",2,"F"
68,"NL68",0,"M"
69,"NL69",0,"F"
70,"NL70",8,"F"
71,"NL71",4,"M"
72,"NL72",NA,"M"
73,"NL73",3,"M"
74,"NL74",7,"F"
75,"NL75",11,"M"
76,"NL76",17,"M"
77,"NL77",11,"M"
78,"NL78",10,"F"
79,"NL79",11,"F"
80,"NL80",15,"F"
81,"NL81",17,"M"
82,"NL82",11,"F"
83,"NL83",15,"F"
84,"NL84",16,"M"
85,"NL85",14,"F"
86,"NL86",12,"F"
87,"NL87",11,"F"
88,"NL88",11,"M"
89,"NL89",13,"F"
90,"NL90",15,"M"
91,"NL91",12,"F"
92,"NL92",11,"M"
93,"NL93",10,"F"
94,"NL94",11,"F"
95,"NL95",12,"M"
96,"NL96",11,"M"
97,"NL97",16,"F"
98,"NL98",13,"M"
99,"NL99",12,"F"
100,"NL100",14,"M"
101,"NL101",13,"M"
102,"NL102",13,"F"
103,"NL103",11,"M"
104,"NL104",10,"M"
105,"NL105",15,"M"
106,"NL106",16,"F"
107,"NL107",14,"F"
108,"NL108",11,"F"
109,"NL109",11,"M"
110,"NL110",15,"F"
111,"NL111",16,"M"
112,"NL112",12,"F"
113,"NL113",14,"M"
114,"NL114",13,"M"
115,"NL115",13,"M"
116,"NL116",13,"F"
117,"NL117",51,"F"
118,"NL118",25,"F"
119,"NL119",28,"M"
120,"NL120",65,"M"
121,"NL121",NA,"M"
122,"NL122",66,"F"
123,"NL123",71,"F"
124,"NL124",68,"F"
125,"NL125",18,"F"
126,"NL126",21,"F"
127,"NL127",74,"M"
128,"NL128",47,"M"
129,"NL129",45,"F"
130,"NL130",64,"F"
131,"NL131",48,"F"
132,"NL132",60,"M"
133,"NL133",59,"M"
134,"NL134",34,"F"
135,"NL135",41,"M"
136,"NL136",38,"F"
137,"NL137",28,"M"
138,"NL138",57,"M"
139,"NL139",78,"M"
140,"NL140",62,"F"
141,"NL141",63,"M"
142,"NL142",65,"F"
143,"NL143",65,"F"
144,"NL144",55,"F"
145,"NL145",47,"M"
146,"NL146",29,"M"
147,"NL147",27,"F"
148,"NL148",62,"M"
149,"NL149",53,"F"
150,"NL150",33,"F"
151,"NL151",34,"F"
152,"NL152",63,"M"
153,"NL153",27,"M"
154,"NL154",69,"F"
155,"NL155",10,"M"
156,"NL156",NA,"M"
158,"NL158",38,"F"
159,"NL159",62,"F"
160,"NL160",NA,"M"
161,"NL161",23,"F"
162,"NL162",26,"M"
163,"NL163",63,"F"
164,"NL164",48,"M"
165,"NL165",57,"M"
166,"NL166",67,"F"
167,"NL167",20,"F"
168,"NL168",32,"F"
169,"NL169",72,"M"
170,"NL170",51,"F"
171,"NL171",62,"M"
172,"NL172",56,"M"
173,"NL173",21,"M"
174,"NL174",40,"F"
175,"NL175",69,"F"
176,"NL176",22,"M"
177,"NL177",29,"F"
178,"NL178",26,"F"
179,"NL179",NA,"F"
180,"NL180",60,"F"
181,"NL181",33,"M"
182,"NL182",74,"F"
183,"NL183",NA,"F"
184,"NL184",53,"F"
185,"NL185",77,"M"
186,"NL186",37,"M"
187,"NL187",60,"F"
188,"NL188",54,"M"
189,"NL189",42,"M"
190,"NL190",63,"M"
191,"NL191",39,"M"
192,"NL192",45,"F"
193,"NL193",71,"F"
194,"NL194",70,"F"
195,"NL195",60,"F"
196,"NL196",58,"F"
197,"NL197",69,"F"
198,"NL198",18,"M"
199,"NL199",51,"M"
