"part_id","type","part_occupation","part_education","part_nationality","class_size","work_contacts","work_contact_nr","child_care","child_relationship","child_nationality","problems","diary_how","diary_missed_unsp"
19,3,1,2,"NL",NA,"",NA,"Y",1,"NL","Y",1,2
20,3,3,5,"NL",NA,"",NA,"Y",NA,"NL","",4,2
21,3,3,2,"NL",NA,"",NA,"Y",1,"NL","Y",2,2
22,3,3,5,"NL",NA,"",NA,"Y",1,"NL","Y",4,4
23,3,1,5,"NL",NA,"",NA,"Y",1,"NL","Y",1,3
24,3,1,5,"NL",NA,"",NA,"N",1,"NL","N",1,1
25,3,1,5,"NL",NA,"",NA,"Y",1,"NL","N",1,1
26,3,3,2,"NL",NA,"",NA,"Y",1,"NL","Y",3,4
27,3,1,5,"NL",NA,"",NA,"N",1,"NL","N",2,2
28,3,3,2,"NL",NA,"",NA,"Y",1,"NL","N",3,1
29,3,NA,0,"SO",NA,"",NA,"Y",1,"NL","Y",1,NA
30,3,6,2,"NL",NA,"",NA,"Y",1,"NL","N",3,1
31,3,3,6,"EU",NA,"",NA,"Y",1,"EU","N",1,4
32,3,1,3,"NL",NA,"",NA,"Y",1,"NL","N",2,1
33,3,3,3,"NL",NA,"",NA,"N",1,"NL","N",3,1
34,3,1,3,"NL",NA,"",NA,"Y",1,"NL","N",2,4
35,3,1,6,"NL",NA,"",NA,"Y",1,"NL","N",1,2
36,3,1,2,"NL",NA,"",NA,"Y",1,"NL","N",2,3
37,3,1,3,"NL",NA,"",NA,"N",2,"NL","",NA,NA
38,3,1,6,"NL",NA,"",NA,"Y",1,"NL","N",2,1
39,3,1,6,"NL",NA,"",NA,"Y",1,"NL","Y",2,2
40,3,1,3,"NL",NA,"",NA,"Y",2,"NL","N",2,4
41,3,1,2,"NL",NA,"",NA,"Y",1,"NL","N",1,1
42,3,6,3,"NL",NA,"",NA,"Y",1,"NL","N",3,4
43,3,1,5,"NL",NA,"",NA,"N",1,"DE","",NA,NA
44,3,3,5,"NL",NA,"",NA,"N",1,"NL","N",2,1
45,3,1,5,"NL",NA,"",NA,"Y",1,"NL","N",3,2
46,3,3,6,"NL",NA,"",NA,"N",1,"NL","Y",2,3
47,3,5,2,"NL",NA,"",NA,"Y",1,"NL","N",1,4
48,3,1,3,"NL",NA,"",NA,"Y",1,"NL","Y",3,2
49,3,1,5,"NL",NA,"",NA,"N",1,"NL","",1,1
50,3,3,5,"NL",NA,"",NA,"Y",1,"NL","N",2,2
51,3,3,2,"NL",NA,"",NA,"N",1,"NL","N",2,1
52,3,1,5,"NL",NA,"",NA,"Y",1,"NL","Y",1,2
53,3,1,5,"NL",NA,"",NA,"Y",1,"NL","Y",2,3
54,3,1,6,"NL",NA,"",NA,"Y",1,"NL","N",1,1
55,3,1,5,"NL",NA,"",NA,"Y",2,"NL","Y",1,NA
56,3,1,2,"NL",NA,"",NA,"Y",1,"NL","Y",1,4
57,3,3,2,"NL",NA,"",NA,"Y",1,"NL","N",3,1
58,3,1,2,"NL",NA,"",NA,"Y",1,"NL","",NA,NA
