"part_id","sday_id","day","month","year","dayofweek"
19,20060604,4,6,2006,0
20,20060629,29,6,2006,4
21,20060623,23,6,2006,5
22,20060704,4,7,2006,2
23,20060602,2,6,2006,5
24,20060703,3,7,2006,1
25,20060622,22,6,2006,4
26,20060616,16,6,2006,6
27,20060618,18,6,2006,0
28,20060602,2,6,2006,5
29,20060608,8,6,2006,2
30,20060604,4,6,2006,0
31,20060404,4,4,2006,4
32,20060609,9,6,2006,5
33,20060520,20,5,2006,6
34,20060608,8,6,2006,4
35,20060613,13,6,2006,2
36,20060616,16,6,2006,5
37,NA,NA,NA,NA,4
38,20060605,5,6,2006,1
39,20060527,27,5,2006,6
40,20060518,18,5,2006,4
41,20060522,22,5,2006,1
42,20060518,18,5,2006,3
43,NA,NA,NA,NA,0
44,20060430,30,4,2006,0
45,20060512,12,5,2006,5
46,20060516,16,5,2006,2
47,20060518,18,5,2006,6
48,20060426,26,4,2006,3
49,20060408,8,4,2006,6
50,20060421,21,4,2006,5
51,20060417,17,4,2006,1
52,20060419,19,4,2006,3
53,20060420,20,4,2006,4
54,20060416,16,4,2006,0
55,20060405,5,4,2006,3
56,20060317,17,3,2006,5
57,20060320,20,3,2006,1
58,NA,NA,NA,NA,4
59,20060326,26,3,2006,0
60,20060410,10,4,2006,1
61,20060404,4,4,2006,6
62,20060318,18,3,2006,6
63,20060410,10,4,2006,6
64,20060327,27,3,2006,1
65,NA,NA,NA,NA,2
66,20060214,14,2,2006,2
67,20060213,13,2,2006,1
68,20060215,15,2,2006,3
69,20060219,19,2,2006,0
70,20060216,16,2,2006,4
71,20060227,27,2,2006,1
72,NA,NA,NA,NA,6
73,20060211,11,2,2006,5
74,20060209,9,2,2006,4
75,20060324,24,3,2006,5
76,20060318,18,3,2006,0
77,20060321,21,3,2006,2
78,20060215,15,2,2006,3
79,20060214,14,2,2006,2
80,20060221,21,2,2006,4
81,20060215,15,2,2006,3
82,20060220,20,2,2006,1
83,20060208,8,2,2006,4
84,20060219,19,2,2006,0
85,20060210,10,2,2006,5
86,20060515,15,5,2006,2
87,20060515,15,5,2006,1
88,20060429,29,4,2006,6
89,20060317,17,3,2006,5
90,20060317,17,3,2006,1
91,20060323,23,3,2006,4
92,20060403,3,4,2006,1
93,20060417,17,4,2006,0
94,20060424,24,4,2006,1
95,20060421,21,4,2006,5
96,20060410,10,4,2006,1
97,20060425,25,4,2006,2
98,20060626,26,6,2006,1
99,20060624,24,6,2006,6
100,20060602,2,6,2006,5
101,20060618,18,6,2006,1
102,20060618,18,6,2006,0
103,20060612,12,6,2006,1
104,20060615,15,6,2006,4
105,20060602,2,6,2006,5
106,20060611,11,6,2006,0
107,20060611,11,6,2006,0
108,20060618,18,6,2006,0
109,20060619,19,6,2006,6
110,20060617,17,6,2006,6
111,20060617,17,6,2006,6
112,20060610,10,6,2006,6
113,20060611,11,6,2006,0
114,20060602,2,6,2006,5
115,20060522,22,5,2006,1
116,20060523,23,5,2006,2
117,20060320,20,3,2006,1
118,20060319,19,3,2006,0
119,20060220,20,2,2006,1
120,20060220,20,2,2006,1
121,NA,NA,NA,NA,0
122,20060214,14,2,2006,2
123,20060223,23,2,2006,4
124,20060222,22,2,2006,3
125,20060218,18,2,2006,6
126,20060209,9,2,2006,4
127,20060209,9,2,2006,4
128,20060210,10,2,2006,5
129,20060225,25,2,2006,4
130,20060218,18,2,2006,6
131,20060218,18,2,2006,5
132,20060215,15,2,2006,3
133,20060214,14,2,2006,2
134,20060219,19,2,2006,0
135,20060217,17,2,2006,5
136,20060215,15,2,2006,3
137,20060316,16,3,2006,4
138,20060314,14,3,2006,2
139,20060314,14,3,2006,2
140,20060210,10,2,2006,5
141,20060213,13,2,2006,1
142,20060207,7,2,2006,2
143,20060213,13,2,2006,1
144,20060212,12,2,2006,0
145,20060209,9,2,2006,4
146,20060210,10,2,2006,5
147,20060727,27,7,2006,6
148,20060615,15,6,2006,4
149,20060705,5,7,2006,2
150,20060622,22,6,2006,4
151,20060615,15,6,2006,4
152,20060624,24,6,2006,6
153,20060625,25,6,2006,0
154,20060623,23,6,2006,5
155,20060621,21,6,2006,3
156,NA,NA,NA,NA,0
158,20060213,13,2,2006,1
159,20060219,19,2,2006,0
160,NA,NA,NA,NA,3
161,20060623,23,6,2006,5
162,20060625,25,6,2006,5
163,20060626,26,6,2006,0
164,20060622,22,6,2006,4
165,20060616,16,6,2006,5
166,20060626,26,6,2006,1
167,20060625,25,6,2006,0
168,20060621,21,6,2006,3
169,20060622,22,6,2006,4
170,20060626,26,6,2006,1
171,20060623,23,6,2006,3
172,20060622,22,6,2006,3
173,20060621,21,6,2006,3
174,20060621,21,6,2006,3
175,20060619,19,6,2006,1
176,20060512,12,5,2006,6
177,20060614,14,6,2006,3
178,20060615,15,6,2006,0
179,NA,NA,NA,NA,4
180,20060618,18,6,2006,5
181,20060616,16,6,2006,5
182,20060617,17,6,2006,6
183,NA,NA,NA,NA,4
184,20060614,14,6,2006,3
185,20060613,13,6,2006,2
186,20060610,10,6,2006,6
187,20060521,21,5,2006,0
188,20060610,10,6,2006,3
189,20060613,13,6,2006,2
190,20060612,12,6,2006,0
191,20060610,10,6,2006,6
192,20060613,13,6,2006,2
193,20060604,4,6,2006,0
194,20060607,7,6,2006,3
195,20060609,9,6,2006,4
196,20060601,1,6,2006,4
197,20060605,5,6,2006,1
198,20060603,3,6,2006,6
199,20060608,8,6,2006,4
200,20060602,2,6,2006,5
201,20060606,6,6,2006,0
202,20060602,2,6,2006,5
203,20060613,13,6,2006,2
204,20060609,9,6,2006,5
205,20060603,3,6,2006,6
206,20060531,31,5,2006,2
207,20060530,30,5,2006,2
208,20060531,31,5,2006,3
209,20060527,27,5,2006,6
210,20060529,29,5,2006,1
211,20060518,18,5,2006,4
212,20060517,17,5,2006,3
213,20060518,18,5,2006,4
214,20060527,27,5,2006,3
215,20060521,21,5,2006,0
216,20060522,22,5,2006,1
217,20060519,19,5,2006,5
218,20060518,18,5,2006,4
219,20060521,21,5,2006,5
220,20060517,17,5,2006,3
221,20060516,16,5,2006,2
222,20060516,16,5,2006,2
223,20060512,12,5,2006,5
224,20060511,11,5,2006,4
225,20060417,17,4,2006,1
226,20060322,22,3,2006,6
227,20060416,16,4,2006,5
228,20060422,22,4,2006,6
229,NA,NA,NA,NA,3
230,20060426,26,4,2006,3
231,20060425,25,4,2006,2
232,20060424,24,4,2006,1
233,20060420,20,4,2006,4
234,20060425,25,4,2006,2
235,20060423,23,4,2006,0
236,20060422,22,4,2006,5
237,20060420,20,4,2006,4
238,20060423,23,4,2006,6
239,20060416,16,4,2006,0
240,20060423,23,4,2006,0
241,20060424,24,4,2006,1
242,20060422,22,4,2006,6
243,20060424,24,4,2006,1
244,20060421,21,4,2006,5
245,20060422,22,4,2006,6
246,20060417,17,4,2006,1
247,20060413,13,4,2006,4
248,20060417,17,4,2006,1
249,20060416,16,4,2006,0
250,20060410,10,4,2006,1
251,20060410,10,4,2006,0
252,20060415,15,4,2006,6
253,20060416,16,4,2006,0
254,20060413,13,4,2006,4
255,20060411,11,4,2006,2
256,20060408,8,4,2006,6
257,20060412,12,4,2006,3
258,20060408,8,4,2006,6
259,20060905,5,9,2006,3
260,20060406,6,4,2006,4
261,20060410,10,4,2006,1
262,20060404,4,4,2006,2
263,20060319,19,3,2006,0
264,20060322,22,3,2006,3
265,20060325,25,3,2006,6
266,20060322,22,3,2006,3
267,20060328,28,3,2006,2
268,20060412,12,4,2006,3
269,20060411,11,4,2006,2
270,20060410,10,4,2006,1
271,20060313,13,3,2006,0
272,20060321,21,3,2006,2
273,20060318,18,3,2006,6
274,20060322,22,3,2006,3
275,20060329,29,3,2006,3
276,20060329,29,3,2006,5
277,20060327,27,3,2006,1
278,20060327,27,3,2006,1
279,NA,NA,NA,NA,5
280,20060327,27,3,2006,1
281,20060325,25,3,2006,6
282,20060316,16,3,2006,4
283,20060324,24,3,2006,5
284,20060327,27,3,2006,0
285,20060320,20,3,2006,1
286,20060315,15,3,2006,3
287,20060719,19,7,2006,3
288,20060606,6,6,2006,1
494,20060917,17,9,2006,0
495,20060915,15,9,2006,5
496,20060716,16,7,2006,6
