"cont_id","contact_age_or_range","contact_member"
8813820301,1,1
8813820302,1,3
8813820303,2,3
8813820304,2,3
8813820305,2,3
8813820306,2,997
8813820307,1,1
8832685401,1,1
8832685402,1,1
8832685403,1,1
8832685404,2,5
8832685405,2,5
8832685406,2,5
8832685407,2,5
8832685408,2,5
8832685409,2,5
8832685410,2,5
8832685411,2,5
8832685412,2,5
8832685413,2,5
8832685414,2,5
8832685415,2,5
8832685416,2,5
8832685417,2,997
8832685418,2,997
8832685419,2,997
8832685420,2,997
8832685421,2,997
5251447301,2,1
5251447302,2,1
5251447303,2,1
5251447304,2,3
1331078801,1,1
9763298301,1,1
9763298302,1,997
9763298303,1,997
9763298304,1,997
9763298305,1,997
4646461001,2,1
6587811501,1,1
6587811502,1,1
6587811503,1,1
6587811504,1,1
6587811505,1,997
6587811506,1,997
6587811507,1,997
6587811508,1,997
6675196501,2,997
6675196502,2,997
6675196503,2,997
6675196504,2,997
6675196505,2,997
6675196506,1,3
6675196507,1,3
6675196508,1,3
6675196509,2,997
6675196510,1,1
1184102801,1,1
1184102802,1,1
1184102803,1,1
1184102804,1,1
1184102805,1,1
1184102806,1,1
1184102807,1,3
1184102808,1,3
1184102809,1,3
1184102810,1,3
1184102811,2,3
1184102812,2,3
1184102813,2,3
1184102814,1,3
1184102815,1,3
1184102816,1,3
1184102817,2,997
1184102818,2,997
1184102819,2,3
1184102820,1,3
1184102821,2,997
1184102822,2,997
1184102823,2,997
1184102824,2,997
1184102825,2,997
1184102826,2,3
1184102827,2,3
1184102828,1,3
1184102829,1,3
1184102830,1,3
1184102831,1,3
1184102832,1,3
1184102833,2,1
1184102834,2,1
3002287601,2,5
3002287602,2,5
2386923901,1,1
6499618701,2,5
6499618702,2,5
6499618703,2,5
6499618704,2,5
6499618705,2,5
8607270701,2,5
8607270702,2,5
8607270703,2,5
8607270704,2,5
5455041401,1,997
5455041402,1,997
5455041403,1,997
7848537801,1,5
7848537802,1,5
7848537803,2,5
7848537804,2,5
7848537805,2,5
7848537806,2,997
7848537807,1,997
7848537808,1,997
7848537809,1,997
7848537810,2,997
7848537811,2,997
7848537812,2,999
7891722601,2,1
7891722602,2,1
7891722603,2,1
7891722604,2,1
7891722605,2,1
7891722606,2,1
7891722607,2,1
7891722608,2,997
5525757301,2,999
5525757302,2,999
5525757303,1,999
5525757304,1,999
5525757305,1,5
5525757306,1,5
5525757307,1,5
5525757308,1,5
9240759701,2,997
9240759702,2,3
9240759703,2,3
9240759704,2,3
9240759705,2,3
9240759706,2,3
9240759707,2,1
9240759708,2,1
9240759709,2,1
9041555601,1,1
9041555602,1,1
9041555603,1,1
9041555604,1,1
9041555605,1,997
9041555606,1,997
9041555607,1,997
1789215501,2,1
9828777001,2,5
9828777002,2,5
9828777003,2,5
9828777004,2,997
9828777005,2,5
9828777006,1,1
9828777007,1,1
9828777008,1,1
9828777009,2,5
9828777010,2,5
2016206701,2,5
2016206702,2,1
2016206703,2,1
3108011101,2,1
3108011102,2,997
3108011103,2,5
3108011104,2,1
3108011105,2,1
3108011106,2,1
3108011107,2,1
3108011108,2,1
3108011109,2,1
3108011110,2,1
3108011111,2,1
3108011112,2,1
3108011113,2,1
3108011114,2,1
7825101401,2,1
7825101402,2,1
3230102601,2,5
3230102602,2,5
3230102603,2,5
3230102604,2,5
3230102605,2,5
3230102606,2,5
3230102607,2,5
3230102608,2,5
3230102609,2,5
6789012701,1,5
6789012702,1,5
6789012703,1,5
6789012704,1,5
6789012705,1,997
6789012706,1,997
6789012707,1,997
6789012708,1,997
6789012709,1,997
6789012710,2,997
6789012711,2,997
6789012712,2,997
6789012713,1,997
6789012714,2,997
6789012715,1,997
6789012716,1,997
6789012717,2,997
6231037101,2,997
6231037102,2,997
6231037103,2,997
6231037104,2,997
6231037105,2,1
9340381101,1,1
9340381102,1,1
9340381103,1,3
8068423201,2,5
8068423202,2,5
8068423203,2,5
8068423204,2,5
8068423205,2,1
8068423206,2,1
8068423207,2,997
8068423208,2,5
8068423209,2,5
8068423210,2,5
8068423211,2,999
8068423212,2,997
3927398101,2,999
3927398102,2,999
3927398103,2,999
3927398104,1,997
3927398105,1,5
3927398106,1,5
3927398107,1,999
3927398108,1,999
8708826201,2,5
2476071301,1,5
2476071302,1,1
8297681401,2,5
8840560801,1,1
8840560802,1,999
8840560803,1,1
8840560804,1,997
6232323101,2,1
6232323102,2,1
2541919501,2,1
2541919502,2,1
2541919503,2,997
