"hh_id","country","hh_size"
"HK1710105130","HK",4
"HK1710358113","HK",4
"HK1710400394","HK",3
"HK1710495813","HK",4
"HK1710532697","HK",3
"HK1710605717","HK",6
"HK1710667596","HK",3
"HK1710739775","HK",3
"HK1710822794","HK",3
"HK1710946094","HK",2
"HK1710977706","HK",3
"HK1711006409","HK",3
"HK1711037821","HK",2
"HK1711164072","HK",5
"HK1711170632","HK",7
"HK1711249443","HK",3
"HK1711256889","HK",4
"HK1711294271","HK",2
"HK1711319336","HK",5
"HK1711344005","HK",3
"HK1711417589","HK",3
"HK1711625385","HK",3
"HK1711658139","HK",5
"HK1711724464","HK",4
"HK1711772427","HK",4
"HK1711776171","HK",4
"HK1711837502","HK",4
"HK1711841028","HK",4
"HK1711857415","HK",8
"HK1711870454","HK",3
"HK1712026009","HK",3
"HK1712037142","HK",3
"HK1712066136","HK",2
"HK1712180851","HK",3
"HK1712265942","HK",3
"HK1712394988","HK",4
"HK1712464494","HK",3
"HK1712628787","HK",4
"HK1712628960","HK",5
"HK1712689003","HK",5
"HK1712751877","HK",1
"HK1712808049","HK",5
"HK1712818986","HK",3
"HK1712935940","HK",4
"HK1712963872","HK",4
"HK1713019341","HK",2
"HK1713167951","HK",1
"HK1713229962","HK",5
"HK1713310788","HK",3
"HK1713317389","HK",3
"HK1713344417","HK",3
"HK1713346161","HK",3
"HK1713376654","HK",4
"HK1713444125","HK",4
"HK1713643403","HK",2
"HK1713750943","HK",2
"HK1713775858","HK",4
"HK1713851014","HK",2
"HK1713862807","HK",4
"HK1713884579","HK",4
"HK1713949447","HK",5
"HK1714017158","HK",3
"HK1714055983","HK",5
"HK1714066034","HK",2
"HK1714182942","HK",3
"HK1714184688","HK",1
"HK1714400868","HK",3
"HK1714558526","HK",6
"HK1714679892","HK",5
"HK1714703807","HK",4
"HK1714732388","HK",1
"HK1714847207","HK",4
"HK1714963423","HK",5
"HK1715172510","HK",2
"HK1715207770","HK",3
"HK1715264221","HK",7
"HK1715329748","HK",2
"HK1715392694","HK",2
"HK1715417052","HK",8
"HK1715601792","HK",4
"HK1715608543","HK",2
"HK1715751629","HK",3
"HK1715806456","HK",2
"HK1716030864","HK",3
"HK1716037020","HK",9
"HK1716192203","HK",3
"HK1716291889","HK",5
"HK1716305255","HK",2
"HK1716387639","HK",4
"HK1716420388","HK",5
"HK1716541874","HK",4
"HK1716682693","HK",3
"HK1716688087","HK",3
"HK1716870246","HK",2
"HK1716993408","HK",5
"HK1717003087","HK",1
"HK1717004422","HK",4
"HK1717175713","HK",5
"HK1717257781","HK",4
"HK1717426732","HK",4
"HK1717429347","HK",4
"HK1717471372","HK",4
"HK1717521021","HK",4
"HK1717604612","HK",4
"HK1717706280","HK",5
"HK1717800285","HK",3
"HK1717824455","HK",4
"HK1717851466","HK",2
"HK1717890548","HK",3
"HK1717892155","HK",3
"HK1717897806","HK",2
"HK1717930358","HK",5
