hh_id,hh_member_id,residence_type,num_usual_contacts,usual_age_or_range,usual_age_or_mid_range,usual_gender,usual_relation
HK1788138203,HK17881382031,1,4,1,28,2,4
HK1788138203,HK17881382032,1,4,1,55,2,2
HK1788138203,HK17881382033,1,4,1,54,1,2
HK1788138203,HK17881382034,1,4,1,25,1,4
HK1788326854,HK17883268541,1,3,1,57,1,2
HK1788326854,HK17883268542,1,3,1,59,2,2
HK1788326854,HK17883268543,1,3,1,23,1,4
HK1752514473,HK17525144731,1,3,2,43,2,2
HK1752514473,HK17525144732,1,3,2,43,1,2
HK1752514473,HK17525144733,1,3,2,28,2,999
HK1713310788,HK17133107881,1,2,1,90,1,2
HK1713310788,HK17133107882,1,2,1,80,2,2
HK1797632983,HK17976329831,1,1,1,62,2,1
HK1746464610,HK17464646101,1,5,1,0,2,3
HK1746464610,HK17464646102,1,5,1,2,1,3
HK1746464610,HK17464646103,1,5,1,36,2,1
HK1746464610,HK17464646104,1,5,1,65,2,2
HK1746464610,HK17464646105,1,5,1,36,2,997
HK1765878115,HK17658781151,1,3,1,63,1,1
HK1765878115,HK17658781152,1,3,1,29,2,3
HK1765878115,HK17658781153,1,3,1,27,2,3
HK1766751965,HK17667519651,1,3,2,43,1,2
HK1766751965,HK17667519652,1,3,2,43,2,2
HK1766751965,HK17667519653,1,3,2,13,1,4
HK1711841028,HK17118410281,1,3,1,12,1,9
HK1711841028,HK17118410282,1,3,1,51,2,997
HK1711841028,HK17118410283,1,3,1,79,2,5
HK1730022876,HK17300228761,1,3,2,28,2,4
HK1730022876,HK17300228762,1,3,2,28,2,4
HK1730022876,HK17300228763,1,3,2,63,2,2
HK1723869239,HK17238692391,1,2,1,67,1,2
HK1723869239,HK17238692392,1,2,1,67,2,2
HK1764996187,HK17649961871,1,2,2,53,1,2
HK1764996187,HK17649961872,1,2,2,53,2,2
HK1786072707,HK17860727071,1,2,2,63,2,2
HK1786072707,HK17860727072,1,2,2,63,1,2
HK1754550414,HK17545504141,1,1,2,63,1,1
HK1778485378,HK17784853781,1,1,1,75,1,1
HK1778917226,HK17789172261,1,3,2,48,1,2
HK1778917226,HK17789172262,1,3,2,48,2,2
HK1778917226,HK17789172263,1,3,2,18,2,4
HK1755257573,HK17552575731,1,2,1,51,2,1
HK1755257573,HK17552575732,1,2,1,21,1,3
HK1792407597,HK17924075971,1,3,2,48,1,2
HK1792407597,HK17924075972,1,3,2,48,2,2
HK1792407597,HK17924075973,1,3,2,18,2,4
HK1790415556,HK17904155561,1,4,1,75,2,5
HK1790415556,HK17904155562,1,4,1,47,1,2
