"part_id","hh_id","part_age","part_gender"
10105130,"HK1710105130",15,"M"
10358113,"HK1710358113",33,"F"
10400394,"HK1710400394",18,"F"
10495813,"HK1710495813",19,"F"
10532697,"HK1710532697",23,"M"
10605717,"HK1710605717",15,"F"
10667596,"HK1710667596",18,"F"
10739775,"HK1710739775",19,"M"
10822794,"HK1710822794",69,"F"
10946094,"HK1710946094",23,"F"
10977706,"HK1710977706",33,"M"
11006409,"HK1711006409",43,"F"
11037821,"HK1711037821",58,"F"
11164072,"HK1711164072",9,"M"
11170632,"HK1711170632",5,"F"
11249443,"HK1711249443",63,"F"
11256889,"HK1711256889",18,"F"
11294271,"HK1711294271",27,"M"
11319336,"HK1711319336",2,"M"
11344005,"HK1711344005",23,"F"
11417589,"HK1711417589",44,"F"
11625385,"HK1711625385",38,"M"
11658139,"HK1711658139",13,"F"
11724464,"HK1711724464",53,"F"
11772427,"HK1711772427",3,"M"
11776171,"HK1711776171",51,"F"
11837502,"HK1711837502",67,"F"
11841028,"HK1711841028",14,"M"
11857415,"HK1711857415",18,"F"
11870454,"HK1711870454",53,"F"
12026009,"HK1712026009",38,"M"
12037142,"HK1712037142",65,"F"
12066136,"HK1712066136",33,"M"
12180851,"HK1712180851",8,"F"
12265942,"HK1712265942",43,"M"
12394988,"HK1712394988",59,"M"
12464494,"HK1712464494",36,"F"
12628787,"HK1712628787",38,"M"
12628960,"HK1712628960",57,"M"
12689003,"HK1712689003",6,"M"
12751877,"HK1712751877",68,"F"
12808049,"HK1712808049",0,"M"
12818986,"HK1712818986",43,"M"
12935940,"HK1712935940",23,"M"
12963872,"HK1712963872",18,"F"
13019341,"HK1713019341",48,"F"
13167951,"HK1713167951",43,"M"
13229962,"HK1713229962",53,"M"
13310788,"HK1713310788",52,"F"
13317389,"HK1713317389",70,"M"
13344417,"HK1713344417",18,"M"
13346161,"HK1713346161",10,"M"
13376654,"HK1713376654",13,"M"
13444125,"HK1713444125",33,"F"
13643403,"HK1713643403",80,"M"
13750943,"HK1713750943",53,"F"
13775858,"HK1713775858",5,"F"
13851014,"HK1713851014",25,"M"
13862807,"HK1713862807",18,"F"
13884579,"HK1713884579",82,"M"
13949447,"HK1713949447",15,"M"
14017158,"HK1714017158",53,"M"
14055983,"HK1714055983",6,"M"
14066034,"HK1714066034",67,"F"
14182942,"HK1714182942",48,"M"
14184688,"HK1714184688",8,"M"
14400868,"HK1714400868",60,"M"
14558526,"HK1714558526",6,"F"
14679892,"HK1714679892",63,"M"
14703807,"HK1714703807",23,"M"
14732388,"HK1714732388",65,"F"
14847207,"HK1714847207",38,"F"
14963423,"HK1714963423",33,"F"
15172510,"HK1715172510",33,"M"
15207770,"HK1715207770",68,"F"
15264221,"HK1715264221",33,"F"
15329748,"HK1715329748",58,"F"
15392694,"HK1715392694",51,"F"
15417052,"HK1715417052",27,"M"
15601792,"HK1715601792",18,"M"
15608543,"HK1715608543",32,"F"
15751629,"HK1715751629",20,"F"
15806456,"HK1715806456",48,"F"
