"part_id","mode_survey","age_or_range","full_or_part_time","work_role","edu","indiv_or_family_income","income_mid_range","place_birth","district","ethnicity","permanent_residence","include_all_contacts","num_left_out"
10105130,1,1,999,4,2,2,7,1,11,1,1,997,2
10358113,2,1,1,1,3,1,5,1,5,1,1,997,50
10400394,2,2,1,1,3,1,2,1,11,1,1,1,NA
10495813,2,1,1,4,2,2,4,1,14,1,1,1,NA
10532697,2,1,1,4,3,1,1,1,5,1,1,1,NA
10605717,2,1,999,999,2,999,999,1,6,1,1,1,NA
10667596,2,2,1,1,3,1,2,1,15,1,1,1,NA
10739775,2,1,1,4,2,999,999,1,18,1,1,997,5
10822794,1,1,2,999,2,1,1,997,14,1,1,1,NA
10946094,2,2,999,999,3,2,9,1,17,1,1,1,NA
10977706,1,2,1,1,3,1,4,1,8,1,1,997,5
11006409,2,2,999,999,2,999,999,1,5,1,1,1,NA
11037821,1,1,999,6,2,999,999,1,5,1,1,997,8
11164072,1,1,999,4,1,999,999,1,13,1,1,1,NA
11170632,2,1,1,4,1,2,11,1,5,1,1,1,NA
11249443,2,2,999,999,3,999,999,999,999,1,1,1,NA
11256889,2,2,1,1,2,1,3,2,13,1,1,1,NA
11294271,2,1,1,1,3,1,3,2,3,1,1,1,NA
11319336,1,1,2,4,1,2,8,1,9,1,1,1,NA
11344005,2,2,1,1,3,1,6,1,2,1,1,997,15
11417589,2,1,1,1,2,1,3,2,8,1,1,1,NA
11625385,2,2,2,1,3,999,999,1,6,1,1,997,10
11658139,2,2,2,4,2,999,999,1,999,1,1,1,NA
11724464,1,2,999,999,999,999,999,999,999,1,1,1,NA
11772427,2,2,999,999,1,999,999,1,7,1,1,1,NA
11776171,2,1,1,1,3,2,10,1,14,1,1,999,NA
11837502,1,1,999,5,1,999,1,1,14,1,1,1,NA
11841028,1,1,999,4,2,2,998,1,14,1,1,1,NA
11857415,2,2,999,999,3,999,999,1,3,1,1,1,NA
11870454,1,1,1,5,2,1,1,1,17,999,1,1,NA
12026009,2,2,1,1,3,1,7,1,17,1,1,1,NA
12037142,1,1,999,5,1,2,2,2,6,1,1,999,NA
12066136,2,2,1,3,3,1,5,1,11,1,1,1,NA
12180851,2,2,999,999,1,999,999,1,5,1,1,1,NA
12265942,2,2,1,3,2,1,8,1,5,1,1,1,NA
12394988,1,1,999,6,1,999,998,1,18,1,1,999,NA
12464494,2,1,1,1,3,1,8,1,17,1,1,1,NA
12628787,2,2,1,1,3,999,999,2,14,1,1,997,3
12628960,1,1,1,1,1,1,3,1,9,1,1,999,NA
12689003,1,1,999,4,999,1,1,1,6,999,1,999,NA
12751877,1,1,999,6,2,1,2,2,14,1,1,1,NA
12808049,2,1,999,1,1,999,8,1,6,1,1,1,NA
12818986,1,2,1,999,1,1,3,1,17,999,1,997,5
12935940,2,2,1,1,2,1,3,2,10,1,1,997,4
12963872,2,1,1,4,3,1,1,2,6,1,1,1,NA
13019341,1,2,1,5,2,2,8,1,5,1,1,1,NA
13167951,2,2,1,1,3,999,999,1,5,1,1,1,NA
13229962,1,2,1,1,3,1,10,1,17,1,1,997,5
13310788,2,1,1,1,3,1,3,1,7,1,1,1,NA
13317389,1,1,999,6,2,2,2,2,14,1,1,999,NA
13344417,2,2,1,1,3,1,3,1,17,1,1,1,NA
13346161,1,1,999,4,999,2,4,1,7,1,1,997,2
13376654,2,2,1,4,1,999,999,1,14,1,1,997,100
13444125,2,1,1,1,3,1,8,1,18,1,1,997,40
13643403,1,1,999,999,999,999,999,2,17,1,1,997,NA
13750943,1,2,999,6,999,1,4,1,3,1,1,1,NA
13775858,2,1,999,999,999,999,999,1,16,1,1,997,120
13851014,1,1,1,1,2,1,2,2,7,1,1,997,3
13862807,2,1,999,999,2,999,999,1,17,1,1,1,NA
13884579,1,1,999,6,999,999,1,2,7,1,1,999,NA
13949447,2,1,999,999,1,2,998,1,7,1,1,997,80
14017158,1,1,1,2,3,1,3,1,8,1,1,999,NA
14055983,2,1,1,4,1,1,1,1,17,1,1,1,NA
14066034,1,1,999,999,2,2,4,2,14,1,1,1,NA
14182942,2,2,1,1,3,1,7,1,17,1,1,999,NA
14184688,2,2,999,999,1,999,999,1,13,1,1,1,NA
14400868,1,1,1,1,2,2,2,2,2,1,1,1,NA
14558526,2,1,999,999,1,2,4,1,1,1,1,997,35
14679892,1,1,999,6,3,2,999,1,14,1,1,1,NA
14703807,2,2,1,1,3,999,999,1,11,1,1,1,NA
14732388,1,1,999,6,3,1,3,1,2,1,1,1,NA
14847207,2,2,1,5,2,999,999,1,16,1,1,1,NA
14963423,2,2,1,1,2,1,4,1,3,1,1,997,10
15172510,2,2,1,1,3,2,9,1,13,1,1,997,3
15207770,1,1,999,999,1,2,999,2,2,1,1,1,NA
15264221,2,2,999,999,3,999,999,1,14,1,1,1,NA
15329748,2,1,999,999,2,999,999,997,16,1,1,997,NA
15392694,1,1,1,1,2,2,4,1,5,1,1,999,NA
15417052,2,1,1,1,3,999,999,999,7,1,1,1,NA
15601792,2,2,999,999,2,999,999,1,5,1,1,1,NA
15608543,2,1,1,1,3,1,4,1,17,1,1,997,20
15751629,2,1,1,4,3,1,1,1,2,1,1,997,5
15806456,1,2,999,5,2,999,999,2,5,1,1,1,NA
16030864,1,1,999,4,1,999,6,1,9,1,1,997,10
16037020,2,2,1,1,3,999,999,1,17,1,1,1,NA
16192203,1,1,999,6,1,1,1,2,17,1,1,1,NA
16291889,2,1,1,1,2,1,5,2,9,1,1,1,NA
16305255,2,1,1,1,2,1,2,1,3,1,1,997,3
16387639,2,1,999,999,1,2,5,1,14,1,1,1,NA
16420388,1,1,999,6,2,999,8,2,14,1,1,999,NA
16541874,2,2,1,1,3,1,4,1,6,1,1,1,NA
16682693,2,2,2,6,3,1,1,1,16,1,1,1,NA
16688087,2,1,1,4,2,1,1,1,5,1,1,1,NA
16870246,2,2,999,999,3,2,998,2,2,1,1,1,NA
16993408,1,1,999,6,1,1,1,1,12,1,1,1,NA
17003087,1,1,999,6,1,999,998,1,5,1,1,997,5
17004422,1,1,1,1,3,1,5,1,2,1,1,1,NA
