"part_id","sday_id","day","month","year","dayofweek","decima_date","assign_date","actual_hour"
10105130,"20160205","05","02","2016","5",400.4662269,379,11
10358113,"20150131","31","01","2015","6",30.48431713,28,11
10400394,"20151211","11","12","2015","5",343.7904282,344,18
10495813,"20151113","13","11","2015","5",315.8707407,318,20
10532697,"20150202","02","02","2015","1",31.55771991,30,13
10605717,"20160202","02","02","2016","2",396.8226389,395,19
10667596,"20151126","26","11","2015","4",328.9545718,328,22
10739775,"20150203","03","02","2015","2",32.63982639,27,15
10822794,"20150417","17","04","2015","5",105.7397106,98,17
10946094,"20151124","24","11","2015","2",326.7425694,328,17
10977706,"20160107","07","01","2016","4",370.6903009,352,16
11006409,"20150327","27","03","2015","5",85.48671296,85,11
11037821,"20151231","31","12","2015","4",364.4981944,336,11
11164072,"20160128","28","01","2016","4",391.5468403,349,13
11170632,"20160217","17","02","2016","3",411.8498495,395,20
11249443,"20151130","30","11","2015","1",333.483912,331,11
11256889,"20151112","12","11","2015","4",314.8140394,314,19
11294271,"20151207","07","12","2015","1",339.892662,339,21
11319336,"20150429","29","04","2015","3",118.4348264,109,10
11344005,"20151213","13","12","2015","0",345.7828241,344,18
11417589,"20150411","11","04","2015","6",100.4940046,100,11
11625385,"20151222","22","12","2015","2",354.5785417,352,13
11658139,"20160304","04","03","2016","5",427.7283218,387,17
11724464,"20160105","05","01","2016","2",368.5301968,334,12
11772427,"20150408","08","04","2015","3",96.53459491,79,12
11776171,"20160111","11","01","2016","1",375.4729398,374,11
11837502,"20151219","19","12","2015","6",351.7067477,320,16
11841028,"20150123","23","01","2015","5",21.76645833,13,18
11857415,"20151120","20","11","2015","5",322.7669097,323,18
11870454,"20151216","16","12","2015","3",348.5316667,336,12
12026009,"20150213","13","02","2015","5",42.82700231,42,19
12037142,"20160101","01","01","2016","5",364.5040046,320,12
12066136,"20150725","25","07","2015","6",204.7570486,204,18
12180851,"20151130","30","11","2015","1",332.9643519,331,23
12265942,"20151129","29","11","2015","0",332.109213,331,2
12394988,"20150918","18","09","2015","5",259.5825116,129,13
12464494,"20150402","02","04","2015","4",90.51255787,91,12
12628787,"20151128","28","11","2015","6",330.9026157,334,21
12628960,"20150425","25","04","2015","6",113.6324074,113,15
12689003,"20151222","22","12","2015","2",354.735544,317,17
12751877,"20150429","29","04","2015","3",118.4443519,109,10
12808049,"20160108","08","01","2016","5",371.7615741,375,18
12818986,"20160128","28","01","2016","4",391.5181019,373,12
12935940,"20151216","16","12","2015","3",349.1516667,350,3
12963872,"20151127","27","11","2015","5",329.7279282,331,17
13019341,"20150130","30","01","2015","5",28.74559028,25,17
13167951,"20150813","13","08","2015","4",223.7180556,219,17
13229962,"20160101","01","01","2016","5",364.5689815,336,13
13310788,"20150129","29","01","2015","4",27.8146412,27,19
13317389,"20160105","05","01","2016","2",368.6939931,333,16
13344417,"20151123","23","11","2015","1",325.5918056,323,14
13346161,"20160205","05","02","2016","5",400.4933333,359,11
13376654,"20160131","31","01","2016","0",394.5273727,395,12
13444125,"20150910","10","09","2015","4",251.8340509,251,20
13643403,"20151205","05","12","2015","6",337.7773264,320,18
13750943,"20150918","18","09","2015","5",259.7713426,206,18
13775858,"20151231","31","12","2015","4",364.488588,366,11
13851014,"20150325","25","03","2015","3",83.43427083,32,10
13862807,"20150327","27","03","2015","5",84.70420139,85,16
13884579,"20150506","06","05","2015","3",124.5558218,102,13
13949447,"20151110","10","11","2015","2",312.7688657,314,18
14017158,"20160106","06","01","2016","3",369.5379167,355,12
14055983,"20160105","05","01","2016","2",368.7333681,365,17
14066034,"20150130","30","01","2015","5",28.69769676,25,16
14182942,"20151226","26","12","2015","6",358.7201736,356,17
14184688,"20151218","18","12","2015","5",350.9135417,351,21
14400868,"20151222","22","12","2015","2",354.5889583,333,14
14558526,"20150523","23","05","2015","6",141.6779861,141,16
14679892,"20160218","18","02","2016","4",413.4299769,331,10
14703807,"20150428","28","04","2015","2",116.7853125,91,18
