"hh_id","country","hh_size"
"HH1010101","CN",2
"HH1010102","CN",2
"HH1010103","CN",4
"HH1010104","CN",1
"HH1010105","CN",0
"HH1010107","CN",2
"HH1010108","CN",3
"HH1010109","CN",2
"HH1010110","CN",1
"HH1010111","CN",1
"HH1010112","CN",3
"HH1010113","CN",1
"HH1010114","CN",2
"HH1010115","CN",2
"HH1010116","CN",1
"HH1010117","CN",2
"HH1010118","CN",2
"HH1010119","CN",3
"HH1010120","CN",2
"HH1010121","CN",1
"HH1010122","CN",2
"HH1010123","CN",1
"HH1010124","CN",2
"HH1010125","CN",2
"HH1010201","CN",3
"HH1010202","CN",2
"HH1010203","CN",2
"HH1010204","CN",1
"HH1010205","CN",2
"HH1010206","CN",2
"HH1010207","CN",1
"HH1010208","CN",2
"HH1010209","CN",3
"HH1010210","CN",4
"HH1010211","CN",2
"HH1010213","CN",2
"HH1010214","CN",1
"HH1010215","CN",2
"HH1010216","CN",3
"HH1010217","CN",2
"HH1010218","CN",1
"HH1010219","CN",2
"HH1010220","CN",2
"HH1010221","CN",2
"HH1010222","CN",1
"HH1010223","CN",0
"HH1010224","CN",2
"HH1010225","CN",2
"HH1010301","CN",1
"HH1010302","CN",1
"HH1010303","CN",1
"HH1010304","CN",1
"HH1010305","CN",4
"HH1010306","CN",2
"HH1010307","CN",4
"HH1010308","CN",4
"HH1010309","CN",5
"HH1010310","CN",2
"HH1010311","CN",3
"HH1010312","CN",2
"HH1010313","CN",2
"HH1010314","CN",1
"HH1010315","CN",2
"HH1010316","CN",1
"HH1010317","CN",1
"HH1010318","CN",2
"HH1010319","CN",2
"HH1010320","CN",4
"HH1010321","CN",2
"HH1010322","CN",3
"HH1010323","CN",2
"HH1010324","CN",2
"HH1010325","CN",2
"HH1010401","CN",3
"HH1010402","CN",2
"HH1010403","CN",3
"HH1010405","CN",2
"HH1010406","CN",3
"HH1010407","CN",4
"HH1010408","CN",2
"HH1010409","CN",3
"HH1010410","CN",0
"HH1010411","CN",4
"HH1010412","CN",4
"HH1010413","CN",2
"HH1010414","CN",4
"HH1010415","CN",2
"HH1010416","CN",1
"HH1010418","CN",1
"HH1010419","CN",1
"HH1010420","CN",1
"HH1010421","CN",1
"HH1010422","CN",1
"HH1010423","CN",1
"HH1010424","CN",3
"HH1020101","CN",2
"HH1020102","CN",4
"HH1020103","CN",3
"HH1020104","CN",3
"HH1020105","CN",2
"HH1020106","CN",2
"HH1020107","CN",2
"HH1020108","CN",2
"HH1020109","CN",5
"HH1020110","CN",2
"HH1020111","CN",4
"HH1020112","CN",1
"HH1020113","CN",2
"HH1020114","CN",3
"HH1020116","CN",7
"HH1020117","CN",4
"HH1020118","CN",2
"HH1020119","CN",2
"HH1020120","CN",2
"HH1020121","CN",1
"HH1020123","CN",1
"HH1020124","CN",1
"HH1020125","CN",1
"HH1020127","CN",2
"HH1020128","CN",3
"HH1020129","CN",1
"HH1020130","CN",1
"HH1020131","CN",3
"HH1020132","CN",2
"HH1020133","CN",2
"HH1020134","CN",1
"HH1020201","CN",1
"HH1020202","CN",1
"HH1020203","CN",3
"HH1020204","CN",1
"HH1020205","CN",2
"HH1020206","CN",4
"HH1020207","CN",1
"HH1020208","CN",2
"HH1020209","CN",3
"HH1020210","CN",1
"HH1020211","CN",1
"HH1020212","CN",2
"HH1020213","CN",2
"HH1020214","CN",2
"HH1020215","CN",2
"HH1020216","CN",4
"HH1020217","CN",3
"HH1020218","CN",1
"HH1020219","CN",3
"HH1020220","CN",2
