"part_id","sday_id","day","month","year","dayofweek"
1010101,20180121,21,1,2018,0
1010102,20180117,17,1,2018,3
1010103,20180121,21,1,2018,0
1010104,20180121,21,1,2018,0
1010105,20180118,18,1,2018,4
1010107,20180120,20,1,2018,6
1010108,20180121,21,1,2018,0
1010109,20180117,17,1,2018,3
1010110,20180119,19,1,2018,5
1010111,20180122,22,1,2018,1
1010112,20180122,22,1,2018,1
1010113,20180120,20,1,2018,6
1010114,20180120,20,1,2018,6
1010115,20180119,19,1,2018,5
1010116,20180118,18,1,2018,4
1010117,20180121,21,1,2018,0
1010118,20180122,22,1,2018,1
1010119,20180123,23,1,2018,2
1010120,20180121,21,1,2018,0
1010121,20180118,18,1,2018,4
1010122,20180117,17,1,2018,3
1010123,20180121,21,1,2018,0
1010124,20180118,18,1,2018,4
1010125,20180122,22,1,2018,1
1010201,20180117,17,1,2018,3
1010202,20180415,15,4,2018,0
1010203,20180123,23,1,2018,2
1010204,20180123,23,1,2018,2
1010205,20180416,16,4,2018,1
1010206,20180123,23,1,2018,2
1010207,20180418,18,4,2018,3
1010208,20180120,20,1,2018,6
1010209,20180119,19,1,2018,5
1010210,20180118,18,1,2018,4
1010211,20180119,19,1,2018,5
1010213,20180122,22,1,2018,1
1010214,20180418,18,4,2018,3
1010215,20180419,19,4,2018,4
1010216,20180420,20,4,2018,5
1010217,20180124,24,1,2018,3
1010218,20180421,21,4,2018,6
1010219,20180118,18,1,2018,4
1010220,20180119,19,1,2018,5
1010221,20180117,17,1,2018,3
1010222,20180123,23,1,2018,2
1010223,20180123,23,1,2018,2
1010224,20180122,22,1,2018,1
1010225,20180123,23,1,2018,2
1010301,20180119,19,1,2018,5
1010302,20180122,22,1,2018,1
1010303,20180119,19,1,2018,5
1010304,20180123,23,1,2018,2
1010305,20180120,20,1,2018,6
1010306,20180120,20,1,2018,6
1010307,20180123,23,1,2018,2
1010308,20180123,23,1,2018,2
1010309,20180120,20,1,2018,6
1010310,20180124,24,1,2018,3
1010311,20180120,20,1,2018,6
1010312,20180118,18,1,2018,4
1010313,20180120,20,1,2018,6
1010314,20180120,20,1,2018,6
1010315,20180122,22,1,2018,1
1010316,20180124,24,1,2018,3
1010317,20180119,19,1,2018,5
1010318,20180120,20,1,2018,6
1010319,20180123,23,1,2018,2
1010320,20180118,18,1,2018,4
1010321,20180119,19,1,2018,5
1010322,20180121,21,1,2018,0
1010323,20180119,19,1,2018,5
1010324,20180121,21,1,2018,0
1010325,20180118,18,1,2018,4
1010401,20180118,18,1,2018,4
1010402,20180121,21,1,2018,0
