"cont_id","csite","sitegr","cworkingday","ctime","cont_age_group","cnationality","cspeak"
"1_1","Gloden food","Food",1,1,3,2,1
"1_2","Gloden food","Food",1,1,3,1,1
"1_3","Gloden food","Food",1,1,3,1,1
"1_4","Gloden food","Food",1,1,3,1,1
"1_5","Gloden food","Food",1,1,3,1,1
"1_6","Gloden food","Food",1,1,3,1,1
"1_7","Gloden food","Food",1,1,3,1,1
"1_8","Gloden food","Food",1,2,3,1,1
"1_9","Gloden food","Food",1,2,3,1,1
"1_10","Gloden food","Food",1,2,3,2,1
"1_11","Gloden food","Food",1,2,3,2,1
"1_12","Gloden food","Food",1,2,3,1,1
"1_13","Gloden food","Food",1,2,3,1,1
"1_14","Gloden food","Food",1,2,3,1,1
"1_15","Gloden food","Food",1,3,3,1,1
"1_16","Gloden food","Food",1,3,3,1,1
"1_17","Gloden food","Food",1,3,3,1,1
"1_18","Gloden food","Food",1,3,3,1,1
"1_19","Gloden food","Food",1,3,3,2,1
"1_20","Gloden food","Food",1,3,3,2,1
"1_21","Gloden food","Food",1,3,3,2,1
"1_22","Gloden food","Food",1,3,3,2,1
"1_23","Gloden food","Food",1,3,3,2,1
"1_24","Gloden food","Food",1,3,3,2,1
"1_25","Gloden food","Food",1,3,3,2,1
"2_1","Gloden food","Food",1,1,3,1,1
"2_2","Gloden food","Food",1,1,3,1,1
"2_3","Gloden food","Food",1,1,3,1,1
"2_4","Gloden food","Food",1,1,3,1,1
"2_5","Gloden food","Food",1,1,3,1,1
"2_6","Gloden food","Food",1,1,3,1,1
"2_7","Gloden food","Food",1,1,3,1,1
"2_8","Gloden food","Food",1,1,3,1,1
"2_9","Gloden food","Food",1,1,3,1,1
"2_10","Gloden food","Food",1,1,3,1,1
"2_11","Gloden food","Food",1,1,3,2,1
"2_12","Gloden food","Food",1,1,3,2,1
"2_13","Gloden food","Food",1,1,3,1,1
"2_14","Gloden food","Food",1,1,3,1,1
"2_15","Gloden food","Food",1,1,3,1,1
"2_16","Gloden food","Food",1,2,3,1,1
"2_17","Gloden food","Food",1,2,3,1,1
"2_18","Gloden food","Food",1,2,3,1,1
"2_19","Gloden food","Food",1,2,3,1,1
"2_20","Gloden food","Food",1,2,3,1,1
"2_21","Gloden food","Food",1,2,3,2,1
"2_22","Gloden food","Food",1,2,3,1,1
"2_23","Gloden food","Food",1,2,3,1,1
"2_24","Gloden food","Food",1,2,4,1,1
"2_25","Gloden food","Food",1,2,3,2,1
"2_26","Gloden food","Food",1,2,3,2,1
"2_27","Gloden food","Food",1,2,3,1,1
"2_28","Gloden food","Food",1,2,3,1,1
"2_29","Gloden food","Food",1,2,3,1,1
"2_30","Gloden food","Food",1,2,3,1,1
"2_31","Gloden food","Food",1,3,3,1,1
"2_32","Gloden food","Food",1,3,3,2,1
"2_33","Gloden food","Food",1,3,3,2,1
"2_34","Gloden food","Food",1,3,3,2,1
"2_35","Gloden food","Food",1,3,3,2,1
"2_36","Gloden food","Food",1,3,1,2,1
"2_37","Gloden food","Food",1,3,3,2,1
"2_38","Gloden food","Food",1,3,1,1,1
"2_39","Gloden food","Food",1,3,3,1,1
"2_40","Gloden food","Food",1,3,3,1,1
"3_1","Gloden food","Food",1,1,3,1,1
"3_2","Gloden food","Food",1,1,3,1,1
"3_3","Gloden food","Food",1,1,3,1,1
"3_4","Gloden food","Food",1,1,3,1,1
"3_5","Gloden food","Food",1,1,4,2,1
"3_6","Gloden food","Food",1,1,4,1,1
"3_7","Gloden food","Food",1,1,3,1,1
"3_8","Gloden food","Food",1,1,3,1,1
"3_9","Gloden food","Food",1,2,3,1,1
"3_10","Gloden food","Food",1,2,3,1,1
"3_11","Gloden food","Food",1,2,3,1,1
"3_12","Gloden food","Food",1,2,4,2,1
"3_13","Gloden food","Food",1,2,4,1,1
"3_14","Gloden food","Food",1,2,4,1,1
"3_15","Gloden food","Food",1,2,3,1,1
"3_16","Gloden food","Food",1,2,3,1,1
"3_17","Gloden food","Food",1,2,4,1,1
"3_18","Gloden food","Food",1,3,3,1,1
"3_19","Gloden food","Food",1,3,4,1,0
"3_20","Gloden food","Food",1,3,3,1,0
"3_21","Gloden food","Food",1,3,3,2,1
"3_22","Gloden food","Food",1,3,3,1,1
"3_23","Gloden food","Food",1,3,4,2,1
"3_24","Gloden food","Food",1,3,3,1,1
"3_25","Gloden food","Food",1,3,3,1,1
"3_26","Gloden food","Food",1,3,3,1,1
"4_1","Gloden food","Food",1,1,3,2,1
"4_2","Gloden food","Food",1,1,3,2,1
"4_3","Gloden food","Food",1,1,3,2,1
"4_4","Gloden food","Food",1,1,3,2,1
"4_5","Gloden food","Food",1,1,3,2,1
"4_6","Gloden food","Food",1,1,3,1,1
"4_7","Gloden food","Food",1,1,3,1,1
"4_8","Gloden food","Food",1,1,3,1,1
"4_9","Gloden food","Food",1,1,3,2,1
"4_10","Gloden food","Food",1,1,3,2,1
"4_11","Gloden food","Food",1,1,3,2,1
"4_12","Gloden food","Food",1,1,3,2,1
"4_13","Gloden food","Food",1,1,3,2,0
"4_14","Gloden food","Food",1,1,3,2,0
"4_15","Gloden food","Food",1,1,3,2,0
"4_16","Gloden food","Food",1,2,3,2,1
"4_17","Gloden food","Food",1,2,3,2,1
"4_18","Gloden food","Food",1,2,3,2,1
"4_19","Gloden food","Food",1,2,3,2,1
"4_20","Gloden food","Food",1,2,3,2,1
"4_21","Gloden food","Food",1,2,3,2,1
"4_22","Gloden food","Food",1,2,3,1,1
"4_23","Gloden food","Food",1,2,3,1,1
"4_24","Gloden food","Food",1,2,3,1,1
"4_25","Gloden food","Food",1,2,3,1,1
"4_26","Gloden food","Food",1,2,3,2,1
"4_27","Gloden food","Food",1,3,3,1,1
"4_28","Gloden food","Food",1,3,3,1,1
"4_29","Gloden food","Food",1,3,3,1,1
"4_30","Gloden food","Food",1,3,3,1,1
"4_31","Gloden food","Food",1,3,3,1,1
"4_32","Gloden food","Food",1,3,3,1,1
"4_33","Gloden food","Food",1,3,3,1,1
"4_34","Gloden food","Food",1,3,3,1,1
"4_35","Gloden food","Food",1,3,3,1,1
"4_36","Gloden food","Food",1,3,3,2,0
"4_37","Gloden food","Food",1,3,3,2,0
"5_1","Gloden food","Food",1,1,3,1,1
"5_2","Gloden food","Food",1,1,3,1,1
"5_3","Gloden food","Food",1,1,3,1,1
"5_4","Gloden food","Food",1,1,3,2,1
"5_5","Gloden food","Food",1,1,3,2,1
"5_6","Gloden food","Food",1,1,3,1,1
"5_7","Gloden food","Food",1,1,3,1,1
"5_8","Gloden food","Food",1,1,3,1,1
"5_9","Gloden food","Food",1,2,3,1,1
"5_10","Gloden food","Food",1,2,3,1,1
"5_11","Gloden food","Food",1,2,3,1,1
"5_12","Gloden food","Food",1,2,3,1,1
"5_13","Gloden food","Food",1,2,3,1,1
"5_14","Gloden food","Food",1,2,3,1,1
"5_15","Gloden food","Food",1,2,3,1,1
"5_16","Gloden food","Food",1,2,3,2,1
"5_17","Gloden food","Food",1,2,3,2,1
"5_18","Gloden food","Food",1,2,3,2,1
"5_19","Gloden food","Food",1,3,3,1,1
"5_20","Gloden food","Food",1,3,3,1,1
"5_21","Gloden food","Food",1,3,3,1,1
"5_22","Gloden food","Food",1,3,3,1,1
"5_23","Gloden food","Food",1,3,3,1,1
"5_24","Gloden food","Food",1,3,3,1,1
"5_25","Gloden food","Food",1,3,3,1,1
"5_26","Gloden food","Food",1,3,3,1,1
"5_27","Gloden food","Food",1,3,3,2,1
"5_28","Gloden food","Food",1,3,3,1,1
"5_29","Gloden food","Food",1,3,3,1,1
"5_30","Gloden food","Food",1,3,3,1,1
"5_31","Gloden food","Food",1,3,3,1,1
"5_32","Gloden food","Food",1,3,3,1,1
"5_33","Gloden food","Food",1,3,3,1,1
"6_1","Gloden food","Food",1,1,3,1,1
"6_2","Gloden food","Food",1,1,3,2,0
"6_3","Gloden food","Food",1,1,3,1,1
"6_4","Gloden food","Food",1,1,3,2,1
"6_5","Gloden food","Food",1,1,3,1,0
"6_6","Gloden food","Food",1,1,3,1,1
"6_7","Gloden food","Food",1,1,3,1,1
"6_8","Gloden food","Food",1,1,3,1,1
"6_9","Gloden food","Food",1,1,3,1,1
"6_10","Gloden food","Food",1,1,3,2,1
"6_11","Gloden food","Food",1,1,3,1,1
"6_12","Gloden food","Food",1,1,3,1,1
"6_13","Gloden food","Food",1,1,3,1,1
"6_14","Gloden food","Food",1,1,3,2,1
"6_15","Gloden food","Food",1,1,3,1,1
"6_16","Gloden food","Food",1,2,3,1,1
"6_17","Gloden food","Food",1,2,3,1,1
"6_18","Gloden food","Food",1,2,3,1,1
"6_19","Gloden food","Food",1,2,3,1,1
"6_20","Gloden food","Food",1,2,3,1,1
"6_21","Gloden food","Food",1,2,3,1,1
"6_22","Gloden food","Food",1,2,3,1,1
"6_23","Gloden food","Food",1,2,3,1,1
"6_24","Gloden food","Food",1,2,3,1,1
"6_25","Gloden food","Food",1,2,3,1,1
"6_26","Gloden food","Food",1,2,3,1,1
