"hh_id","country","hh_size"
"HH_1","THA",7
"HH_2","THA",8
"HH_3","THA",9
"HH_4","THA",4
"HH_5","THA",4
"HH_6","THA",3
"HH_7","THA",6
"HH_8","THA",5
"HH_9","THA",4
"HH_10","THA",4
"HH_11","THA",5
"HH_12","THA",3
"HH_13","THA",6
"HH_14","THA",3
"HH_15","THA",3
"HH_16","THA",6
"HH_17","THA",6
"HH_18","THA",3
"HH_19","THA",5
"HH_20","THA",4
"HH_21","THA",6
"HH_22","THA",5
"HH_23","THA",6
"HH_24","THA",6
"HH_25","THA",6
"HH_26","THA",6
"HH_27","THA",3
"HH_28","THA",5
"HH_29","THA",6
"HH_30","THA",6
"HH_31","THA",6
"HH_32","THA",6
"HH_33","THA",6
"HH_34","THA",9
"HH_35","THA",4
"HH_36","THA",6
"HH_38","THA",11
"HH_39","THA",3
"HH_43","THA",3
"HH_44","THA",6
"HH_45","THA",4
"HH_47","THA",4
"HH_48","THA",6
"HH_49","THA",7
"HH_50","THA",7
"HH_51","THA",5
"HH_52","THA",3
"HH_53","THA",4
"HH_54","THA",3
"HH_57","THA",3
"HH_59","THA",4
"HH_60","THA",10
"HH_61","THA",6
"HH_62","THA",5
"HH_63","THA",4
"HH_64","THA",7
"HH_65","THA",8
"HH_66","THA",5
"HH_67","THA",7
"HH_68","THA",9
"HH_69","THA",5
"HH_70","THA",6
"HH_71","THA",3
"HH_72","THA",13
"HH_73","THA",9
"HH_74","THA",7
"HH_75","THA",14
"HH_76","THA",5
"HH_77","THA",4
"HH_79","THA",8
"HH_80","THA",4
"HH_81","THA",4
"HH_82","THA",4
"HH_83","THA",3
"HH_84","THA",4
"HH_85","THA",3
"HH_86","THA",3
"HH_87","THA",3
"HH_88","THA",4
"HH_89","THA",4
"HH_90","THA",7
"HH_91","THA",4
"HH_92","THA",5
"HH_93","THA",5
"HH_97","THA",3
"HH_98","THA",4
"HH_99","THA",3
"HH_100","THA",2
"HH_101","THA",3
"HH_102","THA",5
"HH_103","THA",4
"HH_104","THA",3
"HH_105","THA",3
"HH_107","THA",6
"HH_109","THA",3
"HH_110","THA",3
"HH_111","THA",6
"HH_113","THA",3
"HH_114","THA",3
"HH_115","THA",9
"HH_116","THA",7
"HH_117","THA",6
"HH_118","THA",7
"HH_120","THA",5
"HH_121","THA",4
"HH_122","THA",3
"HH_123","THA",3
"HH_125","THA",4
"HH_126","THA",9
"HH_127","THA",9
"HH_128","THA",6
"HH_129","THA",3
"HH_130","THA",3
"HH_131","THA",9
"HH_132","THA",7
"HH_133","THA",4
"HH_134","THA",7
"HH_135","THA",7
"HH_136","THA",9
"HH_137","THA",7
"HH_138","THA",10
"HH_139","THA",5
"HH_140","THA",7
"HH_141","THA",4
"HH_142","THA",3
"HH_144","THA",7
"HH_145","THA",10
"HH_146","THA",3
"HH_147","THA",4
"HH_148","THA",9
"HH_149","THA",4
"HH_150","THA",4
"HH_151","THA",6
"HH_152","THA",8
"HH_153","THA",7
"HH_154","THA",4
"HH_155","THA",3
"HH_156","THA",3
"HH_157","THA",6
"HH_158","THA",4
"HH_159","THA",3
"HH_160","THA",3
"HH_161","THA",4
"HH_162","THA",5
"HH_163","THA",7
"HH_164","THA",5
"HH_165","THA",7
"HH_166","THA",4
"HH_167","THA",8
"HH_168","THA",4
"HH_169","THA",4
"HH_170","THA",7
"HH_171","THA",4
"HH_172","THA",3
"HH_173","THA",4
"HH_174","THA",8
"HH_175","THA",5
"HH_176","THA",3
"HH_177","THA",3
"HH_178","THA",4
"HH_179","THA",4
"HH_180","THA",5
"HH_181","THA",5
"HH_182","THA",4
"HH_183","THA",9
"HH_184","THA",5
"HH_185","THA",5
"HH_186","THA",5
"HH_187","THA",4
"HH_188","THA",3
"HH_189","THA",5
"HH_190","THA",5
"HH_191","THA",3
"HH_192","THA",4
"HH_193","THA",5
"HH_194","THA",4
"HH_195","THA",3
"HH_196","THA",4
"HH_197","THA",6
"HH_198","THA",8
"HH_199","THA",6
"HH_200","THA",6
"HH_201","THA",5
"HH_202","THA",6
"HH_203","THA",6
"HH_204","THA",3
"HH_205","THA",5
"HH_206","THA",5
"HH_208","THA",3
"HH_209","THA",5
"HH_210","THA",5
"HH_211","THA",5
"HH_212","THA",4
"HH_213","THA",6
"HH_214","THA",6
"HH_215","THA",6
"HH_216","THA",6
"HH_217","THA",6
"HH_218","THA",6
"HH_219","THA",5
"HH_220","THA",6
"HH_221","THA",5
"HH_222","THA",4
"HH_223","THA",6
"HH_224","THA",5
"HH_225","THA",5
"HH_226","THA",6
"HH_227","THA",7
"HH_228","THA",9
"HH_229","THA",5
"HH_230","THA",6
"HH_231","THA",6
"HH_232","THA",6
"HH_233","THA",2
"HH_234","THA",7
"HH_235","THA",7
"HH_236","THA",5
"HH_237","THA",5
"HH_238","THA",6
"HH_239","THA",5
"HH_240","THA",5
"HH_241","THA",3
"HH_242","THA",8
"HH_243","THA",2
"HH_244","THA",6
"HH_245","THA",5
"HH_246","THA",NA
"HH_247","THA",5
"HH_248","THA",2
"HH_249","THA",3
"HH_250","THA",NA
"HH_252","THA",3
"HH_254","THA",NA
"HH_256","THA",10
"HH_262","THA",3
"HH_265","THA",7
"HH_273","THA",4
"HH_274","THA",7
"HH_275","THA",6
"HH_276","THA",6
"HH_277","THA",3
"HH_278","THA",3
"HH_279","THA",7
"HH_280","THA",3
"HH_281","THA",3
"HH_282","THA",3
"HH_283","THA",4
"HH_284","THA",5
"HH_286","THA",3
"HH_288","THA",7
"HH_289","THA",3
"HH_290","THA",4
"HH_291","THA",5
"HH_292","THA",7
"HH_293","THA",3
"HH_294","THA",6
"HH_295","THA",3
"HH_296","THA",5
"HH_297","THA",6
"HH_298","THA",6
"HH_302","THA",3
"HH_307","THA",4
"HH_311","THA",8
"HH_312","THA",4
"HH_313","THA",3
"HH_314","THA",3
"HH_315","THA",3
"HH_316","THA",4
"HH_317","THA",3
"HH_318","THA",3
"HH_319","THA",5
"HH_320","THA",4
"HH_321","THA",4
"HH_322","THA",10
"HH_323","THA",6
"HH_324","THA",8
"HH_325","THA",6
"HH_326","THA",3
"HH_327","THA",5
"HH_328","THA",5
"HH_329","THA",10
"HH_330","THA",6
"HH_332","THA",7
"HH_334","THA",9
