"hh_id","f_members","under5yrs","X5.15.yrs","X15.40.yrs","X40.60.yrs","X.60.yrs"
"HH_1",6,0,0,4,0,2
"HH_2",7,NA,2,3,2,NA
"HH_3",8,NA,NA,NA,NA,NA
"HH_4",3,0,0,3,0,0
"HH_5",3,0,0,3,0,0
"HH_6",2,0,0,2,0,0
"HH_7",5,0,0,3,0,2
"HH_8",4,0,NA,2,2,NA
"HH_9",3,0,0,3,0,0
"HH_10",3,NA,1,2,NA,NA
"HH_11",4,0,1,3,0,0
"HH_12",2,NA,NA,2,NA,NA
"HH_13",5,0,0,3,0,2
"HH_14",2,NA,NA,NA,2,NA
"HH_15",2,NA,2,NA,2,NA
"HH_16",5,NA,3,2,NA,NA
"HH_17",5,0,1,3,1,0
"HH_18",2,0,0,2,0,0
"HH_19",4,0,2,2,0,0
"HH_20",3,0,0,3,0,0
"HH_21",5,0,0,3,1,1
"HH_22",4,0,0,2,0,2
"HH_23",5,0,0,3,0,2
"HH_24",5,0,1,2,0,2
"HH_25",5,1,0,3,1,0
"HH_26",5,0,1,4,0,0
"HH_27",2,0,0,2,0,0
"HH_28",4,0,0,2,2,0
"HH_29",5,0,0,3,0,2
"HH_30",5,NA,1,2,0,2
"HH_31",5,0,1,2,2,0
"HH_32",5,0,1,2,2,0
"HH_33",5,0,0,3,2,NA
"HH_34",8,NA,NA,NA,NA,NA
"HH_35",3,NA,NA,NA,NA,NA
"HH_36",5,0,0,3,2,0
"HH_38",10,NA,NA,NA,NA,NA
"HH_39",2,0,0,2,0,0
"HH_43",2,0,0,2,0,0
"HH_44",5,0,1,2,0,2
"HH_45",3,0,0,3,0,0
"HH_47",3,0,0,2,1,0
"HH_48",5,NA,NA,3,2,NA
"HH_49",6,1,1,2,2,NA
"HH_50",6,0,0,6,0,0
"HH_51",4,NA,NA,3,1,NA
"HH_52",2,NA,NA,2,NA,NA
"HH_53",3,NA,NA,3,NA,NA
"HH_54",2,0,0,2,0,0
"HH_57",2,NA,NA,2,NA,NA
"HH_59",3,0,0,3,0,0
"HH_60",9,NA,3,3,3,NA
"HH_61",5,0,0,5,0,0
"HH_62",4,1,1,2,NA,NA
"HH_63",3,0,0,3,0,0
"HH_64",6,NA,1,3,1,1
"HH_65",7,NA,NA,4,1,2
"HH_66",4,NA,NA,3,1,NA
"HH_67",6,NA,NA,5,1,NA
"HH_68",8,1,NA,4,3,NA
"HH_69",4,NA,2,2,NA,NA
"HH_70",5,NA,NA,NA,NA,NA
"HH_71",2,NA,NA,2,NA,NA
"HH_72",12,2,2,6,2,NA
"HH_73",8,NA,NA,6,1,1
"HH_74",6,NA,NA,NA,NA,NA
"HH_75",13,1,2,6,1,1
"HH_76",4,NA,NA,4,NA,NA
"HH_77",3,1,NA,2,NA,NA
"HH_79",7,NA,1,4,1,1
"HH_80",3,NA,1,1,NA,2
"HH_81",3,NA,NA,3,NA,NA
"HH_82",3,NA,NA,3,NA,NA
"HH_83",2,NA,NA,NA,2,NA
"HH_84",3,NA,NA,3,NA,NA
"HH_85",2,NA,NA,1,1,NA
"HH_86",2,NA,NA,2,NA,NA
"HH_87",2,NA,NA,2,NA,NA
"HH_88",3,NA,NA,3,NA,NA
"HH_89",3,NA,NA,3,NA,NA
"HH_90",6,NA,NA,6,NA,NA
"HH_91",3,NA,NA,2,1,NA
"HH_92",4,NA,NA,4,NA,NA
"HH_93",4,NA,NA,4,NA,NA
"HH_97",2,NA,NA,2,NA,NA
"HH_98",3,NA,NA,3,NA,NA
"HH_99",2,NA,NA,1,1,NA
"HH_100",1,NA,NA,1,NA,NA
"HH_101",2,NA,NA,1,1,NA
"HH_102",4,NA,NA,4,NA,NA
"HH_103",3,NA,NA,3,NA,NA
"HH_104",2,NA,NA,2,NA,NA
"HH_105",2,NA,NA,2,NA,NA
"HH_107",5,NA,NA,5,NA,NA
"HH_109",2,NA,NA,2,NA,NA
"HH_110",2,NA,NA,2,NA,NA
"HH_111",5,NA,NA,3,2,NA
"HH_113",2,NA,NA,2,NA,NA
"HH_114",2,NA,NA,2,NA,NA
"HH_115",8,NA,NA,6,2,NA
"HH_116",6,NA,NA,6,NA,NA
"HH_117",5,NA,NA,3,2,NA
"HH_118",6,NA,NA,4,1,1
"HH_120",4,NA,NA,2,2,NA
"HH_121",3,NA,NA,3,NA,NA
"HH_122",2,NA,1,1,NA,NA
"HH_123",2,NA,NA,2,NA,NA
"HH_125",3,NA,NA,3,NA,NA
"HH_126",8,NA,NA,6,2,NA
"HH_127",8,NA,NA,6,2,NA
"HH_128",5,NA,NA,3,1,1
"HH_129",2,NA,NA,2,NA,NA
"HH_130",2,NA,NA,2,NA,NA
"HH_131",8,NA,NA,6,2,NA
"HH_132",6,NA,NA,4,2,NA
"HH_133",3,NA,NA,2,NA,1
"HH_134",6,NA,NA,6,NA,NA
"HH_135",6,NA,NA,6,NA,NA
"HH_136",8,NA,1,5,2,NA
"HH_137",6,NA,NA,4,2,NA
"HH_138",9,NA,NA,7,2,NA
"HH_139",4,NA,NA,1,1,2
"HH_140",6,NA,NA,2,2,2
"HH_141",3,NA,NA,1,2,NA
"HH_142",2,NA,NA,2,NA,NA
"HH_144",6,NA,NA,6,NA,NA
"HH_145",9,NA,NA,7,1,1
"HH_146",2,NA,NA,1,1,NA
"HH_147",3,NA,NA,3,NA,NA
"HH_148",8,NA,NA,6,1,1
"HH_149",3,NA,NA,3,NA,NA
"HH_150",3,NA,NA,2,1,NA
"HH_151",5,NA,NA,3,2,NA
"HH_152",7,NA,NA,7,NA,NA
"HH_153",6,NA,NA,6,NA,NA
"HH_154",3,NA,NA,3,NA,NA
"HH_155",2,NA,NA,2,NA,NA
"HH_156",2,NA,NA,2,NA,NA
"HH_157",5,NA,NA,4,1,NA
"HH_158",3,NA,NA,3,NA,NA
"HH_159",2,NA,NA,2,NA,NA
"HH_160",2,NA,NA,2,NA,NA
"HH_161",3,NA,NA,3,NA,NA
"HH_162",4,NA,NA,NA,NA,NA
"HH_163",6,NA,NA,NA,NA,NA
"HH_164",4,NA,NA,4,NA,NA
"HH_165",6,NA,NA,4,NA,NA
"HH_166",3,NA,NA,2,1,NA
"HH_167",7,NA,NA,7,NA,NA
"HH_168",3,NA,1,2,NA,NA
