"part_id","hh_id","part_age","part_gender"
1,"HH_1",32,"F"
2,"HH_2",25,"F"
3,"HH_3",21,"F"
4,"HH_4",26,"F"
5,"HH_5",23,"F"
6,"HH_6",24,"F"
7,"HH_7",30,"M"
8,"HH_8",28,"M"
9,"HH_9",26,"M"
10,"HH_10",28,"M"
11,"HH_11",37,"F"
12,"HH_12",31,"M"
13,"HH_13",20,"M"
14,"HH_14",41,"F"
15,"HH_15",46,"M"
16,"HH_16",25,"M"
17,"HH_17",26,"F"
18,"HH_18",33,"F"
19,"HH_19",31,"F"
20,"HH_20",35,"F"
21,"HH_21",30,"M"
22,"HH_22",36,"F"
23,"HH_23",25,"M"
24,"HH_24",28,"F"
25,"HH_25",21,"F"
26,"HH_26",22,"F"
27,"HH_27",28,"M"
28,"HH_28",20,"F"
29,"HH_29",33,"M"
30,"HH_30",20,"F"
31,"HH_31",20,"F"
32,"HH_32",23,"F"
33,"HH_33",23,"F"
34,"HH_34",23,"F"
35,"HH_35",27,"M"
36,"HH_36",29,"F"
38,"HH_38",23,"F"
39,"HH_39",21,"F"
43,"HH_43",30,"F"
44,"HH_44",23,"F"
45,"HH_45",27,"F"
47,"HH_47",16,"F"
48,"HH_48",21,"F"
49,"HH_49",17,"F"
50,"HH_50",38,"F"
51,"HH_51",22,"F"
52,"HH_52",32,"F"
53,"HH_53",27,"F"
54,"HH_54",24,"F"
57,"HH_57",30,"M"
59,"HH_59",25,"F"
60,"HH_60",30,"F"
61,"HH_61",20,"F"
62,"HH_62",34,"M"
63,"HH_63",26,"M"
64,"HH_64",37,"M"
65,"HH_65",37,"F"
66,"HH_66",21,"F"
67,"HH_67",36,"M"
68,"HH_68",29,"F"
69,"HH_69",32,"F"
70,"HH_70",27,"F"
71,"HH_71",35,"M"
72,"HH_72",26,"F"
73,"HH_73",35,"F"
74,"HH_74",41,"F"
75,"HH_75",29,"F"
76,"HH_76",26,"F"
77,"HH_77",30,"M"
79,"HH_79",28,"M"
80,"HH_80",34,"M"
81,"HH_81",29,"M"
82,"HH_82",26,"M"
83,"HH_83",43,"M"
84,"HH_84",27,"M"
85,"HH_85",42,"M"
86,"HH_86",27,"F"
87,"HH_87",29,"M"
88,"HH_88",33,"F"
89,"HH_89",34,"F"
90,"HH_90",20,"F"
91,"HH_91",33,"M"
92,"HH_92",20,"M"
93,"HH_93",30,"F"
97,"HH_97",20,"F"
98,"HH_98",32,"M"
99,"HH_99",38,"M"
100,"HH_100",31,"F"
101,"HH_101",31,"F"
102,"HH_102",33,"F"
103,"HH_103",25,"F"
104,"HH_104",32,"F"
105,"HH_105",40,"M"
107,"HH_107",27,"M"
109,"HH_109",30,"F"
110,"HH_110",22,"F"
111,"HH_111",27,"F"
113,"HH_113",26,"F"
114,"HH_114",22,"F"
115,"HH_115",24,"F"
116,"HH_116",21,"F"
117,"HH_117",27,"F"
118,"HH_118",29,"F"
120,"HH_120",32,"M"
121,"HH_121",28,"F"
122,"HH_122",19,"F"
123,"HH_123",25,"M"
125,"HH_125",25,"M"
