"cont_id","cnt_relation","cnt_hospital","collection_period"
"1001_baseline_1",NA,NA,"baseline"
"1001_baseline_10",NA,NA,"baseline"
"1001_baseline_11",NA,NA,"baseline"
"1001_baseline_12",NA,NA,"baseline"
"1001_baseline_13",NA,NA,"baseline"
"1001_baseline_14",NA,NA,"baseline"
"1001_baseline_15",NA,NA,"baseline"
"1001_baseline_16",NA,NA,"baseline"
"1001_baseline_17",NA,NA,"baseline"
"1001_baseline_18",NA,NA,"baseline"
"1001_baseline_19",NA,NA,"baseline"
"1001_baseline_2",NA,NA,"baseline"
"1001_baseline_20",NA,NA,"baseline"
"1001_baseline_3",NA,NA,"baseline"
"1001_baseline_4",NA,NA,"baseline"
"1001_baseline_5",NA,NA,"baseline"
"1001_baseline_6",NA,NA,"baseline"
"1001_baseline_7",NA,NA,"baseline"
"1001_baseline_8",NA,NA,"baseline"
"1001_baseline_9",NA,NA,"baseline"
"1001_outbreak_1",1,FALSE,"outbreak"
"1001_outbreak_2",1,FALSE,"outbreak"
"1002_baseline_1",NA,NA,"baseline"
"1002_baseline_2",NA,NA,"baseline"
"1002_baseline_3",NA,NA,"baseline"
"1002_baseline_4",NA,NA,"baseline"
"1002_baseline_5",NA,NA,"baseline"
"1002_baseline_6",NA,NA,"baseline"
"1002_outbreak_1",1,FALSE,"outbreak"
"1002_outbreak_2",1,FALSE,"outbreak"
"1003_baseline_1",NA,NA,"baseline"
"1003_baseline_2",NA,NA,"baseline"
"1003_baseline_3",NA,NA,"baseline"
"1003_baseline_4",NA,NA,"baseline"
"1003_baseline_5",NA,NA,"baseline"
"1003_baseline_6",NA,NA,"baseline"
"1003_outbreak_1",1,FALSE,"outbreak"
"1003_outbreak_2",1,FALSE,"outbreak"
"1003_outbreak_3",1,FALSE,"outbreak"
"1003_outbreak_4",1,FALSE,"outbreak"
"1004_baseline_1",NA,NA,"baseline"
"1004_baseline_10",NA,NA,"baseline"
"1004_baseline_11",NA,NA,"baseline"
"1004_baseline_12",NA,NA,"baseline"
"1004_baseline_13",NA,NA,"baseline"
"1004_baseline_14",NA,NA,"baseline"
"1004_baseline_15",NA,NA,"baseline"
"1004_baseline_16",NA,NA,"baseline"
"1004_baseline_17",NA,NA,"baseline"
"1004_baseline_18",NA,NA,"baseline"
"1004_baseline_19",NA,NA,"baseline"
"1004_baseline_2",NA,NA,"baseline"
"1004_baseline_20",NA,NA,"baseline"
"1004_baseline_21",NA,NA,"baseline"
"1004_baseline_22",NA,NA,"baseline"
"1004_baseline_23",NA,NA,"baseline"
"1004_baseline_24",NA,NA,"baseline"
"1004_baseline_25",NA,NA,"baseline"
"1004_baseline_26",NA,NA,"baseline"
"1004_baseline_27",NA,NA,"baseline"
"1004_baseline_28",NA,NA,"baseline"
"1004_baseline_29",NA,NA,"baseline"
"1004_baseline_3",NA,NA,"baseline"
"1004_baseline_30",NA,NA,"baseline"
"1004_baseline_31",NA,NA,"baseline"
"1004_baseline_32",NA,NA,"baseline"
"1004_baseline_33",NA,NA,"baseline"
"1004_baseline_34",NA,NA,"baseline"
"1004_baseline_35",NA,NA,"baseline"
"1004_baseline_36",NA,NA,"baseline"
"1004_baseline_37",NA,NA,"baseline"
"1004_baseline_38",NA,NA,"baseline"
"1004_baseline_39",NA,NA,"baseline"
"1004_baseline_4",NA,NA,"baseline"
"1004_baseline_40",NA,NA,"baseline"
"1004_baseline_41",NA,NA,"baseline"
"1004_baseline_42",NA,NA,"baseline"
"1004_baseline_43",NA,NA,"baseline"
"1004_baseline_44",NA,NA,"baseline"
"1004_baseline_45",NA,NA,"baseline"
"1004_baseline_5",NA,NA,"baseline"
"1004_baseline_6",NA,NA,"baseline"
"1004_baseline_7",NA,NA,"baseline"
"1004_baseline_8",NA,NA,"baseline"
"1004_baseline_9",NA,NA,"baseline"
"1005_baseline_1",NA,NA,"baseline"
"1005_baseline_2",NA,NA,"baseline"
"1005_baseline_3",NA,NA,"baseline"
"1005_baseline_4",NA,NA,"baseline"
"1005_baseline_5",NA,NA,"baseline"
"1005_baseline_6",NA,NA,"baseline"
"1005_baseline_7",NA,NA,"baseline"
"1005_baseline_8",NA,NA,"baseline"
"1005_outbreak_1",1,FALSE,"outbreak"
"1005_outbreak_2",1,NA,"outbreak"
"1005_outbreak_3",1,NA,"outbreak"
"1006_baseline_1",NA,NA,"baseline"
"1006_baseline_2",NA,NA,"baseline"
"1006_outbreak_1",1,FALSE,"outbreak"
