"hh_id","hh_size_group"
"HH1001","(4,20]"
"HH1002","(3,4]"
"HH1003","(4,20]"
"HH1004","(3,4]"
"HH1005","(3,4]"
"HH1006","(4,20]"
"HH1007","(4,20]"
"HH1008","(3,4]"
"HH1009","(0,1]"
"HH1010","(4,20]"
"HH1011","(3,4]"
"HH1012","(3,4]"
"HH1013","(3,4]"
"HH1014","(3,4]"
"HH1015","(4,20]"
"HH1016","(2,3]"
"HH1017","(3,4]"
"HH1018","(3,4]"
"HH1019","(3,4]"
"HH1020","(2,3]"
"HH1021","(3,4]"
"HH1022","(4,20]"
"HH1023","(2,3]"
"HH1024","(2,3]"
"HH1025","(3,4]"
"HH1026","(4,20]"
"HH1027","(3,4]"
"HH1028","(1,2]"
"HH1029","(4,20]"
"HH1030","(2,3]"
"HH1031","(2,3]"
"HH1032","(4,20]"
"HH1033","(3,4]"
"HH1034","(4,20]"
"HH1035","(4,20]"
"HH1036","(4,20]"
"HH1037","(1,2]"
"HH1038","(4,20]"
"HH1039","(4,20]"
"HH1040","(3,4]"
"HH1041","(4,20]"
"HH1042","(4,20]"
"HH1043","(3,4]"
"HH1044","(2,3]"
"HH1045","(3,4]"
"HH1046","(4,20]"
"HH1047","(2,3]"
"HH1048","(3,4]"
"HH1049","(4,20]"
"HH1050","(4,20]"
"HH1051","(3,4]"
"HH1052","(2,3]"
"HH1053","(3,4]"
"HH1054","(2,3]"
"HH1055","(4,20]"
"HH1056","(2,3]"
"HH1057","(2,3]"
"HH1058","(3,4]"
"HH1059","(4,20]"
"HH1060","(2,3]"
"HH1061","(3,4]"
"HH1062","(3,4]"
"HH1063","(3,4]"
"HH1064","(2,3]"
"HH1065","(1,2]"
"HH1066","(1,2]"
"HH1067","(1,2]"
"HH1068","(1,2]"
"HH1069","(2,3]"
"HH1070","(1,2]"
"HH1071","(2,3]"
"HH1072","(4,20]"
"HH1073","(2,3]"
"HH1074","(2,3]"
"HH1075","(4,20]"
"HH1076","(2,3]"
"HH1077","(1,2]"
"HH1078","(3,4]"
"HH1079","(2,3]"
"HH1080","(3,4]"
"HH1081","(3,4]"
"HH1082","(1,2]"
"HH1083","(2,3]"
"HH1084","(4,20]"
"HH1085","(2,3]"
"HH1086","(0,1]"
"HH1087","(4,20]"
"HH1088","(3,4]"
"HH1089","(4,20]"
"HH1090","(2,3]"
"HH1091","(3,4]"
"HH1092","(0,1]"
"HH1093","(3,4]"
"HH1094","(3,4]"
"HH1095","(2,3]"
"HH1096","(2,3]"
"HH1097","(3,4]"
"HH1098","(3,4]"
"HH1099","(3,4]"
"HH1100","(4,20]"
"HH1101","(2,3]"
"HH1102","(2,3]"
"HH1103","(3,4]"
"HH1104","(1,2]"
"HH1105","(3,4]"
"HH1106","(3,4]"
"HH1107","(4,20]"
"HH1108","(3,4]"
"HH1109","(3,4]"
"HH1110","(1,2]"
"HH1111","(4,20]"
"HH1112","(4,20]"
"HH1113","(2,3]"
"HH1114","(2,3]"
"HH1115","(2,3]"
"HH1116","(4,20]"
