"part_id","hh_id","part_age","part_gender"
1001,"HH1001",24,"F"
1002,"HH1002",41,"F"
1003,"HH1003",51,"M"
1004,"HH1004",30,"F"
1005,"HH1005",46,"M"
1006,"HH1006",34,"F"
1007,"HH1007",39,"F"
1008,"HH1008",35,"F"
1009,"HH1009",33,"M"
1010,"HH1010",31,"F"
1011,"HH1011",36,"M"
1012,"HH1012",25,"M"
1013,"HH1013",39,"F"
1014,"HH1014",35,"M"
1015,"HH1015",35,"F"
1016,"HH1016",66,"M"
1017,"HH1017",47,"F"
1018,"HH1018",41,"M"
1019,"HH1019",30,"F"
1020,"HH1020",29,"F"
1021,"HH1021",49,"F"
1022,"HH1022",79,"F"
1023,"HH1023",57,"F"
1024,"HH1024",52,"M"
1025,"HH1025",47,"F"
1026,"HH1026",48,"F"
1027,"HH1027",40,"F"
1028,"HH1028",81,"F"
1029,"HH1029",41,"M"
1030,"HH1030",60,"M"
1031,"HH1031",39,"F"
1032,"HH1032",40,"F"
1033,"HH1033",52,"M"
1034,"HH1034",30,"F"
1035,"HH1035",34,"F"
1036,"HH1036",32,"M"
1037,"HH1037",25,"M"
1038,"HH1038",42,"M"
1039,"HH1039",31,"M"
1040,"HH1040",42,"F"
1041,"HH1041",42,"M"
1042,"HH1042",37,"M"
1043,"HH1043",44,"M"
1044,"HH1044",45,"M"
1045,"HH1045",25,"F"
1046,"HH1046",38,"F"
1047,"HH1047",47,"F"
1048,"HH1048",46,"M"
1049,"HH1049",66,"M"
1050,"HH1050",41,"M"
1051,"HH1051",40,"F"
1052,"HH1052",49,"M"
1053,"HH1053",37,"M"
1054,"HH1054",54,"M"
1055,"HH1055",40,"F"
1056,"HH1056",22,"M"
1057,"HH1057",44,"M"
1058,"HH1058",40,"F"
1059,"HH1059",53,"F"
1060,"HH1060",42,"M"
1061,"HH1061",37,"F"
1062,"HH1062",22,"F"
1063,"HH1063",49,"M"
1064,"HH1064",49,"F"
1065,"HH1065",42,"M"
1066,"HH1066",31,"F"
1067,"HH1067",27,"F"
1068,"HH1068",25,"M"
1069,"HH1069",42,"M"
1070,"HH1070",50,"F"
1071,"HH1071",30,"M"
1072,"HH1072",67,"M"
1073,"HH1073",37,"M"
1074,"HH1074",19,"F"
1075,"HH1075",47,"M"
1076,"HH1076",38,"F"
1077,"HH1077",34,"F"
1078,"HH1078",46,"M"
1079,"HH1079",36,"F"
1080,"HH1080",42,"F"
1081,"HH1081",32,"F"
1082,"HH1082",37,"F"
1083,"HH1083",35,"F"
1084,"HH1084",63,"F"
1085,"HH1085",61,"F"
1086,"HH1086",37,"M"
1087,"HH1087",46,"M"
1088,"HH1088",37,"M"
1089,"HH1089",37,"F"
1090,"HH1090",40,"F"
1091,"HH1091",41,"F"
1092,"HH1092",43,"F"
1093,"HH1093",36,"M"
1094,"HH1094",22,"F"
1095,"HH1095",36,"F"
1096,"HH1096",32,"F"
1097,"HH1097",37,"M"
1098,"HH1098",51,"F"
1099,"HH1099",44,"M"
1100,"HH1100",34,"F"
1101,"HH1101",42,"F"
1102,"HH1102",22,"F"
1103,"HH1103",41,"M"
1104,"HH1104",39,"M"
1105,"HH1105",33,"F"
1106,"HH1106",57,"M"
1107,"HH1107",37,"F"
1108,"HH1108",47,"F"
1109,"HH1109",47,"F"
1110,"HH1110",40,"F"
1111,"HH1111",40,"F"
1112,"HH1112",32,"F"
1113,"HH1113",35,"F"
1114,"HH1114",27,"F"
1115,"HH1115",55,"F"
1116,"HH1116",46,"F"
1117,"HH1117",35,"M"
1118,"HH1118",51,"F"
1119,"HH1119",50,"M"
1120,"HH1120",35,"F"
1121,"HH1121",50,"F"
1122,"HH1122",34,"M"
1123,"HH1123",44,"F"
1124,"HH1124",53,"M"
1125,"HH1125",28,"F"
1126,"HH1126",43,"M"
1127,"HH1127",49,"F"
1128,"HH1128",42,"F"
1129,"HH1129",50,"F"
1130,"HH1130",48,"F"
1131,"HH1131",31,"F"
1132,"HH1132",37,"M"
1133,"HH1133",47,"M"
1134,"HH1134",41,"M"
1135,"HH1135",40,"M"
1136,"HH1136",21,"M"
1137,"HH1137",47,"F"
1138,"HH1138",41,"M"
1139,"HH1139",45,"F"
1140,"HH1140",35,"M"
1141,"HH1141",38,"M"
1142,"HH1142",49,"M"
1143,"HH1143",50,"F"
1144,"HH1144",28,"F"
1145,"HH1145",44,"F"
1146,"HH1146",22,"M"
1147,"HH1147",50,"M"
1148,"HH1148",43,"F"
1149,"HH1149",37,"F"
1150,"HH1150",49,"F"
1151,"HH1151",24,"F"
1152,"HH1152",46,"F"
1153,"HH1153",47,"F"
1154,"HH1154",33,"F"
1155,"HH1155",53,"F"
1156,"HH1156",39,"M"
1157,"HH1157",65,"M"
1158,"HH1158",43,"M"
1159,"HH1159",62,"M"
