"part_id","occupation","survey_location"
1001,"Employed","Wuhan"
1002,"Employed","Wuhan"
1003,"Retired","Wuhan"
1004,"Employed","Wuhan"
1005,"Employed","Wuhan"
1006,"Employed","Wuhan"
1007,"Employed","Wuhan"
1008,"Employed","Wuhan"
1009,"Employed","Wuhan"
1010,"Employed","Wuhan"
1011,"Employed","Wuhan"
1012,"Employed","Wuhan"
1013,"Employed","Wuhan"
1014,"Employed","Wuhan"
1015,"Employed","Wuhan"
1016,"Retired","Wuhan"
1017,"Unemployed","Wuhan"
1018,"Employed","Wuhan"
1019,"Employed","Wuhan"
1020,"Employed","Wuhan"
1021,"Retired","Wuhan"
1022,"Retired","Wuhan"
1023,"Retired","Wuhan"
1024,"Employed","Wuhan"
1025,"Employed","Wuhan"
1026,"Employed","Wuhan"
1027,"Employed","Wuhan"
1028,"Retired","Wuhan"
1029,"Employed","Wuhan"
1030,"Retired","Wuhan"
1031,"Employed","Wuhan"
1032,"Unemployed","Wuhan"
1033,"Retired","Wuhan"
1034,"Employed","Wuhan"
1035,"Employed","Wuhan"
1036,"Employed","Wuhan"
1037,"Employed","Wuhan"
1038,"Employed","Wuhan"
1039,"Employed","Wuhan"
1040,"Employed","Wuhan"
1041,"Employed","Wuhan"
1042,"Employed","Wuhan"
1043,"Employed","Wuhan"
1044,"Employed","Wuhan"
1045,"Employed","Wuhan"
1046,"Employed","Wuhan"
1047,"Retired","Wuhan"
1048,"Employed","Wuhan"
1049,"Retired","Wuhan"
1050,"Employed","Wuhan"
1051,"Employed","Wuhan"
1052,"Employed","Wuhan"
1053,"Employed","Wuhan"
1054,"Retired","Wuhan"
1055,"Employed","Wuhan"
1056,"Employed","Wuhan"
1057,"Unemployed","Wuhan"
1058,"Employed","Wuhan"
1059,"Retired","Wuhan"
1060,"Employed","Wuhan"
1061,"Employed","Wuhan"
1062,"Employed","Wuhan"
1063,"Employed","Wuhan"
1064,"Employed","Wuhan"
1065,"Employed","Wuhan"
1066,"Employed","Wuhan"
1067,"Employed","Wuhan"
1068,"Employed","Wuhan"
1069,"Employed","Wuhan"
1070,"Retired","Wuhan"
1071,"Employed","Wuhan"
1072,"Retired","Wuhan"
1073,"Employed","Wuhan"
1074,"Unemployed","Wuhan"
1075,"Employed","Wuhan"
1076,"Employed","Wuhan"
1077,"Employed","Wuhan"
1078,"Employed","Wuhan"
1079,"Employed","Wuhan"
1080,"Employed","Wuhan"
1081,"Employed","Wuhan"
1082,"Employed","Wuhan"
1083,"Unemployed","Wuhan"
1084,"Retired","Wuhan"
1085,"Retired","Wuhan"
1086,"Employed","Wuhan"
1087,"Employed","Wuhan"
1088,"Employed","Wuhan"
1089,"Unemployed","Wuhan"
1090,"Employed","Wuhan"
1091,"Employed","Wuhan"
1092,"Employed","Wuhan"
1093,"Employed","Wuhan"
1094,"Employed","Wuhan"
1095,"Employed","Wuhan"
1096,"Employed","Wuhan"
1097,"Employed","Wuhan"
1098,"Employed","Wuhan"
1099,"Employed","Wuhan"
1100,"Employed","Wuhan"
1101,"Employed","Wuhan"
1102,"Students","Wuhan"
1103,"Employed","Wuhan"
1104,"Employed","Wuhan"
1105,"Employed","Wuhan"
1106,"Retired","Wuhan"
1107,"Employed","Wuhan"
1108,"Employed","Wuhan"
1109,"Employed","Wuhan"
1110,"Unemployed","Wuhan"
1111,"Employed","Wuhan"
1112,"Employed","Wuhan"
1113,"Unemployed","Wuhan"
1114,"Employed","Wuhan"
1115,"Retired","Wuhan"
1116,"Employed","Wuhan"
1117,"Employed","Wuhan"
1118,"Retired","Wuhan"
1119,"Employed","Wuhan"
1120,"Employed","Wuhan"
1121,"Employed","Wuhan"
1122,"Employed","Wuhan"
1123,"Employed","Wuhan"
1124,"Employed","Wuhan"
1125,"Employed","Wuhan"
1126,"Employed","Wuhan"
1127,"Employed","Wuhan"
1128,"Unemployed","Wuhan"
1129,"Employed","Wuhan"
1130,"Employed","Wuhan"
1131,"Employed","Wuhan"
1132,"Employed","Wuhan"
1133,"Employed","Wuhan"
1134,"Employed","Wuhan"
1135,"Employed","Wuhan"
1136,"Employed","Wuhan"
1137,"Employed","Wuhan"
1138,"Employed","Wuhan"
1139,"Employed","Wuhan"
1140,"Employed","Wuhan"
1141,"Employed","Wuhan"
1142,"Employed","Wuhan"
1143,"Employed","Wuhan"
1144,"Employed","Wuhan"
1145,"Employed","Wuhan"
1146,"Employed","Wuhan"
1147,"Retired","Wuhan"
1148,"Employed","Wuhan"
1149,"Unemployed","Wuhan"
1150,"Retired","Wuhan"
1151,"Students","Wuhan"
1152,"Employed","Wuhan"
1153,"Employed","Wuhan"
1154,"Employed","Wuhan"
1155,"Retired","Wuhan"
1156,"Employed","Wuhan"
1157,"Retired","Wuhan"
1158,"Employed","Wuhan"
1159,"Retired","Wuhan"
1160,"Employed","Wuhan"
1161,"Employed","Wuhan"
1162,"Employed","Wuhan"
1163,"Employed","Wuhan"
1164,"Employed","Wuhan"
1165,"Employed","Wuhan"
1166,"Retired","Wuhan"
1167,"Employed","Wuhan"
1168,"Employed","Wuhan"
1169,"Employed","Wuhan"
1170,"Employed","Wuhan"
1171,"Employed","Wuhan"
1172,"Employed","Wuhan"
1173,"Employed","Wuhan"
1174,"Employed","Wuhan"
1175,"Employed","Wuhan"
1176,"Employed","Wuhan"
1177,"Retired","Wuhan"
1178,"Employed","Wuhan"
1179,"Employed","Wuhan"
1180,"Unemployed","Wuhan"
1181,"Employed","Wuhan"
1182,"Employed","Wuhan"
1183,"Employed","Wuhan"
1184,"Employed","Wuhan"
1185,"Employed","Wuhan"
1186,"Employed","Wuhan"
1187,"Employed","Wuhan"
1188,"Employed","Wuhan"
1189,"Retired","Wuhan"
1190,"Employed","Wuhan"
1191,"Employed","Wuhan"
1192,"Employed","Wuhan"
1193,"Employed","Wuhan"
1194,"Employed","Wuhan"
1195,"Employed","Wuhan"
1196,"Employed","Wuhan"
1197,"Employed","Wuhan"
1198,"Employed","Wuhan"
1199,"Employed","Wuhan"
