hh_id,country,hh_size
HH10051,NL,2
HH10101,NL,1
HH10102,NL,1
HH10103,NL,1
HH10104,NL,1
HH10105,NL,1
HH10106,NL,1
HH10107,NL,1
HH10171,NL,2
HH10172,NL,2
HH10173,NL,2
HH10174,NL,2
HH10175,NL,2
HH10176,NL,2
HH10177,NL,2
HH10201,NL,2
HH10202,NL,2
HH10203,NL,2
HH10204,NL,2
HH10205,NL,2
HH10206,NL,2
HH10207,NL,2
HH10211,NL,1
HH10212,NL,1
HH10213,NL,1
HH10214,NL,1
HH10215,NL,1
HH10216,NL,1
HH10217,NL,1
HH10221,NL,2
HH10222,NL,2
HH10223,NL,2
HH10224,NL,2
HH10225,NL,2
HH10226,NL,2
HH10227,NL,2
HH10231,NL,2
HH10232,NL,2
HH10233,NL,2
HH10234,NL,2
HH10235,NL,2
HH10236,NL,2
HH10237,NL,2
HH10241,NL,2
HH10242,NL,2
HH10243,NL,2
HH10244,NL,2
HH10245,NL,2
HH10246,NL,2
HH10247,NL,2
HH10251,NL,2
HH10252,NL,2
HH10253,NL,2
HH10254,NL,2
HH10255,NL,2
HH10256,NL,2
HH10257,NL,2
HH10261,NL,2
HH10262,NL,2
HH10263,NL,2
HH10264,NL,2
HH10265,NL,2
HH10266,NL,2
HH10267,NL,2
HH10271,NL,2
HH10272,NL,2
HH10273,NL,2
HH10274,NL,2
HH10275,NL,2
HH10276,NL,2
HH10277,NL,2
HH10281,NL,2
HH10282,NL,2
HH10283,NL,2
HH10284,NL,2
HH10285,NL,2
HH10286,NL,2
HH10287,NL,2
HH10291,NL,2
HH10292,NL,2
HH10293,NL,2
HH10294,NL,2
HH10295,NL,2
HH10296,NL,2
HH10297,NL,2
HH10301,NL,2
HH10302,NL,2
HH10303,NL,2
HH10304,NL,2
HH10305,NL,2
HH10306,NL,2
HH10307,NL,2
HH10311,NL,2
HH10312,NL,2
HH10313,NL,2
HH10314,NL,2
HH10315,NL,2
HH10316,NL,2
HH10317,NL,2
HH10321,NL,2
HH10322,NL,2
HH10323,NL,2
HH10324,NL,2
HH10325,NL,2
HH10326,NL,2
HH10327,NL,2
HH10331,NL,2
HH10332,NL,2
HH10333,NL,2
HH10334,NL,2
HH10335,NL,2
HH10336,NL,2
HH10337,NL,2
HH10341,NL,2
HH10342,NL,2
HH10343,NL,2
HH10344,NL,2
HH10345,NL,2
HH10346,NL,2
HH10347,NL,2
HH10351,NL,2
HH10352,NL,2
HH10353,NL,2
HH10354,NL,2
HH10355,NL,2
HH10356,NL,2
HH10357,NL,2
HH10361,NL,2
HH10362,NL,2
HH10363,NL,2
HH10364,NL,2
HH10365,NL,2
HH10366,NL,2
HH10367,NL,2
HH10371,NL,2
HH10372,NL,2
HH10373,NL,2
HH10374,NL,2
HH10375,NL,2
HH10376,NL,2
HH10377,NL,2
HH10381,NL,2
HH10382,NL,2
HH10383,NL,2
HH10384,NL,2
HH10385,NL,2
HH10386,NL,2
HH10387,NL,2
HH10391,NL,1
HH10392,NL,1
HH10393,NL,1
HH10394,NL,1
HH10395,NL,1
HH10396,NL,1
HH10397,NL,1
HH10411,NL,1
HH10412,NL,1
HH10413,NL,1
HH10414,NL,1
HH10415,NL,1
HH10416,NL,1
HH10417,NL,1
HH10421,NL,2
HH10422,NL,2
HH10423,NL,2
HH10424,NL,2
HH10425,NL,2
HH10426,NL,2
HH10427,NL,2
HH10431,NL,2
HH10432,NL,2
HH10433,NL,2
HH10434,NL,2
HH10435,NL,2
HH10436,NL,2
HH10437,NL,2
HH10451,NL,1
HH10452,NL,1
HH10453,NL,1
HH10454,NL,1
HH10455,NL,1
HH10456,NL,1
HH10457,NL,1
HH10461,NL,2
HH10462,NL,2
HH10463,NL,2
HH10464,NL,2
HH10465,NL,2
HH10466,NL,2
HH10467,NL,2
HH10471,NL,1
HH10472,NL,1
HH10473,NL,1
HH10474,NL,1
HH10475,NL,1
HH10476,NL,1
HH10477,NL,1
HH10481,NL,1
HH10482,NL,1
HH10483,NL,1
HH10484,NL,1
HH10485,NL,1
HH10486,NL,1
HH10487,NL,1
HH10491,NL,2
HH10492,NL,2
HH10493,NL,2
HH10494,NL,2
HH10495,NL,2
HH10496,NL,2
HH10497,NL,2
HH10501,NL,2
HH10502,NL,2
HH10503,NL,2
HH10504,NL,2
HH10505,NL,2
HH10506,NL,2
HH10507,NL,2
HH10511,NL,2
HH10512,NL,2
HH10513,NL,2
HH10514,NL,2
HH10515,NL,2
HH10516,NL,2
HH10517,NL,2
HH10521,NL,1
HH10522,NL,1
HH10523,NL,1
HH10524,NL,1
HH10525,NL,1
HH10526,NL,1
HH10527,NL,1
HH10531,NL,2
HH10532,NL,2
HH10533,NL,2
HH10534,NL,2
HH10535,NL,2
HH10536,NL,2
HH10537,NL,2
HH10541,NL,2
HH10542,NL,2
HH10543,NL,2
HH10544,NL,2
HH10545,NL,2
HH10546,NL,2
HH10547,NL,2
HH10551,NL,2
HH10552,NL,2
HH10553,NL,2
HH10554,NL,2
HH10555,NL,2
HH10556,NL,2
HH10557,NL,2
HH10571,NL,1
HH10572,NL,1
HH10574,NL,1
HH10575,NL,1
HH10576,NL,1
HH10581,NL,2
HH10582,NL,2
HH10583,NL,2
HH10584,NL,2
HH10585,NL,2
HH10586,NL,2
HH10587,NL,2
HH10591,NL,2
HH10592,NL,2
HH10593,NL,2
HH10594,NL,2
HH10595,NL,2
HH10596,NL,2
HH10597,NL,2
HH10601,NL,1
HH10602,NL,1
HH10603,NL,1
HH10604,NL,1
HH10605,NL,1
HH10606,NL,1
HH10607,NL,1
HH10611,NL,2
HH10612,NL,2
HH10613,NL,2
HH10614,NL,2
HH10615,NL,2
HH10616,NL,2
HH10617,NL,2
HH10621,NL,1
HH10622,NL,1
HH10623,NL,1
HH10624,NL,1
HH10625,NL,1
HH10626,NL,1
HH10627,NL,1
HH10651,NL,2
HH10652,NL,2
HH10653,NL,2
HH10654,NL,2
HH10655,NL,2
HH10656,NL,2
HH10657,NL,2
HH10661,NL,2
HH10662,NL,2
HH10663,NL,2
HH10664,NL,2
HH10665,NL,2
HH10666,NL,2
HH10667,NL,2
HH10671,NL,2
HH10672,NL,2
HH10673,NL,2
HH10674,NL,2
HH10675,NL,2
HH10676,NL,2
HH10677,NL,2
HH10681,NL,2
HH10682,NL,2
HH10683,NL,2
HH10684,NL,2
HH10685,NL,2
HH10686,NL,2
HH10687,NL,2
HH10691,NL,2
HH10692,NL,2
HH10693,NL,2
HH10694,NL,2
HH10695,NL,2
HH10696,NL,2
HH10697,NL,2
HH10701,NL,2
HH10702,NL,2
HH10703,NL,2
HH10704,NL,2
HH10705,NL,2
HH10706,NL,2
HH10707,NL,2
HH10711,NL,2
HH10712,NL,2
HH10713,NL,2
HH10714,NL,2
HH10715,NL,2
HH10716,NL,2
HH10717,NL,2
HH10721,NL,2
HH10722,NL,2
HH10723,NL,2
HH10724,NL,2
HH10725,NL,2
HH10726,NL,2
HH10727,NL,2
HH10731,NL,2
HH10732,NL,2
HH10733,NL,2
HH10734,NL,2
HH10735,NL,2
HH10736,NL,2
HH10737,NL,2
HH10741,NL,2
HH10742,NL,2
HH10743,NL,2
HH10744,NL,2
HH10745,NL,2
HH10746,NL,2
HH10747,NL,2
HH10751,NL,1
HH10752,NL,1
HH10753,NL,1
HH10754,NL,1
HH10755,NL,1
HH10756,NL,1
HH10757,NL,1
HH10761,NL,2
HH10762,NL,2
HH10763,NL,2
HH10764,NL,2
HH10765,NL,2
HH10766,NL,2
HH10767,NL,2
HH10771,NL,2
HH10772,NL,2
HH10773,NL,2
HH10774,NL,2
HH10775,NL,2
HH10776,NL,2
HH10777,NL,2
HH10781,NL,2
HH10782,NL,2
HH10783,NL,2
HH10784,NL,2
HH10785,NL,2
HH10786,NL,2
HH10787,NL,2
HH10791,NL,2
HH10792,NL,2
HH10793,NL,2
HH10794,NL,2
HH10795,NL,2
HH10796,NL,2
HH10797,NL,2
HH10801,NL,2
HH10802,NL,2
HH10803,NL,2
HH10804,NL,2
HH10805,NL,2
HH10806,NL,2
HH10807,NL,2
HH10811,NL,2
HH10812,NL,2
HH10813,NL,2
HH10814,NL,2
HH10815,NL,2
HH10816,NL,2
HH10817,NL,2
HH10821,NL,1
HH10822,NL,1
HH10823,NL,1
HH10824,NL,1
HH10825,NL,1
HH10826,NL,1
HH10827,NL,1
HH10831,NL,1
HH10832,NL,1
HH10833,NL,1
HH10834,NL,1
HH10835,NL,1
HH10836,NL,1
HH10837,NL,1
HH10841,NL,2
HH10842,NL,2
HH10843,NL,2
HH10844,NL,2
HH10845,NL,2
HH10846,NL,2
HH10847,NL,2
HH10861,NL,Not applicable
HH10862,NL,Not applicable
HH10863,NL,Not applicable
HH10864,NL,Not applicable
HH10865,NL,Not applicable
HH10866,NL,Not applicable
HH10867,NL,Not applicable
HH10851,NL,2
HH10852,NL,2
HH10853,NL,2
HH10854,NL,2
HH10855,NL,2
HH10856,NL,2
HH10901,NL,1
HH10902,NL,1
HH10903,NL,1
HH10904,NL,1
HH10905,NL,1
HH10906,NL,1
HH10907,NL,1
HH10911,NL,2
HH10912,NL,2
HH10913,NL,2
HH10914,NL,2
HH10915,NL,2
HH10916,NL,2
HH10917,NL,2
HH10921,NL,2
HH10922,NL,2
HH10923,NL,2
HH10924,NL,2
HH10925,NL,2
HH10926,NL,2
HH10927,NL,2
HH10941,NL,1
HH10942,NL,1
HH10943,NL,1
HH10944,NL,1
HH10945,NL,1
HH10946,NL,1
HH10947,NL,1
HH10951,NL,1
HH10952,NL,1
HH10953,NL,1
HH10954,NL,1
HH10955,NL,1
HH10956,NL,1
HH10957,NL,1
HH10961,NL,1
HH10962,NL,1
HH10963,NL,1
HH10964,NL,1
HH10965,NL,1
HH10966,NL,1
HH10967,NL,1
HH10971,NL,2
HH10972,NL,2
HH10973,NL,2
HH10974,NL,2
HH10975,NL,2
HH10976,NL,2
HH10977,NL,2
HH10982,NL,1
HH10983,NL,1
HH10984,NL,1
HH10985,NL,1
HH10986,NL,1
HH10987,NL,1
HH10991,NL,1
HH10992,NL,1
HH10993,NL,1
HH10994,NL,1
HH10995,NL,1
HH10996,NL,1
HH10997,NL,1
HH11001,NL,2
HH11002,NL,2
HH11003,NL,2
HH11004,NL,2
HH11005,NL,2
HH11006,NL,2
HH11007,NL,2
HH11011,NL,2
HH11012,NL,2
HH11013,NL,2
HH11014,NL,2
HH11015,NL,2
HH11016,NL,2
HH11017,NL,2
HH11021,NL,1
HH11022,NL,1
HH11023,NL,1
HH11024,NL,1
HH11025,NL,1
HH11026,NL,1
HH11027,NL,1
HH11031,NL,1
HH11032,NL,1
HH11033,NL,1
HH11034,NL,1
HH11035,NL,1
HH11036,NL,1
HH11037,NL,1
HH11041,NL,1
HH11042,NL,1
HH11043,NL,1
HH11044,NL,1
HH11045,NL,1
HH11046,NL,1
HH11047,NL,1
HH11051,NL,3
HH11052,NL,3
HH11053,NL,3
HH11054,NL,3
HH11055,NL,3
HH11056,NL,3
HH11057,NL,3
HH11061,NL,2
HH11062,NL,2
HH11063,NL,2
HH11064,NL,2
HH11065,NL,2
HH11066,NL,2
HH11067,NL,2
HH11071,NL,1
HH11072,NL,1
HH11073,NL,1
HH11074,NL,1
HH11075,NL,1
HH11076,NL,1
HH11077,NL,1
HH11081,NL,2
HH11082,NL,2
HH11083,NL,2
HH11084,NL,2
HH11085,NL,2
HH11086,NL,2
HH11087,NL,2
HH11091,NL,2
HH11092,NL,2
HH11093,NL,2
HH11094,NL,2
HH11095,NL,2
HH11096,NL,2
HH11097,NL,2
HH11101,NL,2
HH11102,NL,2
HH11103,NL,2
HH11104,NL,2
HH11105,NL,2
HH11106,NL,2
HH11107,NL,2
HH11121,NL,1
HH11122,NL,1
HH11123,NL,1
HH11124,NL,1
HH11125,NL,1
HH11126,NL,1
HH11127,NL,1
HH11131,NL,2
HH11132,NL,2
HH11133,NL,2
HH11134,NL,2
HH11135,NL,2
HH11136,NL,2
HH11137,NL,2
HH11141,NL,2
HH11142,NL,2
HH11143,NL,2
HH11144,NL,2
HH11145,NL,2
HH11146,NL,2
HH11147,NL,2
HH11151,NL,1
HH11152,NL,1
HH11153,NL,1
HH11154,NL,1
HH11155,NL,1
HH11156,NL,1
HH11157,NL,1
HH11161,NL,2
HH11162,NL,2
HH11163,NL,2
HH11164,NL,2
HH11165,NL,2
HH11166,NL,2
HH11167,NL,2
HH11171,NL,1
HH11172,NL,1
HH11173,NL,1
HH11174,NL,1
HH11175,NL,1
HH11176,NL,1
HH11177,NL,1
HH11181,NL,1
HH11182,NL,1
HH11183,NL,1
HH11184,NL,1
HH11185,NL,1
HH11186,NL,1
HH11187,NL,1
HH11191,NL,2
HH11192,NL,2
HH11193,NL,2
HH11194,NL,2
HH11195,NL,2
HH11196,NL,2
HH11197,NL,2
HH11201,NL,1
HH11202,NL,1
HH11203,NL,1
HH11204,NL,1
HH11205,NL,1
HH11206,NL,1
HH11207,NL,1
HH11221,NL,2
HH11222,NL,2
HH11223,NL,2
HH11224,NL,2
HH11225,NL,2
HH11226,NL,2
HH11227,NL,2
HH11231,NL,1
HH11232,NL,1
HH11233,NL,1
HH11234,NL,1
HH11235,NL,1
HH11236,NL,1
HH11237,NL,1
HH11241,NL,1
HH11242,NL,1
HH11243,NL,1
HH11244,NL,1
HH11245,NL,1
HH11246,NL,1
HH11247,NL,1
HH11251,NL,1
HH11252,NL,1
HH11253,NL,1
HH11254,NL,1
HH11255,NL,1
HH11256,NL,1
HH11257,NL,1
HH11261,NL,2
HH11262,NL,2
HH11263,NL,2
HH11264,NL,2
HH11265,NL,2
HH11266,NL,2
HH11267,NL,2
HH11271,NL,2
HH11272,NL,2
HH11273,NL,2
HH11274,NL,2
HH11275,NL,2
HH11276,NL,2
HH11277,NL,2
HH11281,NL,2
HH11282,NL,2
HH11283,NL,2
HH11284,NL,2
HH11285,NL,2
HH11286,NL,2
HH11287,NL,2
HH11291,NL,1
HH11292,NL,1
HH11293,NL,1
HH11294,NL,1
HH11295,NL,1
HH11296,NL,1
HH11297,NL,1
HH11301,NL,2
HH11302,NL,2
HH11303,NL,2
HH11304,NL,2
HH11305,NL,2
HH11306,NL,2
HH11307,NL,2
HH11331,NL,2
HH11332,NL,2
HH11333,NL,2
HH11334,NL,2
HH11335,NL,2
HH11336,NL,2
HH11337,NL,2
HH11111,NL,1
HH11321,NL,2
HH11322,NL,2
HH11323,NL,2
HH11324,NL,2
HH11325,NL,2
HH11326,NL,2
HH11327,NL,2
HH11311,NL,1
HH11312,NL,1
HH11313,NL,1
HH11314,NL,1
HH11315,NL,1
HH11316,NL,1
HH11317,NL,1
HH11341,NL,2
HH11342,NL,2
HH11343,NL,2
HH11344,NL,2
HH11345,NL,2
HH11346,NL,2
HH11347,NL,2
HH11351,NL,2
HH11352,NL,2
HH11353,NL,2
HH11354,NL,2
HH11355,NL,2
HH11356,NL,2
HH11357,NL,2
HH11361,NL,1
HH11362,NL,1
HH11363,NL,1
HH11364,NL,1
HH11365,NL,1
HH11366,NL,1
HH11367,NL,1
HH11371,NL,2
HH11372,NL,2
HH11373,NL,2
HH11374,NL,2
HH11375,NL,2
HH11376,NL,2
HH11377,NL,2
HH11381,NL,2
HH11382,NL,2
HH11383,NL,2
HH11384,NL,2
HH11385,NL,2
HH11386,NL,2
HH11387,NL,2
HH11391,NL,1
HH11392,NL,1
HH11393,NL,1
HH11394,NL,1
HH11395,NL,1
HH11396,NL,1
HH11397,NL,1
HH11401,NL,1
HH11402,NL,1
HH11403,NL,1
HH11404,NL,1
HH11405,NL,1
HH11406,NL,1
HH11407,NL,1
HH11411,NL,2
HH11412,NL,2
HH11413,NL,2
HH11414,NL,2
HH11415,NL,2
HH11416,NL,2
HH11417,NL,2
HH11421,NL,2
HH11422,NL,2
HH11423,NL,2
HH11424,NL,2
HH11425,NL,2
HH11426,NL,2
HH11427,NL,2
HH11431,NL,1
HH11432,NL,1
HH11433,NL,1
HH11434,NL,1
HH11435,NL,1
HH11436,NL,1
HH11437,NL,1
HH11441,NL,2
HH11442,NL,2
HH11443,NL,2
HH11444,NL,2
HH11445,NL,2
HH11446,NL,2
HH11447,NL,2
HH11451,NL,2
HH11452,NL,2
HH11453,NL,2
HH11454,NL,2
HH11455,NL,2
HH11456,NL,2
HH11457,NL,2
HH11461,NL,1
HH11462,NL,1
HH11463,NL,1
HH11464,NL,1
HH11465,NL,1
HH11466,NL,1
HH11467,NL,1
HH11471,NL,1
HH11472,NL,1
HH11473,NL,1
HH11474,NL,1
HH11475,NL,1
HH11476,NL,1
HH11477,NL,1
HH11481,NL,1
HH11482,NL,1
HH11483,NL,1
HH11484,NL,1
HH11485,NL,1
HH11486,NL,1
HH11487,NL,1
HH11491,NL,1
HH11492,NL,1
HH11493,NL,1
HH11494,NL,1
HH11495,NL,1
HH11496,NL,1
HH11497,NL,1
HH11501,NL,2
HH11502,NL,2
HH11503,NL,2
HH11504,NL,2
HH11505,NL,2
HH11506,NL,2
HH11507,NL,2
HH11511,NL,1
HH11512,NL,1
HH11513,NL,1
HH11514,NL,1
HH11515,NL,1
HH11516,NL,1
HH11521,NL,1
HH11522,NL,1
HH11523,NL,1
HH11524,NL,1
HH11525,NL,1
HH11526,NL,1
HH11527,NL,1
HH11531,NL,2
HH11532,NL,2
HH11533,NL,2
HH11534,NL,2
HH11535,NL,2
HH11536,NL,2
HH11537,NL,2
HH11541,NL,2
HH11542,NL,2
HH11543,NL,2
HH11544,NL,2
HH11545,NL,2
HH11546,NL,2
HH11547,NL,2
HH11551,NL,2
HH11552,NL,2
HH11553,NL,2
HH11554,NL,2
HH11555,NL,2
HH11556,NL,2
HH11557,NL,2
HH11561,NL,2
HH11562,NL,2
HH11563,NL,2
HH11564,NL,2
HH11565,NL,2
HH11566,NL,2
HH11567,NL,2
HH11571,NL,1
HH11572,NL,1
HH11573,NL,1
HH11574,NL,1
HH11575,NL,1
HH11576,NL,1
HH11577,NL,1
HH11581,NL,2
HH11582,NL,2
HH11583,NL,2
HH11584,NL,2
HH11585,NL,2
HH11586,NL,2
HH11587,NL,2
HH11591,NL,1
HH11592,NL,1
HH11593,NL,1
HH11594,NL,1
HH11595,NL,1
HH11596,NL,1
HH11597,NL,1
HH11601,NL,1
HH11602,NL,1
HH11603,NL,1
HH11604,NL,1
HH11605,NL,1
HH11606,NL,1
HH11607,NL,1
HH11611,NL,2
HH11612,NL,2
HH11613,NL,2
HH11614,NL,2
HH11615,NL,2
HH11616,NL,2
HH11617,NL,2
HH11621,NL,2
HH11622,NL,2
HH11623,NL,2
HH11624,NL,2
